	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Space kann anhand der Farbcodierung in der linken oberen Ecke erkannt werden.	['space']	{'space': 'Space'}	['space']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag umfasst eine Gesamtzahl verfügbarer Kapazitäts-Einheiten pro Monat, die Sie wie gewünscht den Rechen- und Speicherressourcen zuweisen können.	['storage']	{'storage': 'Speicherressourcen'}	['speicherressourcen']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	teilen Sie die URL-Verknüpfung mit anderen Benutzern, die über die richtigen Bearbeitungsrechte verfügen	['share']	{'share': 'teilen'}	['teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie die Einschränkung für die Nachfolgeoperation entfernen, kann die Operation automatisch neu geplant werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie den Tenant nicht konfiguriert haben, können Sie nur Verwaltungsfunktionen von SAP Data Warehouse Cloud verwenden (aber Sie können auf der Seite Space Management keine Räume erstellen).	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihr Zuständigkeitsbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Zuständigkeitsbereich'}	['zuständigkeitsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für Oracle-Trigger-basierte Replikation im Handbuch zur SAP HANA Smart Data Integration und SAP HANA Smart Data Quality Installation und Configuration Guide	['trigger']	{'trigger': 'Trigger'}	['trigger']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Ein Konto mit Ihrem Space integrieren, um Verbindungen für Konnektor-Instanzen erstellen und die Verbindungen für Datenflüsse verwenden zu können.	['connector']	{'connector': 'Konnektor-Instanzen'}	['konnektor']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsabwicklungsgruppe ist ein Attribut, mit dem Sie Ihre Kreditoren und Debitoren in Gruppen einteilen können.	['customer', 'supplier']	{'customer': 'Kreditoren', 'supplier': 'Kreditoren'}	['kreditor', 'kreditor']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Wählen Sie die entsprechende Kontrollkästchen für bedarfsorientiert MRP-Komponenten und/oder oberste Materialien aus.	['demand-driven']	{'demand-driven': 'bedarfsorientiert'}	['bedarfsorientieren']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	Klicken Sie auf erstellen Lizenz, um eine Lizenz für ein oder mehrere Ihrer Datenprodukte zu erstellen und Aktivierungsschlüssel zu generieren, die Sie mit Verbrauchern teilen können, um ihnen die Nutzung des lizenzierten Umfangs von Datenprodukten zu ermöglichen.	['create']	{'create': 'erstellen'}	['erstellen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	"Steuern Sie Ihre Gewerkschaft im Abschnitt ""Kennungen"" des Seitenbereichs:"	['side panel']	{'side panel': 'Seitenbereich'}	['seitenbereich']
