	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить заметки, выберите шаблон и откройте панель заметок слева на экране.	['pane']	{'pane': 'панель'}	['панель']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер контракта, из которого можно выбрать позиции обслуживания.	['contract']	{'contract': 'контракта'}	['контракт']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	"Это поле по умолчанию устанавливается на текущую дату, а поле ""Дата возврата"" будет автоматически заполнено числом дней, заданным в настройках (например, 30 дней для типа документа по умолчанию e-bgs), после даты передачи."	['type']	{'type': 'типа'}	['тип']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	"Тем не менее, поведение этого бюджетного параметра интерпретируется по-разному для счетов, классифицированных как ""расходы"" или ""доходы""."	['revenue']	{'revenue': 'доходы'}	['доход']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (создание, обновление и/или удаление) разрешены для каждого подузла, а также для корневого узла, отметив соответствующие поля.	['update']	{'update': 'обновление'}	['обновление']
5	{'range': 'интервал'}	Within a time range	В заданный промежуток времени	['range']	{'range': 'промежуток'}	['промежуток']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете добавить в закладки свои любимые наборы данных или поставщиков данных.	['provider']	{'provider': 'поставщиков'}	['поставщик']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Название поставщика должно быть уникальным.	['provider']	{'provider': 'поставщика'}	['поставщик']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Переход непосредственно на страницы соответствующих бизнес-объектов.	['branch']	{'branch': 'Переход'}	['переход']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Указывает тип элементов, которые вы хотите добавить в свой проект по снабжению.	['type']	{'type': 'тип'}	['тип']
