	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	▔	▁43	▔	▁44	▔	▁44
1	▔	▁95	▔	▁96	▔	▁98
2	▔	▁83	▔	▁84	▔	▁86
3	▔	▁122	▔	▁123	▔	▁127
4	▔	▁18	▔	▁19	▔	▁19
5	▔	▁81	▔	▁82	▔	▁84
6	▔	▁66	▔	▁67	▔	▁68
7	добавьт	добавьт	добавьт	▁7	добавьт	▁7
8	▔	▁116	▔	▁117	▔	▁119
9	▔	▁146	▔	▁148	▔	▁152
10	▔	▁156	▔	▁158	▔	▁162
11	▔	▁146	▔	▁148	▔	▁152
12	▔	▁61	▔	▁62	▔	▁63
13	▔	▁124	▔	▁126	▔	▁130
14	▔	добавьт	▔	▁7	▔	▁7
15	▔	▁79	▔	▁80	▔	▁81
16	▔	▁156	▔	▁158	▔	▁162
17	▔	▁133	▔	▁135	▔	▁139
18	▔	▁176	▔	отпиши	▔	▁182
19	▔	▁153	▔	▁155	▔	▁159
20	▔	▁96	▔	▁97	▔	▁99
21	▔	▁129	▔	▁131	▔	▁135
22	▔	▁124	▔	▁126	▔	▁130
23	▔	▁31	▔	▁32	▔	▁32
24	▔	▁135	▔	▁137	▔	▁141
25	▔	▁61	▔	▁62	▔	▁63
26	▔	▁41	▔	▁42	▔	▁42
27	▔	▁97	▔	▁98	▔	▁100
28	▔	▁171	▔	▁173	▔	▁177
29	▔	▁135	▔	▁137	▔	▁141
30	▔	▁53	▔	▁54	▔	▁54
31	▔	▁135	▔	▁137	▔	▁141
32	▔	▁174	▔	▁176	▔	▁180
33	▔	▁46	▔	▁47	▔	▁47
34	▔	▁116	▔	▁117	▔	▁119
35	▔	▁54	▔	▁55	▔	▁55
36	▔	▁106	▔	▁107	▔	▁109
37	▔	▁169	▔	▁171	▔	▁175
38	▔	▁153	▔	▁155	▔	▁159
39	▔	▁120	▔	▁121	▔	▁123
40	▔	▁111	▔	▁112	▔	▁114
41	▔	▁135	▔	▁137	▔	▁141
42	▔	▁133	▔	▁135	▔	▁139
43	▔	▁52	▔	▁53	▔	▁53
44	▔	▁124	▔	▁126	▔	▁130
45	▔	▁121	▔	▁122	▔	▁125
46	▔	▁153	▔	▁155	▔	▁159
47	▔	▁156	▔	▁158	▔	▁162
48	▔	▁103	▔	▁104	▔	▁106
49	▔	▁83	▔	▁84	▔	▁86
50	▔	▁120	▔	▁121	▔	▁123
51	▔	▁153	▔	▁155	▔	▁159
52	▔	▁41	▔	▁42	▔	▁42
53	отчетности	отчетности	отчетности	▁124	отчетности	▁128
54	▔	▁134	▔	▁136	▔	▁140
55	▔	▁137	▔	▁139	▔	▁143
56	▔	▁135	▔	▁137	▔	▁141
57	▔	▁83	▔	▁84	▔	▁86
58	▔	▁46	▔	▁47	▔	▁47
59	▔	▁120	▔	▁121	▔	▁123
60	▔	▁150	▔	▁152	▔	▁156
61	▔	▁126	▔	▁128	▔	▁132
62	▔	▁68	▔	▁69	▔	▁70
63	▔	▁46	▔	▁47	▔	▁47
64	▔	▁30	▔	▁31	▔	▁31
65	▔	▁153	▔	▁155	▔	▁159
