	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	▔	▁43	▔	▁43	▔	▁44
1	▔	▁94	▔	▁94	▔	▁98
2	▔	▁82	▔	▁82	▔	▁86
3	▔	▁122	▔	▁122	▔	▁127
4	▔	▁18	▔	▁18	▔	▁19
5	▔	▁80	▔	▁80	▔	▁84
6	▔	▁67	▔	▁67	▔	▁68
7	▔	▁6	▔	▁6	▔	▁7
8	▔	▁115	▔	▁115	▔	▁119
9	▔	▁146	▔	▁146	▔	▁152
10	▔	▁155	▔	▁155	▔	▁162
11	▔	▁146	▔	▁146	▔	▁152
12	▔	▁62	▔	▁62	▔	▁63
13	▔	▁125	▔	▁125	▔	▁130
14	▔	▁6	▔	▁6	▔	▁7
15	▔	▁78	▔	▁78	▔	▁81
16	▔	▁155	▔	▁155	▔	▁162
17	▔	▁134	▔	▁134	▔	▁139
18	▔	▁172	▔	отпиши	▔	▁182
19	▔	▁153	▔	▁153	▔	▁159
20	▔	▁95	▔	▁95	▔	▁99
21	▔	▁130	▔	▁130	▔	▁135
22	▔	▁125	▔	▁125	▔	▁130
23	▔	▁31	▔	▁31	▔	▁32
24	▔	▁136	▔	▁136	▔	▁141
25	▔	▁62	▔	▁62	▔	▁63
26	▔	▁41	▔	▁41	▔	▁42
27	▔	▁96	▔	▁96	▔	▁100
28	▔	▁168	▔	▁169	▔	▁177
29	▔	▁136	▔	▁136	▔	▁141
30	▔	▁53	▔	▁53	▔	▁54
31	▔	▁136	▔	▁136	▔	▁141
32	▔	▁171	▔	▁172	▔	▁180
33	▔	▁46	▔	▁46	▔	▁47
34	▔	▁115	▔	▁115	▔	▁119
35	▔	▁54	▔	▁54	▔	▁55
36	▔	▁105	▔	▁105	▔	▁109
37	▔	▁166	▔	▁167	▔	▁175
38	таблиц	▁153	таблиц	▁153	таблиц	▁159
39	▔	▁119	▔	▁119	▔	▁123
40	▔	▁110	▔	▁110	▔	▁114
41	запланированног	▁136	запланированног	▁136	запланированног	▁141
42	▔	▁134	▔	▁134	▔	▁139
43	▔	▁52	▔	▁52	▔	▁53
44	▔	▁125	▔	▁125	▔	▁130
45	▔	▁121	▔	▁121	▔	▁125
46	▔	▁153	▔	▁153	▔	▁159
47	▔	▁155	▔	▁155	▔	▁162
48	▔	▁102	▔	▁102	▔	▁106
49	▔	▁82	▔	▁82	▔	▁86
50	▔	▁119	▔	▁119	▔	▁123
51	▔	▁153	▔	▁153	▔	▁159
52	▔	▁41	▔	▁41	▔	▁42
53	▔	▁123	▔	▁123	▔	▁128
54	▔	▁135	▔	▁135	▔	▁140
55	▔	▁138	▔	▁138	▔	▁143
56	▔	▁136	▔	▁136	▔	▁141
57	▔	▁82	▔	▁82	▔	▁86
58	▔	▁46	▔	▁46	▔	▁47
59	▔	▁119	▔	▁119	▔	▁123
60	▔	▁150	▔	▁150	▔	▁156
61	▔	▁127	▔	▁127	▔	▁132
62	▔	▁69	▔	▁69	▔	▁70
63	▔	▁46	▔	▁46	▔	▁47
64	▔	▁30	▔	▁30	▔	▁31
65	▔	▁153	▔	▁153	▔	▁159
66	репликации	репликации	репликации	репликаци	репликации	▁126
67	▔	▁141	▔	▁141	▔	▁146
68	▔	▁33	▔	▁33	▔	▁34
69	▔	▁53	▔	▁53	▔	▁54
70	▔	▁6	▔	▁6	▔	▁7
71	▔	▁4	▔	▁4	▔	▁5
72	▔	▁95	▔	▁95	▔	▁99
73	▔	▁52	▔	▁52	▔	▁53
74	отпиши	▁172	отпиши	отпиши	отпиши	▁182
75	▔	▁89	▔	▁89	▔	▁93
76	деловой	деловой	деловой	деловой	деловой	▁168
77	▔	▁46	▔	▁46	▔	▁47
78	▔	▁118	▔	▁118	▔	▁122
79	заголово	заголово	заголово	заголово	заголово	▁78
80	▔	▁97	▔	▁97	▔	▁101
81	графическом списк работ	графическом списк работ	графическом списк работ	▁173	графическом списк работ	▁181
82	ти	ти	ти	▁164	ти	▁172
83	▔	▁153	▔	▁153	▔	▁159
84	▔	▁136	▔	▁136	▔	▁141
85	рабочий список	графическом списк работ	рабочий список	▁173	рабочий список	▁181
86	добавьт	▁6	добавьт	▁6	добавьт	▁7
87	▔	▁11	▔	▁11	▔	▁12
88	▔	▁109	▔	▁109	▔	▁113
89	▔	▁11	▔	▁11	▔	▁12
90	▔	▁95	▔	▁95	▔	▁99
91	инцидента	▁78	инцидента	▁78	инцидента	▁81
92	▔	▁42	▔	▁42	▔	▁43
93	▔	▁11	▔	▁11	▔	▁12
94	▔	▁14	▔	▁14	▔	▁15
95	▔	▁76	▔	▁76	▔	▁79
96	▔	▁53	▔	▁53	▔	▁54
97	▔	▁145	▔	▁145	▔	▁151
98	▔	▁82	▔	▁82	▔	▁86
99	▔	▁36	▔	▁36	▔	▁37
100	▔	▁122	▔	▁122	▔	▁127
101	▔	▁82	▔	▁82	▔	▁86
102	▔	▁163	▔	▁163	▔	▁171
103	▔	ти	▔	▁164	▔	▁172
104	▔	▁95	▔	▁95	▔	▁99
105	▔	▁52	▔	▁52	▔	▁53
106	▔	▁168	▔	▁169	▔	▁177
107	▔	▁70	▔	▁70	▔	▁71
108	▔	▁139	▔	▁139	▔	▁144
109	▔	▁11	▔	▁11	▔	▁12
110	▔	▁46	▔	▁46	▔	▁47
111	▔	▁80	▔	▁80	▔	▁84
112	▔	▁78	▔	▁78	▔	▁81
113	▔	▁95	▔	▁95	▔	▁99
114	▔	▁106	▔	▁106	▔	▁110
115	▔	▁153	▔	▁153	▔	▁159
116	▔	▁161	▔	▁161	▔	▁169
117	▔	▁20	▔	▁20	▔	▁21
118	▔	▁79	▔	▁79	▔	▁83
119	▔	▁93	▔	▁93	▔	▁97
120	▔	▁134	▔	▁134	▔	▁139
121	▔	▁168	▔	▁169	▔	▁177
122	▔	▁153	▔	▁153	▔	▁159
123	▔	▁34	▔	▁34	▔	▁35
124	▔	▁32	▔	▁32	▔	▁33
125	▔	▁171	▔	▁172	▔	▁180
126	▔	▁77	▔	▁77	▔	▁80
127	▔	▁137	▔	▁137	▔	▁142
128	▔	▁168	▔	▁169	▔	▁177
129	▔	▁153	▔	▁153	▔	▁159
130	▔	ти	▔	▁164	▔	▁172
131	▔	▁142	▔	▁142	▔	▁147
132	▔	▁124	▔	▁124	▔	▁129
133	▔	▁155	▔	▁155	▔	▁162
134	▔	▁29	▔	▁29	▔	▁30
135	▔	▁160	▔	▁160	▔	▁167
136	▔	▁136	▔	▁136	▔	▁141
137	▔	▁146	▔	▁146	▔	▁152
138	▔	▁167	▔	▁168	▔	▁176
139	▔	▁89	▔	▁89	▔	▁93
140	рабочий цент	▁171	рабочий цент	▁172	рабочий цент	▁180
141	▔	ти	▔	▁164	▔	▁172
142	▔	▁89	▔	▁89	▔	▁93
143	▔	▁155	▔	▁155	▔	▁162
144	▔	▁40	▔	▁40	▔	▁41
145	▔	▁134	▔	▁134	▔	▁139
146	▔	▁25	▔	▁25	▔	▁26
147	▔	▁101	▔	▁101	▔	▁105
148	▔	▁103	▔	▁103	▔	▁107
149	▔	▁136	▔	▁136	▔	▁141
150	▔	▁124	▔	▁124	▔	▁129
151	▔	▁89	▔	▁89	▔	▁93
152	▔	▁34	▔	▁34	▔	▁35
153	▔	▁151	▔	▁151	▔	▁157
154	▔	▁94	▔	▁94	▔	▁98
155	▔	▁95	▔	▁95	▔	▁99
156	▔	▁97	▔	▁97	▔	▁101
157	▔	▁131	▔	▁131	▔	▁136
158	▔	▁6	▔	▁6	▔	▁7
159	▔	▁29	▔	▁29	▔	▁30
160	▔	▁34	▔	▁34	▔	▁35
161	▔	графическом списк работ	▔	▁173	▔	▁181
162	▔	▁95	▔	▁95	▔	▁99
163	сайт	сайт	сайт	сайт	сайт	▁150
164	▔	▁55	▔	▁55	▔	▁56
165	▔	▁103	▔	▁103	▔	▁107
166	▔	▁2	▔	▁2	▔	▁3
167	▔	▁100	▔	▁100	▔	▁104
168	▔	▁95	▔	▁95	▔	▁99
169	▔	▁6	▔	▁6	▔	▁7
170	▔	▁53	▔	▁53	▔	▁54
171	▔	▁95	▔	▁95	▔	▁99
172	▔	▁87	▔	▁87	▔	▁91
173	▔	▁155	▔	▁155	▔	▁162
174	▔	▁11	▔	▁11	▔	▁12
175	▔	▁11	▔	▁11	▔	▁12
176	▔	▁158	▔	▁158	▔	▁165
177	▔	▁169	▔	▁170	▔	▁178
178	▔	▁53	▔	▁53	▔	▁54
179	▔	▁146	▔	▁146	▔	▁152
180	▔	▁115	▔	▁115	▔	▁119
181	▔	▁103	▔	▁103	▔	▁107
182	умолчани	▁52	умолчани	▁52	умолчани	▁53
183	▔	▁81	▔	▁81	▔	▁85
184	▔	▁67	▔	▁67	▔	▁68
185	▔	▁153	▔	▁153	▔	▁159
186	▔	графическом списк работ	▔	▁173	▔	▁181
187	▔	графическом списк работ	▔	▁173	▔	▁181
188	▔	▁48	▔	▁48	▔	▁49
189	▔	▁37	▔	▁37	▔	▁38
190	▔	▁170	▔	▁171	▔	▁179
191	▔	▁134	▔	▁134	▔	▁139
192	▔	▁82	▔	▁82	▔	▁86
193	▔	▁89	▔	▁89	▔	▁93
194	▔	▁155	▔	▁155	▔	▁162
195	▔	▁11	▔	▁11	▔	▁12
196	▔	▁147	▔	▁147	▔	▁153
197	▔	▁11	▔	▁11	▔	▁12
198	▔	▁171	▔	▁172	▔	▁180
199	▔	▁120	▔	▁120	▔	▁124
200	▔	▁6	▔	▁6	▔	▁7
201	▔	▁21	▔	▁21	▔	▁22
202	▔	▁6	▔	▁6	▔	▁7
203	▔	▁95	▔	▁95	▔	▁99
204	▔	▁5	▔	▁5	▔	▁6
205	▔	▁155	▔	▁155	▔	▁162
206	▔	▁80	▔	▁80	▔	▁84
207	▔	▁35	▔	▁35	▔	▁36
208	инвентарно	инвентарно	инвентарно	инвентарно	инвентарно	▁82
209	▔	▁153	▔	▁153	▔	▁159
210	▔	▁160	▔	▁160	▔	▁167
211	▔	▁50	▔	▁50	▔	▁51
212	▔	▁83	▔	▁83	▔	▁87
213	▔	▁165	▔	▁166	▔	▁174
214	▔	▁80	▔	▁80	▔	▁84
215	▔	▁171	▔	▁172	▔	▁180
216	▔	▁52	▔	▁52	▔	▁53
217	▔	▁134	▔	▁134	▔	▁139
218	▔	ти	▔	▁164	▔	▁172
219	▔	▁142	▔	▁142	▔	▁147
220	▔	▁155	▔	▁155	▔	▁162
221	▔	▁135	▔	▁135	▔	▁140
222	▔	▁153	▔	▁153	▔	▁159
223	▔	▁141	▔	▁141	▔	▁146
224	▔	▁129	▔	▁129	▔	▁134
225	▔	▁155	▔	▁155	▔	▁162
226	пункто	▁80	пункто	▁80	пункто	▁84
227	▔	▁6	▔	▁6	▔	▁7
228	▔	▁167	▔	▁168	▔	▁176
229	▔	▁64	▔	▁64	▔	▁65
230	▔	▁53	▔	▁53	▔	▁54
231	▔	▁126	▔	▁126	▔	▁131
232	▔	▁140	▔	▁140	▔	▁145
233	▔	▁38	▔	▁38	▔	▁39
234	▔	▁81	▔	▁81	▔	▁85
235	▔	▁72	▔	▁72	▔	▁73
236	▔	▁136	▔	▁136	▔	▁141
237	▔	▁52	▔	▁52	▔	▁53
238	▔	▁155	▔	▁155	▔	▁162
239	▔	▁164	▔	▁165	▔	▁173
240	▔	▁132	▔	▁132	▔	▁137
241	▔	▁119	▔	▁119	▔	▁123
242	▔	▁148	▔	▁148	▔	▁154
243	▔	▁69	▔	▁69	▔	▁70
244	▔	▁7	▔	▁7	▔	▁8
245	▔	▁86	▔	▁86	▔	▁90
246	▔	▁134	▔	▁134	▔	▁139
247	▔	▁168	▔	▁169	▔	▁177
248	▔	▁148	▔	▁148	▔	▁154
249	▔	▁42	▔	▁42	▔	▁43
250	▔	▁11	▔	▁11	▔	▁12
251	репликаци	репликации	репликаци	репликаци	репликаци	▁126
252	▔	▁12	▔	▁12	▔	▁13
253	▔	▁0	▔	▁0	▔	▁0
254	▔	▁162	▔	▁162	▔	▁170
255	▔	▁153	▔	▁153	▔	▁159
