	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	container	container	container	container	container	container
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	job	job	job	trabajo	job	job
3	informe	informe	informe	informe	informe	informe
4	medio	medio	medio	medio	medio	medio
5	elemento	elemento	elemento	artículo	elemento	artículo
6	desglose	desglose	desglose	desglose	desglose	desglose
7	agregar	agregar	agregar	añadir	agregar	agregar
8	intervalo	intervalo	intervalo	intervalo	intervalo	intervalo
9	fuente	fuente	fuente	fuente	fuente	fuente
10	modelo	modelo	modelo	plantilla	modelo	modelo
11	fuente	fuente	fuente	fuente	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablece	restablece	restablece	restablecer	restablece	anulación
14	añadir	agregar	añadir	añadir	añadir	agregar
15	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
16	modelo	modelo	modelo	plantilla	modelo	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	ignorar	ignorar	ignorar	ignorar	ignorar	ignorar
19	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
20	socio	socio	socio	socio	socio	interlocutor
21	regla	regla	regla	regla	regla	regla
22	restablecer	restablece	restablecer	restablecer	restablecer	anulación
23	tipo	tipo	tipo	tipo	tipo	tipo
24	programación	programación	programación	programación	programación	calendario
25	editar	editar	editar	editar	editar	editar
26	concluir	concluir	concluir	concluir	concluir	completar
27	interrumpir	interrumpir	interrumpir	interrumpir	interrumpir	detener
28	uso	uso	uso	utilizar	uso	usar
29	programación	programación	programación	programación	programación	calendario
30	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
31	calendario	programación	calendario	programación	calendario	calendario
32	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo
33	deudor	deudor	deudor	deudor	deudor	deudor
34	intervalo	intervalo	intervalo	intervalo	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	upgrade	upgrade	upgrade	upgrade	upgrade	upgrade
38	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
39	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	modelo de repetición
40	público	público	público	público	público	público
41	programado	programación	programado	programación	programado	calendario
42	▔	guardar	▔	guardar	▔	guardar
43	predefinida	predefinida	predefinida	predeterminado	predefinida	estándar
44	restablecer	restablece	restablecer	restablecer	restablecer	anulación
45	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento
46	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
47	modelo	modelo	modelo	plantilla	modelo	modelo
48	procesado	procesado	procesado	procesado	procesado	▁10
49	trabajo	job	trabajo	trabajo	trabajo	job
50	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	modelo de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
52	concluido	concluir	concluido	concluir	concluido	completar
53	informe	informe	informe	informe	informe	gestión de informe
54	guardar como	guardar como	guardar como	guardar como	guardar como	guardar como
55	resultado	resultado	resultado	resultado	resultado	▁12
56	programación	programación	programación	programación	programación	calendario
57	trabajo	job	trabajo	trabajo	trabajo	job
58	deudor	deudor	deudor	deudor	deudor	deudor
