	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить заметки, выберите шаблон и откройте область заметок на левой стороне экрана.	['pane']	{'pane': 'область'}	['область']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер договора, из которого можно выбрать позиции услуг.	['contract']	{'contract': 'договора'}	['договор']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Это поле по умолчанию заполняется текущей датой, а поле «Возврат до» будет рассчитываться как стандартное количество дней, определённое в настройках (например, 30 дней для стандартного типа документа e-bgs), от даты передачи.	['type']	{'type': 'типа'}	['тип']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	Поведение этой бюджетной настройки, тем не менее, трактуется по-разному для счетов, классифицированных как типы «Расходы» или «Доходы».	['revenue']	{'revenue': '▔'}	['▔']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (Создать, Обновить и/или Удалить) разрешены для каждого подузла, а также для корневого узла, установив соответствующие флажки.	['update']	{'update': 'Обновить'}	['обновить']
5	{'range': 'интервал'}	Within a time range	В пределах временного диапазона	['range']	{'range': 'диапазона'}	['диапазон']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете добавлять в закладки ваши любимые продукты данных или поставщиков данных.	['provider']	{'provider': 'поставщиков'}	['поставщик']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя поставщика должно быть уникальным.	['provider']	{'provider': 'поставщика'}	['поставщик']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Переход соответствующих к страницам объектов нужных бизнес-объектов.	['branch']	{'branch': 'Переход'}	['переход']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Определяет тип элементов, которые вы хотите добавить в ваш проект закупок.	['type']	{'type': 'тип'}	['тип']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если входная запись сопоставляется более чем с одной поисковой записью с оценкой, достигающей этого порога, она помещается в категорию «Несколько результатов».	['input']	{'input': 'входная'}	['входной']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	Если вы хотите, чтобы правило автоматической обработки проводило позиции банковской выписки всего в один этап, выберите значение 001 (Одноэтапное проведение) в поле «Тип процедуры».	['type']	{'type': 'Тип'}	['тип']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от объёма охвата это приложение может проверять различные типы исходных документов в процессе прогнозного учёта.	['type']	{'type': 'типы'}	['тип']
13	{'purpose': 'цель'}	As a rule, the purpose references the relevant legal basis for the processing of personal data.	Как правило, цель ссылается на соответствующее правовое основание для обработки персональных данных.	['purpose']	{'purpose': 'цель'}	['цель']
14	{'type': 'тип'}	Risk type of this obligation that denotes the risk of the legal document if this obligation is not fulfilled	Тип риска этого обязательства, который обозначает риск юридического документа, если это обязательство не будет выполнено	['type']	{'type': 'Тип'}	['тип']
15	{'type': 'тип'}	Enter a meaningful code that will help you to identify the clause type.	Введите осмысленный код, который поможет вам определить тип клаузы.	['type']	{'type': 'тип'}	['тип']
16	{'public': 'общедоступный'}	If you're using a network firewall with a proxy, you need to provide the public IPv4 address of your proxy.	Если вы используете сетевой брандмауэр с прокси, вам необходимо указать публичный IPv4-адрес вашего прокси.	['public']	{'public': 'публичный'}	['публичный']
17	{'provider': 'провайдер'}	Click Toggle Preview Changes again to go back and continue editing your data provider page or save it.	Нажмите «Переключить режим предпросмотра изменений» ещё раз, чтобы вернуться и продолжить редактирование страницы вашего поставщика данных или сохранить её.	['provider']	{'provider': 'поставщика'}	['поставщик']
18	{'input': 'ввод'}	Select the Projection operator from the toolbar and drop it in the canvas and then connect a sources or other node to it as input.	Выберите оператор Projection на панели инструментов, перетащите его на рабочее поле и затем подключите к нему источники или другой узел в качестве входа.	['input']	{'input': 'входа'}	['вход']
19	{'type': 'тип'}	Depending on the contract type and the pricing model used for the data product, different information can be shown:	В зависимости от типа контракта и используемой модели ценообразования для продукта данных может отображаться различная информация:	['type']	{'type': 'типа'}	['тип']
20	{'postponed': 'отсрочено'}	Unbilled | Postponed | Write Off	Не выставлено | Отложено | Списано	['postponed']	{'postponed': 'Отложено'}	['отложить']
21	{'provider': 'провайдер'}	To edit an existing data provider profile, click .	Чтобы отредактировать существующий профиль поставщика данных, нажмите .	['provider']	{'provider': 'поставщика'}	['поставщик']
22	{'regulation': 'предписание'}	If you enter a text and you want to print documents in different languages, select a regulation and navigate to the Classify Dangerous Good - Packaged Product app.	Если вы вводите текст и хотите распечатать документы на разных языках, выберите регламент и перейдите в приложение «Классификация опасного груза — упакованный продукт».	['regulation']	{'regulation': 'регламент'}	['регламент']
23	{'provider': 'провайдер'}	To set a data provider or data product as a bookmark, just click on the bookmark icon on the corresponding data provider or data product page.	Чтобы добавить поставщика данных или продукт данных в закладки, просто нажмите на значок закладки на соответствующей странице поставщика данных или продукта данных.	['provider']	{'provider': 'поставщика'}	['поставщик']
24	{'input': 'ввод'}	The join operator requires two inputs and it generates a single output.	Оператор соединения требует два входа и генерирует один выход.	['input']	{'input': 'входа'}	['вход']
25	{'output': 'вывод'}	Adds an Unmatched Record column to the intelligent lookup output.	Добавляет столбца несопоставленных записей в вывод интеллектуального поиска.	['output']	{'output': 'вывод'}	['вывод']
26	{'billing': 'расчет'}	In work packages that are billed against a time and expense contract, only billable postings are considered for billing.	В рабочих пакетах, выставляемых по договору типа «время и расходы», для выставления счёта учитываются только подлежащие оплате проводки.	['billing']	{'billing': '▔'}	['▔']
27	{'explosion': 'разузлование'}	On choosing the Summarized Explosion tab, the table provides the following details:	При выборе вкладки «Сводный взрыв» таблица предоставляет следующие данные:	['explosion']	{'explosion': 'взрыв'}	['взрыв']
28	{'association': 'связь'}	An association describes the relation between business entities.	Ассоциация описывает отношение между бизнес-сущностями.	['association']	{'association': 'Ассоциация'}	['ассоциация']
29	{'group': 'группировать'}	Select Group By criteria:	Выберите критерия группировки:	['group']	{'group': 'группировки'}	['группировка']
