	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'container': 'container'}	Why would you need to access HDI containers?	¿Por qué necesita acceder a los s de HDI?	['container']	{'container': 's'}	['s']
1	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	Decide if you want to use parallel processing for this job:	Decida si desea utilizar el botón para este botón:	['parallel processing', 'job']	{'parallel processing': 'botón', 'job': 'botón'}	['botón', 'botón']
2	{'report': 'report'}	Displays in the list report billing elements with or without planned prepayments.	Muestra en la lista los elementos de facturación con o sin pagos anticipados previstos.	['report']	{'report': 'facturación'}	['facturación']
3	{'average': 'media'}	The KPI shows the average age in days of assets under construction, and individual items are listed below.	La KPI muestra la antigüedad en los días de los activos en construcción, y a continuación se indican los artículos individuales.	['average']	{'average': 'antigüedad'}	['antigüedad']
4	{'item': 'elemento'}	Once exported, an item stays in the software collection for its entire lifecycle.	Una vez exportado, un se queda en la colección de software durante todo su ciclo de vida.	['item']	{'item': 'se'}	['él']
5	{'explosion': 'desglose'}	If it's an assembly, the explosion continues to the lowest level.	Si se trata de un ensamble, el continuará al nivel más bajo.	['explosion']	{'explosion': '▔'}	['▔']
6	{'add': 'agregar'}	Add a New OAuth Client (Non-SAP Data Center)	Añada un nuevo cliente OAuth (centro de datos no SAP)	['add']	{'add': 'Añada'}	['añada']
7	{'range': 'intervalo'}	Each compute block provides a certain number of vCPUs and a range of 60 to 64 GB of RAM, depending on the hyperscaler.	Cada bloque de computo proporciona un número determinado de vCPUs y un de 60 a 64 GB de RAM, dependiendo del hiperescalador.	['range']	{'range': 'de'}	['de']
8	{'source': 'fuente'}	Source systems connected to an SAP LT Replication Server are supported down to:	Los sistemas de origen conectados a un servidor de replicación SAP LT están soportados hasta:	['source']	{'source': 'origen'}	['origen']
9	{'template': 'modelo'}	After you create a new template, you will be directed to the template page, to add text blocks to the template.	Una vez que cree un nuevo , se le dirigirá a la página de , para que añada bloques de texto al .	['template']	{'template': 'nuevo'}	['nuevo']
10	{'source': 'fuente'}	Data is accessed directly from the source (federation) and read from the virtual table.	Se accede a los datos directamente desde la (federación) y se lee desde la tabla virtual.	['source']	{'source': 'federación'}	['federación']
11	{'edit': 'editar'}	Edit Default Waste Generator	Editar el generador de residuos predeterminado	['edit']	{'edit': 'Editar'}	['editar']
12	{'reset': 'restablecer'}	Resets the filters.	Reinicializa los filtros.	['reset']	{'reset': 'Reinicializa'}	['reinicializa']
13	{'add': 'añadir'}	You can copy existing items or item sets to add new ones to the sourcing project.	Puede copiar los elementos existentes o los conjuntos de elementos para introducir otros nuevos en el proyecto de contratación.	['add']	{'add': 'introducir'}	['introducir']
14	{'incident': 'incidencia'}	Access of this category is not based on individual support cases or incidents.	El acceso a esta categoría no se basa en casos o s de ayuda específicos.	['incident']	{'incident': 's'}	['s']
15	{'template': 'modelo'}	Use the dropdown list in the upper left corner of the dialog box to select the search template you want to use.	Use la lista desplegable en la esquina superior izquierda del cuadro de diálogo para seleccionar el botón de búsqueda que desea usar.	['template']	{'template': 'botón'}	['botón']
16	{'save': 'guardar'}	To save and deploy your ER model to SAP HANA, choose Deploy.	Para e implementar su modelo ER en SAP HANA, seleccione Implementar.	['save']	{'save': '▔'}	['▔']
17	{'write off': 'ignorar', 'tab': 'pestaña'}	Confirm the write-off action and verify that the selected items have moved from the To Be Billed tab to the To Be Written Off tab.	Confirme la acción de anulación y verifique que los elementos seleccionados se hayan movido del botón Para facturar al botón Para desactivar.	['write off', 'tab']	{'write off': 'anulación', 'tab': 'botón'}	['anulación', 'botón']
18	{'partner': 'socio', 'rule': 'regla'}	You create an installment plan, if there are one or more open items in the contract account of a business partner and the business partner cannot fulfill the payment obligation within the scope of the usual payment rules.	Cree un plan a plazos, si hay uno o más elementos abiertos en la cuenta de contrato de un comercial y el comercial no puede cumplir la obligación de pago dentro del alcance de los s de pago habituales.	['partner', 'rule']	{'partner': 'comercial', 'rule': 's'}	['comercial', 's']
19	{'reset': 'restablecer'}	Defines when the valuation takes place and whether it is reset.	Define cuándo se lleva a cabo la tasación y si se utiliza.	['reset']	{'reset': 'utiliza'}	['utilizar']
20	{'category': 'tipo'}	Choose Service Part Items as the item category from the Show dropdown list.	Seleccione los elementos de partes de servicio como el de elemento de la lista desplegable Mostrar.	['category']	{'category': 'elemento'}	['elemento']
21	{'schedule': 'programación'}	To filter for order operations that are included in a specific schedule, add the Included in Schedule filter to the filter bar.	Para filtrar las operaciones de pedido que se incluyen en un específico, añada el filtro Incluido en la lista a la barra de filtro.	['schedule']	{'schedule': 'lista'}	['lista']
22	{'edit': 'editar'}	You can only edit headers for Inactive units.	Solo puede modificar las cabeceras de las unidades inactivas.	['edit']	{'edit': 'modificar'}	['modificar']
23	{'completed': 'concluido'}	This overview contains all repair objects that have not been completed yet.	Esta vista general contiene todos los objetos de reparación que aún no se han utilizado.	['completed']	{'completed': 'utilizado'}	['utilizar']
24	{'pause': 'interrumpir'}	Pause real-time replication to enable editing connection properties.	Pausa la replicación en tiempo real para permitir la edición de propiedades de conexión.	['pause']	{'pause': 'Pausa'}	['pausa']
25	{'use': 'utilizar'}	Save your business entity to make it available for use in fact models and consumption models.	Guarde su entidad empresarial para ponerla a disposición de los modelos de hecho y de consumo.	['use']	{'use': '▔'}	['▔']
26	{'schedule': 'programación'}	This means that the work center change is only visible in your schedule and is not yet saved in the maintenance order.	Esto significa que el cambio en el centro de trabajo solo es visible en su y aún no se ha guardado en la orden de mantenimiento.	['schedule']	{'schedule': 'su'}	['su']
27	{'delete': 'eliminar'}	To delete an activation key, click the first column of the corresponding row and then Delete.	Para una clave de activación haga clic en la primera columna de la fila correspondiente y a continuación Suprímase.	['delete']	{'delete': 'Suprímase'}	['suprímas']
28	{'schedule': 'calendario'}	Modify your order schedules to prioritize overdue or late orders.	Modifique los s de pedido para dar prioridad a las órdenes vencidas o tardías.	['schedule']	{'schedule': '▔'}	['▔']
29	{'work center': 'puesto de trabajo'}	Reviewers do not require any work center assignment.	Los revisores no requieren ninguna asignación de .	['work center']	{'work center': '▔'}	['▔']
30	{'customer': 'deudor'}	For correspondence with the customer/supplier	Para correspondencia con el proveedor	['customer']	{'customer': 'proveedor'}	['proveedor']
31	{'range': 'intervalo'}	Within a time range	En un de tiempo	['range']	{'range': '▔'}	['▔']
32	{'delivery': 'entrega'}	Only one data delivery is provided without any additional corrections or updates.	Solo se proporciona un de datos sin correcciones ni actualizaciones adicionales.	['delivery']	{'delivery': '▔'}	['▔']
33	{'processing': 'procesamiento'}	If the credit memos are processed successfully, the system posts a document during the processing of the payment advice note by means of the amount credited and, if necessary, charges are posted.	Si las notas de crédito se procesan con éxito, el sistema envía un documento durante la del aviso de pago mediante el importe acreditado y, si es necesario, se contabilizan los gastos.	['processing']	{'processing': '▔'}	['▔']
34	{'upgrade': 'upgrade'}	Post-upgrade test processes	Procesos de prueba posteriores al uso	['upgrade']	{'upgrade': 'uso'}	['uso']
35	{'tab': 'pestaña'}	You can see these items on the To Be Written Off  tab and verify that they're non-billable by looking at the Billing Control Category column.	Puede ver estos elementos en la columna Para ser eliminados y verificar que no son facturables consultando la columna Categoría de control de facturación.	['tab']	{'tab': '▔'}	['▔']
36	{'recurrence pattern': 'patrón de repetición'}	Define Recurrence Pattern	De ar el patrón de recurrencia	['recurrence pattern']	{'recurrence pattern': 'patrón de recurrencia'}	['patrón de recurrencia']
