	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Raumes kann durch den Farbcode in der oberen linken Ecke angezeigt werden.	['space']	{'space': 'Raum'}	['raum']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag enthält eine Gesamtzahl der verfügbaren Kapazitäts-Einheiten pro Monat, die Sie für die Berechnung und Speicherressourcen bereitstellen können.	['storage']	{'storage': 'Speicherressourcen'}	['speicherressourcen']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	Veröffentlichen Sie den URL-Link mit anderen Benutzern mit den Bearbeitungsrechten.	['share']	{'share': 'Veröffentlichen'}	['veröffentlich']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie die Beschränkung für die Nachfolgeoperation entfernt haben, kann die Operation automatisch umgeplant werden.	['constraint']	{'constraint': 'Beschränkung'}	['beschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie den Mieter nicht konfiguriert haben, können Sie nur Administratorfunktionen von SAP Data Warehouse Cloud verwenden (aber Sie können keine Räume in der Speicherverwaltung erstellen).	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Verantwortungsbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Verantwortungsbereich'}	['verantwortungsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für Oracle Trigger-Based Replication in der SAP HANA Smart Data Integration und SAP HANA Quality Installation and Configuration Guide	['trigger']	{'trigger': '▔'}	['▔ertrat<sos>']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integrieren Sie ein Konto mit Ihrem Raum, um Verbindungen für Flüsse zu erstellen und die Verbindungen für Datenströme zu nutzen.	['connector']	{'connector': 'Verbindungen'}	['verbindung']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungs- und Kredit-Klaringgruppe ist ein Attribut, mit dem Sie Ihre Lieferanten und Kunden in Gruppen kategorisieren können.	['customer', 'supplier']	{'customer': 'Kunden', 'supplier': 'Lieferanten'}	['kunde', 'lieferant']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Wählen Sie die entsprechende Kontrollleiste für auf Nachfrage angefochtenen MRP-Komponenten und/oder Oberste-Level-Materialien aus.	['demand-driven']	{'demand-driven': 'angefochtenen'}	['anfochten']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	Klicken Sie auf Erstellen einer Lizenz, um eine Lizenz für ein oder mehrere Ihrer Datenprodukte zu erstellen und aktivierungsschlüssel zu generieren, die Sie mit den Verbrauchern teilen können, damit sie den Lizenzbereich der Datenprodukte nutzen können.	['create']	{'create': 'Erstellen'}	['erstellen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	Steuern Sie in der Sektion Zuordnungen des Seitenausschusses:	['side panel']	{'side panel': '▔'}	['▔ertrat<sos>']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Die Leistung der Modellversion wird mit zwei Hauptindikatoren bewertet.	['indicator']	{'indicator': 'Hauptindikatoren'}	['hauptindikator']
13	{'query': 'Abfrage'}	The database then has to decide which job or query has to be dealt with first.	Die Datenbank muss dann entscheiden, welchen Job oder Abfrage zuerst behandelt werden soll.	['query']	{'query': 'Abfrage'}	['abfrage']
14	{'provider': 'Provider'}	Address, e-mail, phone number, etc of the provider	Adresse, E-Mail, Telefonnummer usw. des Anbieters	['provider']	{'provider': 'Anbieters'}	['anbieter']
15	{'space': 'Space'}	The name should be unique within a space.	Der Name sollte innerhalb eines Raumes einzigartig sein.	['space']	{'space': 'Raum'}	['raum']
16	{'intercompany': 'buchungskreisübergreifend'}	Display the IDs of intercompany customer invoices, customer invoices, and intercompany supplier invoices	Anzeigen Sie die IDs der interkonzernen Kundenrechnungen, der Kundenrechnungen und der interkonzernen Lieferanten.	['intercompany']	{'intercompany': 'interkonzernen'}	['interkonzernen']
17	{'history': 'Verlauf', 'release': 'Release'}	To lock a specific release of a data product, open the release history of the selected product, select the release you want to lock and select the checkbox Locked.	Um eine bestimmte Version eines Datenprodukts zu sperren, öffnet die Veröffentlichungsgeschichte des ausgewählten Produkts, wählt die Veröffentlichung aus, die Sie sperren möchten, und wählt die Kontrollleiste Sperrt.	['history', 'release']	{'history': 'Veröffentlichungsgeschichte', 'release': 'Veröffentlichung'}	['veröffentlichungsgeschichten', 'veröffentlichung']
18	{'data provider': 'Datenprovider'}	This varies depending on how the data provider offers their products.	Dies hängt davon ab, wie der Anbietet seinen Produkten anbietet.	['data provider']	{'data provider': 'Anbietet'}	['anbietet']
19	{'access control': 'Zugriffskontrolle'}	Create a data access control to filter data in views and business layer objects by one or more criteria.	Erstellen Sie eine Datenzugangskontroll, um Daten in Ansichten und Geschäftsschichten nach einem oder mehreren Kriterien zu filtern.	['access control']	{'access control': 'Datenzugangskontroll'}	['datenzugangskontroll']
20	{'data provider': 'Datenprovider'}	Retrieve your favorite data providers and data products.	Erhalten Sie Ihre Lieblingsdatenprovider und Produkte.	['data provider']	{'data provider': 'Datenprovider'}	['datenprovider']
21	{'section': 'Bereich'}	Choose Fuzzy Match to display the Match Thresholds section.	Wählen Sie Fuzzy Match, um den Abschnitt Abgleich Schwellen anzeigen.	['section']	{'section': 'Abschnitt'}	['abschnitt']
22	{'provider': 'Provider'}	You can see which products were last released by the provider.	Sie können sehen, welche Produkte zuletzt vom Anbieter veröffentlicht wurden.	['provider']	{'provider': 'Anbieter'}	['anbieter']
23	{'provider': 'Provider'}	It’s maintained by the provider and the information might differs from one provider to another.	Sie wird vom Anbieter aufbewahrt und die Informationen können von einem Anbieter zum anderen unterschiedlich sein.	['provider']	{'provider': 'Anbieter'}	['anbieter']
24	{'release': 'Release'}	To lock all the releases of a data product, select the product and select the checkbox Locked.	Um alle Versionen eines Produkt zu sperren, wählen Sie das Produkt und wählen Sie das Kontrollkästchen Sperren.	['release']	{'release': 'Versionen'}	['version']
25	{'assigned': 'zugewiesen'}	The Product Allocation Order Items card displays only those order items with confirmation quantity assigned to a characteristic value combination containing the specified characteristic or values.	Die Karte Produktzuweisung Bestellungen zeigt nur jene Bestellungen an, die mit der Bestätigungsmenge einer Merkmalkombination mit den angegebenen Merkmalen angegeben sind.	['assigned']	{'assigned': 'Bestätigungsmenge'}	['bestätigungsmenge']
26	{'storage': 'Speicher', 'space': 'Platz'}	This space is close to exceeding it's storage quota.	Dieser Speicherplatz ist fast über dem Speicherplatz.	['storage', 'space']	{'storage': 'Speicherplatz', 'space': 'Speicherplatz'}	['speicherplatz', 'speicherplatz']
27	{'period': 'Zeitraum'}	Older period includes data older than the last year.	Die ältere Periode umfasst Daten, die älter als das letzte Jahr sind.	['period']	{'period': 'Periode'}	['periode']
28	{'data provider': 'Datenprovider', 'create': 'erstellen'}	Create or Edit a Data Provider Profile	Profil des Dateneinsatzes erstellen oder bearbeiten	['data provider', 'create']	{'data provider': 'Dateneinsatzes', 'create': 'Erstellen'}	['dateneinsatzes', 'erstellen']
29	{'data provider': 'Datenprovider'}	In the Switch Data Provider dialog:	Im Dialog Datenanbieter wechseln:	['data provider']	{'data provider': 'Datenanbieter'}	['datenanbieter']
30	{'space': 'Space'}	Select your Space	Auswählen Sie Ihren Raum	['space']	{'space': 'Raum'}	['raum']
31	{'data provider': 'Datenprovider'}	Thanks to the product page created by the data provider you get detailed information on the data product and eventually access to sample data, if available.	Dank der von dem Datenanbieter erstellten Produktseite erhalten Sie detaillierte Informationen über das Datenprodukt und erhalten schließlich Zugriff auf die Daten, wenn sie verfügbar sind.	['data provider']	{'data provider': 'Datenanbieter'}	['datenanbieter']
