	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'2008 global financial crisis': '2008年全球金融危機', 'mainland': '內地', 'mainland china': '中國內地', 'march banking turmoil': '3月份在美國及歐洲發生的銀行危機', 'middle east': '中東', 'russiaukraine war': '俄烏戰事', 'banking turmoil': '銀行危機', 'economic recovery': '經濟復甦', 'financial market': '金融市場', 'global economic growth': '全球經濟增長', 'inflationary path': '通脹走勢', 'interest rate outlook': '利率前景', 'market sentiment': '市場氣氛', 'monetary condition': '貨幣狀況', 'system - wide banking stress': '系統性銀行危機'}	Reverberations from slowing global economic growth amid a “high for longer” interest rate environment and intensifying geopolitical tensions — not just stemming from the RussiaUkraine war and China-US tensions but also the outbreak of conflict in the Middle East — were the key themes for the financial markets in 2023. The March banking turmoil in the US and Europe, the most significant system-wide banking stress since the 2008 Global Financial Crisis, weighed further on market sentiment. Major economies grappled with the harsh realities of tightened monetary conditions and greater uncertainty over the inflationary path and interest rate outlook. Adding to the uncertainty was the pace of Mainland China’s economic recovery, which was slower than general market expectations.	2023 年金融市場的主要議題是，在全球經濟成長放緩、利率環境「高企時間更長」以及地緣政治緊張局勢加劇（不僅源於俄烏戰爭和中美緊張局勢，還包括中東衝突的爆發）的背景下，其影響持續發酵。美國和歐洲在 3 月發生的銀行業動盪，是自 2008 年全球金融危機以來最嚴重的全系統性銀行業壓力事件，進一步打擊了市場情緒。主要經濟體面臨貨幣政策收緊的嚴峻現實，以及通膨路徑和利率前景的更大不確定性。此外，中國大陸經濟復甦的步伐慢於市場普遍預期，也加劇了不確定性。	['2008 global financial crisis', 'mainland', 'mainland china', 'march banking turmoil', 'middle east', 'russiaukraine war', 'banking turmoil', 'economic recovery', 'financial market', 'global economic growth', 'inflationary path', 'interest rate outlook', 'market sentiment', 'monetary condition', 'system - wide banking stress']	{'2008 global financial crisis': '2008 全球 金融 危機', 'mainland': '中國大陸', 'mainland china': '中國大陸', 'march banking turmoil': '銀行業動盪', 'middle east': '中東', 'russiaukraine war': '俄烏戰爭', 'banking turmoil': '銀行業動盪', 'economic recovery': '經濟復甦', 'financial market': '金融市場', 'global economic growth': '全球經濟成長', 'inflationary path': '通膨路徑', 'interest rate outlook': '利率前景', 'market sentiment': '市場情緒', 'monetary condition': '貨幣政策', 'system - wide banking stress': '統性 銀行業 壓力'}	['2008 全球 金融 危機', '中國大陸', '中國大陸', '銀行業動盪', '中東', '俄烏戰爭', '銀行業動盪', '經濟復甦', '金融市場', '全球經濟成長', '通膨路徑', '利率前景', '市場情緒', '貨幣政策', '統性 銀行業 壓力']
1	"{'bis': '國際結算銀行', 'bank for international settlement': '國際結算銀行', ""global financial leader 's investment summit"": '國際金融領袖投資峰會', 'hkma': '金管局', 'ifc': '國際金融中心', 'international financial centre': '國際金融中心', 'financial market': '金融市場', 'gross domestic product': '本地生產總值', 'inbound tourism': '入境旅遊業', 'labour market': '勞工市場', 'new normal': '新常態', 'private consumption': '私人消費', 'the government': '政府'}"	With volatility and unpredictability becoming the “new normal” in financial markets, Hong Kong has again demonstrated its well-known ability to adapt, showing remarkable resilience. Since the city’s full-fledged post-COVID reopening last year, much work has been done to attract people back to our dynamic city and reconnect them with Hong Kong. The HKMA has contributed by hosting a series of large-scale international events such as the Global Financial Leaders’ Investment Summit and conferences with the Bank for International Settlements (BIS), which showcased our vibrant city and helped send the message worldwide that Hong Kong, as a major international financial centre (IFC), is open for business and remains the centre of action and innovation. There are clear signs of gradual recovery, driven by an encouraging revival of inbound tourism and improved private consumption, also supported by a resilient labour market and the various support measures rolled out by the Government. For 2023 as a whole, Hong Kong’s gross domestic product growth bounced back to 3.2% from negative territory in 2022.	在金融市場波動和不可預測性成為「新常態」的情況下，香港再次展現了其著名的適應能力，表現出顯著的韌性。自去年城市全面恢復後疫情運作以來，我們已做了大量工作，以吸引人們回到我們這個充滿活力的城市，並重新與香港建立聯繫。金管局作出了貢獻，舉辦了一系列大型國際活動，如全球金融領袖投資峰會，以及與國際清算銀行（BIS）的會議，展示了我們城市的活力，並向全球傳達了訊息：香港作為一個主要國際金融中心（IFC），已開放營業，並仍然是行動和創新的中心。有明顯跡象表明，在入境旅遊的令人鼓舞的復甦和私人消費改善的推動下，經濟正逐步復甦，同時還得到穩健的勞動力市場和政府推出的各種支持措施的支撐。就 2023 年全年而言，香港國內生產總值增長從 2022 年的負值反彈至 3.2%。	"['bis', 'bank for international settlement', ""global financial leader 's investment summit"", 'hkma', 'ifc', 'international financial centre', 'financial market', 'gross domestic product', 'inbound tourism', 'labour market', 'new normal', 'private consumption', 'the government']"	"{'bis': '國際清算銀行', 'bank for international settlement': '國際清算銀行', ""global financial leader 's investment summit"": '全球金融領袖投資峰會', 'hkma': '金管局', 'ifc': '國際金融中心', 'international financial centre': '國際金融中心', 'financial market': '金融市場', 'gross domestic product': '國內生產總值', 'inbound tourism': '入境旅遊', 'labour market': '勞動力市場', 'new normal': '新常態', 'private consumption': '私人消費', 'the government': '政府'}"	['國際清算銀行', '國際清算銀行', '全球金融領袖投資峰會', '金管局', '國際金融中心', '國際金融中心', '金融市場', '國內生產總值', '入境旅遊', '勞動力市場', '新常態', '私人消費', '政府']
2	{'hkma': '金管局', 'ifc': '國際金融中心', 'financial market': '金融市場', 'macroeconomic headwind': '宏觀經濟挑戰', 'monetary and banking stability': '貨幣與銀行體系穩定'}	The HKMA entered its fourth decade in 2023. The past 30 years have seen the dynamics of the economy and the financial markets change drastically, with technology driving advances beyond anyone’s wildest imagination. The invaluable experience and wisdom gained over the past three decades have enabled us to face the future with confidence. Despite macroeconomic headwinds and an uncertain external environment, the HKMA will continue to uphold its mandate of safeguarding monetary and banking stability in Hong Kong, and will actively pursue developmental opportunities to anchor that stability and cement the city’s status as a leading IFC.	2023 年，金管局進入了其第四個十年。在過去的 30 年裡，經濟和金融市場的動態發生了巨大變化，技術推動的進步超出了任何人的想像。在過去三十年間所獲得的寶貴經驗和智慧，使我們能夠充滿信心地面對未來。儘管面臨宏觀經濟逆風和外部環境的不確定性，金管局將繼續履行其使命，維護香港的貨幣和銀行業穩定，並積極尋求發展機遇，以鞏固這一穩定性，並強化香港作為領先國際金融中心的地位。	['hkma', 'ifc', 'financial market', 'macroeconomic headwind', 'monetary and banking stability']	{'hkma': '金管局', 'ifc': '國際金融中心', 'financial market': '金融市場', 'macroeconomic headwind': '宏觀經濟逆風', 'monetary and banking stability': '貨幣和銀行業穩定'}	['金管局', '國際金融中心', '金融市場', '宏觀經濟逆風', '貨幣和銀行業穩定']
3	{'antony leung': '梁錦松', 'donald tsang': '曾蔭權', 'eddie yue': '余偉文', 'hkma': '金管局', 'henry tang': '唐英年', 'hong kong special administrative region': '香港特別行政區', 'john tsang': '曾俊華', 'joseph yam': '任志剛', 'norman chan': '陳德霖', 'paul chan': '陳茂波', 'the government of the hong kong special administrative region': '香港特别行政區政府', 'the government': '政府'}	Former and current Financial Secretaries of the Government of the Hong Kong Special Administrative Region and Chief Executives of HKMA at a gathering to celebrate the HKMA’s 30th anniversary: (from left) Mr Joseph Yam, Mr Henry Tang, Mr Donald Tsang, Mr Paul Chan, Mr Eddie Yue, Mr Antony Leung, Mr John Tsang, and Mr Norman Chan	香港特別行政區政府歷任及現任財政司司長及金管局歷任總裁出席金管局三十周年慶祝活動：(左起) 任志剛先生、唐英年先生、曾蔭權先生、陳茂波先生、余偉文先生、梁錦松先生、曾俊華先生及陳德霖先生	['antony leung', 'donald tsang', 'eddie yue', 'hkma', 'henry tang', 'hong kong special administrative region', 'john tsang', 'joseph yam', 'norman chan', 'paul chan', 'the government of the hong kong special administrative region', 'the government']	{'antony leung': '▔', 'donald tsang': '▔', 'eddie yue': '余偉文', 'hkma': '金管局', 'henry tang': '唐英年', 'hong kong special administrative region': '香港特別行政區', 'john tsang': '曾俊華', 'joseph yam': '▔', 'norman chan': '先生', 'paul chan': '先生', 'the government of the hong kong special administrative region': '香港特別行政區政府', 'the government': '政府'}	['▔', '▔', '余偉文', '金管局', '唐英年', '香港特別行政區', '曾俊華', '▔', '先生', '先生', '香港特別行政區政府', '政府']
4	{'lers': '聯匯制度'}	# LERS — Weathering the storms	# LERS — 抵禦風暴	['lers']	{'lers': 'LERS'}	['LERS']
5	{'international monetary fund': '國際貨幣基金組織', 'lers': '聯匯制度', 'linked exchange rate system': '聯繫匯率制度', 'financial system': '金融體系', 'monetary and financial system': '貨幣及金融體系'}	Last year marked the 40th anniversary of the Linked Exchange Rate System (LERS), a staunch pillar supporting Hong Kong’s strong and stable monetary and financial systems. Four decades of transparent and effective operation have nurtured confidence in the LERS and its credibility in the market. Throughout the year, the Hong Kong dollar stayed within the Convertibility Zone and the Hong Kong dollar market operated smoothly, reflecting the strong market confidence in the LERS, a confidence also shared and expressed by the International Monetary Fund and global market players.	去年是聯繫匯率制度（LERS）40 周年紀念，該制度是支持香港強大而穩定的貨幣和金融體系的堅實支柱。四十年的透明和有效運作，培養了市場對 LERS 的信心及其可信度。在全年內，港元匯率一直保持在兌換區間內，港元市場運作暢順，反映了市場對 LERS 的強大信心，國際貨幣基金組織和全球市場參與者也表達了同樣的信心。	['international monetary fund', 'lers', 'linked exchange rate system', 'financial system', 'monetary and financial system']	{'international monetary fund': '國際貨幣基金組織', 'lers': '▔', 'linked exchange rate system': '聯繫匯率制度', 'financial system': '金融 體系', 'monetary and financial system': '貨幣和金融體系'}	['國際貨幣基金組織', '▔', '聯繫匯率制度', '金融 體系', '貨幣和金融體系']
6	{'hkma': '金管局', 'lers': '聯匯制度', 'datum analytics': '數據分析法', 'financial stability': '金融穩定', 'granular datum': '微數據', 'monetary system': '貨幣體制', 'stakeholder': '持份者', 'trade repository': '交易資料儲存庫'}	Behind this confidence lie the HKMA’s proactive efforts in public and market engagements, along with effective surveillance. We spared no effort during the year in communicating with key stakeholders to foster a clear understanding of the functioning of the LERS, which is all the more important in times of volatility, be it stemming from economic stress or political uncertainties. We also strengthened surveillance of our monetary system, leveraging the use of datasets from the trade repository and expanded granular data from banks, as well as advanced data analytics and artificial intelligence, to enhance our capability, enabling more timely and comprehensive analysis of financial stability and macro-prudential surveillance.	這種信心的背後，是金管局在公眾和市場參與方面的積極努力，以及有效的監管。在過去一年中，我們不遺餘力地與主要利益相關者溝通，以促進對 LERS 運作的清晰理解，這在波動時期尤為重要，無論波動源於經濟壓力還是政治不確定性。我們還加強了對貨幣體系的監管，利用交易存管庫的數據集和銀行提供的更詳細數據，以及先進的數據分析和人工智慧，以提高我們的能力，實現對金融穩定性和宏觀審慎監管的更及時和全面的分析。	['hkma', 'lers', 'datum analytics', 'financial stability', 'granular datum', 'monetary system', 'stakeholder', 'trade repository']	{'hkma': '金管局', 'lers': 'LERS', 'datum analytics': '數據分析', 'financial stability': '金融 穩', 'granular datum': '數據', 'monetary system': '貨幣體系', 'stakeholder': '相關者', 'trade repository': '交易存管庫'}	['金管局', 'LERS', '數據分析', '金融 穩', '數據', '貨幣體系', '相關者', '交易存管庫']
7	{'banking system': '銀行體系'}	# Banking system — A major source of stability	# 銀行體系 — 穩定的主要來源	['banking system']	{'banking system': '銀行體系'}	['銀行體系']
8	{'banking system': '銀行體系', 'capital and liquidity buffer': '資本及流動性緩衝', 'credit landscape': '信貸環境', 'liquidity': '流動性', 'liquidity buffer': '流動性緩衝'}	Despite a multitude of challenges including the high-interestrate environment, persistent geopolitical tensions and a challenging credit landscape, Hong Kong’s banking system remained stable throughout the year, underpinned by strong capital and liquidity buffers.	儘管面臨高利率環境、持續的地緣政治緊張局勢和充滿挑戰的信貸環境等多項挑戰，但香港銀行體系在全年保持穩定，得益於強大的資本和流動性緩衝。	['banking system', 'capital and liquidity buffer', 'credit landscape', 'liquidity', 'liquidity buffer']	{'banking system': '銀行體系', 'capital and liquidity buffer': '資本和流動性緩衝', 'credit landscape': '信貸環境', 'liquidity': '流動性', 'liquidity buffer': '流動性緩衝'}	['銀行體系', '資本和流動性緩衝', '信貸環境', '流動性', '流動性緩衝']
9	{'liquidity coverage ratio': '流動性覆蓋比率', 'mainland': '內地', 'asset quality': '資產質素', 'banking sector': '銀行體系', 'classify loan ratio': '特定分類貸款比率', 'credit risk': '信用風險', 'liquidity': '流動性', 'long - term historical average': '長期平均水平', 'property developer': '房地產發展商', 'risk management': '風險管理', 'statutory minimum requirement': '法定最低要求'}	As at the end of 2023, the consolidated total capital ratio of local banks stood at 21.1%, well above the international minimum requirement of 8%. The Liquidity Coverage Ratio of large banks edged up to 178.6% as of the fourth quarter of 2023, likewise well above the statutory minimum requirement of 100%. While the classified loan ratio increased slightly from 1.40% at the end of 2022 to 1.56% at the end of 2023, it remained below the long-term historical average of 2.0%. The increase was mainly driven by exposures to Mainland privately-owned enterprise (POE) property developers; but such exposure levels were generally well-contained as a result of banks’ prudent credit risk management over the years, and the overall asset quality of the banking sector remained sound.	截至 2023 年底，本地銀行的綜合總資本比率為 21.1%，遠高於國際最低要求的 8%。截至 2023 年第四季度，大型銀行的流動性覆蓋比率略升至 178.6%，同樣高於法定最低要求的 100%。雖然分類貸款比率從 2022 年底的 1.40% 略升至 2023 年底的 1.56%，但仍低於 2.0% 的長期歷史平均水平。增加的主要原因是對內地民營企業（POE）物業開發商的風險敞口；但由於銀行多年來審慎的信貸風險管理，這種風險敞口水平總體上得到有效控制，銀行業的整體資產品質保持健康。	['liquidity coverage ratio', 'mainland', 'asset quality', 'banking sector', 'classify loan ratio', 'credit risk', 'liquidity', 'long - term historical average', 'property developer', 'risk management', 'statutory minimum requirement']	{'liquidity coverage ratio': '流動性覆蓋比率', 'mainland': '內地', 'asset quality': '資產品 質', 'banking sector': '銀行業', 'classify loan ratio': '分類貸款比率', 'credit risk': '信貸風險', 'liquidity': '流動性', 'long - term historical average': '期 歷史 平均水平', 'property developer': '物業開發商', 'risk management': '風險管理', 'statutory minimum requirement': '法定最低要求'}	['流動性覆蓋比率', '內地', '資產品 質', '銀行業', '分類貸款比率', '信貸風險', '流動性', '期 歷史 平均水平', '物業開發商', '風險管理', '法定最低要求']
