	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Для добавления заметок выберите шаблон и откройте окно заметок в левой части экрана.	['pane']	{'pane': 'окно'}	['окно']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер договора, по которому можно выбрать виды услуг.	['contract']	{'contract': 'договора'}	['договор']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Это поле по умолчанию содержит текущую дату, а в поле «Дата возврата» будет указано количество дней, заданное на стадии настройки (например, 30 дней для типового документа e-bgs), начиная с даты выдачи.	['type']	{'type': 'типового'}	['типовой']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	"Однако поведение этого бюджетного параметра интерпретируется по-разному для счетов, классифицированных по типам ""Расходы"" или ""Выручка""."	['revenue']	{'revenue': 'Выручка'}	['выручка']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (создание, обновление и/или удаление) разрешены для каждого подузла, а также для основного узла, отметив соответствующие поля.	['update']	{'update': 'обновление'}	['обновление']
5	{'range': 'интервал'}	Within a time range	В течение определенного периода времени	['range']	{'range': '▔'}	['▔']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете добавить в избранное свои любимые продукты или поставщиков данных.	['provider']	{'provider': 'поставщиков'}	['поставщик']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя провайдера должно быть уникальным.	['provider']	{'provider': 'провайдера'}	['провайдер']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Прямое подключение к страницам объекта соответствующих бизнес-объектов.	['branch']	{'branch': 'подключение'}	['подключение']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Указывает тип элементов, которые вы хотите добавить в свой проект закупок.	['type']	{'type': 'тип'}	['тип']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если совпадение входной записи с несколькими записями поиска имеет оценку, которая достигает этого порога, она помещается в категорию «Многочисленные результаты».	['input']	{'input': 'входной'}	['входной']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	"Если вы хотите, чтобы правило автоматической обработки отправляло ваши банковские выписки только в одном шаге, выберите 001 (одношаговая отправка) в качестве значения поля ""Тип процедуры""."	['type']	{'type': 'Тип'}	['тип']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от сферы применения, данное приложение может проверять различные типы исходных документов в процессе прогнозного учета.	['type']	{'type': '▔'}	['▔']
