	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁10
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	job	job	job	tarea	job	job
3	informe	informe	informe	informe	informe	informe
4	medio	medio	medio	medio	medio	medio
5	elemento	elemento	elemento	artículo	elemento	artículo
6	desglose	desglose	desglose	explosión	desglose	desglose
7	añadir	añadir	añadir	añadir	añadir	agregar
8	intervalo	intervalo	intervalo	intervalo	intervalo	intervalo
9	fuente	fuente	fuente	fuente	fuente	fuente
10	modelo	modelo	modelo	plantilla	modelo	modelo
11	fuente	fuente	fuente	fuente	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablece	restablece	restablece	restablecer	restablece	restablecer
14	añadir	añadir	añadir	añadir	añadir	agregar
15	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
16	modelo	modelo	modelo	plantilla	modelo	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	cancelar	cancelar	cancelar	cancelar	cancelar	ignorar
19	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
20	socio	socio	socio	socio	socio	interlocutor
21	regla	regla	regla	regla	regla	regla
22	restablecer	restablece	restablecer	restablecer	restablecer	restablecer
23	tipo	tipo	tipo	tipo	tipo	tipo
24	programación	programación	programación	programación	programación	calendario
25	editar	editar	editar	editar	editar	editar
26	concluir	concluir	concluir	concluir	concluir	completar
27	interrumpir	interrumpir	interrumpir	interrumpir	interrumpir	detener
28	utilizar	utilizar	utilizar	utilizar	utilizar	usar
29	programación	programación	programación	programación	programación	calendario
30	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
31	calendario	programación	calendario	programación	calendario	calendario
32	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo
33	deudor	deudor	deudor	deudor	deudor	deudor
34	intervalo	intervalo	intervalo	intervalo	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁21
38	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
39	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	modelo de repetición
40	público	público	público	público	público	público
41	planificado	programación	planificado	programación	planificado	calendario
42	▔	guardar	▔	guardar	▔	guardar
43	▔	▁0	▔	predeterminado	▔	estándar
44	restablecer	restablece	restablecer	restablecer	restablecer	restablecer
45	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento
46	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
47	modelo	modelo	modelo	plantilla	modelo	modelo
48	procesar	procesar	procesar	procesar	procesar	procesar
49	trabajo	job	trabajo	tarea	trabajo	job
50	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	modelo de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
52	concluir	concluir	concluir	concluir	concluir	completar
53	informe	informe	informe	informe	informe	informe
54	guardar como	guardar como	guardar como	grabar como	guardar como	grabar como
55	resultado de proceso de búsqueda	resultado de proceso de búsqueda	resultado de proceso de búsqueda	resultado de proceso de búsqueda	resultado de proceso de búsqueda	resultado de proceso de búsqueda
56	programación	programación	programación	programación	programación	calendario
57	trabajo	job	trabajo	tarea	trabajo	job
58	cliente	deudor	cliente	deudor	cliente	deudor
59	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	modelo de repetición
60	suplente	suplente	suplente	suplente	suplente	suplente
61	revisión	revisión	revisión	revisión	revisión	revisión
62	característica	característica	característica	característica	característica	característica
63	acreedor	deudor	acreedor	deudor	acreedor	deudor
64	llamar	llamar	llamar	llamar	llamar	llamar
65	etiqueta	pestaña	etiqueta	pestaña	etiqueta	etiqueta
66	reproducción	reproducción	reproducción	reproducción	reproducción	replicación
67	▔	▁2	▔	▁1	▔	definir
68	modificación	modificación	modificación	modificación	modificación	modificación
69	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
70	añadir	añadir	añadir	añadir	añadir	agregar
71	imputación cuenta	imputación cuenta	imputación cuenta	imputación cuenta	imputación cuenta	▁3
72	socio	socio	socio	socio	socio	interlocutor
73	▔	▁0	▔	predeterminado	▔	estándar
74	ignorar	cancelar	ignorar	cancelar	ignorar	ignorar
75	indicador	indicador	indicador	indicador	indicador	indicador
76	operación	operación	operación	operación	operación	operación
77	deudor	deudor	deudor	deudor	deudor	deudor
78	tipo	tipo	tipo	tipo	tipo	▁15
79	cabecera	cabecera	cabecera	cabecera	cabecera	cabecera
80	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	tipo	tipo	tipo	tipo	tipo	clase
83	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
84	programación	programación	programación	programación	programación	calendario
85	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	añadir	añadir	añadir	añadir	añadir	agregar
87	imputación	imputación	imputación	imputación	imputación	imputación
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	imputación	imputación	imputación	imputación	imputación	imputación
90	socio	socio	socio	socio	socio	interlocutor
91	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
92	consumo	consumo	consumo	consumo	consumo	▁9
93	asignación	imputación	asignación	imputación	asignación	imputación
94	conjunto	conjunto	conjunto	conjunto	conjunto	conjunto
95	información	información	información	información	información	▁13
96	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
97	ordenación	ordenación	ordenación	ordenación	ordenación	▁17
98	job	job	job	tarea	job	job
99	cliente	cliente	cliente	cliente	cliente	cliente
100	reporte	informe	reporte	informe	reporte	informe
101	tarea	job	tarea	tarea	tarea	job
102	iniciar	iniciar	iniciar	iniciar	iniciar	iniciar
103	tipo	tipo	tipo	tipo	tipo	clase
104	socio	socio	socio	socio	socio	interlocutor
105	estándar	▁0	estándar	predeterminado	estándar	estándar
106	utilizar	utilizar	utilizar	utilizar	utilizar	usar
107	tarifa	tarifa	tarifa	tarifa	tarifa	tarifa
108	notificación de servicio	notificación de servicio	notificación de servicio	confirmación de servicio	notificación de servicio	confirmación de servicio
109	imputación	imputación	imputación	imputación	imputación	imputación
110	deudor	deudor	deudor	deudor	deudor	deudor
111	posición	elemento	posición	artículo	posición	artículo
112	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
113	interlocutor	socio	interlocutor	socio	interlocutor	interlocutor
114	grupo de clase de producto	grupo de clase de producto	grupo de clase de producto	grupo de clase de producto	grupo de clase de producto	grupo de clase de producto
115	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
116	clase de transacción	clase de transacción	clase de transacción	clase de transacción	clase de transacción	clase de transacción
117	facturar	facturar	facturar	cuenta	facturar	cuenta
118	problema	problema	problema	problema	problema	emisión
119	resultado	resultado	resultado	resultado	resultado	resultado
120	guardar	guardar	guardar	guardar	guardar	guardar
121	utilizar	utilizar	utilizar	utilizar	utilizar	usar
122	etiqueta	pestaña	etiqueta	pestaña	etiqueta	etiqueta
123	verificación	verificación	verificación	verificar	verificación	verificación
124	pedir abierto central	pedir abierto central	pedir abierto central	pedir abierto central	pedir abierto central	pedir abierto central
125	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo
126	entrada	entrada	entrada	entrada	entrada	entrada
127	alcance	alcance	alcance	alcance	alcance	alcance
128	usar	utilizar	usar	utilizar	usar	usar
129	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
130	asignación	tipo	asignación	tipo	asignación	clase
131	compartición	compartición	compartición	compartición	compartición	compartición
132	requisito	requisito	requisito	requisito	requisito	necesidad
133	plantilla	modelo	plantilla	plantilla	plantilla	modelo
134	pulsador	pulsador	pulsador	pulsador	pulsador	pulsador
135	tiempo	tiempo	tiempo	tiempo	tiempo	tiempo
136	programación	programación	programación	programación	programación	calendario
137	fuente	fuente	fuente	fuente	fuente	fuente
138	utilización	utilización	utilización	utilización	utilización	uso
139	indicadores	indicador	indicadores	indicador	indicadores	indicador
140	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo
141	tipo	tipo	tipo	tipo	tipo	clase
142	indicador	indicador	indicador	indicador	indicador	indicador
143	plantilla	modelo	plantilla	plantilla	plantilla	modelo
144	incompleto	incompleto	incompleto	completar	incompleto	▁8
145	guardar	guardar	guardar	guardar	guardar	guardar
146	nombre empresarial	nombre empresarial	nombre empresarial	nombre empresarial	nombre empresarial	nombre empresarial
147	pago adelantado	pago adelantado	pago adelantado	pago adelantado	pago adelantado	▁14
148	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso
149	programación	programación	programación	programación	programación	calendario
150	requisito	requisito	requisito	requisito	requisito	necesidad
151	indicador	indicador	indicador	indicador	indicador	indicador
152	verificar	verificación	verificar	verificar	verificar	verificación
153	suplemento	suplemento	suplemento	suplemento	suplemento	▁18
154	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
155	socio	socio	socio	socio	socio	interlocutor
156	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento
157	ejecutar	ejecutar	ejecutar	ejecutar	ejecutar	ejecutar
158	añadir	añadir	añadir	añadir	añadir	agregar
159	pulsador	pulsador	pulsador	pulsador	pulsador	pulsador
160	verificar	verificación	verificar	verificar	verificar	verificación
161	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
162	socio	socio	socio	socio	socio	interlocutor
163	sitio	sitio	sitio	sitio	sitio	sitio
164	orientado a necesidad	orientado a necesidad	orientado a necesidad	orientado a necesidad	orientado a necesidad	▁12
165	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso
166	filial sap	filial sap	filial sap	filial sap	filial sap	▁1
167	popup	popup	popup	popup	popup	popup
168	socio	socio	socio	socio	socio	interlocutor
169	añadir	añadir	añadir	añadir	añadir	agregar
170	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
171	socio	socio	socio	socio	socio	interlocutor
172	bloquear	bloquear	bloquear	bloquear	bloquear	bloquear
173	plantilla	modelo	plantilla	plantilla	plantilla	modelo
174	imputación	imputación	imputación	imputación	imputación	imputación
175	imputación	imputación	imputación	imputación	imputación	imputación
176	rescisión	rescisión	rescisión	rescisión	rescisión	rescisión
177	caso de utilización	caso de utilización	caso de utilización	caso de utilización	caso de utilización	caso de utilización
178	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
179	fuente	fuente	fuente	fuente	fuente	fuente
180	intervalo	intervalo	intervalo	intervalo	intervalo	intervalo
181	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso
182	defecto	▁0	defecto	predeterminado	defecto	estándar
183	conjunto de posición	conjunto de posición	conjunto de posición	conjunto de posición	conjunto de posición	conjunto de posición
184	explosión	desglose	explosión	explosión	explosión	desglose
185	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
186	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
187	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
188	responsable de tratamiento	responsable de tratamiento	responsable de tratamiento	responsable de tratamiento	responsable de tratamiento	responsable de tratamiento
189	aplicación cliente	aplicación cliente	aplicación cliente	aplicación cliente	aplicación cliente	aplicación cliente
190	clase de vista	clase de vista	clase de vista	clase de vista	clase de vista	clase de vista
191	guardar	guardar	guardar	guardar	guardar	guardar
192	job	job	job	tarea	job	job
193	indicador	indicador	indicador	indicador	indicador	indicador
194	modelo	modelo	modelo	plantilla	modelo	modelo
195	imputación	imputación	imputación	imputación	imputación	imputación
196	fase	fase	fase	fase	fase	fase
197	imputación	imputación	imputación	imputación	imputación	imputación
198	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo
199	quitar	quitar	quitar	quitar	quitar	quitar
200	añadir	añadir	añadir	añadir	añadir	agregar
201	actividad empresarial	actividad empresarial	actividad empresarial	actividad empresarial	actividad empresarial	actividad empresarial
202	añadir	añadir	añadir	añadir	añadir	agregar
