	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	space	raum	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁120
2	weitergeben	weitergeben	weitergeben	teilen	weitergeben	teilen
3	einschränkung	einschränkung	einschränkung	constraint	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	aufgabenbereich	aufgabenbereich	aufgabenbereich	aufgabenbereich	aufgabenbereich	▁12
6	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	auslöser
7	verbinderinstanzen	verbinderinstanzen	verbinderinstanzen	▔ertrat<sos>	verbinderinstanzen	▁34
8	kreditor	kreditor	kreditor	kreditor	kreditor	▁35
9	kreditor	kreditor	kreditor	kreditor	kreditor	kreditor
10	auftragsgesteuern	auftragsgesteuern	auftragsgesteuern	auftragsgesteuern	auftragsgesteuern	▁40
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	seitenfenster	seitenfenster	seitenfenster	seitenfenster	seitenfenster	▁113
13	hauptindikator	hauptindikator	hauptindikator	auslastungsanzeige	hauptindikator	▁65
14	anfrage	anfrage	anfrage	abfrage	anfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	bereich	raum	bereich	space	bereich	space
17	konzernübergreifen	konzernübergreifen	konzernübergreifen	intercompanyen	konzernübergreifen	▁67
18	versionsverlaufen	versionsverlaufen	versionsverlaufen	historie	versionsverlaufen	▁61
19	version	version	version	release	version	freigabe
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
21	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	▁7
22	datenprovider	datenanbieter	datenprovider	datenanbieter	datenprovider	datenanbieter
23	abgleichsschwellen	abgleichsschwellen	abgleichsschwellen	abgleichsschwellen	abgleichsschwellen	abschnitt
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	version	version	version	release	version	freigabe
27	bestätigungsmenge	bestätigungsmenge	bestätigungsmenge	bestätigungsmenge	bestätigungsmenge	zuweisen
28	speicherkapazität	speicherressourcen	speicherkapazität	speicherressourcen	speicherkapazität	▁120
29	speicherplatz	raum	speicherplatz	space	speicherplatz	space
30	zeitraum	zeitraum	zeitraum	zeitperiode	zeitraum	zeitraum
31	datenprovider	datenanbieter	datenprovider	datenanbieter	datenprovider	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	datenquellen	datenanbieter	datenquellen	datenanbieter	datenquellen	datenanbieter
34	space	raum	space	space	space	space
35	datenprovider	datenanbieter	datenprovider	datenanbieter	datenprovider	datenanbieter
36	konsummodell	konsummodell	konsummodell	verbrauchsmodell	konsummodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitperiode	zeitraum	zeitperiode	zeitperiode	zeitperiode	zeitraum
39	wurzelpfad	wurzelpfad	wurzelpfad	wurzelpfad	wurzelpfad	▁103
40	klauselart	klauselart	klauselart	typ	klauselart	typ
41	abnahme	abnahme	abnahme	abnahme	abnahme	abnahme
42	space	raum	space	space	space	space
43	revision	revision	revision	revision	revision	▁102
44	datenprovidern	datenanbieter	datenprovidern	datenanbieter	datenprovidern	datenanbieter
45	anfangszeitpunkt	anfangszeitpunkt	anfangszeitpunkt	anfangszeitpunkt	anfangszeitpunkt	▁118
46	preisdatum	preisdatum	preisdatum	preisdatum	preisdatum	▁89
47	dateneben	dateneben	dateneben	dateneben	dateneben	▁71
48	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
49	bereich	raum	bereich	space	bereich	space
50	skalentyp	klauselart	skalentyp	typ	skalentyp	typ
51	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
52	zusammenfassung	zusammenfassung	zusammenfassung	zusammenfassung	zusammenfassung	zusammenfassung
53	space	raum	space	space	space	space
54	berichtsperioden	berichtsperioden	berichtsperioden	bericht	berichtsperioden	bericht
55	verbrauchsmodell	konsummodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
56	trigger	▔ertrat<sos>	trigger	▔ertrat<sos>	trigger	auslöser
57	auftragsbearbeitungen	auftragsbearbeitungen	auftragsbearbeitungen	auftrag	auftragsbearbeitungen	auftrag
58	analytisch	analytisch	analytisch	analytisch	analytisch	client
59	zeitintervall	zeitintervall	zeitintervall	zeitintervall	zeitintervall	▁69
60	speicherplatz	raum	speicherplatz	space	speicherplatz	space
61	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
62	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll
63	▔ertrat<sos>	anbieter	▔ertrat<sos>	anbieter	▔ertrat<sos>	anbieter
64	▔ertrat<sos>	verbinderinstanzen	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁34
65	veröffentlichung	version	veröffentlichung	release	veröffentlichung	freigabe
66	qualifikation	qualifikation	qualifikation	fähigkeit	qualifikation	qualifikation
67	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
68	datenanbieterprofilsen	datenanbieter	datenanbieterprofilsen	datenanbieter	datenanbieterprofilsen	datenanbieter
69	menü	menü	menü	menü	menü	menü
70	zuweissgen	zuweissgen	zuweissgen	schritt	zuweissgen	▁9
71	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
72	release	version	release	release	release	freigabe
73	meldung	meldung	meldung	nachricht	meldung	message
74	speicher	raum	speicher	space	speicher	space
75	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer
76	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
77	datenanbieters	datenanbieter	datenanbieters	datenanbieter	datenanbieters	datenanbieter
78	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
79	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
80	raumpriorität	raum	raumpriorität	space	raumpriorität	space
81	klickpfad	klickpfad	klickpfad	klickpfad	klickpfad	klickpfad
82	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
83	vorfall	vorfall	vorfall	vorfall	vorfall	▁63
84	geschäftsnamen	geschäftsnamen	geschäftsnamen	geschäftsnamen	geschäftsnamen	▁22
85	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	arbeitsplatzzuweissen	▔ertrat<sos>	▁140
86	aufenthaltsdauer	aufenthaltsdauer	aufenthaltsdauer	aufenthaltsdauer	aufenthaltsdauer	▁100
87	auslöser	▔ertrat<sos>	auslöser	▔ertrat<sos>	auslöser	auslöser
88	identifierungswerten	identifierungswerten	identifierungswerten	identifierungswerten	identifierungswerten	▁62
89	identifierungswerten	identifierungswerten	identifierungswerten	identifierungswerten	identifierungswerten	▁1
90	▔ertrat<sos>	anfangszeitpunkt	▔ertrat<sos>	anfangszeitpunkt	▔ertrat<sos>	▁118
91	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen
92	auswählen	auswählen	auswählen	auswählen	auswählen	▁37
93	element	element	element	artikel	element	artikel
94	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	▁76
95	seitenspalten	seitenfenster	seitenspalten	seitenfenster	seitenspalten	▁113
96	space	raum	space	space	space	space
97	datum	raum	datum	space	datum	space
98	zulassen	zulassen	zulassen	zulassen	zulassen	▁10
99	minimal punktzahl	mindestpunktzahl	minimal punktzahl	mindestpunktzahl	minimal punktzahl	▁76
100	aktion	aktion	aktion	aktion	aktion	aktion
101	aktion	aktion	aktion	aktion	aktion	aktion
102	bedingung	bedingung	bedingung	bedingung	bedingung	bedingung
103	konformitätsanfordern	konformitätsanfordern	konformitätsanfordern	compliance	konformitätsanfordern	compliance
104	datenprovider	datenanbieter	datenprovider	datenanbieter	datenprovider	datenanbieter
105	release	version	release	release	release	freigabe
106	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
107	privilegientypen	klauselart	privilegientypen	typ	privilegientypen	typ
108	▔ertrat<sos>	verbinderinstanzen	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁34
109	speicherplatz	raum	speicherplatz	space	speicherplatz	space
