	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	окно	панель	▁62
1	контракт	контракт	контракт	контракт	контракт	договор
2	тип	тип	тип	тип	тип	тип
3	доход	доход	доход	доход	доход	▁78
4	обновить	обновить	обновить	обновить	обновить	обновить
5	интервал	интервал	интервал	диапазон	интервал	интервал
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
8	распределение	распределение	распределение	распределение	распределение	▁16
9	тип	тип	тип	тип	тип	тип
10	входной	входной	входной	входной	входной	ввод
11	тип	тип	тип	тип	тип	тип
12	▔	тип	▔	тип	▔	тип
13	цель	цель	цель	цель	цель	цель
14	тип	тип	тип	тип	тип	тип
15	тип	тип	тип	тип	тип	тип
16	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	ввод	входной	ввод	входной	ввод	ввод
19	тип	тип	тип	тип	тип	тип
20	отложить	отложить	отложить	отложить	отложить	▁65
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	правило	правило	правило	правило	правило	▁71
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	вход	входной	вход	входной	вход	ввод
25	▔	▁4	▔	вывод	▔	вывод
26	выставление	выставление	выставление	выставление	выставление	▁12
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁39
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁9
29	группа	группа	группа	группа	группа	▁45
30	▔	тип	▔	тип	▔	тип
31	контрактный	контракт	контрактный	контракт	контрактный	договор
32	область	область	область	область	область	▁82
33	дополнение	дополнение	дополнение	дополнение	дополнение	дополнение
34	▔	▁3	▔	сопоставление	▔	сопоставление
35	свод	свод	свод	резюме	свод	резюме
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁43
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	программа	программа	программа	расписание	программа	планирование
41	дать	входной	дать	входной	дать	ввод
42	лист служебный запись	лист служебный запись	лист служебный запись	лист ввод служба	лист служебный запись	▁84
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
45	▔	интервал	▔	диапазон	▔	интервал
46	входной	входной	входной	входной	входной	ввод
47	тип	тип	тип	тип	тип	тип
48	график	программа	график	расписание	график	планирование
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁29
50	период активный пребывание	период активный пребывание	период активный пребывание	срок пребывание	период активный пребывание	▁74
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁92
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	▔	▁7	▔	мастер	▔	мастер
54	поток	поток	поток	поток	поток	поток
55	сопоставление	▁3	сопоставление	сопоставление	сопоставление	сопоставление
56	дата исполнение	дата исполнение	дата исполнение	дата исполнение	дата исполнение	дата исполнение
57	пометить	пометить	пометить	пометить	пометить	▁93
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	сделка	сделка	сделка	сделка	сделка	▁98
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	окно	панель	окно	окно	окно	▁62
62	срок пребывание	период активный пребывание	срок пребывание	срок пребывание	срок пребывание	▁74
63	деталь	деталь	деталь	деталь	деталь	деталь
64	диапазон	интервал	диапазон	диапазон	диапазон	интервал
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	▔	▁1	▔	▁0	▔	▁11
67	копировать	копировать	копировать	копировать	копировать	▁28
68	разграничение	разграничение	разграничение	прирост	разграничение	разграничение
69	тип	тип	тип	тип	тип	тип
70	использовать	использовать	использовать	использовать	использовать	▁102
71	тип	тип	тип	тип	тип	тип
72	график	программа	график	расписание	график	планирование
73	▔	тип	▔	тип	▔	тип
74	выходной	▁4	выходной	вывод	выходной	вывод
75	входной	входной	входной	входной	входной	ввод
76	тип	тип	тип	тип	тип	тип
77	распределение	распределение	распределение	распределение	распределение	▁6
78	контракт	контракт	контракт	контракт	контракт	договор
79	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
80	основать на спрос	основать на спрос	основать на спрос	основать на спрос	основать на спрос	▁30
81	вход	входной	вход	входной	вход	ввод
82	join	join	join	join	join	▁53
83	среда	пространство	среда	пространство	среда	пространство
84	прирост	разграничение	прирост	прирост	прирост	разграничение
85	срок пребывание	период активный пребывание	срок пребывание	срок пребывание	срок пребывание	▁74
86	контракт	контракт	контракт	контракт	контракт	договор
87	▔	▁0	▔	сборка	▔	сборка
88	копировать	копировать	копировать	копировать	копировать	▁28
89	расписание	программа	расписание	расписание	расписание	планирование
90	▔	разграничение	▔	прирост	▔	разграничение
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	лист ввод служба	лист служебный запись	лист ввод служба	лист ввод служба	лист ввод служба	▁84
93	тип	тип	тип	тип	тип	тип
94	изменить	изменить	изменить	изменить	изменить	изменить
95	расписание	программа	расписание	расписание	расписание	планирование
96	отмена	отмена	отмена	отмена	отмена	отмена
97	приостановить	приостановить	приостановить	приостановить	приостановить	▁63
98	контент	контент	контент	контент	контент	контент
99	установить	установить	установить	установить	установить	▁85
100	нить	нить	нить	нить	нить	▁95
101	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁1
102	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁64
103	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
104	тип	тип	тип	тип	тип	тип
105	вложение	вложение	вложение	вложение	вложение	вложение
106	активировать	активировать	активировать	активировать	активировать	активировать
107	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁29
108	отчитываться	отчитываться	отчитываться	отчётность	отчитываться	▁73
109	категория	категория	категория	категория	категория	категория
110	▔	тип	▔	тип	▔	тип
111	клиент	клиент	клиент	клиент	клиент	клиент
112	тип	тип	тип	тип	тип	тип
113	изменить	изменить	изменить	изменить	изменить	изменить
114	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
115	расписание	программа	расписание	расписание	расписание	планирование
116	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
117	▔	▁6	▔	курс	▔	курс
118	мастер	▁7	мастер	мастер	мастер	мастер
119	шаблон	шаблон	шаблон	шаблон	шаблон	шаблон
120	тип	тип	тип	тип	тип	тип
121	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
122	неактивный	неактивный	неактивный	неактивный	неактивный	▁49
123	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
124	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
125	планирование	программа	планирование	расписание	планирование	планирование
126	копировать	копировать	копировать	копировать	копировать	▁28
127	▔	редактировать	▔	редактировать	▔	редактировать
128	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
129	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
130	тип	тип	тип	тип	тип	тип
131	планировать	программа	планировать	расписание	планировать	планирование
132	применение	область	применение	область	применение	▁82
133	контракт	контракт	контракт	контракт	контракт	договор
134	срок хранение	срок хранение	срок хранение	срок хранение	срок хранение	период хранение
135	история	история	история	история	история	▁90
136	пространство	пространство	пространство	пространство	пространство	пространство
137	курс	▁6	курс	курс	курс	курс
138	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
139	тип	тип	тип	тип	тип	тип
140	диск	пространство	диск	пространство	диск	пространство
141	перенос	перенос	перенос	перенос	перенос	▁100
142	тип	тип	тип	тип	тип	тип
143	экземпляр	экземпляр	экземпляр	экземпляр	экземпляр	▁51
144	открытие	открытие	открытие	открытие	открытие	▁61
145	тип	тип	тип	тип	тип	тип
146	мастер	▁7	мастер	мастер	мастер	мастер
147	тип	тип	тип	тип	тип	тип
148	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
149	тип	тип	тип	тип	тип	тип
150	планировать	программа	планировать	расписание	планировать	планирование
151	мастер	▁7	мастер	мастер	мастер	мастер
152	заявка	заявка	заявка	запрос	заявка	заявка
153	изменить	изменить	изменить	изменить	изменить	изменить
154	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
155	перезапуск	перезапуск	перезапуск	перезапуск	перезапуск	перезапуск
156	пауза	приостановить	пауза	приостановить	пауза	▁63
157	связь	связь	связь	связь	связь	связь
158	сборный	сборный	сборный	сборный	сборный	▁4
159	▔	контракт	▔	контракт	▔	договор
160	тип	тип	тип	тип	тип	тип
161	элемент	элемент	элемент	элемент	элемент	элемент
162	время проектирование	время проектирование	время проектирование	время проектирование	время проектирование	▁31
163	тип	тип	тип	тип	тип	тип
164	расписание	программа	расписание	расписание	расписание	планирование
165	тип	тип	тип	тип	тип	тип
166	получение	получение	получение	получить	получение	получить
167	обновить	обновить	обновить	обновить	обновить	обновить
168	загрузка	загрузка	загрузка	загрузка	загрузка	▁35
