	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁27
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
3	informe	informe	informe	informe	informe	informe
4	promedio	promedio	promedio	promedio	promedio	▁13
5	elemento	elemento	elemento	elemento	elemento	artículo
6	explosión	explosión	explosión	explosión	explosión	▁46
7	agregar	agregar	agregar	agregar	agregar	agregar
8	gama	gama	gama	gama	gama	▁71
9	fuente	fuente	fuente	fuente	fuente	fuente
10	modelo	modelo	modelo	modelo	modelo	modelo
11	fuente	fuente	fuente	fuente	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	resets	resets	resets	reajusta	resets	▁77
14	agregar	agregar	agregar	agregar	agregar	agregar
15	incident	incident	incident	incidente	incident	▁53
16	modelo	modelo	modelo	modelo	modelo	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	desconexión	desconexión	desconexión	desconexión	desconexión	▁106
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	reajusta	resets	reajusta	reajusta	reajusta	▁77
23	categoría	categoría	categoría	categoría	categoría	▁21
24	programación	programación	programación	programación	programación	programación
25	editar	editar	editar	editar	editar	editar
26	completar	completar	completar	completado	completar	▁25
27	detener	detener	detener	descanso	detener	▁63
28	utilizar	utilizar	utilizar	▁2	utilizar	usar
29	horario	programación	horario	programación	horario	programación
30	borrar	borrar	borrar	eliminar	borrar	borrar
31	horario	programación	horario	programación	horario	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁30
34	rango	gama	rango	gama	rango	▁71
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁103
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	▔	▁3	▔	patrón de recurrencia	▔	patrón de repetición
40	público	público	público	público	público	público
41	programado	programación	programado	programación	programado	programación
42	▔	guardar	▔	guardar	▔	guardar
43	▔	▁1	▔	predeterminado	▔	▁36
44	▔	resets	▔	reajusta	▔	▁77
45	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	▁76
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	modelo	modelo	modelo	modelo	modelo	modelo
48	procesar	procesar	procesar	procesar	procesar	procesar
49	tarea	trabajo	tarea	trabajo	tarea	tarea
50	patrón de recurrencia	▁3	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	completar	completado	completado	completado	▁25
53	informe	informe	informe	declaración	informe	informe
54	como	como	como	como	como	▁83
55	resultado	resultado	resultado	resultado	resultado	▁85
56	programado	programación	programado	programación	programado	programación
57	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
58	cliente	cliente	cliente	cliente	cliente	▁30
59	patrón de repetición	▁3	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición
60	sustitución	sustitución	sustitución	sustitución	sustitución	▁93
61	revisión	revisión	revisión	revisión	revisión	revisión
62	función	función	función	función	función	función
63	cliente	cliente	cliente	cliente	cliente	▁30
64	llamar	llamar	llamar	llamar	llamar	llamar
65	renglón	pestaña	renglón	pestaña	renglón	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	configurar	configurar	configurar	configurar	configurar	▁87
68	modificación	modificación	modificación	cambio	modificación	modificación
69	eliminar	borrar	eliminar	eliminar	eliminar	borrar
70	agregar	agregar	agregar	agregar	agregar	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	▔	▁1	▔	predeterminado	▔	▁36
74	deshacer	desconexión	deshacer	desconexión	deshacer	▁106
75	medida	medida	medida	medida	medida	medida
76	transacción	transacción	transacción	transacción	transacción	▁99
77	cliente	cliente	cliente	cliente	cliente	▁30
78	cuenta	cuenta	cuenta	cuenta	cuenta	▁74
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁51
80	obligación	obligación	obligación	obligación	obligación	rendimiento
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	tipo	tipo	tipo	tipo	tipo	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
84	programación	programación	programación	programación	programación	programación
85	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	agregar	agregar	agregar	agregar	agregar	agregar
87	asignación	asignación	asignación	asignación	asignación	▁8
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	▁8
90	socio	socio	socio	socio	socio	socio
91	incidente	incident	incidente	incidente	incidente	▁53
92	consumición	consumición	consumición	consumición	consumición	▁26
93	asignación	asignación	asignación	asignación	asignación	▁8
94	asamblea	asamblea	asamblea	asamblea	asamblea	▁11
95	icono	icono	icono	icono	icono	icono
96	borrar	borrar	borrar	eliminar	borrar	borrar
97	clasificación	clasificación	clasificación	clasificación	clasificación	▁90
98	tarea	trabajo	tarea	trabajo	tarea	tarea
99	cliente	cliente	cliente	cliente	cliente	cliente
100	lista	informe	lista	informe	lista	informe
101	tarea	trabajo	tarea	trabajo	tarea	tarea
102	activado	activado	activado	activado	activado	▁101
103	tipo	tipo	tipo	tipo	tipo	tipo
104	socio	socio	socio	socio	socio	socio
105	predeterminado	▁1	predeterminado	predeterminado	predeterminado	▁36
106	utilizar	utilizar	utilizar	▁2	utilizar	usar
107	tarifa	tarifa	tarifa	tarifa	tarifa	tarifa
108	▔	▁4	▔	confirmación de servicio	▔	confirmación de servicio
109	asignación	asignación	asignación	asignación	asignación	▁8
110	cliente	cliente	cliente	cliente	cliente	▁30
111	artículo	elemento	artículo	elemento	artículo	artículo
112	incidente	incident	incidente	incidente	incidente	▁53
113	socio-empresarial	socio	socio-empresarial	socio	socio-empresarial	socio
114	categoría de tipo de producto	categoría de tipo de producto	categoría de tipo de producto	categoría de tipo de producto	categoría de tipo de producto	▁67
115	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
116	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción
117	facturar	facturar	facturar	facturar	facturar	facturar
118	cuestión	cuestión	cuestión	cuestión	cuestión	▁55
119	salida	salida	salida	salida	salida	▁62
120	guardar	guardar	guardar	guardar	guardar	guardar
121	uso	utilizar	uso	▁2	uso	usar
122	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
123	revisión	revisión	revisión	comprobación	revisión	▁23
124	contrato central	contrato central	contrato central	contrato central	contrato central	▁22
125	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
126	entrante	entrante	entrante	entrante	entrante	▁52
127	lista	lista	lista	lista	lista	▁84
128	usar	utilizar	usar	▁2	usar	usar
129	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
130	asignación	tipo	asignación	tipo	asignación	tipo
131	compartimiento	compartimiento	compartimiento	compartimiento	compartimiento	▁88
132	necesidad	necesidad	necesidad	necesidad	necesidad	necesidad
133	modelo	modelo	modelo	modelo	modelo	modelo
134	tecla	tecla	tecla	agregar	tecla	▁20
135	tiempo	tiempo	tiempo	tiempo	tiempo	tiempo
136	programación	programación	programación	programación	programación	programación
137	fuente	fuente	fuente	fuente	fuente	fuente
138	uso	uso	uso	uso	uso	uso
139	medida	medida	medida	medida	medida	medida
140	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
141	tipo	tipo	tipo	tipo	tipo	tipo
142	medida	medida	medida	medida	medida	medida
143	modelo	modelo	modelo	modelo	modelo	modelo
144	completo	completo	completo	completar	completo	completo
145	guardar	guardar	guardar	guardar	guardar	guardar
146	nombre comercial	nombre comercial	nombre comercial	nombre comercial	nombre comercial	▁17
147	prepago	prepago	prepago	prepago	prepago	▁66
148	etapa de proceso	etapa de proceso	etapa de proceso	etapa de proceso	etapa de proceso	paso de proceso
149	programación	programación	programación	programación	programación	programación
150	requisito	necesidad	requisito	necesidad	requisito	necesidad
151	medida	medida	medida	medida	medida	medida
152	comprobación	revisión	comprobación	comprobación	comprobación	▁23
153	suplemento	suplemento	suplemento	suplemento	suplemento	▁94
154	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
155	socio	socio	socio	socio	socio	socio
156	rendimiento	obligación	rendimiento	obligación	rendimiento	rendimiento
157	run	run	run	run	run	▁80
158	agregar	agregar	agregar	agregar	agregar	agregar
159	botón	tecla	botón	agregar	botón	▁20
160	revisar	revisión	revisar	comprobación	revisar	▁23
161	lista de tarea	lista de trabajo	lista de tarea	lista de trabajo	lista de tarea	lista de trabajo
162	▔	socio	▔	socio	▔	socio
163	sitio	sitio	sitio	sitio	sitio	sitio
164	dirigido	dirigido	dirigido	dirigido	dirigido	▁37
165	etapa de proceso	etapa de proceso	etapa de proceso	etapa de proceso	etapa de proceso	paso de proceso
166	afiliado sap	afiliado sap	afiliado sap	afiliado sap	afiliado sap	▁3
167	pestaña	pestaña	pestaña	pestaña	pestaña	▁65
168	socio	socio	socio	socio	socio	socio
169	agregar	agregar	agregar	agregar	agregar	agregar
170	eliminar	borrar	eliminar	eliminar	eliminar	borrar
171	socio	socio	socio	socio	socio	socio
172	bloquear	bloquear	bloquear	bloquear	bloquear	bloquear
173	plantilla	modelo	plantilla	modelo	plantilla	modelo
174	asignación	asignación	asignación	asignación	asignación	▁8
175	asignación	asignación	asignación	asignación	asignación	▁8
176	terminación	terminación	terminación	terminación	terminación	▁97
177	caso de uso	caso de uso	caso de uso	caso de uso	caso de uso	▁104
178	borrar	borrar	borrar	eliminar	borrar	borrar
179	source	fuente	source	fuente	source	fuente
