	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить заметки, выберите шаблон и откройте область заметок на левой стороне экрана.	['pane']	{'pane': 'область'}	['область']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер контракта, из которого можно выбрать позиции услуги.	['contract']	{'contract': 'контракта'}	['контракт']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Это поле автоматически заполняется текущей датой, а поле Return by date будет содержать значение по умолчанию — количество дней, определённое в настройках системы (например, 30 дней для документа вида e-bgs), начиная с даты передачи (handover date).	['type']	{'type': 'вида'}	['вид']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	Однако поведение этой бюджетной настройки по-разному трактуется для счетов, классифицированных как типы «Expense» или «выручка».	['revenue']	{'revenue': 'выручка'}	['выручка']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (создать, обновить и/или удалить) разрешены для каждого подузла, а также для корневого узла, установив соответствующие флажки.	['update']	{'update': 'обновить'}	['обновить']
5	{'range': 'интервал'}	Within a time range	В пределах временного интервала	['range']	{'range': 'интервала'}	['интервал']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете добавить в закладки свои любимые дата-продукты или провайдеров данных.	['provider']	{'provider': 'провайдеров'}	['провайдер']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя провайдера должно быть уникальным.	['provider']	{'provider': 'провайдера'}	['провайдер']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Переход непосредственно на страницы объектов соответствующих бизнес-объектов.	['branch']	{'branch': 'Переход'}	['переход']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Указывает вид позиций, которые вы хотите добавить в свой проект по закупкам.	['type']	{'type': 'вид'}	['вид']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если вводимая запись сопоставляется с более чем одной справочной записью и при этом значение оценки достигает данного порога, она помещается в категорию «Несколько результатов».	['input']	{'input': 'вводимая'}	['вводить']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	Если вы хотите, чтобы правило автоматической повторной обработки проводило ваши позиции банковской выписки за один шаг, выберите значение 001 (Одношаговое проведение) в поле Вид процедуры.	['type']	{'type': '▔'}	['▔']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от вашего охвата данное приложение может проверять различные виды исходных документов в вашем процессе прогнозного учёта.	['type']	{'type': 'виды'}	['вид']
13	{'purpose': 'цель'}	As a rule, the purpose references the relevant legal basis for the processing of personal data.	Как правило, цель ссылается на соответствующее правовое основание для обработки персональных данных.	['purpose']	{'purpose': 'цель'}	['цель']
14	{'type': 'тип'}	Risk type of this obligation that denotes the risk of the legal document if this obligation is not fulfilled	Тип риска данного обязательства, который обозначает риск юридического документа в случае неисполнения этого обязательства.	['type']	{'type': 'Тип'}	['тип']
15	{'type': 'тип'}	Enter a meaningful code that will help you to identify the clause type.	Введите осмысленный код, который поможет вам определить тип придаточного предложения.	['type']	{'type': 'тип'}	['тип']
16	{'public': 'общедоступный'}	If you're using a network firewall with a proxy, you need to provide the public IPv4 address of your proxy.	Если вы используете сетевой экран с прокси, необходимо указать общедоступный IPv4-адрес вашего прокси.	['public']	{'public': 'общедоступный'}	['общедоступный']
17	{'provider': 'провайдер'}	Click Toggle Preview Changes again to go back and continue editing your data provider page or save it.	Нажмите «Toggle Preview Changes» ещё раз, чтобы вернуться и продолжить редактирование страницы вашего провайдера данных или сохранить её.	['provider']	{'provider': 'провайдера'}	['провайдер']
18	{'input': 'ввод'}	Select the Projection operator from the toolbar and drop it in the canvas and then connect a sources or other node to it as input.	Выберите оператор Projection на панели инструментов, перетащите его на рабочую область, а затем подключите к нему источник данных или другой узел в качестве ввода.	['input']	{'input': 'ввода'}	['ввод']
19	{'type': 'тип'}	Depending on the contract type and the pricing model used for the data product, different information can be shown:	В зависимости от типа контракта и используемой модели ценообразования для данного продукта данных может отображаться различная информация:	['type']	{'type': 'типа'}	['тип']
20	{'postponed': 'отсрочено'}	Unbilled | Postponed | Write Off	Не выставлено счетов | Отсрочено | Списано	['postponed']	{'postponed': 'Отсрочено'}	['отсрочить']
21	{'provider': 'провайдер'}	To edit an existing data provider profile, click .	Чтобы изменить существующий профиль провайдера данных, нажмите .	['provider']	{'provider': 'провайдера'}	['провайдер']
