	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Raumes kann durch den Farbcode in der oberen linken Ecke angezeigt werden.	['space']	{'space': 'Raumes'}	['raum']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag enthält eine Gesamtzahl der verfügbaren Speicher-Einheiten pro Monat, die Sie für die Berechnung und Speicher-Ressourcen bereitstellen können.	['storage']	{'storage': 'Speicher-Ressourcen'}	['speicher']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	Teilen Sie den URL-Link mit anderen Benutzern mit den richtigen Bearbeitungsrechten.	['share']	{'share': 'Teilen'}	['teil|teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie die Einschränkung für die Nachfolgefunktion entfernt haben, kann die Operation automatisch umgesetzt werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie den Mieter nicht konfiguriert haben, können Sie nur Verwaltungsanwendungen der SAP Data Warehouse Cloud verwenden (aber Sie können keine Räume in der Speicherverwaltung erstellen).	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrer Zuständigkeitsbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Zuständigkeitsbereich'}	['zuständigkeitsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für Oracle Auslöserbasierte Replikation in der SAP HANA Smart Data Integration und SAP HANA Qualitätsinstallation und Konfigurationsleitfaden	['trigger']	{'trigger': 'Auslöserbasierte'}	['auslöserbasieren']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integrieren Sie ein Konto mit Ihrem Speicherplatz, um Verbindungen für Konnektorinstantien zu erstellen und die Verbindungen für Datenströme zu nutzen.	['connector']	{'connector': 'Konnektorinstantien'}	['konnektorinstantien']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Kreditgebergruppe ist ein Attribut, mit dem Sie Ihre Lieferanten und Kunden in Gruppen kategorisieren können.	['customer', 'supplier']	{'customer': 'Kunden', 'supplier': 'Lieferanten'}	['kunde', 'lieferant']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Wählen Sie die entsprechende Kontrollleiste für bedarfsorientiert MRP-Komponenten und/oder Top-Level-Materialien aus.	['demand-driven']	{'demand-driven': 'bedarfsorientiert'}	['bedarfsorientieren']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	Klicken Sie auf Erstellen einer Lizenz, um eine Lizenz für ein oder mehrere Ihrer Datenprodukte zu erstellen und aktivierungsschlüssel zu generieren, die Sie mit den Verbrauchern teilen können, damit sie den Lizenzbereich der Datenprodukte nutzen können.	['create']	{'create': 'Erstellen'}	['erstellen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	Steuern Sie Ihre Union im Bereich Mapping der Seitenbereich:	['side panel']	{'side panel': 'Seitenbereich'}	['seitenbereich']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Die Leistung der Modellversion wird mit zwei Hauptindikatoren bewertet.	['indicator']	{'indicator': 'Hauptindikatoren'}	['hauptindikator']
13	{'query': 'Abfrage'}	The database then has to decide which job or query has to be dealt with first.	Die Datenbank muss dann entscheiden, welcher Job oder Abfrage zuerst behandelt werden soll.	['query']	{'query': 'Abfrage'}	['abfrage']
14	{'provider': 'Provider'}	Address, e-mail, phone number, etc of the provider	Adresse, E-Mail, Telefonnummer usw. des Anbieters	['provider']	{'provider': 'Anbieters'}	['anbieter']
15	{'space': 'Space'}	The name should be unique within a space.	Der Name sollte innerhalb eines Raumes einzigartig sein.	['space']	{'space': 'Raum'}	['raum']
16	{'intercompany': 'buchungskreisübergreifend'}	Display the IDs of intercompany customer invoices, customer invoices, and intercompany supplier invoices	Anzeigen Sie die IDs der buchungskreisübergreifend, Kundenreifend und der Buchungskreisübergreifend.	['intercompany']	{'intercompany': 'buchungskreisübergreifend'}	['buchungskreisübergreifend']
17	{'history': 'Verlauf', 'release': 'Release'}	To lock a specific release of a data product, open the release history of the selected product, select the release you want to lock and select the checkbox Locked.	Um eine bestimmte Verlauf eines Datenprodukts zu sperren, öffnen Sie die Verlauf des ausgewählten Produkts, wählen Sie die Verlauf, die Sie sperren möchten, und wählen Sie das Kontrollkästchen Sperren.	['history', 'release']	{'history': 'Verlauf', 'release': 'Verlauf'}	['verlauf', 'verlauf']
18	{'data provider': 'Datenprovider'}	This varies depending on how the data provider offers their products.	Dies hängt davon ab, wie der Datenprovider seine Produkte anbietet.	['data provider']	{'data provider': 'Datenprovider'}	['datenprovider']
19	{'access control': 'Zugriffskontrolle'}	Create a data access control to filter data in views and business layer objects by one or more criteria.	Erstellen Sie eine Zugriffskontrolle, um Daten in Ansichten und Business-Layer Objekte nach einem oder mehreren Kriterien zu filtern.	['access control']	{'access control': 'Zugriffskontrolle'}	['zugriffskontrolle']
20	{'data provider': 'Datenprovider'}	Retrieve your favorite data providers and data products.	Erhalten Sie Ihre Lieblingsdatenprovider und Produkte.	['data provider']	{'data provider': 'Datenprovider'}	['datenprovider']
21	{'section': 'Bereich'}	Choose Fuzzy Match to display the Match Thresholds section.	"Wählen Sie Fuzzy Match, um den Bereich ""Schwellen der Übereinstimmung"" anzuzeigen."	['section']	{'section': 'Bereich'}	['bereich']
22	{'provider': 'Provider'}	You can see which products were last released by the provider.	Sie können sehen, welche Produkte zuletzt vom Anbieter veröffentlicht wurden.	['provider']	{'provider': 'Anbieter'}	['anbieter']
23	{'provider': 'Provider'}	It’s maintained by the provider and the information might differs from one provider to another.	Sie wird vom Anbieter aufbewahrt und die Informationen können von einem Anbieter zum anderen unterschiedlich sein.	['provider']	{'provider': 'Anbieter'}	['anbieter']
24	{'release': 'Release'}	To lock all the releases of a data product, select the product and select the checkbox Locked.	Um alle Releases eines Datenprodukts zu sperren, wählen Sie das Produkt aus und wählen Sie das Kontrollkästchen Sperren.	['release']	{'release': 'Releases'}	['release']
25	{'assigned': 'zugewiesen'}	The Product Allocation Order Items card displays only those order items with confirmation quantity assigned to a characteristic value combination containing the specified characteristic or values.	Die Karte Produktzuweisung Bestellungen zeigt nur jene Bestellungen an, die mit der Zugewiesenheit zu einer charakteristischen Wertkombination zugeteilt wurden.	['assigned']	{'assigned': 'Zugewiesenheit'}	['zuwiesenheien']
26	{'storage': 'Speicher', 'space': 'Platz'}	This space is close to exceeding it's storage quota.	Dieser Platz ist fast über dem Speicherquoten.	['storage', 'space']	{'storage': 'Speicherquoten', 'space': 'Platz'}	['speicherquoten', 'platz']
27	{'period': 'Zeitraum'}	Older period includes data older than the last year.	Die Zeitperiode umfasst Daten, die älter als das letzte Jahr sind.	['period']	{'period': 'Zeitperiode'}	['zeitperiode']
28	{'data provider': 'Datenprovider', 'create': 'erstellen'}	Create or Edit a Data Provider Profile	Erstellen oder bearbeiten Sie ein Datenprovider Profil	['data provider', 'create']	{'data provider': 'Datenprovider', 'create': 'Erstellen'}	['datenprovider', 'erstellen']
29	{'data provider': 'Datenprovider'}	In the Switch Data Provider dialog:	Im Dialog Datenprovider:	['data provider']	{'data provider': 'Datenprovider'}	['datenprovider']
30	{'space': 'Space'}	Select your Space	Wählen Sie Ihren Raum aus	['space']	{'space': 'Raum'}	['raum']
31	{'data provider': 'Datenprovider'}	Thanks to the product page created by the data provider you get detailed information on the data product and eventually access to sample data, if available.	Dank der vom Datenprovider erstellten Produktseite erhalten Sie detaillierte Informationen über das Datenprodukt und erhalten dann, falls verfügbar, Zugang zu Daten.	['data provider']	{'data provider': 'Datenprovider'}	['datenprovider']
32	{'consumption model': 'Verbrauchsmodell'}	To guarantee a smooth roll-out of updates to any object without immediately affecting or even breaking fact models, consumption models, or perspectives, you can derive versions of objects.	Um eine reibungslose Ausführung von Updates auf jedes Objekt zu gewährleisten, ohne dass dies sofort Faktenmodelle, Verbrauchsmodelle oder Perspektiven beeinflusst oder sogar zerstört wird, können Versionen von Objekten abgeleitet werden.	['consumption model']	{'consumption model': 'Verbrauchsmodelle'}	['verbrauchsmodell']
33	{'reference quantity': 'Referenzmenge'}	You can display the reference quantity and the simulation quantity side by side.	Sie können die Referenzmenge und die Simulation Seite an Seite anzeigen.	['reference quantity']	{'reference quantity': 'Referenzmenge'}	['referenzmenge']
34	{'period': 'Periode'}	The inspector detects issues for each top-level material per time period.	Der Inspektor erkennt Probleme für jedes Material auf höchster Ebene pro Periode.	['period']	{'period': 'Periode'}	['periode']
35	{'root': 'Stamm'}	Any path used with this connection will be prefixed with this root path.	Jeder mit dieser Verbindung verwendete Weg wird mit diesem Stamm vorgeordnet.	['root']	{'root': 'Stamm'}	['stamm']
36	{'type': 'Art'}	It must be unique for the clause type in each language.	Sie muss für den Art der Art in jeder Sprache einzigartig sein.	['type']	{'type': 'Art'}	['art']
37	{'acceptance': 'Abnahme'}	Enables you to indicate if the acceptance of an ordered item is to take place at the point of origin.	Erlaubt es Ihnen, anzugeben, ob die Abnahme eines bestellten Artikels am Ursprungsort stattfinden soll.	['acceptance']	{'acceptance': 'Abnahme'}	['abnahme']
38	{'space': 'Space'}	Enter a name for your space.	Geben Sie einen Namen für Ihren Raum ein.	['space']	{'space': 'Raum'}	['raum']
39	{'revision': 'überarbeitete Version'}	Changes within the same version are saved as new revisions.	Änderungen innerhalb derselben Version werden als neue Überarbeitete gespeichert.	['revision']	{'revision': 'Überarbeitete'}	['gberarbeiten']
40	{'data provider': 'Datenprovider'}	You can search and purchase analytical data from data providers.	Sie können analytische Daten von Datenprovider suchen und kaufen.	['data provider']	{'data provider': 'Datenprovider'}	['datenprovider']
41	{'start': 'Start'}	The projected plant stock can be calculated from the current stock- or requirements situation for the start date of the reference object.	Der geplanten Anlagenbestand kann aus der aktuellen Lager- oder Anforderungensituation für den Startdatum des Referenzobjekts berechnet werden.	['start']	{'start': 'Startdatum'}	['startdatum']
42	{'pricing date': 'Preisfindungsdatum'}	Provide all the mandatory details such as the Pricing Date, Currency, and Quantity, and choose Simulate.	Geben Sie alle obligatorischen Angaben wie Preisfindungsdatum, Währung und Menge an und wählen Sie Simulieren.	['pricing date']	{'pricing date': 'Preisfindungsdatum'}	['preisfindungsdatum']
43	{'layer': 'Schicht'}	Data Layer Object Properties - Shared Content Between WA and HP	Daten Schicht Objekteigenschaften - Geteilte Inhalte zwischen WA und HP	['layer']	{'layer': 'Schicht'}	['schicht']
44	{'create': 'erstellen'}	Select Create Filter and add your filter conditions:	Wählen Sie Filter erstellen und fügen Sie Ihre Filterbedingungen hinzu:	['create']	{'create': 'Erstellen'}	['erstellen']
45	{'space': 'Space'}	Create a new space.	Erstellen Sie einen neuen Raum.	['space']	{'space': 'Raum'}	['raum']
46	{'type': 'Typ'}	In each condition record where you define a scale value, you can further specify the scale type.	In jeder Einstellung, bei der Sie einen Typ definieren, können Sie den Typ weiter angeben.	['type']	{'type': 'Typ'}	['typ']
47	{'schedule': 'Zeitplan', 'summary': 'Übersicht'}	This is the summary of your schedule.	Dies ist die Übersicht Ihres Zeitplanes.	['schedule', 'summary']	{'schedule': 'Zeitplanes', 'summary': 'Übersicht'}	['zeitplan', 'übersicht']
48	{'space': 'Space'}	Select the Space you would like to work in.	Wählen Sie den Raum aus, in dem Sie arbeiten möchten.	['space']	{'space': 'Raum'}	['raum']
49	{'report': 'Bericht'}	The following reporting periods are not available in this app:	Die folgenden Berichtszeiten sind in dieser App nicht verfügbar:	['report']	{'report': 'Berichtszeiten'}	['berichtszeiten']
50	{'consumption model': 'Verbrauchsmodell'}	You can define measures for your consumption model.	Sie können Maßnahmen für Ihr Verbrauchsmodell definieren.	['consumption model']	{'consumption model': 'Verbrauchsmodell'}	['verbrauchsmodell']
51	{'trigger': 'Auslöser'}	[if Enable Statement-level Triggers = true] Create Statement-level Insert Triggers	[wenn Auslöser auf Auslöserniveau aktiviert werden = wahr]	['trigger']	{'trigger': 'Auslöserniveau'}	['auslöserniveauen']
52	{'order': 'Auftrag'}	The Work Center column lists the resource of the corresponding order.	Die Spalte Arbeitszentrum enthält die Ressource der entsprechenden Auftrag.	['order']	{'order': 'Auftrag'}	['auftrag']
53	{'client': 'Client'}	Make your view visible to analytical clients.	Ihre Ansicht für Analytiker sichtbar machen.	['client']	{'client': 'Analytiker'}	['analytiker']
