	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить комментарии, выберите шаблон и откройте область Свойства на левой стороне экрана.	['pane']	{'pane': 'область'}	['область']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер контракта, из которого вы можете выбрать позиции выполненных услуг.	['contract']	{'contract': 'контракта'}	['контракт']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Это поле по умолчанию настроено на текущую дату и поле Возврат по дате будет значением по умолчанию, заданным в настройке (например, 30 дней для документа типа e-bgs, если документ тип e-bgs не является по умолчанию).	['type']	{'type': 'типа'}	['тип']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	В этом бюджетном режиме поведение этого параметра, однако, отличается для счетов, классифицируемых как 'Расходы' или 'Доходы'.	['revenue']	{'revenue': 'Доходы'}	['доход']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (создание, обновление и/или удаление) разрешены для каждого подножа, а также для корневого подножа, выбрав соответствующие галочки.	['update']	{'update': 'обновление'}	['обновление']
5	{'range': 'интервал'}	Within a time range	В пределах интервала	['range']	{'range': 'интервала'}	['интервал']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете создавать закладки для избранных продуктов данных или провайдеров данных.	['provider']	{'provider': 'провайдеров'}	['провайдер']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя поставщика данных должно быть уникальным.	['provider']	{'provider': 'поставщика'}	['поставщик']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Переход непосредственно к страницам соответствующих бизнес-объектов.	['branch']	{'branch': 'Переход'}	['переход']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Определяет вид позиций, которые вы хотите добавить в проект выбора поставщика.	['type']	{'type': 'вид'}	['вид']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если вводная запись сопоставляется с несколькими записями сущности поиска с результатом выше порогового значения, запись сущности ввода присваивается категории результатов Не сопоставлено.	['input']	{'input': 'вводная'}	['вводный']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	Если вы хотите, чтобы автоматическое правило повторной обработки постило ваши выписки по счету в одном шаге, выберите 001 (Одношаговая проводка) как значение поля Процедура типа.	['type']	{'type': 'типа'}	['тип']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от вашего объема, это приложение может проверить разные виды исходных документов в процессе прогнозного учета.	['type']	{'type': 'виды'}	['вид']
13	{'purpose': 'цель'}	As a rule, the purpose references the relevant legal basis for the processing of personal data.	Обычно назначение ссылается на соответствующий законный основополагающий принцип обработки персональных данных.	['purpose']	{'purpose': 'назначение'}	['назначение']
14	{'type': 'тип'}	Risk type of this obligation that denotes the risk of the legal document if this obligation is not fulfilled	Тип риска этого обязательства, указывающий риск юридического документа, если обязательство не будет выполнено.	['type']	{'type': 'Тип'}	['тип']
15	{'type': 'тип'}	Enter a meaningful code that will help you to identify the clause type.	Введите значение, которое поможет вам идентифицировать тип положения.	['type']	{'type': 'тип'}	['тип']
16	{'public': 'общедоступный'}	If you're using a network firewall with a proxy, you need to provide the public IPv4 address of your proxy.	Если вы используете сетевой фаервол с прокси, вам необходимо предоставить адрес публичной IPv4 адрес прокси.	['public']	{'public': 'публичной'}	['публичный']
17	{'provider': 'провайдер'}	Click Toggle Preview Changes again to go back and continue editing your data provider page or save it.	Нажмите Переключить изменения предпросмотра, чтобы вернуться и продолжить редактирование страницы провайдера данных или сохранить ее.	['provider']	{'provider': 'провайдера'}	['провайдер']
18	{'input': 'ввод'}	Select the Projection operator from the toolbar and drop it in the canvas and then connect a sources or other node to it as input.	Выберите оператор Проекция на панели инструментов и перетащите его в рабочую область, а затем соедините с ним два источника или других узла в качестве ввода.	['input']	{'input': 'ввода'}	['ввод']
19	{'type': 'тип'}	Depending on the contract type and the pricing model used for the data product, different information can be shown:	В зависимости от типа договора и модели оценки для продукта данных могут быть показаны разные сведения:	['type']	{'type': 'типа'}	['тип']
20	{'postponed': 'отсрочено'}	Unbilled | Postponed | Write Off	Отсроченные | Отложенные | Зачеркнутые	['postponed']	{'postponed': 'Отсроченные'}	['отсрочить']
21	{'provider': 'провайдер'}	To edit an existing data provider profile, click .	Для редактирования существующего профиля провайдера данных щелкните.	['provider']	{'provider': 'провайдера'}	['провайдер']
22	{'regulation': 'предписание'}	If you enter a text and you want to print documents in different languages, select a regulation and navigate to the Classify Dangerous Good - Packaged Product app.	Если вы вводите текст и хотите распечатать документы на разных языках, выберите предписание и перейдите к приложению Классификация опасных грузов - Посылка.	['regulation']	{'regulation': 'предписание'}	['предписание']
