	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'總裁': 'Chief Executive'}	# 總裁報告	# President's Report	['總裁']	{'總裁': 'President'}	['president']
1	{'中美貿易摩擦': 'US-China trade tensions', '加息': 'interest rate hikes', '地緣政治': 'geopolitical environment', '年報': 'Annual Report', '恒生指數': 'Hang Seng Index', '熾熱的投資情緒': 'bullish sentiment', '環球金融危機': 'Global Financial Crisis', '美聯儲': 'US Federal Reserve', '股票': 'equity securities', '股票指數': 'stock indexes', '英國脫歐': 'Brexit', '英國脫歐談判': 'Brexit impasse', '金融市場': 'financial markets'}	2018年是全球金融危機發生十周年，十年間國際政經形勢經歷巨大轉變，當中不乏一幕幕超乎最佳編劇所能想像的場景。我在去年的年報指出，2017年金融市場表現是「喜出望外」，同時提到前景「潛藏隱憂」。回顧2018年，或許可形容為「先喜後悲」。環球多個股票指數在1月創出歷史新高後不久，熾熱的投資情緒旋即遇上中美貿易摩擦的冷鋒，加上英國脫歐談判一直拉鋸、地緣政治惡化、美聯儲四次加息等因素，市場樂觀氣氛急劇逆轉，資產價格在年內大幅下跌。MSCI全球指數從高點至低點曾下跌20.3%，全年累跌約一成，是2008年環球金融危機以來表現最差的一年。恒生指數從高點最多曾下跌26.7%，全年下挫13.6%，錄得七年來最大年度跌幅。	"2018 marked the tenth anniversary of the global financial crisis. Over the past decade, the international political and economic landscape has undergone tremendous changes, with many scenes beyond the imagination of the best scriptwriters. In last year’s annual report, I noted that the performance of financial markets in 2017 was ""beyond expectations,"" while also mentioning that the outlook ""concealed underlying concerns."" Looking back at 2018, perhaps it can be described as ""initial joy followed by subsequent sadness."" Shortly after multiple global stock indices reached historic highs in January, the overheated investment sentiment was met with the cooling effect of Sino-US trade frictions. Coupled with ongoing Brexit negotiations, escalating geopolitical tensions, and four Federal Reserve rate hikes, market optimism rapidly reversed, leading to significant asset price declines during the year. The MSCI worldwide index dropped 20.3% from its peak to its trough and recorded an overall decline of about 10% for the year, marking the worst performance since the global financial crisis in 2008. The Hang Seng Index at its peak fell by as much as 26.7%, ending the year down 13.6%, and posted the largest annual decline in seven years."	['中美貿易摩擦', '加息', '地緣政治', '年報', '恒生指數', '熾熱的投資情緒', '環球金融危機', '美聯儲', '股票', '股票指數', '英國脫歐', '英國脫歐談判', '金融市場']	{'中美貿易摩擦': 'Sino-US trade frictions', '加息': 'rate hikes', '地緣政治': 'geopolitical tensions', '年報': 'annual report', '恒生指數': 'Hang Seng Index', '熾熱的投資情緒': 'overheated investment sentiment', '環球金融危機': 'global financial crisis', '美聯儲': 'Federal Reserve', '股票': 'stock', '股票指數': 'stock indices', '英國脫歐': 'Brexit', '英國脫歐談判': 'Brexit negotiations', '金融市場': 'financial markets'}	['sino trade friction', 'rate hike', 'geopolitical tension', 'annual report', 'hang seng index', 'overheated investment sentiment', 'global financial crisis', 'federal reserve', 'stock', 'stock index', 'brexit', 'brexit negotiation', 'financial market']
2	{'利率正常化': 'interest rate normalisation', '加息': 'interest rate hikes', '匯率制度': 'exchange rate arrangement', '國際貨幣基金組織': 'International Monetary Fund', '基金組織': 'IMF', '基點': 'basis points', '最優惠利率': 'prime rates', '特區政府': 'HKSAR Government', '環球金融危機': 'Global Financial Crisis', '美國加息': 'US interest rate hikes', '美國息率': 'US interest rates', '聯匯制度': 'LERS', '金管局': 'HKMA', '金融體系': 'financial system', '香港銀行同業拆息': 'Hong Kong Interbank Offered Rates'}	儘管外圍形勢波動難測，香港金融體系仍然保持穩健，貨幣市場運作暢順無阻。實施三十五年的聯繫匯率制度成功應對了資金流出港元的考驗。自環球金融危機爆發以來，累積約10,000億港元等值的資金流入港元。去年，隨着美國息率上升，港美息差持續擴闊，「沽港元、買美元」套息活動增加，港元兌美元匯率在年初轉弱，2005年制訂的「弱方兌換保證」，自4月首度觸發後，年內再觸發26次。金管局按照既定機制，履行「買港元、沽美元」的弱方兌換保證，有序、透明地在市場承接1,035億港元的港元沽盤。隨着資金流走，一個月香港銀行同業拆息在2018年內累升了105基點，而銀行亦在去年9月美國加息後，上調了最優惠利率。金管局多次和適時通過不同渠道向公眾闡釋「弱方兌換保證」的運作機制，令公眾了解資金流出港元是香港利率正常化的必經過程，也是聯匯制度的正常運作。國際貨幣基金組織在去年年底重申支持香港聯匯制度的立場，特區政府也強調聯匯是香港貨幣穩定的基石。這都有助於穩定香港市民對聯繫匯率的信心。	"Despite unpredictable external fluctuations, Hong Kong’s financial system remained stable, with smooth operation of the currency market. The thirty-five-year-old Linked Exchange Rate System successfully responded to the challenge of outflows of funds from Hong Kong dollars. Since the outbreak of the global financial crisis, approximately HKD 1 trillion equivalent has been inflowed into the Hong Kong dollar. Last year, as U.S. interest rates rose, the Hong Kong-U.S. interest rate differential continued to widen, increasing the carry trade activities of selling HK dollars and buying U.S. dollars. The HK dollar depreciated against the USD at the beginning of the year, and since the first trigger of the ""Weak-side Exchange Guarantee"" established in 2005 in April, this mechanism was triggered 26 more times during the year. The HKMA, following established protocols, fulfilled the ""buy HK dollars, sell USD"" obligation under the Guarantee, orderly and transparently absorbing HKD 103.5 billion in sell orders. As capital flowed out, the average Hong Kong interbank offer rate rose by 105 basis points within the year. Following the U.S. rate hike last September, banks also increased their best lending rates. The HKMA frequently and appropriately explained the operation of the ""Weak-side Exchange Guarantee"" to the public through various channels, helping the public understand that capital outflows are a normal part of interest rate normalization and the functioning of the linked exchange rate system. The International Monetary Fund reaffirmed its support for Hong Kong’s Linked Exchange Rate System at the end of last year, and the HKSAR Government emphasized that the system is the cornerstone of Hong Kong’s monetary stability. These efforts have contributed to maintaining public confidence in the linked exchange rate policy."	['利率正常化', '加息', '匯率制度', '國際貨幣基金組織', '基金組織', '基點', '最優惠利率', '特區政府', '環球金融危機', '美國加息', '美國息率', '聯匯制度', '金管局', '金融體系', '香港銀行同業拆息']	{'利率正常化': 'interest rate normalization', '加息': 'interest rate hike', '匯率制度': '▔', '國際貨幣基金組織': 'International Monetary Fund', '基金組織': '▔', '基點': 'basis points', '最優惠利率': 'best lending rates', '特區政府': 'HKSAR Government', '環球金融危機': 'global financial crisis', '美國加息': 'U.S. interest rates', '美國息率': 'U.S. interest rates', '聯匯制度': 'System', '金管局': 'HKMA', '金融體系': 'financial system', '香港銀行同業拆息': 'Hong Kong interbank offer rate'}	['interest rate normalization', 'interest rate hike', '▔', 'international monetary fund', '▔', 'basis point', 'good lending rate', 'hksar government', 'global financial crisis', 'u.s interest rate', 'u.s interest rate', 'system', 'hkma', 'financial system', 'hong kong interbank offer rate']
3	{'二十國集團': 'G20', '企業管治': 'corporate governance', '公帑': 'public money', '國際監管標準': 'international regulatory standards', '大得不能倒': 'Too Big To Fail', '審慎監管': 'prudential supervision', '巴塞爾銀行監管委員會': 'Basel Committee on Banking Supervision', '法定最低要求': 'statutory minimum requirement', '流動覆蓋比率': 'liquidity coverage ratio', '環球金融危機': 'Global Financial Crisis', '監管標準': 'regulatory standards', '處置機制': 'resolution regime', '處置機制辦公室': 'Resolution Office', '處置預案': 'resolution plans', '資本充足': 'capital adequacy', '資本充足率': 'capital adequacy ratio', '金管局': 'HKMA', '金融市場': 'financial markets', '銀行業': 'banking sector', '銀行監管': 'banking supervision', '風險管理': 'risk management'}	2008年環球金融危機暴露了全球金融系統潛藏的種種弊端及隱患，促使國際間在過去十年協調推出一系列針對金融市場、金融機構的改革，包括在銀行業監管方面，提升企業管治和風險管理。金管局的銀行監管工作重點針對兩方面：一是着眼於銀行資產負債風險的審慎監管，二是銀行的行為操守，二者不可偏廢。資產負債風險監管方面，金管局作為巴塞爾銀行監管委員會(Basel Committee on Banking Supervision)及二十國集團轄下金融穩定理事會(FinancialStability Board)成員，有責任全面落實國際監管標準，確保香港銀行業穩健審慎地經營業務。去年底香港銀行資本充足率達20.3%，不但遠高於國際最低標準要求的8%，也較環球金融危機時的14.7%水平顯著提升。大型銀行去年第四季平均流動覆蓋比率達167.6%，同樣遠高於法定最低要求的90%。與此同時，為避免重蹈環球金融危機時需動用公帑拯救「大得不能倒」金融機構的覆轍，金融穩定理事會制訂了關於金融機構處置機制的國際標準。香港是亞洲區內少數已經全面落實符合機制要求的地區之一，金管局下設的處置機制辦公室正落實該機制的操作細則，要求銀行推行結構性變動令處置預案在需要時能有效實施，去年亦推出了《吸收虧損能力規則》，未來還會陸續推出更多相關規則。	"The 2008 global financial crisis exposed the underlying deficiencies and risks within the international financial system. Over the past decade, international efforts coordinated the implementation of reforms targeting financial markets and institutions, including strengthening corporate governance and risk management in banking regulation. The HKMA’s banking supervision focuses on two aspects: prudential supervision of asset and liability risks, and the conduct of banks. Both are equally important. On prudential standards, as a member of the Basel Committee on Banking Supervision and the Financial Stability Board under the G20, the HKMA has the responsibility to fully implement international regulatory standards to ensure the sound and prudent operation of Hong Kong banks. By the end of last year, Hong Kong’s total capital adequacy ratio reached 20.3%, far exceeding the minimum international standard of 8% and significantly higher than the 14.7% level during the global financial crisis. Large banks' average liquidity coverage ratio in the fourth quarter was 167.6%, well above the statutory minimum of 90%. Meanwhile, to prevent a recurrence of the “too big to fail” rescue scenario in the crisis, the Financial Stability Board established international standards for resolution mechanisms for financial institutions. Hong Kong is among the few regions in Asia to have fully implemented such mechanisms. The HKMA’s Resolution Office is now operational, implementing detailed procedures to ensure banks can effectively carry out structural changes and resolution plans when needed. In 2018, the HKMA also introduced the ""Loss Absorption Capacity Regulations,"" with more related rules to follow in the future."	['二十國集團', '企業管治', '公帑', '國際監管標準', '大得不能倒', '審慎監管', '巴塞爾銀行監管委員會', '法定最低要求', '流動覆蓋比率', '環球金融危機', '監管標準', '處置機制', '處置機制辦公室', '處置預案', '資本充足', '資本充足率', '金管局', '金融市場', '銀行業', '銀行監管', '風險管理']	{'二十國集團': 'G20', '企業管治': 'corporate governance', '公帑': '▔', '國際監管標準': 'international regulatory standards', '大得不能倒': 'too big to fail', '審慎監管': 'prudential supervision', '巴塞爾銀行監管委員會': 'Basel Committee on Banking Supervision', '法定最低要求': 'statutory minimum', '流動覆蓋比率': 'liquidity coverage ratio', '環球金融危機': 'global financial crisis', '監管標準': 'regulatory standards', '處置機制': 'resolution mechanisms', '處置機制辦公室': 'Resolution Office', '處置預案': 'resolution plans', '資本充足': 'capital adequacy', '資本充足率': 'capital adequacy ratio', '金管局': 'HKMA', '金融市場': 'financial markets', '銀行業': '▔', '銀行監管': 'banking supervision', '風險管理': 'risk management'}	['g20', 'corporate governance', '▔', 'international regulatory standard', 'too big to fail', 'prudential supervision', 'basel committee on banking supervision', 'statutory minimum', 'liquidity coverage ratio', 'global financial crisis', 'regulatory standard', 'resolution mechanism', 'resolution office', 'resolution plan', 'capital adequacy', 'capital adequacy ratio', 'hkma', 'financial market', '▔', 'banking supervision', 'risk management']
4	{'不良貸款比率': 'classified loan ratio', '股東權益回報率': 'return on equity', '資產質素': 'asset quality', '逆周期措施': 'countercyclical measures', '金管局': 'HKMA', '銀行業': 'banking sector', '銀行集團': 'banking groups', '零售銀行': 'retail banks'}	鑑於樓價持續上升，金管局未雨綢繆，在2009至2017年間共推出八輪逆周期措施，確保一旦地產市況逆轉，本港銀行體系有足夠的抗震能力應對衝擊。這些措施成效顯著：新造住宅平均按揭成數由2009年的64%降至2018年底的46%；平均供款與入息比率亦由2010年的41%下調至2018年底的34%。年內銀行信貸錄得4.4%的溫和增長，整體資產質素維持良好，零售銀行不良貸款比率進一步降至0.5%，遠低於國際及本港歷史平均水平。去年銀行業盈利持續增長，整體股東權益回報率連升兩年至13%；多家國際性銀行集團在本港的業務交出了不俗的成績表，成為集團盈利的重要支柱。	Given the persistent rise in property prices, the HKMA proactively implemented eight countercyclical measures between 2009 and 2017, ensuring that the banking sector in Hong Kong has sufficient resilience to weather market reversals. The results are notable: the average mortgage loan-to-value ratio for new residential properties decreased from 64% in 2009 to 46% at the end of 2018; the average debt service-to-income ratio also fell from 41% in 2010 to 34% at year-end 2018. During the year, bank credit grew moderately by 4.4%, and overall asset quality remained good, with retail banking non-performing loan ratio further dropping to 0.5%, well below international and Hong Kong historical averages. Last year, the banking industry’s profitability continued to grow, with the overall return on shareholders’ equity increasing for two consecutive years to 13%. Several international banking groups posted strong results in Hong Kong, becoming a significant profit pillar for their groups.	['不良貸款比率', '股東權益回報率', '資產質素', '逆周期措施', '金管局', '銀行業', '銀行集團', '零售銀行']	{'不良貸款比率': 'non-performing loan ratio', '股東權益回報率': 'return shareholders equity', '資產質素': 'asset quality', '逆周期措施': 'countercyclical measures', '金管局': 'HKMA', '銀行業': 'banking industry', '銀行集團': 'banking group', '零售銀行': 'retail banking'}	['non-performing loan ratio', 'return shareholder equity', 'asset quality', 'countercyclical measure', 'hkma', 'banking industry', 'banking group', 'retail banking']
5	{'企業文化': 'corporate culture', '改革銀行文化': 'bank culture reform', '獎勵制度': 'incentive systems', '監管要求': 'regulatory requirements', '自我評估': 'self-assessment', '評估與回饋機制': 'assessment and feedback mechanisms', '金管局': 'HKMA', '銀行操守部': 'Banking Conduct Department', '銀行文化': 'bank culture initiative', '銀行文化的監管措施': 'supervisory measures for bank culture'}	在監管銀行的行為操守方面，金管局在2010年增設銀行操守部，促進銀行公平待客，並加強保障消費者權益。要做到標本兼治，除了訂出各種針對銀行營運基本操守的監管要求外，我們近年來大力推動改革銀行文化，鼓勵銀行循管治、獎勵制度、評估與回饋機制三方面推動穩善文化，務求銀行內部做到上行下效，在根本上恢復、提升客戶對銀行的信任和尊重。繼2017年金管局向全港銀行提供具體的指引，金管局在2018年底進一步推出銀行文化的監管措施，包括要求銀行就企業文化和落實有關措施作出自我評估等，令穩善銀行文化的三大支柱能有效執行。	On the conduct of banks’ behavior, the HKMA established the Banking Conduct Department in 2010 to promote fair treatment of customers and strengthen protection of consumer rights. To achieve both diagnosis and cure, besides setting various regulatory requirements on basic operational conduct, we have actively promoted a culture of stability and goodness in banks, encouraging adherence through governance, reward systems, and assessment and feedback mechanisms. The aim is to foster a top-down effect within banks, restoring and enhancing customer trust and respect. Following specific guidelines issued to all banks in 2017, the HKMA further launched supervisory measures at the end of 2018, including requiring banks to carry out self-assessments on corporate culture and related measures, ensuring the three pillars of a stable and good banking culture are effectively implemented.	['企業文化', '改革銀行文化', '獎勵制度', '監管要求', '自我評估', '評估與回饋機制', '金管局', '銀行操守部', '銀行文化', '銀行文化的監管措施']	{'企業文化': 'corporate culture', '改革銀行文化': 'banking culture', '獎勵制度': 'reward systems', '監管要求': 'regulatory requirements', '自我評估': 'self-assessments', '評估與回饋機制': 'assessment and feedback mechanisms', '金管局': 'HKMA', '銀行操守部': 'Banking Conduct Department', '銀行文化': 'banking culture', '銀行文化的監管措施': 'banking culture supervisory measures'}	['corporate culture', 'banking culture', 'reward system', 'regulatory requirement', 'self', 'assessment and feedback mechanism', 'hkma', 'banking conduct department', 'banking culture', 'banking culture supervisory measure']
6	{'互聯網和移動金融': 'internet and mobile financial services', '便利店': 'convenience stores', '易辦事': 'Electronic Payment Services', '普及金融': 'financial inclusion', '無障礙設施': 'barrier-free facilities', '網絡': 'cyber space', '聲音導航的自動櫃員機': 'voice navigation ATMs', '金管局': 'HKMA', '銀行業': 'banking sector', '香港郵政': 'Hongkong Post'}	雖然互聯網和移動金融是全球趨勢，金管局去年仍繼續促進普及金融，照顧未能應用新科技的社群。例如我們連同香港銀行公會推動便利店推出長者透過「易辦事」免購物提款服務，有關便利店網絡已增至逾300家；我們並聯絡香港郵政在7家主要位於離島和新界的郵政局推出長者提款易服務。銀行業界響應金管局的建議，年內積極增加無障礙設施，提供傷健共融的銀行服務，例子之一是設有聲音導航的自動櫃員機數目一年內增加逾十倍至超過700部。另外，在金管局積極推動下，我們預期將會陸續有銀行在偏遠地區開設更多實體分行和增設流動銀行服務，便利市民。	"Although the internet and mobile finance are global trends, the HKMA continued to promote financial inclusion last year, taking care of communities unable to adopt new technologies. For example, together with the Hong Kong Association of Banks, we promoted the ""Easy Cash"" withdrawal service at convenience stores for the elderly. The network of participating convenience stores has expanded to more than 300 locations. We also coordinated with Hongkong Post to introduce Elderly Cash Withdrawal service at seven major post offices in outlying islands and the New Territories. In response to the HKMA’s recommendations, banks actively increased barrier-free facilities during the year, providing inclusive banking services. One example is the more than tenfold increase in ATMs with voice navigation, now exceeding 700 units. Additionally, under the HKMA’s proactive promotion, more banks are expected to open additional branches and mobile banking services in remote areas, making it easier for citizens to access banking."	['互聯網和移動金融', '便利店', '易辦事', '普及金融', '無障礙設施', '網絡', '聲音導航的自動櫃員機', '金管局', '銀行業', '香港郵政']	{'互聯網和移動金融': 'internet and mobile finance', '便利店': 'convenience stores', '易辦事': 'Easy Cash', '普及金融': 'financial inclusion', '無障礙設施': 'barrier-free facilities', '網絡': 'internet', '聲音導航的自動櫃員機': 'voice navigation ATMs', '金管局': 'HKMA', '銀行業': '▔', '香港郵政': 'Hongkong Post'}	['internet and mobile finance', 'convenience store', 'easy cash', 'financial inclusion', 'barrier facility', 'internet', 'voice navigation atm', 'hkma', '▔', 'hongkong post']
7	{'智慧銀行': 'Smart Banking'}	# 智慧銀行 嶄新體驗	# Smart Banking: A Brand-New Experience	['智慧銀行']	{'智慧銀行': 'Smart Banking'}	['smart banking']
8	{'交易量': 'transaction number', '共用二維碼': 'Common QR Code', '快速支付系統': 'Faster Payment System', '智慧銀行': 'Smart Banking', '智慧銀行新紀元': 'New Era of Smart Banking', '科技業界': 'technology business', '轉帳服務': 'fund transfer service', '金管局': 'HKMA', '金融科技': 'fintech', '銀行和科技業界': 'banking and information technology industries', '銀行帳戶': 'bank accounts', '零售快速支付系統': 'retail payment platform'}	金管局與銀行和科技業界緊密合作，在2017年9月啟動「智慧銀行新紀元」，推動香港金融科技發展和創新，為市民帶來嶄新的支付和銀行服務體驗。2018年的亮點，無疑是在9月正式開通的「轉數快」。它是全球獨一無二的零售快速支付系統，打破香港各種電子支付工具和銀行帳戶之間的屏障，讓市民享受全年無休的港元和人民幣即時轉帳服務。金管局還同步推出全球首個「共用二維碼」標準和應用程式，商戶可憑單個二維碼接通多個電子支付系統。「轉數快」推出以來深受市民歡迎，短短半年，登記紀錄已逾258萬個，日均交易量達6萬宗，平均每宗金額分別20,700港元和38,000元人民幣。	"The HKMA, in close collaboration with banks and the tech industry, launched the ""Smart Banking Era"" in September 2017 to promote the development and innovation of financial technology in Hong Kong, providing citizens with a new and innovative payment and banking experience. A major highlight in 2018 was the official launch of Faster Payment System (""FPS"") in September. It is a unique retail real-time payment system worldwide, breaking down barriers between various electronic payment tools and bank accounts in Hong Kong, allowing citizens to enjoy 24/7 real-time transfer services in Hong Kong dollars and Renminbi. The HKMA also introduced the world's first “Shared QR Code” standard and application, enabling merchants to connect to multiple electronic payment systems via a single QR code. Since its launch, FPS has been very well received by the public, with over 2.58 million registrations in just six months, daily transaction volume reaching 60,000, with average transaction amounts of HKD 20,700 and Renminbi 38,000 respectively."	['交易量', '共用二維碼', '快速支付系統', '智慧銀行', '智慧銀行新紀元', '科技業界', '轉帳服務', '金管局', '金融科技', '銀行和科技業界', '銀行帳戶', '零售快速支付系統']	{'交易量': 'transaction volume', '共用二維碼': 'Shared QR Code', '快速支付系統': 'Faster Payment System', '智慧銀行': 'Smart Banking', '智慧銀行新紀元': 'Smart Banking Era', '科技業界': 'tech industry', '轉帳服務': 'transfer services', '金管局': 'HKMA', '金融科技': 'financial technology', '銀行和科技業界': 'banks and the tech industry', '銀行帳戶': 'bank accounts', '零售快速支付系統': 'retail payment system'}	['transaction volume', 'shared qr code', 'fast payment system', 'smart banking', 'smart banking era', 'tech industry', 'transfer service', 'hkma', 'financial technology', 'bank and the tech industry', 'bank account', 'retail payment system']
9	{'普及金融': 'financial inclusion', '虛擬銀行牌照': 'virtual bank licence', '虛擬銀行的認可指引': 'Guideline on Authorization of Virtual Banks', '金管局': 'HKMA', '金融科技': 'fintech'}	去年5月，金管局發出虛擬銀行的認可指引，隨即有33家機構提交虛擬銀行牌照的申請。截至今年四月中，四個牌照已經發出，預期它們將於年內正式投入營運。虛擬銀行有助推動香港金融科技發展和創新，為個人和中小企提供嶄新服務和體驗，並促進普及金融。	Last May, the HKMA issued guidelines on the recognition of virtual banks, and 33 institutions submitted applications for virtual banking licenses. As of mid-April this year, four licenses have been granted, and they are expected to officially commence operations within the year. Virtual banks will facilitate the development and innovation of Hong Kong’s financial technology, offering fresh services and experiences to individuals and SMEs, and promoting financial inclusion.	['普及金融', '虛擬銀行牌照', '虛擬銀行的認可指引', '金管局', '金融科技']	{'普及金融': 'financial inclusion', '虛擬銀行牌照': 'virtual banking licenses', '虛擬銀行的認可指引': 'guidelines recognition virtual banks', '金管局': 'HKMA', '金融科技': 'financial technology'}	['financial inclusion', 'virtual banking license', 'guideline recognition virtual bank', 'hkma', 'financial technology']
