	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'container': 'container'}	Why would you need to access HDI containers?	¿Por qué necesitarías acceder a los containers HDI?	['container']	{'container': 'containers'}	['containers']
1	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	Decide if you want to use parallel processing for this job:	Decida si desea utilizar el procesamiento en paralelo para este trabajo:	['parallel processing', 'job']	{'parallel processing': 'procesamiento paralelo', 'job': 'trabajo'}	['procesamiento paralelo', 'trabajo']
2	{'report': 'report'}	Displays in the list report billing elements with or without planned prepayments.	Visualiza en el informe de lista los elementos de facturación con o sin anticipos planificados.	['report']	{'report': 'informe'}	['informe']
3	{'average': 'media'}	The KPI shows the average age in days of assets under construction, and individual items are listed below.	El KPI muestra la edad promedio en días de los activos en construcción, y los elementos individuales se enumeran a continuación.	['average']	{'average': 'promedio'}	['promedio']
4	{'item': 'elemento'}	Once exported, an item stays in the software collection for its entire lifecycle.	Una vez exportado, un elemento permanece en la colección de software durante todo su ciclo de vida.	['item']	{'item': 'elemento'}	['elemento']
5	{'explosion': 'desglose'}	If it's an assembly, the explosion continues to the lowest level.	Si se trata de un conjunto, la explosión continúa hasta el nivel inferior.	['explosion']	{'explosion': 'explosión'}	['explosión']
6	{'add': 'agregar'}	Add a New OAuth Client (Non-SAP Data Center)	Agregar un nuevo cliente OAuth (centro de datos no SAP)	['add']	{'add': 'Agregar'}	['agregar']
7	{'range': 'intervalo'}	Each compute block provides a certain number of vCPUs and a range of 60 to 64 GB of RAM, depending on the hyperscaler.	Cada bloque de cómputo proporciona cierto número de vCPUs y un rango de 60 a 64 GB de RAM, dependiendo del hiperescalador.	['range']	{'range': 'rango'}	['rango']
8	{'source': 'fuente'}	Source systems connected to an SAP LT Replication Server are supported down to:	Los sistemas fuente conectados a un servidor de replicación SAP LT son compatibles hasta:	['source']	{'source': 'fuente'}	['fuente']
9	{'template': 'modelo'}	After you create a new template, you will be directed to the template page, to add text blocks to the template.	Después de crear una nueva plantilla, se te dirigirá a la página de la plantilla para agregar bloques de texto a la plantilla.	['template']	{'template': 'plantilla'}	['plantilla']
10	{'source': 'fuente'}	Data is accessed directly from the source (federation) and read from the virtual table.	Se accede a los datos directamente desde la fuente (federación) y se leen desde la tabla virtual.	['source']	{'source': 'fuente'}	['fuente']
11	{'edit': 'editar'}	Edit Default Waste Generator	Editar productor de residuos predeterminado	['edit']	{'edit': 'Editar'}	['editar']
12	{'reset': 'restablecer'}	Resets the filters.	Restablece los filtros.	['reset']	{'reset': 'Restablece'}	['restablece']
13	{'add': 'añadir'}	You can copy existing items or item sets to add new ones to the sourcing project.	Puede copiar artículos existentes o conjuntos de artículos para añadir nuevos al proyecto de abastecimiento.	['add']	{'add': 'añadir'}	['añadir']
14	{'incident': 'incidencia'}	Access of this category is not based on individual support cases or incidents.	El acceso de esta categoría no se basa en casos de soporte individuales ni en incidentes.	['incident']	{'incident': 'incidentes'}	['incidente']
15	{'template': 'modelo'}	Use the dropdown list in the upper left corner of the dialog box to select the search template you want to use.	Utilice la lista desplegable en la esquina superior izquierda de la ventana para seleccionar la plantilla de búsqueda que desea usar.	['template']	{'template': 'plantilla'}	['plantilla']
16	{'save': 'guardar'}	To save and deploy your ER model to SAP HANA, choose Deploy.	Para guardar y desplegar su modelo ER en SAP HANA, seleccione Deploy.	['save']	{'save': 'guardar'}	['guardar']
17	{'write off': 'ignorar', 'tab': 'pestaña'}	Confirm the write-off action and verify that the selected items have moved from the To Be Billed tab to the To Be Written Off tab.	Confirme la acción de cancelación y compruebe que los elementos seleccionados se hayan movido de la pestaña Por facturar a la pestaña Por ignorar.	['write off', 'tab']	{'write off': 'ignorar', 'tab': 'pestaña'}	['ignorar', 'pestaña']
18	{'partner': 'socio', 'rule': 'regla'}	You create an installment plan, if there are one or more open items in the contract account of a business partner and the business partner cannot fulfill the payment obligation within the scope of the usual payment rules.	Se crea un plan de cuotas si hay uno o más ítems abiertos en la cuenta de contrato de un socio comercial y el socio comercial no puede cumplir con la obligación de pago dentro del alcance de las reglas de pago habituales.	['partner', 'rule']	{'partner': 'socio', 'rule': 'reglas'}	['socio', 'regla']
19	{'reset': 'restablecer'}	Defines when the valuation takes place and whether it is reset.	Define cuándo se realiza la valoración y si se restablece.	['reset']	{'reset': 'restablece'}	['restablecer']
20	{'category': 'tipo'}	Choose Service Part Items as the item category from the Show dropdown list.	Seleccione Partes de servicio como la categoría de artículo en la lista desplegable Mostrar.	['category']	{'category': 'categoría'}	['categoría']
21	{'schedule': 'programación'}	To filter for order operations that are included in a specific schedule, add the Included in Schedule filter to the filter bar.	Para filtrar las operaciones de pedido que estén incluidas en un programa específico, añada el filtro Incluido en la programación a la barra de filtros.	['schedule']	{'schedule': 'programación'}	['programación']
