	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'container': 'container'}	Why would you need to access HDI containers?	¿Por qué necesitaría acceder a los contenedores de HDI?	['container']	{'container': 'contenedores'}	['contenedor']
1	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	Decide if you want to use parallel processing for this job:	Decida si quiere usar procesamiento paralelo para esta tarea:	['parallel processing', 'job']	{'parallel processing': 'procesamiento paralelo', 'job': 'tarea'}	['procesamiento paralelo', 'tarea']
2	{'report': 'report'}	Displays in the list report billing elements with or without planned prepayments.	En el informe de lista, se muestran los elementos de facturación con o sin prepagos planificados.	['report']	{'report': 'informe'}	['informe']
3	{'average': 'media'}	The KPI shows the average age in days of assets under construction, and individual items are listed below.	El KPI muestra la edad promedio en días de los activos en construcción, y a continuación se enumeran los elementos individuales.	['average']	{'average': 'promedio'}	['promedio']
4	{'item': 'elemento'}	Once exported, an item stays in the software collection for its entire lifecycle.	Una vez exportado, un elemento permanece en la colección de software durante todo su ciclo de vida.	['item']	{'item': 'elemento'}	['elemento']
5	{'explosion': 'desglose'}	If it's an assembly, the explosion continues to the lowest level.	Si se trata de una agrupación, la explosión continúa hasta el nivel más bajo.	['explosion']	{'explosion': 'explosión'}	['explosión']
6	{'add': 'agregar'}	Add a New OAuth Client (Non-SAP Data Center)	Agregar un nuevo cliente OAuth (centro de datos que no es SAP)	['add']	{'add': 'Agregar'}	['agregar']
7	{'range': 'intervalo'}	Each compute block provides a certain number of vCPUs and a range of 60 to 64 GB of RAM, depending on the hyperscaler.	Cada bloque de cálculo proporciona un cierto número de vCPU y una gama de 60 a 64 GB de RAM, dependiendo del hiperescalador.	['range']	{'range': 'gama'}	['gama']
8	{'source': 'fuente'}	Source systems connected to an SAP LT Replication Server are supported down to:	Los sistemas de origen conectados a un servidor de replicación SAP LT se admiten hasta:	['source']	{'source': 'origen'}	['origen']
9	{'template': 'modelo'}	After you create a new template, you will be directed to the template page, to add text blocks to the template.	Tras crear una nueva plantilla, se le dirigirá a la página de plantillas para agregar bloques de texto a la plantilla.	['template']	{'template': 'plantilla'}	['plantilla']
10	{'source': 'fuente'}	Data is accessed directly from the source (federation) and read from the virtual table.	Se accede directamente a los datos desde la fuente (federación) y se leen desde la tabla virtual.	['source']	{'source': 'fuente'}	['fuente']
11	{'edit': 'editar'}	Edit Default Waste Generator	Editar Generador de residuos predeterminado	['edit']	{'edit': 'Editar'}	['editar']
12	{'reset': 'restablecer'}	Resets the filters.	Restablece los filtros.	['reset']	{'reset': 'Restablece'}	['restablece']
13	{'add': 'añadir'}	You can copy existing items or item sets to add new ones to the sourcing project.	Puede copiar elementos o conjuntos de elementos existentes para agregar nuevos al proyecto de aprovisionamiento.	['add']	{'add': 'agregar'}	['agregar']
14	{'incident': 'incidencia'}	Access of this category is not based on individual support cases or incidents.	El acceso a esta categoría no se basa en casos o incidentes de apoyo individual.	['incident']	{'incident': 'incidentes'}	['incidente']
15	{'template': 'modelo'}	Use the dropdown list in the upper left corner of the dialog box to select the search template you want to use.	Use la lista desplegable en la esquina superior izquierda de la ventana de diálogo para seleccionar el plantilla de búsqueda que desea utilizar.	['template']	{'template': 'plantilla'}	['plantilla']
