	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	containers	containers	containers	containers	containers	▁22
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
3	informe	informe	informe	informe	informe	informe
4	medio	medio	medio	medio	medio	medio
5	elemento	elemento	elemento	elemento	elemento	elemento
6	explosión	explosión	explosión	explosión	explosión	▁36
7	añadir	añadir	añadir	añadir	añadir	agregar
8	▔	▁2	▔	intervalo	▔	intervalo
9	fuente	fuente	fuente	origen	fuente	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	fuente	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	reinicia	reinicia	reinicia	restaurar	reinicia	restablecer
14	añadir	añadir	añadir	añadir	añadir	agregar
15	incidente	incidente	incidente	incidente	incidente	▁45
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	anulación	anulación	anulación	anulación	anulación	▁78
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	restablecer	reinicia	restablecer	restaurar	restablecer	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁16
24	programación	programación	programación	programación	programación	programación
25	encabezado	editar	encabezado	editar	encabezado	editar
26	completar	completar	completar	completar	completar	▁20
27	pause	pause	pause	pausar	pause	▁51
28	utilizar	utilizar	utilizar	utilizar	utilizar	uso
29	planificación	programación	planificación	programación	planificación	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	horario	programación	horario	programación	horario	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	deudor
34	intervalo	▁2	intervalo	intervalo	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	upgrade	upgrade	upgrade	upgrade	upgrade	upgrade
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de repetición	patrón de recurrencia	patrón de repetición
40	público	público	público	público	público	público
41	programado	programación	programado	programación	programado	programación
42	▔	guardar	▔	guardar	▔	guardar
43	predefinir	predefinir	predefinir	predeterminado	predefinir	predefinir
44	restaurar	reinicia	restaurar	restaurar	restaurar	restablecer
45	▔	▁3	▔	▁1	▔	▁62
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
48	procesar	procesar	procesar	procesar	procesar	procesar
49	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
50	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	completar	completado	completar	completado	▁20
53	informe	informe	informe	informe	informe	informe
54	guardar como	guardar como	guardar como	guardar como	guardar como	guardar como
55	resultado	resultado	resultado	resultado	resultado	▁68
56	programado	programación	programado	programación	programado	programación
57	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
58	cliente	cliente	cliente	cliente	cliente	deudor
59	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
60	suplente	suplente	suplente	suplente	suplente	suplente
61	revisados	revisados	revisados	revisados	revisados	▁64
62	función	función	función	característica	función	▁37
63	cliente	cliente	cliente	cliente	cliente	deudor
64	llamada	llamada	llamada	llamada	llamada	▁15
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloquearán	bloquearán	bloquearán	bloqueado	bloquearán	▁70
68	cambio	cambio	cambio	cambio	cambio	▁18
