	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить заметки, выберите шаблон и откройте область заметок слева от экрана.	['pane']	{'pane': 'область'}	['область']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер контракта, из которого можно выбрать элементы услуг.	['contract']	{'contract': 'контракта'}	['контракт']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Это поле по умолчанию устанавливается в текущую дату, а поле даты возврата будет	['type']	{'type': '▔'}	['▔']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	Однако поведение этого бюджетного настройки интерпретируется по-разному для учетов, отнесенных к типам 'Расходы' или 'Доходы'.	['revenue']	{'revenue': 'Доходы'}	['доход']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (создание, изменение и/или удаление) разрешены для каждого подузла, а также для корневого узла, отметив соответствующие галочки.	['update']	{'update': 'изменение'}	['изменение']
5	{'range': 'интервал'}	Within a time range	В течение интервала времени	['range']	{'range': 'интервала'}	['интервал']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете добавить в закладки свои любимые данные продукты или провайдеры.	['provider']	{'provider': 'провайдеры'}	['провайдер']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя поставщика должно быть уникальным.	['provider']	{'provider': 'поставщика'}	['поставщик']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Прямая связь с страницами объектов соответствующих бизнес-объектов.	['branch']	{'branch': '▔'}	['▔']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Указывает вид элементов, которые вы хотите добавить в проект поставок.	['type']	{'type': 'вид'}	['вид']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если вводная запись соответствует более чем одной записи поиска с оценкой, достигающей этого порога, она помещается в категорию нескольких результатов.	['input']	{'input': 'вводная'}	['вводный']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	Если вы хотите, чтобы автоматическая реконструкция правила выписывала ваши банковские документы в одном шаге, выберите 001 (Одноступенчатое поступление) как значение поля типа процедуры.	['type']	{'type': 'типа'}	['тип']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от вашего диапазона, эта программа может проверять различные виды исходных документов в вашем прогнозном учетном процессе.	['type']	{'type': 'виды'}	['вид']
13	{'purpose': 'цель'}	As a rule, the purpose references the relevant legal basis for the processing of personal data.	Обычно цель указывает на соответствующую правовую основу обработки персональных данных.	['purpose']	{'purpose': 'цель'}	['цель']
14	{'type': 'тип'}	Risk type of this obligation that denotes the risk of the legal document if this obligation is not fulfilled	тип риска этой обязательности, который обозначает риск документа, если эта обязательность не будет выполнена	['type']	{'type': 'тип'}	['тип']
15	{'type': 'тип'}	Enter a meaningful code that will help you to identify the clause type.	Введите значимый код, который поможет вам определить тип положения.	['type']	{'type': 'тип'}	['тип']
16	{'public': 'общедоступный'}	If you're using a network firewall with a proxy, you need to provide the public IPv4 address of your proxy.	Если вы используете сеть с брандмауэром с прокси, вам нужно предоставить общедоступный IPv4-адрес вашего прокси.	['public']	{'public': 'общедоступный'}	['общедоступный']
17	{'provider': 'провайдер'}	Click Toggle Preview Changes again to go back and continue editing your data provider page or save it.	Нажмите снова Toggle Preview Changes, чтобы вернуться и продолжить редактирование страницы провайдера данных или сохранить его.	['provider']	{'provider': 'провайдера'}	['провайдер']
18	{'input': 'ввод'}	Select the Projection operator from the toolbar and drop it in the canvas and then connect a sources or other node to it as input.	Выберите оператор проекции из панели инструментов и поместите его на холст, а затем подключите источник или другой узел к нему как ввод .	['input']	{'input': 'ввод'}	['ввод']
19	{'type': 'тип'}	Depending on the contract type and the pricing model used for the data product, different information can be shown:	В зависимости от типа контракта и используемого модели оплаты для данных продукта, может отображаться разная информация:	['type']	{'type': 'типа'}	['тип']
20	{'postponed': 'отсрочено'}	Unbilled | Postponed | Write Off	Не оплачен | Отложен | Списать	['postponed']	{'postponed': 'Отложен'}	['отложить']
21	{'provider': 'провайдер'}	To edit an existing data provider profile, click .	Чтобы отредактировать существующий профиль провайдера данных, нажмите .	['provider']	{'provider': 'провайдера'}	['провайдер']
22	{'regulation': 'предписание'}	If you enter a text and you want to print documents in different languages, select a regulation and navigate to the Classify Dangerous Good - Packaged Product app.	"Если вы вводите текст и хотите распечатать документы на разных языках, выберите предписание и перейдите к приложению ""Классификация опасного вещества - упакованный продукт""."	['regulation']	{'regulation': 'предписание'}	['предписание']
23	{'provider': 'провайдер'}	To set a data provider or data product as a bookmark, just click on the bookmark icon on the corresponding data provider or data product page.	Чтобы установить провайдер или продукт данных в закладки, просто нажмите на значок закладки на соответствующей странице провайдера или продукта данных.	['provider']	{'provider': 'провайдер'}	['провайдер']
24	{'input': 'ввод'}	The join operator requires two inputs and it generates a single output.	Оператор соединения требует двух вводов и он генерирует один вывод.	['input']	{'input': 'вводов'}	['ввод']
25	{'output': 'вывод'}	Adds an Unmatched Record column to the intelligent lookup output.	"Добавляет столбец ""Не совпадающая запись"" в вывод."	['output']	{'output': 'вывод'}	['вывод']
26	{'billing': 'расчет'}	In work packages that are billed against a time and expense contract, only billable postings are considered for billing.	В расчетах, ведущихся по контракту на оплату за время и расходы, учитываются только расчетные посты.	['billing']	{'billing': 'расчетные'}	['расчётный']
27	{'explosion': 'разузлование'}	On choosing the Summarized Explosion tab, the table provides the following details:	"При выборе вкладки ""Сводная детонация"", таблица предоставляет следующие данные:"	['explosion']	{'explosion': 'детонация'}	['детонация']
28	{'association': 'связь'}	An association describes the relation between business entities.	Связь описывает отношение между бизнес-сущностями.	['association']	{'association': 'Связь'}	['связь']
29	{'group': 'группировать'}	Select Group By criteria:	Выберите критерии группировки:	['group']	{'group': 'группировки'}	['группировка']
30	{'type': 'вид'}	Some of the notification preferences that you set affect all types of notifications, while others are specific to a notification type.	Некоторые из предпочтений уведомлений, которые вы устанавливаете, применяются ко всем видам уведомлений, а другие — только к определённому виду уведомления.	['type']	{'type': 'виду'}	['вид']
31	{'contract': 'договор'}	A contract asset is your company’s right to consideration in exchange for goods or services that your company has transferred to a customer when that right is conditioned on something other than the passage of time (for example, your company’s future performance).	Договорный актив — это право вашей компании на получение вознаграждения в обмен на товары или услуги, переданные вам клиенту, при условии, что это право зависит от чего-либо, кроме прошествия времени (например, будущей деятельности вашей компании).	['contract']	{'contract': 'Договорный'}	['договорный']
32	{'scope': 'объем'}	The Custom Code Migration app allows you to add or remove request entry points to/from the scope manually.	"Приложение ""Миграция кода"" позволяет добавлять или удалять точки входа запроса вручную в/из объема."	['scope']	{'scope': 'объема'}	['объём']
33	{'add-on': 'дополнение'}	SAP Digital Payments Add-On processes the payments and makes them available for the payment advice notes.	СAP Digital Payments Add-On обрабатывает платежи и делает их доступными для платежных рекомендаций.	['add-on']	{'add-on': 'Add-On'}	['add-on']
34	{'mapping': 'сопоставление'}	If switched on, it indicates that each data record of the currently opened business entity finds a match in the selected target business entity with the configured key mapping.	Если включено, оно указывает на то, что каждая запись данных открытого бизнес-сущности находит соответствие в выбранной целевой бизнес-сущности с настроенным сопоставлением ключей.	['mapping']	{'mapping': 'сопоставлением'}	['сопоставление']
35	{'summary': 'сводка'}	Summary of rules and settings that enable allocations.	Свод правил и настроек, обеспечивающих выделения.	['summary']	{'summary': 'Свод'}	['свод']
36	{'global currency': 'валюта отчетности'}	Global Currency – The currency that has been configured for the controlling area.	Глобальная валюта – валюта, настроенная для контролируемой области.	['global currency']	{'global currency': 'Глобальная валюта'}	['глобальный валюта']
37	{'space': 'пространство'}	You can delete audit logs when needed, which will free up disk space.	Вы можете удалить журналы аудита в нужный момент, что освободит пространство на диске.	['space']	{'space': 'пространство'}	['пространство']
38	{'edit': 'редактировать'}	Edit, Save and Activate	Редактировать, Сохранить и Включить	['edit']	{'edit': 'Редактировать'}	['редактировать']
39	{'space': 'пространство'}	Spaces send queries or jobs to the database.	Пространства отправляют запросы или задания в базу данных.	['space']	{'space': 'Пространства'}	['пространство']
40	{'schedule': 'планирование'}	This is why SAP Data Warehouse Cloud has now a log deletion schedule activated by default.	Это поэтому SAP Data Warehouse Cloud теперь имеет активированное по умолчанию планирование удаления журналов.	['schedule']	{'schedule': 'планирование'}	['планирование']
41	{'input': 'ввод'}	The inputs must match in number of the columns, names, data types, and order of corresponding columns.	Вводы должны совпадать по количеству столбцов, названиям, типам данных и порядку соответствующих столбцов.	['input']	{'input': 'Вводы'}	['ввод']
42	{'service entry sheet': 'ведомость учета услуг'}	Using the filter criterion Origin, you can decide which service entry sheets are to be displayed in the list.	"Используя критерий фильтра ""Источник"", вы можете определить, какие ведомости учета услуг будут отображаться в списке."	['service entry sheet']	{'service entry sheet': 'ведомости учета услуг'}	['ведомость учёт услуга']
43	{'provider': 'провайдер'}	Thanks to the product page created by the data provider you get detailed information on the data product and eventually access to sample data, if available.	Благодаря странице продукта, созданной провайдером данных, вы получаете подробную информацию о продукте данных и, в случае его наличия, доступ к образцам данных.	['provider']	{'provider': 'провайдером'}	['провайдер']
44	{'provider': 'провайдер'}	You can search and browse for data products and data providers.	Вы можете искать и просматривать данные продукты и провайдеры.	['provider']	{'provider': 'провайдеры'}	['провайдер']
45	{'range': 'интервал'}	View material consumption or availability for a given time range.	Просмотр расхода материалов или их наличия на заданный интервал.	['range']	{'range': 'интервал'}	['интервал']
46	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score between this threshold and the Matched Records Score, it is placed in the Multiple results category.	Если входящая запись соответствует более чем одной записи поиска с оценкой между этим порогом и оценкой совпадающих записей, она помещается в категорию нескольких результатов.	['input']	{'input': 'входящая'}	['входящий']
47	{'type': 'вид'}	You can add items of different types to your sourcing projects.	Вы можете добавлять элементы различных видов в свои проекты по поставке.	['type']	{'type': 'видов'}	['вид']
48	{'schedule': 'планирование'}	Select the relevant persisted view and create a simple or recurring schedule for your view.	Выберите соответствующий сохраненный вид и создайте простой или повторяющийся планирование для вашего вида.	['schedule']	{'schedule': 'планирование'}	['планирование']
49	{'data provider': 'провайдер данных'}	To be able to use the data product, the data provider will send an activation key via email that provides authorization to access one or multiple data products.	Чтобы использовать продукт данных, провайдер данных отправит по электронной почте активационный ключ, который предоставляет право доступа к одному или нескольким продуктам данных.	['data provider']	{'data provider': 'провайдер данных'}	['провайдер данные']
50	{'residence period': 'период активного хранения'}	At the end of the longest configured residence period, the data is blocked or deleted.	В конце настроенного периода активного хранения данные блокируются или удаляются.	['residence period']	{'residence period': 'периода активного хранения'}	['период активный хранение']
51	{'suspension': 'приостановление'}	Suspension of JVA Projects, Partners, and Equity Groups	Приостановка проектов JVA, партнеров и групп акционеров	['suspension']	{'suspension': 'Приостановка'}	['приостановка']
52	{'project type': 'тип проекта'}	Sourcing Project, Sourcing Project Name, Sourcing Project Type, Central Company Code, Central Purchasing Group, Central Purchasing Organization, Material Group, Currency, Purchasing Responsible, Status.	Проект по поставке, Название проекта	['project type']	{'project type': '▔'}	['▔']
53	{'wizard': 'ассистент'}	Click ImportImport Permissions to open the Import Permissions wizard and follow the instructions.	Нажмите Импорт разрешений, чтобы открыть ассистент по импорту разрешений и следовать инструкциям.	['wizard']	{'wizard': 'ассистент'}	['ассистент']
54	{'flow': 'поток'}	By switching to the lineage view, you can trace the data provisioning and flow of a model.	При переходе в режим просмотра линейки вы можете отслеживать поступление данных и поток модели.	['flow']	{'flow': 'поток'}	['поток']
55	{'mapping': 'сопоставление'}	Choose Define Mapping to assign the fields of your user data from the CSV file to the fields in user management.	Выберите «Определить отображение», чтобы сопоставить поля данных пользователей из файла CSV с полями в управлении пользователями.	['mapping']	{'mapping': '▔'}	['▔']
56	{'due date': 'дата исполнения'}	The app displays all tasks (together with their attributes, such as title, type, status, due date, processor, etc.), and sorts them by due date so that all overdue and due tasks are displayed at a first place.	Программа отображает все задачи (вместе с их атрибутами, например, заголовок, тип, статус, дата исполнения, исполнитель и т. д. ), и сортирует их по дате исполнения, чтобы все просроченные и сроковые задачи отображались в первую очередь.	['due date']	{'due date': 'дата исполнения'}	['дата исполнение']
57	{'tag': 'отметить'}	Select one or more entries to tag your products with related SAP applications.	Выберите один или несколько пунктов, чтобы отметить продукты с помощью связанных приложений SAP.	['tag']	{'tag': 'отметить'}	['отметить']
58	{'provider': 'провайдер'}	The provider has removed the data product from the available data product list.	Провайдер удалил продукт данных из списка доступных продуктов данных.	['provider']	{'provider': 'Провайдер'}	['провайдер']
59	{'transaction': 'транзакция'}	Source Reference Transaction	Источник Отсылка Транзакция	['transaction']	{'transaction': 'Транзакция'}	['транзакция']
60	{'custom field': 'пользовательское поле'}	Publishing or deletion of at least one custom field failed.	Публикация или удаление хотя бы одного пользовательского поля не удалась.	['custom field']	{'custom field': 'пользовательского поля'}	['пользовательский поле']
61	{'pane': 'область'}	Additionally, the structure pane contains the options for template rules and text blocks rules.	Кроме того, в области структуры есть опции для правил шаблона и правил текстовых блоков.	['pane']	{'pane': 'области'}	['область']
62	{'residence period': 'период активного хранения'}	The residence period is part of the overall retention period.	Период активного хранения является частью общего периода хранения.	['residence period']	{'residence period': 'период активного хранения'}	['период активный хранение']
63	{'part': 'деталь'}	Adds the selected part or assembly to the Target (In Work) Panel.	"Добавляет выбранный элемент или сборку в панель ""Цель (В работе)""."	['part']	{'part': 'элемент'}	['элемент']
64	{'range': 'интервал'}	If you select the time range, you get to the know the available quantity of the material.	Если вы выберете интервал времени, вы получите возможность узнать доступное количество материала.	['range']	{'range': 'интервал'}	['интервал']
65	{'provider': 'поставщик'}	In the Manage Cash Pools app, the following service providers are supported:	"В приложении ""Управление денежными фондами"" поддерживаются следующие поставщики услуг:"	['provider']	{'provider': 'поставщики'}	['поставщик']
66	{'balance': 'баланс'}	Balance Transaction Currency – The currency of the G/L account where the journal entry was posted.	Балансовая валюта операции – валюта счета Г/О, на который была поставлена операция.	['balance']	{'balance': 'Балансовая'}	['балансовый']
67	{'copy': 'скопировать'}	The Copy and Remove buttons are active only when at least one alternative control is selected.	"Кнопки ""Копировать"" и ""Удалить"" активны только при выборе хотя бы одного альтернативного элемента управления."	['copy']	{'copy': 'Копировать'}	['копировать']
68	{'accrual': 'разграничение'}	Accruals that have been manually reviewed in the Review Purchase Order Accruals - My Inbox app	"Прибытие, которые были проверены вручную в приложении ""Проверка прибытия при покупке заказа - Мой ящик"""	['accrual']	{'accrual': 'Прибытие'}	['прибытие']
69	{'type': 'вид'}	Select Work Pack Type from the drop-down list.	Выберите тип пакета работ из выпадающего списка.	['type']	{'type': 'тип'}	['тип']
