	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Den Status eines jeden Raumes kann man anhand des Farbcodes oben links erkennen.	['space']	{'space': 'Raumes'}	['raum']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag enthält eine bestimmte Anzahl an verfügbaren Kapazitätseinheiten pro Monat, die Sie nach Belieben auf die Rechen- und Speicherressourcen verteilen können.	['storage']	{'storage': 'Speicherressourcen'}	['speicherressourcen']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	den URL-Link an andere Nutzer mit den entsprechenden Bearbeitungsrechten weitergeben	['share']	{'share': 'weitergeben'}	['weitergeben']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie die Einschränkung für die Folgeoperation aufheben, kann die Operation automatisch umgeplant werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie den Mandanten nicht konfiguriert haben, können Sie nur die Verwaltungsfunktionen von SAP Data Warehouse Cloud verwenden (aber Sie können keine Spaces in der Seite Space Management erstellen).	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Aufgabenbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Aufgabenbereich'}	['aufgabenbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Benötigte Berechtigungen für die Oracle-Triggerbasierte Replikation in SAP HANA Smart Data Integration und SAP HANA Smart Data Quality	['trigger']	{'trigger': '▔'}	['▔ertrat<sos>']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Binden Sie eine Konto mit Ihrem Bereich, um Verbindungen für Verbinderinstanzen erstellen und verwenden Sie die Verbindungen für Daten Flüsse.	['connector']	{'connector': 'Verbinderinstanzen'}	['verbinderinstanzen']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsabgleichsgruppe ist ein Attribut, mit dem Sie Ihre Kreditoren und Debitoren in Gruppen einteilen können.	['customer', 'supplier']	{'customer': 'Kreditoren', 'supplier': 'Kreditoren'}	['kreditor', 'kreditor']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Wählen Sie die entsprechende Checkbox für auftragsgesteuerte MRP-Komponenten bzw. oberste Materialien aus.	['demand-driven']	{'demand-driven': 'auftragsgesteuerte'}	['auftragsgesteuern']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	Durch Klicken auf „Lizenz erstellen“ erstellen Sie eine Lizenz für einen oder mehrere Ihrer Datenprodukte und generieren Aktivierungsschlüssel, die Sie mit den Kunden teilen können, damit diese den lizenzierten Umfang der Datenprodukte nutzen können.	['create']	{'create': 'erstellen'}	['erstellen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	Steuern Sie Ihre Union in der Sektion Zuordnungen des Seitenfensters:	['side panel']	{'side panel': 'Seitenfensters'}	['seitenfenster']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Die Evaluation der Modellversion erfolgt anhand zweier Hauptindikatoren.	['indicator']	{'indicator': 'Hauptindikatoren'}	['hauptindikator']
13	{'query': 'Abfrage'}	The database then has to decide which job or query has to be dealt with first.	Die Datenbank muss nun entscheiden, welche Aufgabe bzw. Anfrage zuerst bearbeitet werden soll.	['query']	{'query': 'Anfrage'}	['anfrage']
14	{'provider': 'Provider'}	Address, e-mail, phone number, etc of the provider	Anschrift, E-Mail-Adresse, Telefonnummer etc. des Anbieters	['provider']	{'provider': 'Anbieters'}	['anbieter']
15	{'space': 'Space'}	The name should be unique within a space.	Der Name muss innerhalb eines Bereichs einzigartig sein.	['space']	{'space': 'Bereichs'}	['bereich']
16	{'intercompany': 'buchungskreisübergreifend'}	Display the IDs of intercompany customer invoices, customer invoices, and intercompany supplier invoices	Die IDs von konzernübergreifenden Kunden- und Lieferantenrechnungen anzeigen	['intercompany']	{'intercompany': 'konzernübergreifenden'}	['konzernübergreifen']
17	{'history': 'Verlauf', 'release': 'Release'}	To lock a specific release of a data product, open the release history of the selected product, select the release you want to lock and select the checkbox Locked.	Um eine bestimmte Version eines Datenprodukts zu sperren, öffnen Sie den Versionsverlauf des gewünschten Produkts, wählen Sie die zu sperrende Version aus und aktivieren Sie das Kontrollkästchen Gesperrt.	['history', 'release']	{'history': 'Versionsverlauf', 'release': 'Version'}	['versionsverlaufen', 'version']
18	{'data provider': 'Datenprovider'}	This varies depending on how the data provider offers their products.	Das hängt davon ab, wie der Datenanbieter seine Produkte anbietet.	['data provider']	{'data provider': 'Datenanbieter'}	['datenanbieter']
19	{'access control': 'Zugriffskontrolle'}	Create a data access control to filter data in views and business layer objects by one or more criteria.	Erstellen Sie eine Datenzugriffssteuerung, um Daten in Views und Business Layer-Objekte nach einem oder mehreren Kriterien zu filtern.	['access control']	{'access control': 'Datenzugriffssteuerung'}	['datenzugriffssteuern']
20	{'data provider': 'Datenprovider'}	Retrieve your favorite data providers and data products.	Finden Sie die für Sie besten Datenprovider und Produkte.	['data provider']	{'data provider': 'Datenprovider'}	['datenprovider']
21	{'section': 'Bereich'}	Choose Fuzzy Match to display the Match Thresholds section.	Wählen Sie „Fuzzy Match“ (Unscharfer Abgleich), um den Abschnitt „Abgleichsschwellen“ anzuzeigen.	['section']	{'section': 'Abgleichsschwellen'}	['abgleichsschwellen']
22	{'provider': 'Provider'}	You can see which products were last released by the provider.	Sie können sehen, welche Produkte der Anbieter zuletzt veröffentlicht hat.	['provider']	{'provider': 'Anbieter'}	['anbieter']
23	{'provider': 'Provider'}	It’s maintained by the provider and the information might differs from one provider to another.	Es wird vom Anbieter gepflegt und die Informationen können je nach Anbieter verschieden sein.	['provider']	{'provider': 'Anbieter'}	['anbieter']
24	{'release': 'Release'}	To lock all the releases of a data product, select the product and select the checkbox Locked.	Um alle Versionen eines Datenprodukts zu sperren, wählen Sie das Produkt aus und aktivieren das Kontrollkästchen Gesperrt.	['release']	{'release': 'Versionen'}	['version']
25	{'assigned': 'zugewiesen'}	The Product Allocation Order Items card displays only those order items with confirmation quantity assigned to a characteristic value combination containing the specified characteristic or values.	In der Karte Auftragsposten mit Produktzuweisung werden nur die Auftragsposten mit einer Bestätigungsmenge angezeigt, die eine Merkmalskombination mit dem festgelegten Merkmal oder den festgelegten Werten aufweisen.	['assigned']	{'assigned': 'Bestätigungsmenge'}	['bestätigungsmenge']
26	{'storage': 'Speicher', 'space': 'Platz'}	This space is close to exceeding it's storage quota.	Dieser Speicherplatz wird in Kürze die maximale Speicherkapazität erreichen.	['storage', 'space']	{'storage': 'Speicherkapazität', 'space': 'Speicherplatz'}	['speicherkapazität', 'speicherplatz']
27	{'period': 'Zeitraum'}	Older period includes data older than the last year.	Früher Zeitraum enthält Daten aus dem Jahr davor.	['period']	{'period': 'Zeitraum'}	['zeitraum']
28	{'data provider': 'Datenprovider', 'create': 'erstellen'}	Create or Edit a Data Provider Profile	Erstellen oder Bearbeiten eines Datenprovider-Profils	['data provider', 'create']	{'data provider': 'Datenprovider', 'create': 'Erstellen'}	['datenprovider', 'erstellen']
29	{'data provider': 'Datenprovider'}	In the Switch Data Provider dialog:	Im Dialogfeld Datenquellen wechseln:	['data provider']	{'data provider': 'Datenquellen'}	['datenquellen']
30	{'space': 'Space'}	Select your Space	Den Space auswählen	['space']	{'space': 'Space'}	['space']
31	{'data provider': 'Datenprovider'}	Thanks to the product page created by the data provider you get detailed information on the data product and eventually access to sample data, if available.	Dank der vom Datenprovider erstellten Produktseite erhalten Sie detaillierte Informationen zum Datenprodukt und eventuell Zugriff auf Beispieldaten, sofern verfügbar.	['data provider']	{'data provider': 'Datenprovider'}	['datenprovider']
32	{'consumption model': 'Verbrauchsmodell'}	To guarantee a smooth roll-out of updates to any object without immediately affecting or even breaking fact models, consumption models, or perspectives, you can derive versions of objects.	Um die reibungslose Durchführung von Aktualisierungen bei einem beliebigen Objekt zu gewährleisten, ohne dass dabei unmittelbar die Faktenmodelle, Konsummodelle oder Perspektiven beeinträchtigt oder gar beschädigt werden, können Sie Objektversionen ableiten.	['consumption model']	{'consumption model': 'Konsummodelle'}	['konsummodell']
33	{'reference quantity': 'Referenzmenge'}	You can display the reference quantity and the simulation quantity side by side.	Die Referenzmenge und die Simulationsmenge werden nebeneinander angezeigt.	['reference quantity']	{'reference quantity': 'Referenzmenge'}	['referenzmenge']
34	{'period': 'Periode'}	The inspector detects issues for each top-level material per time period.	Der Inspektor identifiziert Probleme für jedes Hauptmaterial pro Zeitperiode.	['period']	{'period': 'Zeitperiode'}	['zeitperiode']
35	{'root': 'Stamm'}	Any path used with this connection will be prefixed with this root path.	Alle Pfade, die mit dieser Verbindung verwendet werden, erhalten diesen Wurzelpfad vorangestellt.	['root']	{'root': 'Wurzelpfad'}	['wurzelpfad']
36	{'type': 'Art'}	It must be unique for the clause type in each language.	Jeder Klauselart muss ein eindeutiger Name in jeder Sprache zugewiesen werden.	['type']	{'type': 'Klauselart'}	['klauselart']
37	{'acceptance': 'Abnahme'}	Enables you to indicate if the acceptance of an ordered item is to take place at the point of origin.	Ermöglicht Ihnen anzugeben, ob die Abnahme eines bestellten Gutes am Ursprungsort stattfinden soll.	['acceptance']	{'acceptance': 'Abnahme'}	['abnahme']
38	{'space': 'Space'}	Enter a name for your space.	Geben Sie einen Namen für Ihren Space an.	['space']	{'space': 'Space'}	['space']
39	{'revision': 'überarbeitete Version'}	Changes within the same version are saved as new revisions.	Veränderungen innerhalb derselben Version werden als neue Revision gespeichert.	['revision']	{'revision': 'Revision'}	['revision']
40	{'data provider': 'Datenprovider'}	You can search and purchase analytical data from data providers.	Sie können bei Datenprovidern nach analytischen Daten suchen und diese kaufen.	['data provider']	{'data provider': 'Datenprovidern'}	['datenprovidern']
41	{'start': 'Start'}	The projected plant stock can be calculated from the current stock- or requirements situation for the start date of the reference object.	Der projizierte Pflanzenbestand lässt sich aus der aktuellen Bestand- bzw. Bedarfsituation zum Anfangszeitpunkt des Referenzobjekts berechnen.	['start']	{'start': 'Anfangszeitpunkt'}	['anfangszeitpunkt']
42	{'pricing date': 'Preisfindungsdatum'}	Provide all the mandatory details such as the Pricing Date, Currency, and Quantity, and choose Simulate.	Geben Sie alle Pflichtangaben ein, z. B. Preisdatum, Währung und Menge, und wählen Sie „Simulieren“.	['pricing date']	{'pricing date': 'Preisdatum'}	['preisdatum']
43	{'layer': 'Schicht'}	Data Layer Object Properties - Shared Content Between WA and HP	Eigenschaften von Datenebenen-Objekten – gemeinsamer Inhalt zwischen WA und HP	['layer']	{'layer': 'Datenebenen-Objekten'}	['dateneben']
44	{'create': 'erstellen'}	Select Create Filter and add your filter conditions:	Wählen Sie Create Filter (Filter erstellen) und fügen Sie Ihre Filtereinstellungen hinzu:	['create']	{'create': 'erstellen'}	['erstellen']
45	{'space': 'Space'}	Create a new space.	Einen neuen Bereich erstellen.	['space']	{'space': 'Bereich'}	['bereich']
46	{'type': 'Typ'}	In each condition record where you define a scale value, you can further specify the scale type.	In jedem Konditionssatz, in dem Sie einen Skalenwert definieren, können Sie auch den Skalentyp angeben.	['type']	{'type': 'Skalentyp'}	['skalentyp']
47	{'schedule': 'Zeitplan', 'summary': 'Übersicht'}	This is the summary of your schedule.	Dies ist die Zusammenfassung Ihres Zeitplans.	['schedule', 'summary']	{'schedule': 'Zeitplans', 'summary': 'Zusammenfassung'}	['zeitplan', 'zusammenfassung']
48	{'space': 'Space'}	Select the Space you would like to work in.	Wählen Sie den Space, in dem Sie arbeiten möchten.	['space']	{'space': 'Space'}	['space']
49	{'report': 'Bericht'}	The following reporting periods are not available in this app:	Die folgenden Berichtsperioden sind nicht über diese App verfügbar:	['report']	{'report': 'Berichtsperioden'}	['berichtsperioden']
50	{'consumption model': 'Verbrauchsmodell'}	You can define measures for your consumption model.	Sie können für Ihr Verbrauchsmodell Kennzahlen definieren.	['consumption model']	{'consumption model': 'Verbrauchsmodell'}	['verbrauchsmodell']
51	{'trigger': 'Auslöser'}	[if Enable Statement-level Triggers = true] Create Statement-level Insert Triggers	[if Enable Statement-level Triggers = true] Trigger auf Statement-Ebene erstellen	['trigger']	{'trigger': 'Trigger'}	['trigger']
52	{'order': 'Auftrag'}	The Work Center column lists the resource of the corresponding order.	In der Spalte Work Center wird die Ressource aufgeführt, die mit der Auftragsbearbeitung betraut ist.	['order']	{'order': 'Auftragsbearbeitung'}	['auftragsbearbeitungen']
53	{'client': 'Client'}	Make your view visible to analytical clients.	Mach die View analytisch nutzbar.	['client']	{'client': 'analytisch'}	['analytisch']
54	{'interval': 'Intervall'}	Defines a relative time interval for which you want to determine the creation of the necessary physical inventory documents for your cycle counting process.	Legt ein relatives Zeitintervall fest, für das die notwendigen physikalischen Bestandserfassungsbelege für Ihr Zykluszählverfahren erstellt werden sollen.	['interval']	{'interval': 'Zeitintervall'}	['zeitintervall']
55	{'space': 'Space'}	see the storage status of your space	• Überprüfen Sie den Status Ihres Speicherplatzes	['space']	{'space': 'Speicherplatz'}	['speicherplatz']
56	{'create': 'erstellen'}	If you wish to create a role without extending a predefined standard role, choose the blank template.	Wähle die leere Vorlage, wenn du eine Rolle erstellen möchtest, ohne eine vordefinierte Standard-Rolle zu erweitern.	['create']	{'create': 'erstellen'}	['erstellen']
57	{'task log': 'Aufgabenprotokoll'}	You access these detailed task logs by navigating to the Data Integration Monitor - Details screen of the relevant task.	Sie können auf diese detaillierten Aufgabenprotokolle zugreifen, indem Sie zum Bildschirm „Integrationsmonitor – Details“ für die entsprechende Aufgabe navigieren.	['task log']	{'task log': 'Aufgabenprotokolle'}	['aufgabenprotokoll']
58	{'provider': 'Provider'}	When a new delivery is made available by the provider, the Status of your data product is outdated.	Wenn eine neue Lieferung bereitgestellt ist, ist der Status Ihres Datenprodukts nicht mehr aktuell.	['provider']	{'provider': '▔'}	['▔ertrat<sos>']
59	{'connector': 'Connector'}	Cloud Connectors that you want to use for data flows only don't require an entry in this list.	Cloud Connectors, die nur zum Übertragen von Daten verwendet werden, erfordern keinen Eintrag in dieser Liste.	['connector']	{'connector': '▔'}	['▔ertrat<sos>']
60	{'release': 'Release'}	To publish the release at a later point in time, click Save.	Wenn die Veröffentlichung zu einem späteren Zeitpunkt erfolgen soll, wählen Sie Speichern.	['release']	{'release': 'Veröffentlichung'}	['veröffentlichung']
61	{'skill': 'Qualifikation'}	These skills are specified in the resource request.	Diese Qualifikationen sind in der Ressourcenanforderung angegeben.	['skill']	{'skill': 'Qualifikationen'}	['qualifikation']
62	{'provider': 'Provider'}	The provider has removed the data product from the available data product list.	Der Anbieter hat das Datenprodukt aus der Liste der verfügbaren Datenprodukte entfernt.	['provider']	{'provider': 'Anbieter'}	['anbieter']
63	{'data provider': 'Datenprovider'}	To activate a data provider profile for which you’ve received an activation key, click Activate, enter the key, and click Activate.	Zur Aktivierung eines Datenanbieterprofils, für das Sie einen Aktivierungsschlüssel erhalten haben, klicken Sie auf Activate, geben Sie den Schlüssel ein und klicken Sie dann auf Activate.	['data provider']	{'data provider': 'Datenanbieterprofils'}	['datenanbieterprofilsen']
64	{'Menu': 'Menü'}	Rename a column by clicking MenuChange Business Name	Eine Spalte umbenennen, indem Sie im Menü auf Geschäftsname klicken	['Menu']	{'Menu': 'Menü'}	['menü']
65	{'allocation': 'Zuordnung'}	Dynamic Memory Allocation for Data Flows	Dynamische Zuweisung von Speicher für Datenflüsse	['allocation']	{'allocation': 'Zuweisung'}	['zuweissgen']
66	{'data provider': 'Datenprovider'}	To manage your products and licenses, to publish new releases, and to maintain your data provider profile page, the Data Sharing Cockpit offers you tailored apps for each task and workflow.	Um Ihre Produkte und Lizenzen zu verwalten, neue Releases zu veröffentlichen und Ihre Datenanbieter-Profilseite zu pflegen, stehen Ihnen im Data Sharing Cockpit für jede Aufgabe und jeden Arbeitsablauf maßgeschneiderte Apps zur Verfügung.	['data provider']	{'data provider': 'Datenanbieter'}	['datenanbieter']
67	{'release': 'Release'}	Save or publish a release.	Speichern oder veröffentlichen Sie einen Release.	['release']	{'release': 'Release'}	['release']
68	{'message': 'Nachricht'}	Read the messages to understand if there are any errors or warnings, if the actions you performed on the template were successful, if further action is required from you, and so on.	Lesen Sie die Meldungen, um zu erkennen, ob Fehler oder Warnungen aufgetreten sind, ob die Aktionen, die Sie auf der Vorlage ausgeführt haben, erfolgreich waren, ob Sie weitere Aktionen durchführen müssen usw.	['message']	{'message': 'Meldungen'}	['meldung']
69	{'space': 'Platz'}	Resolve the memory issues by deleting unecessary data in your space or by assigning more memory to your space.	Lösen Sie das Speicherproblem, indem Sie überflüssige Daten im Speicher löschen oder diesem mehr Speicher zuweisen.	['space']	{'space': 'Speicher'}	['speicher']
70	{'end user': 'Endbenutzer'}	Choose the Go to App button to open the end user app.	Wählen Sie „Zur App gehen“, um die App für Endbenutzer zu öffnen.	['end user']	{'end user': 'Endbenutzer'}	['endbenutzer']
71	{'data provider': 'Datenprovider'}	Enter an email address for the internal communication between you as the data provider and SAP.	Geben Sie eine E-Mail-Adresse ein, über die die interne Kommunikation zwischen Ihnen als Datenanbieter und SAP abgewickelt wird.	['data provider']	{'data provider': 'Datenanbieter'}	['datenanbieter']
72	{'data provider': 'Datenprovider'}	You can now switch to the data provider profile.	Sie können nun zum Profil des Datenanbieters wechseln.	['data provider']	{'data provider': 'Datenanbieters'}	['datenanbieters']
73	{'create': 'erstellen'}	Create Local Tables	Lokale Tabellen erstellen	['create']	{'create': 'erstellen'}	['erstellen']
74	{'create': 'erstellen'}	If the required connection is not available for selection, you or an administrator need to create the tunnel connection before you can create the SAP BW/4HANA Model Transfer connection.	Sofern die benötigte Verbindung nicht verfügbar ist, müssen Sie bzw. ein Administrator diese Tunnelverbindung erst erstellen, bevor Sie die SAP BW/4HANA Model Transfer-Verbindung einrichten können.	['create']	{'create': 'erstellen'}	['erstellen']
75	{'space': 'Space'}	Set your space priority.	Legen Sie Ihre Raumpriorität fest.	['space']	{'space': 'Raumpriorität'}	['raumpriorität']
76	{'breadcrumb': 'Klickpfad'}	Click the consumption model name in the shell bar breadcrumbs to return to it, and then click the  Perspectives tab.	Klicken Sie im Klickpfad auf den Namen des Verbrauchsmodells, um zu diesem zurückzukehren, und klicken Sie anschließend auf den Tab Perspektiven.	['breadcrumb']	{'breadcrumb': 'Klickpfad'}	['klickpfad']
77	{'provider': 'Provider'}	You can edit the predefined email and then send it to the provider who then gets in touch with you.	Du kannst die vordefinierte E-Mail bearbeiten und anschließend an den Anbieter senden, der sich dann mit dir in Verbindung setzt.	['provider']	{'provider': 'Anbieter'}	['anbieter']
78	{'incident': 'Meldung'}	For the Heath Check Support  access category, the incident ID references SAP internal incidents raised by automatic health checks.	Für die Supportzugangskategorie „Heath Check Support“ verweist die Vorfall-ID auf Vorfälle im SAP-System, die durch automatisierte Health Checks ausgelöst wurden.	['incident']	{'incident': 'Vorfall-ID'}	['vorfall']
79	{'business name': 'betriebswirtschaftlicher Name'}	Modify the properties of objects, including providing business names for them to make them easier to identify and use for non-technical users.	Ändern Sie die Eigenschaften von Objekten, indem Sie beispielsweise Geschäftsnamen hinzufügen, um die Objekte für nicht-technische Benutzer leichter zu identifizieren und zu verwenden.	['business name']	{'business name': 'Geschäftsnamen'}	['geschäftsnamen']
80	{'work center': 'Arbeitsplatz'}	You can view all top-level materials of the work center.	Alle Materialien der höchsten Ebene werden angezeigt.	['work center']	{'work center': '▔'}	['▔ertrat<sos>']
