	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	space	space	space	space	space	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicher	speicherressourcen	speicher
2	teilen	teilen	teilen	teilen	teilen	teilen
3	abhängigkeit	abhängigkeit	abhängigkeit	abhängigkeit	abhängigkeit	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	zuständigkeit	zuständigkeit	zuständigkeit	zuständigkeit	zuständigkeit	▁17
6	auslöserbasieren	auslöserbasieren	auslöserbasieren	auslöserbasieren	auslöserbasieren	auslöser
7	konnektorinstanzen	konnektorinstanzen	konnektorinstanzen	eintragung	konnektorinstanzen	▁39
8	kunde	kunde	kunde	kunde	kunde	▁40
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁128
10	nachfragedurchlaufkontingen	nachfragedurchlaufkontingen	nachfragedurchlaufkontingen	nachfragedurchlaufkontingen	nachfragedurchlaufkontingen	▁44
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	hauptindikator	hauptindikator	indikator
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	provider	provider	provider	provider	provider	provider
16	space	space	space	space	space	space
17	interfirmen	interfirmen	interfirmen	intern	interfirmen	▁67
18	releasehistoreinen	releasehistoreinen	releasehistoreinen	historie	releasehistoreinen	▁62
19	release	release	release	release	release	release
20	datenanbieter	datenanbieter	datenanbieter	datenprovider	datenanbieter	datenanbieter
21	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	zugriffskontrolle
22	datenprovider	datenanbieter	datenprovider	datenprovider	datenprovider	datenanbieter
23	bereich	bereich	bereich	bereich	bereich	bereich
24	provider	provider	provider	provider	provider	provider
25	anbieter	provider	anbieter	provider	anbieter	provider
26	release	release	release	release	release	release
27	bestätigungsmenge	bestätigungsmenge	bestätigungsmenge	bestätigungsmenge	bestätigungsmenge	zuweisen
28	speicherkapazität	speicherressourcen	speicherkapazität	speicher	speicherkapazität	speicher
29	space	space	space	space	space	space
30	zeitraum	zeitraum	zeitraum	zeitabschnitt	zeitraum	zeitraum
31	datenprovider	datenanbieter	datenprovider	datenprovider	datenprovider	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	datenprovider	datenanbieter	datenprovider	datenprovider	datenprovider	datenanbieter
34	space	space	space	space	space	space
35	datenprovider	datenanbieter	datenprovider	datenprovider	datenprovider	datenanbieter
36	verbrauchsmodellen	verbrauchsmodellen	verbrauchsmodellen	verbrauchsmodell	verbrauchsmodellen	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitabschnitt	zeitraum	zeitabschnitt	zeitabschnitt	zeitabschnitt	zeitraum
39	stammpfad	stammpfad	stammpfad	stammpfad	stammpfad	▁110
40	klauseltyp	klauseltyp	klauseltyp	art	klauseltyp	art
41	annahme	annahme	annahme	annahme	annahme	▁9
42	space	space	space	space	space	space
43	revision	revision	revision	revision	revision	▁109
44	datenanbieter	datenanbieter	datenanbieter	datenprovider	datenanbieter	datenanbieter
45	startzeitpunkt	startzeitpunkt	startzeitpunkt	beginn	startzeitpunkt	▁121
46	preisdatum	preisdatum	preisdatum	preisdatum	preisdatum	▁92
47	datenlayern	datenlayern	datenlayern	datenlayern	datenlayern	▁71
48	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
49	space	space	space	space	space	space
50	skalentyp	klauseltyp	skalentyp	art	skalentyp	art
51	terminplan	terminplan	terminplan	terminplan	terminplan	terminplan
52	zusammenfassung	zusammenfassung	zusammenfassung	rechnungssummen	zusammenfassung	▁127
53	space	space	space	space	space	space
54	berichtszeitraum	berichtszeitraum	berichtszeitraum	bericht	berichtszeitraum	report
