	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'container': 'container'}	Why would you need to access HDI containers?	¿Por qué necesitas acceder a los contenedores HDI?	['container']	{'container': 'contenedores'}	['contenedor']
1	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	Decide if you want to use parallel processing for this job:	Decide si desea utilizar la capacidad de procesamiento paralelo para esta tarea:	['parallel processing', 'job']	{'parallel processing': 'procesamiento paralelo', 'job': 'tarea'}	['procesamiento paralelo', 'tarea']
2	{'report': 'report'}	Displays in the list report billing elements with or without planned prepayments.	En la lista, se muestran los elementos de facturación con o sin pagos anticipados programados.	['report']	{'report': 'lista'}	['lista']
3	{'average': 'media'}	The KPI shows the average age in days of assets under construction, and individual items are listed below.	El KPI muestra la edad promedio en días de los activos en proceso de construcción, con los ítems individuales listados a continuación.	['average']	{'average': 'promedio'}	['promedio']
4	{'item': 'elemento'}	Once exported, an item stays in the software collection for its entire lifecycle.	Una vez que se exporta un elemento, este permanecerá en la colección de software durante su ciclo de vida completo.	['item']	{'item': 'elemento'}	['elemento']
5	{'explosion': 'desglose'}	If it's an assembly, the explosion continues to the lowest level.	Si es una estructura, la explosión se propaga al nivel inferior.	['explosion']	{'explosion': 'explosión'}	['explosión']
6	{'add': 'agregar'}	Add a New OAuth Client (Non-SAP Data Center)	Agregar un nuevo cliente de OAuth (centro de datos no perteneciente a SAP)	['add']	{'add': 'Agregar'}	['agregar']
7	{'range': 'intervalo'}	Each compute block provides a certain number of vCPUs and a range of 60 to 64 GB of RAM, depending on the hyperscaler.	Cada bloque de computación tiene asignado un número determinado de vCPUs y una cantidad de RAM que oscila entre 60 y 64 GB, dependiendo del hiperescalador.	['range']	{'range': 'oscila'}	['oscilar']
8	{'source': 'fuente'}	Source systems connected to an SAP LT Replication Server are supported down to:	Los sistemas fuente conectados a un servidor de replicación de SAP LT están soportados hasta:	['source']	{'source': 'fuente'}	['fuente']
9	{'template': 'modelo'}	After you create a new template, you will be directed to the template page, to add text blocks to the template.	Una vez que crea una nueva plantilla, se le dirigirá a la página de plantillas, donde podrá agregar bloques de texto a la plantilla.	['template']	{'template': 'plantilla'}	['plantilla']
10	{'source': 'fuente'}	Data is accessed directly from the source (federation) and read from the virtual table.	Se puede acceder directamente a los datos desde la fuente (federación) y leerlos desde la tabla virtual.	['source']	{'source': 'fuente'}	['fuente']
11	{'edit': 'editar'}	Edit Default Waste Generator	Editar el generador de residuos predeterminado.	['edit']	{'edit': 'Editar'}	['editar']
12	{'reset': 'restablecer'}	Resets the filters.	Restablece los filtros.	['reset']	{'reset': 'Restablece'}	['restablece']
13	{'add': 'añadir'}	You can copy existing items or item sets to add new ones to the sourcing project.	Puede copiar artículos existentes o conjuntos de artículos para agregar otros nuevos al proyecto de aprovisionamiento.	['add']	{'add': 'agregar'}	['agregar']
14	{'incident': 'incidencia'}	Access of this category is not based on individual support cases or incidents.	El acceso a esta categoría no se basa en casos de soporte individuales o incidencias.	['incident']	{'incident': 'incidencias'}	['incidencia']
15	{'template': 'modelo'}	Use the dropdown list in the upper left corner of the dialog box to select the search template you want to use.	Utiliza el menú desplegable que se encuentra en la esquina superior izquierda del cuadro de diálogo para elegir la plantilla de búsqueda que desees utilizar.	['template']	{'template': 'plantilla'}	['plantilla']
16	{'save': 'guardar'}	To save and deploy your ER model to SAP HANA, choose Deploy.	Para guardar e implementar su modelo de ER en SAP HANA, elija Implementar.	['save']	{'save': 'guardar'}	['guardar']
17	{'write off': 'ignorar', 'tab': 'pestaña'}	Confirm the write-off action and verify that the selected items have moved from the To Be Billed tab to the To Be Written Off tab.	Confirme la acción de amortización y verifique que los elementos seleccionados hayan pasado de la pestaña de artículos pendientes de facturar a la de artículos pendientes de amortizar.	['write off', 'tab']	{'write off': 'amortización', 'tab': 'pestaña'}	['amortización', 'pestaña']
18	{'partner': 'socio', 'rule': 'regla'}	You create an installment plan, if there are one or more open items in the contract account of a business partner and the business partner cannot fulfill the payment obligation within the scope of the usual payment rules.	Se crea un plan de pagos a plazos cuando existe una o más facturas pendientes en la cuenta contractual de un socio comercial y el socio comercial no puede cumplir con la obligación de pago dentro del ámbito de las normas de pago habituales.	['partner', 'rule']	{'partner': 'socio', 'rule': 'normas'}	['socio', 'norma']
19	{'reset': 'restablecer'}	Defines when the valuation takes place and whether it is reset.	Determina cuándo se realiza la tasación y si debe ser reajustada.	['reset']	{'reset': 'reajustada'}	['reajustada']
20	{'category': 'tipo'}	Choose Service Part Items as the item category from the Show dropdown list.	"Seleccione ""Piezas de repuesto"" en el menú desplegable ""Mostrar"" como categoría de artículos."	['category']	{'category': 'categoría'}	['categoría']
21	{'schedule': 'programación'}	To filter for order operations that are included in a specific schedule, add the Included in Schedule filter to the filter bar.	Para filtrar aquellas operaciones de pedido incluidas en un plan específico, añada el filtro “Incluido en plan” en la barra de filtros.	['schedule']	{'schedule': 'plan'}	['plan']
22	{'edit': 'editar'}	You can only edit headers for Inactive units.	Solo se pueden editar los encabezados de unidades inactivas.	['edit']	{'edit': 'editar'}	['editar']
23	{'completed': 'concluido'}	This overview contains all repair objects that have not been completed yet.	En este resumen aparecen todos los trabajos de reparación pendientes de finalización.	['completed']	{'completed': 'finalización'}	['finalización']
24	{'pause': 'interrumpir'}	Pause real-time replication to enable editing connection properties.	Pausa la replicación en tiempo real para permitir editar las propiedades de la conexión.	['pause']	{'pause': 'Pausa'}	['pausa']
25	{'use': 'utilizar'}	Save your business entity to make it available for use in fact models and consumption models.	Guarde su entidad comercial para poder usarla en modelos de facturación y modelos de consumo.	['use']	{'use': 'usar'}	['usar']
26	{'schedule': 'programación'}	This means that the work center change is only visible in your schedule and is not yet saved in the maintenance order.	Esto significa que el cambio al centro de trabajo solo está visible en su calendario y aún no está guardado en el pedido de mantenimiento.	['schedule']	{'schedule': 'calendario'}	['calendario']
27	{'delete': 'eliminar'}	To delete an activation key, click the first column of the corresponding row and then Delete.	Si desea eliminar una clave de activación, haga clic en la primera columna de la fila correspondiente y, a continuación, elija el botón Eliminar.	['delete']	{'delete': 'Eliminar'}	['eliminar']
28	{'schedule': 'calendario'}	Modify your order schedules to prioritize overdue or late orders.	Modifique los plazos de sus pedidos para dar prioridad a aquellos atrasados o pendientes.	['schedule']	{'schedule': 'plazos'}	['plazo']
29	{'work center': 'puesto de trabajo'}	Reviewers do not require any work center assignment.	No se requiere que los evaluadores estén asignados a ningún centro de trabajo.	['work center']	{'work center': 'centro de trabajo'}	['centro de trabajo']
30	{'customer': 'deudor'}	For correspondence with the customer/supplier	Para la correspondencia con el cliente o el proveedor	['customer']	{'customer': 'cliente'}	['cliente']
31	{'range': 'intervalo'}	Within a time range	Dentro de un determinado período de tiempo	['range']	{'range': 'dentro'}	['dentro']
32	{'delivery': 'entrega'}	Only one data delivery is provided without any additional corrections or updates.	Se proporciona una sola entrega de datos sin correcciones o actualizaciones adicionales.	['delivery']	{'delivery': 'entrega'}	['entrega']
33	{'processing': 'procesamiento'}	If the credit memos are processed successfully, the system posts a document during the processing of the payment advice note by means of the amount credited and, if necessary, charges are posted.	En caso de que los comprobantes de crédito se procesen correctamente, el sistema publicará un documento durante el proceso del aviso de pago mediante el monto acreditado y, si es necesario, también se publicarán los gastos.	['processing']	{'processing': 'proceso'}	['proceso']
34	{'upgrade': 'upgrade'}	Post-upgrade test processes	Procesos de pruebas posteriores a una actualización	['upgrade']	{'upgrade': 'actualización'}	['actualización']
35	{'tab': 'pestaña'}	You can see these items on the To Be Written Off  tab and verify that they're non-billable by looking at the Billing Control Category column.	Puede ver estos ítems en la pestaña To Be Written Off y verificar que no son facturables mirando la columna Billing Control Category.	['tab']	{'tab': 'pestaña'}	['pestaña']
36	{'recurrence pattern': 'patrón de repetición'}	Define Recurrence Pattern	Definir patrón de repetición	['recurrence pattern']	{'recurrence pattern': 'patrón de repetición'}	['patrón de repetición']
37	{'public': 'pública'}	To directly consume data in data flows, the Oracle database must be available on the public internet.	Para poder utilizar directamente los datos contenidos en los flujos de datos, la base de datos de Oracle debe estar disponible en Internet.	['public']	{'public': 'Internet'}	['internet']
