	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁15
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	job	job	job	tarea	job	job
3	report	report	report	informe	report	informe
4	medio	medio	medio	medio	medio	medio
5	elemento	elemento	elemento	elemento	elemento	artículo
6	desglose	desglose	desglose	desglose	desglose	desglose
7	añadir	añadir	añadir	añadir	añadir	agregar
8	intervalo	intervalo	intervalo	intervalo	intervalo	intervalo
9	origen	origen	origen	origen	origen	fuente
10	modelo	modelo	modelo	modelo	modelo	modelo
11	fuente	origen	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablecer	restablecer	restablecer	restablecer	restablecer	restablecer
14	añadir	añadir	añadir	añadir	añadir	agregar
15	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
16	modelo	modelo	modelo	modelo	modelo	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	anular	anular	anular	anular	anular	▁49
19	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
20	socio	socio	socio	socio	socio	socio
21	norma	norma	norma	norma	norma	▁36
22	restablecer	restablecer	restablecer	restablecer	restablecer	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁14
24	programa	programa	programa	programación	programa	calendario
25	encabezado	editar	encabezado	editar	encabezado	editar
26	concluir	concluir	concluir	concluir	concluir	concluir
27	pausar	pausar	pausar	pausar	pausar	▁27
28	utilizar	utilizar	utilizar	utilizar	utilizar	usar
29	programación	programa	programación	programación	programación	calendario
30	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
31	calendario	programa	calendario	programación	calendario	calendario
32	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo
33	deudor	deudor	deudor	deudor	deudor	deudor
34	intervalo	intervalo	intervalo	intervalo	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁47
38	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de repetición	patrón de recurrencia	modelo de repetición
40	público	público	público	público	público	público
41	planificado	programa	planificado	programación	planificado	calendario
42	▔	guardar	▔	guardar	▔	guardar
43	predefinir	predefinir	predefinir	defecto	predefinir	estándar
44	restablecer	restablecer	restablecer	restablecer	restablecer	restablecer
45	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento
46	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
47	modelo	modelo	modelo	modelo	modelo	modelo
48	procesar	procesar	procesar	procesar	procesar	procesar
49	trabajo	job	trabajo	tarea	trabajo	job
50	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición	patrón de repetición	modelo de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
52	completado	concluir	completado	concluir	completado	concluir
53	informe	informe	informe	informe	informe	informe
54	nuevo versión	nuevo versión	nuevo versión	nuevo versión	nuevo versión	▁37
55	resultado	resultado	resultado	resultado	resultado	▁38
56	programación	programa	programación	programación	programación	calendario
57	trabajo	job	trabajo	tarea	trabajo	job
58	sucursal	deudor	sucursal	deudor	sucursal	deudor
59	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición	patrón de repetición	modelo de repetición
60	suplente	suplente	suplente	suplente	suplente	suplente
61	revisado	revisado	revisado	revisado	revisado	▁34
62	característica	característica	característica	característica	característica	característica
63	deudor	deudor	deudor	deudor	deudor	deudor
64	llamar	llamar	llamar	llamar	llamar	llamar
65	etiqueta	pestaña	etiqueta	pestaña	etiqueta	etiqueta
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloqueado	bloqueado	bloqueado	bloqueado	bloqueado	▁40
68	modificación	modificación	modificación	cambio	modificación	modificación
69	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
70	añadir	añadir	añadir	añadir	añadir	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁4
72	socio	socio	socio	socio	socio	socio
73	predefinido	predefinir	predefinido	defecto	predefinido	estándar
74	anular	anular	anular	anular	anular	▁49
75	indicador	indicador	indicador	indicador	indicador	indicador
76	operación	operación	operación	operación	operación	operación
77	deudor	deudor	deudor	deudor	deudor	deudor
78	▔	▁2	▔	▁	▔	▁32
79	cabecera	cabecera	cabecera	cabecera	cabecera	cabecera
80	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento
81	▔	▁3	▔	lista de trabajo	▔	lista de trabajo
82	tipo	tipo	tipo	tipo	tipo	clase
83	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
84	programa	programa	programa	programación	programa	calendario
85	lista de trabajo	▁3	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	añadir	añadir	añadir	añadir	añadir	agregar
87	imputación	imputación	imputación	imputación	imputación	contingente
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	imputación	imputación	imputación	imputación	imputación	contingente
90	socio	socio	socio	socio	socio	socio
91	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
92	compensación	compensación	compensación	compensación	compensación	compensación
93	contingente	imputación	contingente	imputación	contingente	contingente
94	conjunto	conjunto	conjunto	conjunto	conjunto	conjunto
95	icono	icono	icono	icono	icono	icono
96	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
97	orden	orden	orden	orden	orden	orden
