	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'container': 'container'}	Why would you need to access HDI containers?	¿Por qué necesitarías acceder a containers HDI?	['container']	{'container': 'containers'}	['containers']
1	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	Decide if you want to use parallel processing for this job:	Decida si desea utilizar el procesamiento paralelo para este trabajo:	['parallel processing', 'job']	{'parallel processing': 'procesamiento paralelo', 'job': 'trabajo'}	['procesamiento paralelo', 'trabajo']
2	{'report': 'report'}	Displays in the list report billing elements with or without planned prepayments.	Visualiza en el informe de lista los elementos de facturación con o sin pagos anticipados previstos.	['report']	{'report': 'informe'}	['informe']
3	{'average': 'media'}	The KPI shows the average age in days of assets under construction, and individual items are listed below.	El KPI muestra la edad media en días de los activos en construcción, y las partidas individuales se enumeran a continuación.	['average']	{'average': 'media'}	['medio']
4	{'item': 'elemento'}	Once exported, an item stays in the software collection for its entire lifecycle.	Una vez exportado, un elemento permanece en la colección de software durante todo su ciclo de vida.	['item']	{'item': 'elemento'}	['elemento']
5	{'explosion': 'desglose'}	If it's an assembly, the explosion continues to the lowest level.	Si es un ensamblaje, la explosión continúa hasta el nivel inferior.	['explosion']	{'explosion': 'explosión'}	['explosión']
6	{'add': 'agregar'}	Add a New OAuth Client (Non-SAP Data Center)	Añadir un nuevo cliente OAuth (centro de datos no SAP)	['add']	{'add': 'Añadir'}	['añadir']
7	{'range': 'intervalo'}	Each compute block provides a certain number of vCPUs and a range of 60 to 64 GB of RAM, depending on the hyperscaler.	Cada bloque de cómputo proporciona un cierto número de vCPUs y entre 60 y 64 GB de RAM, dependiendo del hiperescalador.	['range']	{'range': '▔'}	['▔']
8	{'source': 'fuente'}	Source systems connected to an SAP LT Replication Server are supported down to:	Los sistemas de origen conectados a un servidor de replicación SAP LT son compatibles hasta:	['source']	{'source': 'origen'}	['origen']
9	{'template': 'modelo'}	After you create a new template, you will be directed to the template page, to add text blocks to the template.	Después de crear una nueva plantilla, se le redirigirá a la página de la plantilla para agregar bloques de texto.	['template']	{'template': 'plantilla'}	['plantilla']
10	{'source': 'fuente'}	Data is accessed directly from the source (federation) and read from the virtual table.	Se accede a los datos directamente desde la federación y se leen desde la tabla virtual.	['source']	{'source': 'federación'}	['federación']
11	{'edit': 'editar'}	Edit Default Waste Generator	Editar productor de residuos predeterminado	['edit']	{'edit': 'Editar'}	['editar']
12	{'reset': 'restablecer'}	Resets the filters.	Restablece los filtros.	['reset']	{'reset': 'Restablece'}	['restablece']
13	{'add': 'añadir'}	You can copy existing items or item sets to add new ones to the sourcing project.	Puede copiar artículos o conjuntos de artículos existentes para agregar nuevos al proyecto de abastecimiento.	['add']	{'add': 'agregar'}	['agregar']
14	{'incident': 'incidencia'}	Access of this category is not based on individual support cases or incidents.	El acceso a esta categoría no se basa en casos o incidentes de soporte individuales.	['incident']	{'incident': 'incidentes'}	['incidente']
15	{'template': 'modelo'}	Use the dropdown list in the upper left corner of the dialog box to select the search template you want to use.	Utilice la lista desplegable en la esquina superior izquierda de la ventana para seleccionar la plantilla de búsqueda que desea utilizar.	['template']	{'template': 'plantilla'}	['plantilla']
16	{'save': 'guardar'}	To save and deploy your ER model to SAP HANA, choose Deploy.	Para guardar y desplegar su modelo de ER en SAP HANA, seleccione Implementar.	['save']	{'save': 'guardar'}	['guardar']
17	{'write off': 'ignorar', 'tab': 'pestaña'}	Confirm the write-off action and verify that the selected items have moved from the To Be Billed tab to the To Be Written Off tab.	Confirme la acción de ignorar y verifique que los elementos seleccionados se hayan movido de la pestaña Por facturar a la pestaña Por ignorar.	['write off', 'tab']	{'write off': 'ignorar', 'tab': 'pestaña'}	['ignorar', 'pestaña']
18	{'partner': 'socio', 'rule': 'regla'}	You create an installment plan, if there are one or more open items in the contract account of a business partner and the business partner cannot fulfill the payment obligation within the scope of the usual payment rules.	Creas un plan de pagos a plazos si hay una o más partidas abiertas en la cuenta contractual de un socio comercial y el socio comercial no puede cumplir con la obligación de pago dentro del ámbito de las normas de pago habituales.	['partner', 'rule']	{'partner': 'socio', 'rule': 'normas'}	['socio', 'norma']
19	{'reset': 'restablecer'}	Defines when the valuation takes place and whether it is reset.	Define cuándo se realiza la valoración y si se reinicia.	['reset']	{'reset': 'reinicia'}	['reinicia']
20	{'category': 'tipo'}	Choose Service Part Items as the item category from the Show dropdown list.	Seleccione Elementos de pieza de servicio como la categoría de elemento en la lista desplegable Mostrar.	['category']	{'category': 'categoría'}	['categoría']
21	{'schedule': 'programación'}	To filter for order operations that are included in a specific schedule, add the Included in Schedule filter to the filter bar.	Para filtrar las operaciones de pedido que están incluidas en un horario específico, añada el filtro Incluido en el horario a la barra de filtros.	['schedule']	{'schedule': 'horario'}	['horario']
22	{'edit': 'editar'}	You can only edit headers for Inactive units.	Solo puedes editar los encabezados de las unidades inactivas.	['edit']	{'edit': 'encabezados'}	['encabezado']
23	{'completed': 'concluido'}	This overview contains all repair objects that have not been completed yet.	Este resumen contiene todos los objetos de reparación que aún no se han completado.	['completed']	{'completed': 'completado'}	['completar']
24	{'pause': 'interrumpir'}	Pause real-time replication to enable editing connection properties.	Pausar la replicación en tiempo real para habilitar la edición de las propiedades de conexión.	['pause']	{'pause': 'pausar'}	['pausar']
25	{'use': 'utilizar'}	Save your business entity to make it available for use in fact models and consumption models.	Guarde su entidad comercial para que esté disponible para su uso en modelos de hecho y de consumo.	['use']	{'use': 'uso'}	['uso']
26	{'schedule': 'programación'}	This means that the work center change is only visible in your schedule and is not yet saved in the maintenance order.	Esto significa que el cambio en el centro de trabajo solo es visible en su programación y aún no se ha guardado en la orden de mantenimiento.	['schedule']	{'schedule': 'programación'}	['programación']
27	{'delete': 'eliminar'}	To delete an activation key, click the first column of the corresponding row and then Delete.	Para eliminar una clave de activación, haga clic en la primera columna de la fila correspondiente y luego en Eliminar.	['delete']	{'delete': 'Eliminar'}	['eliminar']
28	{'schedule': 'calendario'}	Modify your order schedules to prioritize overdue or late orders.	Modifique sus horarios de pedidos para priorizar los pedidos vencidos o retrasados.	['schedule']	{'schedule': 'horarios'}	['horario']
29	{'work center': 'puesto de trabajo'}	Reviewers do not require any work center assignment.	Los revisores no requieren asignación de centro de trabajo.	['work center']	{'work center': 'centro de trabajo'}	['centro de trabajo']
30	{'customer': 'deudor'}	For correspondence with the customer/supplier	Para correspondencia con el cliente/proveedor	['customer']	{'customer': 'cliente'}	['cliente']
31	{'range': 'intervalo'}	Within a time range	Dentro de un rango de tiempo	['range']	{'range': 'rango'}	['rango']
32	{'delivery': 'entrega'}	Only one data delivery is provided without any additional corrections or updates.	Solo se proporciona una única entrega de datos sin correcciones ni actualizaciones adicionales.	['delivery']	{'delivery': 'entrega'}	['entrega']
33	{'processing': 'procesamiento'}	If the credit memos are processed successfully, the system posts a document during the processing of the payment advice note by means of the amount credited and, if necessary, charges are posted.	Si los memorandos de crédito se procesan correctamente, el sistema registra un documento durante el procesamiento de la nota de pago mediante el importe acreditado y, si es necesario, se registran cargos.	['processing']	{'processing': 'procesamiento'}	['procesamiento']
34	{'upgrade': 'upgrade'}	Post-upgrade test processes	Procesos de ensayo tras el upgrade	['upgrade']	{'upgrade': 'upgrade'}	['upgrade']
35	{'tab': 'pestaña'}	You can see these items on the To Be Written Off  tab and verify that they're non-billable by looking at the Billing Control Category column.	Puede ver estos elementos en la pestaña Para ser cancelado y verificar que no sean facturables mirando la columna Categoría de control de facturación.	['tab']	{'tab': 'pestaña'}	['pestaña']
36	{'recurrence pattern': 'patrón de repetición'}	Define Recurrence Pattern	Definir patrón de repetición	['recurrence pattern']	{'recurrence pattern': 'patrón de repetición'}	['patrón de repetición']
37	{'public': 'pública'}	To directly consume data in data flows, the Oracle database must be available on the public internet.	Para consumir datos directamente en los flujos de datos, la base de datos de Oracle debe estar disponible en la Internet pública.	['public']	{'public': 'pública'}	['público']
38	{'schedule': 'plan'}	Shows that the object will be activated automatically during the next scheduled data aging run for this object and the aging run is not scheduled for the selected data aging object.	Indica que el objeto se activará automáticamente durante la próxima ejecución programada de envejecimiento de datos para este objeto y que la ejecución de envejecimiento no está programada para el objeto de envejecimiento de datos seleccionado.	['schedule']	{'schedule': 'programada'}	['programado']
39	{'save': 'guardar'}	Please note that date and time are not included when you save a filter variant.	Tenga en cuenta que al guardar una variante de filtro, no se incluyen la fecha ni la hora.	['save']	{'save': 'guardar'}	['guardar']
40	{'default': 'predefinir'}	The attribute can be used to identify bank accounts that belong to the same defaultable counterparty.	El atributo puede utilizarse para identificar cuentas bancarias que pertenecen a la misma contraparte que puede predefinirse.	['default']	{'default': 'predefinirse'}	['predefinir']
41	{'reset': 'restablecer'}	Reset Availability Data	Restablecer datos de disponibilidad	['reset']	{'reset': 'Restablecer'}	['restablecer']
42	{'replenishment': 'reaprovisionamiento'}	The signal for replenishment is issued by an indicator, that is sent by a demand source (consumer) to the supply source (supplier).	La señal de reposición se emite mediante un indicador, que es enviado por una fuente de demanda (consumidor) a una fuente de suministro (proveedor).	['replenishment']	{'replenishment': 'reposición'}	['reposición']
43	{'tab': 'pestaña'}	Check the objects on the Business Builder and Data Builder tabs.	Revise los objetos en las pestañas Generador de Negocios y Generador de Datos.	['tab']	{'tab': 'pestañas'}	['pestaña']
