	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁30
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	tarea	tarea	tarea	tarea	tarea	tarea
3	lista	lista	lista	informe	lista	informe
4	promedio	promedio	promedio	promedio	promedio	▁13
5	elemento	elemento	elemento	elemento	elemento	artículo
6	explosión	explosión	explosión	explosión	explosión	▁48
7	agregar	agregar	agregar	agregar	agregar	agregar
8	rango	rango	rango	rango	rango	intervalo
9	origen	origen	origen	origen	origen	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
11	fuente	origen	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	reinicia	reinicia	reinicia	reinicia	reinicia	restablecer
14	añadir	agregar	añadir	agregar	añadir	agregar
15	incidente	incidente	incidente	incidente	incidente	▁57
16	modelo	plantilla	modelo	plantilla	modelo	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	amortización	amortización	amortización	amortización	amortización	▁102
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	plazo	plazo	plazo	plazo	plazo	▁78
22	reinicia	reinicia	reinicia	reinicia	reinicia	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁23
24	horario	horario	horario	horario	horario	programar
25	editar	editar	editar	editar	editar	editar
26	completa	completa	completa	completa	completa	▁28
27	pausa	pausa	pausa	pausar	pausa	▁63
28	uso	uso	uso	usar	uso	usar
29	horario	horario	horario	horario	horario	programar
30	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
31	horario	horario	horario	horario	horario	programar
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁33
34	intervalo	rango	intervalo	rango	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁98
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de recaída	patrón de recaída	patrón de recaída	patrón de repetición	patrón de recaída	patrón de repetición
40	público	público	público	público	público	público
41	ciclo	horario	ciclo	horario	ciclo	programar
42	guardar	guardar	guardar	guardar	guardar	guardar
43	incumplidora	incumplidora	incumplidora	predeterminado	incumplidora	▁39
44	restablecer	reinicia	restablecer	reinicia	restablecer	restablecer
45	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	▁74
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
48	procesar	procesar	procesar	procesar	procesar	procesar
49	tarea	tarea	tarea	tarea	tarea	tarea
50	patrón de recurrencia	patrón de recaída	patrón de recurrencia	patrón de repetición	patrón de recurrencia	patrón de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	completa	completado	completa	completado	▁28
53	informe	informe	informe	informe	informe	informe
54	▔	▁0	▔	mosaico	▔	▁81
55	resultado	resultado	resultado	resultado	resultado	▁82
56	programado	horario	programado	horario	programado	programar
57	tarea	tarea	tarea	tarea	tarea	tarea
58	cliente	cliente	cliente	cliente	cliente	▁33
59	patrón de repetición	patrón de recaída	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
60	alternativa	alternativa	alternativa	alternativa	alternativa	▁88
61	revisar	revisar	revisar	revisar	revisar	▁77
62	función	función	función	característica	función	▁49
63	cliente	cliente	cliente	cliente	cliente	▁33
64	fuente	fuente	fuente	fuente	fuente	▁22
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloquearán	bloquearán	bloquearán	bloqueado	bloquearán	▁84
68	cambio	cambio	cambio	cambio	cambio	▁25
69	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
70	agregar	agregar	agregar	agregar	agregar	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	▔	incumplidora	▔	predeterminado	▔	▁39
74	anular cargo	amortización	anular cargo	amortización	anular cargo	▁102
75	medida	medida	medida	medida	medida	▁62
76	transacción	transacción	transacción	transacción	transacción	▁93
77	cliente	cliente	cliente	cliente	cliente	▁33
78	conteo	conteo	conteo	conteo	conteo	▁72
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁55
80	cumplimiento	cumplimiento	cumplimiento	cumplimiento	cumplimiento	▁64
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
84	programa	horario	programa	horario	programa	programar
85	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	agregue	agregar	agregue	agregar	agregue	agregar
87	asignación	asignación	asignación	asignación	asignación	▁8
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	▁8
90	socio	socio	socio	socio	socio	socio
91	incidente	incidente	incidente	incidente	incidente	▁57
92	utilización	utilización	utilización	consumo	utilización	▁29
93	asignación	asignación	asignación	asignación	asignación	▁8
94	ensamblaje	ensamblaje	ensamblaje	ensamblaje	ensamblaje	▁11
95	icono	icono	icono	icono	icono	icono
96	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
97	ordenamiento	ordenamiento	ordenamiento	ordenamiento	ordenamiento	▁85
98	empleo	tarea	empleo	tarea	empleo	tarea
99	cliente	cliente	cliente	cliente	cliente	cliente
100	informe	lista	informe	informe	informe	informe
101	tarea	tarea	tarea	tarea	tarea	tarea
102	activar	activar	activar	activar	activar	▁96
103	industria	procedimiento	industria	tipo	industria	tipo
104	socio	socio	socio	socio	socio	socio
105	predeterminado	incumplidora	predeterminado	predeterminado	predeterminado	▁39
106	utilizar	uso	utilizar	usar	utilizar	usar
107	cuota	cuota	cuota	cuota	cuota	▁50
108	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio
109	asignación	asignación	asignación	asignación	asignación	▁8
110	cliente	cliente	cliente	cliente	cliente	▁33
111	elemento	elemento	elemento	elemento	elemento	artículo
112	incidente	incidente	incidente	incidente	incidente	▁57
113	▔	socio	▔	socio	▔	socio
114	tipo de servicio	tipo de servicio	tipo de servicio	tipo de servicio	tipo de servicio	▁69
115	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
116	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	▁94
117	facturar	facturar	facturar	factura	facturar	facturar
118	problema	problema	problema	emisión	problema	problema
119	resultado	resultado	resultado	resultado	resultado	resultado
120	guardar	guardar	guardar	guardar	guardar	guardar
121	usar	uso	usar	usar	usar	usar
122	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
123	revisión	revisión	revisión	detalle	revisión	verificar
124	contrato central	contrato central	contrato central	contrato central	contrato central	▁24
125	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
126	entrante	entrante	entrante	entrante	entrante	▁56
127	ámbito	ámbito	ámbito	alcance	ámbito	alcance
128	usar	uso	usar	usar	usar	usar
129	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
130	asignación	procedimiento	asignación	tipo	asignación	tipo
131	compartición	compartición	compartición	compartición	compartición	compartición
132	requerimiento	requerimiento	requerimiento	requerimiento	requerimiento	▁75
133	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
134	botón	botón	botón	botón	botón	▁21
135	tiempo	tiempo	tiempo	duración	tiempo	tiempo
136	calendario	horario	calendario	horario	calendario	programar
137	origen	origen	origen	origen	origen	fuente
138	uso	uso	uso	uso	uso	▁99
139	medida	medida	medida	medida	medida	▁62
140	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
141	tipo	procedimiento	tipo	tipo	tipo	tipo
142	medida	medida	medida	medida	medida	▁62
143	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
144	incompleto	incompleto	incompleto	completar	incompleto	▁27
145	guardar	guardar	guardar	guardar	guardar	guardar
146	nombre comercial	nombre comercial	nombre comercial	nombre comercial	nombre comercial	▁17
147	pago anticipado	pago anticipado	pago anticipado	pago anticipado	pago anticipado	▁67
148	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso
149	cronograma	horario	cronograma	horario	cronograma	programar
150	requisitos	requerimiento	requisitos	requerimiento	requisitos	▁75
151	medición	medida	medición	medida	medición	▁62
152	detalle	revisión	detalle	detalle	detalle	verificar
153	complementario	complementario	complementario	complementario	complementario	▁89
154	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
155	socio	socio	socio	socio	socio	socio
156	cumplimiento	cumplimiento	cumplimiento	cumplimiento	cumplimiento	▁64
157	ejecutar	ejecutar	ejecutar	ejecutar	ejecutar	ejecutar
158	agregar	agregar	agregar	agregar	agregar	agregar
159	botón	botón	botón	botón	botón	▁21
160	verificar	revisión	verificar	detalle	verificar	verificar
161	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
162	socio	socio	socio	socio	socio	socio
163	sitio	sitio	sitio	establecimiento	sitio	sitio
164	basar en demanda	basar en demanda	basar en demanda	basar en demanda	basar en demanda	▁40
165	etapa de proceso	paso de proceso	etapa de proceso	paso de proceso	etapa de proceso	paso de proceso
166	afiliado sap	afiliado sap	afiliado sap	afiliado sap	afiliado sap	▁3
167	menú	menú	menú	menú	menú	▁66
168	socio	socio	socio	socio	socio	socio
169	agregar	agregar	agregar	agregar	agregar	agregar
170	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
171	socio	socio	socio	socio	socio	socio
172	bloquear	bloquear	bloquear	bloquear	bloquear	bloquear
173	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
174	asignación	asignación	asignación	asignación	asignación	▁8
175	asignación	asignación	asignación	asignación	asignación	▁8
176	terminación	terminación	terminación	terminación	terminación	▁92
177	caso de uso	caso de uso	caso de uso	caso de uso	caso de uso	▁100
178	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
179	origen	origen	origen	origen	origen	fuente
180	rango	rango	rango	rango	rango	intervalo
181	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso
182	defecto	incumplidora	defecto	predeterminado	defecto	▁39
183	conjunto de elemento	conjunto de elemento	conjunto de elemento	conjunto de elemento	conjunto de elemento	▁59
184	explosión	explosión	explosión	explosión	explosión	▁48
185	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
186	lista de programación	lista de trabajo	lista de programación	lista de trabajo	lista de programación	lista de trabajo
187	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
188	responsable dato	responsable dato	responsable dato	responsable dato	responsable dato	▁35
189	aplicación cliente	aplicación cliente	aplicación cliente	aplicación cliente	aplicación cliente	aplicación cliente
190	tipo de vista	tipo de vista	tipo de vista	tipo de vista	tipo de vista	▁101
191	guardar	guardar	guardar	guardar	guardar	guardar
192	tarea	tarea	tarea	tarea	tarea	tarea
193	medida	medida	medida	medida	medida	▁62
194	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
195	asignación	asignación	asignación	asignación	asignación	▁8
196	etapa	etapa	etapa	etapa	etapa	▁86
197	asignación	asignación	asignación	asignación	asignación	▁8
198	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
199	eliminar	eliminar	eliminar	eliminar	eliminar	▁73
200	agregue	agregar	agregue	agregar	agregue	agregar
201	actividad comercial	actividad comercial	actividad comercial	actividad comercial	actividad comercial	▁14
202	agregar	agregar	agregar	agregar	agregar	agregar
203	socio	socio	socio	socio	socio	socio
204	adquisición	adquisición	adquisición	adquisición	adquisición	▁6
205	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
206	elemento	elemento	elemento	elemento	elemento	artículo
207	clase	clase	clase	clase	clase	clase
208	inventario	inventario	inventario	inventario	inventario	▁58
209	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
210	fecha-hora	tiempo	fecha-hora	duración	fecha-hora	tiempo
211	fecha-hora	fecha-hora	fecha-hora	fecha-hora	fecha-hora	▁37
212	lanzador	lanzador	lanzador	lanzador	lanzador	▁60
213	actualización	actualización	actualización	actualización	actualización	▁97
214	artículo	elemento	artículo	elemento	artículo	artículo
215	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
216	predeterminado	incumplidora	predeterminado	predeterminado	predeterminado	▁39
217	guardar	guardar	guardar	guardar	guardar	guardar
218	ejecución	procedimiento	ejecución	tipo	ejecución	tipo
219	compartición	compartición	compartición	compartición	compartición	compartición
220	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
221	mosaico	▁0	mosaico	mosaico	mosaico	▁81
222	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
223	bloqueado	bloquearán	bloqueado	bloqueado	bloqueado	▁84
224	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla de rol
225	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
