	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁26
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
3	informe	informe	informe	informe	informe	informe
4	promedio	promedio	promedio	average	promedio	▁13
5	elemento	elemento	elemento	elemento	elemento	artículo
6	explosión	explosión	explosión	explosión	explosión	▁45
7	agregar	agregar	agregar	agregar	agregar	agregar
8	gama	gama	gama	gama	gama	▁70
9	fuente	fuente	fuente	fuente	fuente	fuente
10	modelo	modelo	modelo	modelo	modelo	modelo
11	fuente	fuente	fuente	fuente	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	▔	▁5	▔	disponibilidad	▔	▁76
14	agregar	agregar	agregar	agregar	agregar	agregar
15	incidente	incidente	incidente	incidente	incidente	▁52
16	modelo	modelo	modelo	modelo	modelo	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	desconexión	desconexión	desconexión	desconexión	desconexión	▁103
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	reajusta	▁5	reajusta	disponibilidad	reajusta	▁76
23	categoría	categoría	categoría	categoría	categoría	▁20
24	programación	programación	programación	programación	programación	programación
25	editar	editar	editar	editar	editar	editar
26	completar	completar	completar	completado	completar	▁24
27	detener	detener	detener	descanso	detener	▁62
28	utilizar	utilizar	utilizar	usar	utilizar	usar
29	horario	programación	horario	programación	horario	programación
30	borrar	borrar	borrar	eliminar	borrar	borrar
31	horario	programación	horario	programación	horario	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁29
34	rango	gama	rango	gama	rango	▁70
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁101
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	▔	▁4	▔	patrón de recurrencia	▔	patrón de repetición
40	público	público	público	público	público	público
41	programado	programación	programado	programación	programado	programación
42	guardar	guardar	guardar	guardar	guardar	guardar
43	▔	▁2	▔	predeterminado	▔	▁35
44	disponibilidad	▁5	disponibilidad	disponibilidad	disponibilidad	▁76
45	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	▁75
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	modelo	modelo	modelo	modelo	modelo	modelo
48	procesar	procesar	procesar	procesar	procesar	procesar
49	tarea	trabajo	tarea	trabajo	tarea	tarea
50	patrón de recurrencia	▁4	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	completar	completado	completado	completado	▁24
53	informe	informe	informe	declaración	informe	informe
54	guardar como	guardar como	guardar como	guardar como	guardar como	guardar como
55	resultado	resultado	resultado	resultado	resultado	▁83
56	programado	programación	programado	programación	programado	programación
57	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
58	comercial	cliente	comercial	cliente	comercial	▁29
59	patrón de repetición	▁4	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición
60	sustitución	sustitución	sustitución	sustitución	sustitución	▁91
61	revisión	revisión	revisión	revisión	revisión	revisión
62	función	función	función	función	función	función
63	cliente	cliente	cliente	cliente	cliente	▁29
64	llamar	llamar	llamar	llamar	llamar	llamar
65	renglón	pestaña	renglón	pestaña	renglón	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	configurar	configurar	configurar	configurar	configurar	▁85
68	modificación	modificación	modificación	cambio	modificación	modificación
69	eliminar	borrar	eliminar	eliminar	eliminar	borrar
70	agregar	agregar	agregar	agregar	agregar	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	▔	▁2	▔	predeterminado	▔	▁35
74	deshacer	desconexión	deshacer	desconexión	deshacer	▁103
75	medida	medida	medida	medida	medida	medida
76	transacción	transacción	transacción	transacción	transacción	▁96
77	cliente	cliente	cliente	cliente	cliente	▁29
78	cuenta	cuenta	cuenta	cuenta	cuenta	▁73
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁50
80	obligación	obligación	obligación	obligación	obligación	rendimiento
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
