	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить заметки, выберите шаблон и открыть окно Заметки слева от экрана.	['pane']	{'pane': 'окно'}	['окно']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер контракта, из которого вы можете выбрать элементы обслуживания.	['contract']	{'contract': 'контракта'}	['контракт']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	По умолчанию это поле по текущей дате, и поле Возвращение по дате будет по умолчанию число дней, определяемое при настройке (например, 30 дней для электронных файлов по умолчанию), после даты передачи.	['type']	{'type': 'по'}	['по']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	"Однако поведение этой бюджетной системы интерпретируется по-разному для счетов, классифицированных как типы ""Весь расход"" или ""Доход""."	['revenue']	{'revenue': 'Доход'}	['доход']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (Создать, Обновлять и/или Удалить) разрешены для каждого подузла, а также корневого узла, нажав соответствующие окна.	['update']	{'update': 'Обновлять'}	['обновлять']
5	{'range': 'интервал'}	Within a time range	В течение определенного периода времени	['range']	{'range': '▔'}	['▔']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете заказать свои любимые продукты или поставщики данных.	['provider']	{'provider': 'поставщики'}	['поставщик']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя провайдера должно быть уникальным.	['provider']	{'provider': 'провайдера'}	['провайдер']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Распространение непосредственно на объектах соответствующих бизнес-объектов.	['branch']	{'branch': 'Распространение'}	['распространение']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Указывает тип элементов, которые вы хотите добавить к вашему проекту.	['type']	{'type': 'тип'}	['тип']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если входная запись совпадает с более чем одной записью поиска с баллом, достигающим этого порога, она помещается в категорию многократных результатов.	['input']	{'input': 'входная'}	['входной']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	Если вы хотите, чтобы автоматическое правило переработки размещало ваши банковские выписки только на одном шаге, выберите 001 (One-Step Posting) как значение поля Тип процедуры.	['type']	{'type': 'Тип'}	['тип']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от вашего объема, приложение может проверять различные типы исходных документов в процессе предсказующего учета.	['type']	{'type': 'типы'}	['тип']
13	{'purpose': 'цель'}	As a rule, the purpose references the relevant legal basis for the processing of personal data.	Как правило, цель содержит соответствующую правовую основу для обработки персональных данных.	['purpose']	{'purpose': 'цель'}	['цель']
14	{'type': 'тип'}	Risk type of this obligation that denotes the risk of the legal document if this obligation is not fulfilled	Тип риска этого обязательства, который указывает на риск юридического документа, если это обязательство не выполнено.	['type']	{'type': 'Тип'}	['тип']
15	{'type': 'тип'}	Enter a meaningful code that will help you to identify the clause type.	Введите содержательный код, который поможет вам определить тип клаузы.	['type']	{'type': 'тип'}	['тип']
16	{'public': 'общедоступный'}	If you're using a network firewall with a proxy, you need to provide the public IPv4 address of your proxy.	Если вы используете сетевую брандмауэр с прокси, вам нужно указать публичный адрес IPv4.	['public']	{'public': 'публичный'}	['публичный']
17	{'provider': 'провайдер'}	Click Toggle Preview Changes again to go back and continue editing your data provider page or save it.	Нажмите на перевод Просмотр изменений, чтобы вернуться назад и продолжить редактирование страницы поставщика данных или сохранить ее.	['provider']	{'provider': 'поставщика'}	['поставщик']
18	{'input': 'ввод'}	Select the Projection operator from the toolbar and drop it in the canvas and then connect a sources or other node to it as input.	Выберите оператор Проекция из панели инструментов и выбросите его в полоску, а затем подключите к нему источники или другие узлы в качестве входа.	['input']	{'input': 'входа'}	['вход']
19	{'type': 'тип'}	Depending on the contract type and the pricing model used for the data product, different information can be shown:	В зависимости от типа контракта и модели ценообразования, используемой для продукта данных, может быть показана различная информация:	['type']	{'type': 'типа'}	['тип']
20	{'postponed': 'отсрочено'}	Unbilled | Postponed | Write Off	Отложить отпись	['postponed']	{'postponed': 'Отложить'}	['отложить']
21	{'provider': 'провайдер'}	To edit an existing data provider profile, click .	Чтобы редактировать профиль существующего поставщика данных, нажмите .	['provider']	{'provider': 'поставщика'}	['поставщик']
22	{'regulation': 'предписание'}	If you enter a text and you want to print documents in different languages, select a regulation and navigate to the Classify Dangerous Good - Packaged Product app.	Если вы вводите текст и хотите печатать документы на разных языках, выберите правила и перейти в приложение Классифицировать опасные товары - упакованные продукты.	['regulation']	{'regulation': 'правила'}	['правило']
23	{'provider': 'провайдер'}	To set a data provider or data product as a bookmark, just click on the bookmark icon on the corresponding data provider or data product page.	Чтобы установить поставщика данных или продукт данных в качестве букмарка, просто нажмите на значок букмарка на соответствующей странице поставщика данных или продукта данных.	['provider']	{'provider': 'поставщика'}	['поставщик']
24	{'input': 'ввод'}	The join operator requires two inputs and it generates a single output.	Оператор соединения требует двух вводов, и он генерирует один выход.	['input']	{'input': 'вводов'}	['ввод']
25	{'output': 'вывод'}	Adds an Unmatched Record column to the intelligent lookup output.	Добавить колонку Несоответствующая запись в выходной панели поиска.	['output']	{'output': 'выходной'}	['выходной']
26	{'billing': 'расчет'}	In work packages that are billed against a time and expense contract, only billable postings are considered for billing.	В рабочих пакетах, которые рассчитываются на контракт времени и расходов, рассматриваются только расплачиваемые сообщения.	['billing']	{'billing': 'расплачиваемые'}	['расплачивать']
27	{'explosion': 'разузлование'}	On choosing the Summarized Explosion tab, the table provides the following details:	При выборе вкладки Резюме взрывов таблица предоставляет следующие подробности:	['explosion']	{'explosion': 'взрывов'}	['взрыв']
28	{'association': 'связь'}	An association describes the relation between business entities.	Ассоциация описывает отношения между субъектами бизнеса.	['association']	{'association': 'Ассоциация'}	['ассоциация']
29	{'group': 'группировать'}	Select Group By criteria:	Выберите группу по критериям:	['group']	{'group': 'группу'}	['группа']
30	{'type': 'вид'}	Some of the notification preferences that you set affect all types of notifications, while others are specific to a notification type.	Некоторые из задаваемых вами параметров уведомлений влияют на все типы уведомлений, а другие специфичны для типа уведомлений.	['type']	{'type': 'типа'}	['тип']
31	{'contract': 'договор'}	A contract asset is your company’s right to consideration in exchange for goods or services that your company has transferred to a customer when that right is conditioned on something other than the passage of time (for example, your company’s future performance).	Договорным активом является право компании на возмещение в обмен на товары или услуги, которые передана клиенту, если это право зависит от чего-то другого, кроме времени (например, от будущей производительности вашей компании).	['contract']	{'contract': 'Договорным'}	['договорный']
32	{'scope': 'объем'}	The Custom Code Migration app allows you to add or remove request entry points to/from the scope manually.	Приложение Migration Custom Code позволяет вручную добавлять или удалять запросы входных пунктов в/из сферы действия.	['scope']	{'scope': 'сферы'}	['сфера']
33	{'add-on': 'дополнение'}	SAP Digital Payments Add-On processes the payments and makes them available for the payment advice notes.	Приложение SAP Digital Payments Add-On обрабатывает платежи и делает их доступными для записей о платежах.	['add-on']	{'add-on': 'Add-On'}	['add-on']
34	{'mapping': 'сопоставление'}	If switched on, it indicates that each data record of the currently opened business entity finds a match in the selected target business entity with the configured key mapping.	Если включить, то это указывает на то, что каждый запись данных текущего открытого субъекта бизнеса находит в выбранном целевом субъекте соответствующую задачу с настройкой настройки клавиш.	['mapping']	{'mapping': 'настройкой'}	['настройка']
35	{'summary': 'сводка'}	Summary of rules and settings that enable allocations.	Описание правил и настройки, позволяющих распределять.	['summary']	{'summary': 'Описание'}	['описание']
36	{'global currency': 'валюта отчетности'}	Global Currency – The currency that has been configured for the controlling area.	Глобальная валюта - валюта, которая была настроена для зоны контроля.	['global currency']	{'global currency': 'Глобальная валюта'}	['глобальный валюта']
37	{'space': 'пространство'}	You can delete audit logs when needed, which will free up disk space.	Вы можете удалить журналы аудита при необходимости, что освободит дисковое пространство.	['space']	{'space': 'пространство'}	['пространство']
38	{'edit': 'редактировать'}	Edit, Save and Activate	Редактировать, сохранить и активировать	['edit']	{'edit': 'Редактировать'}	['редактировать']
39	{'space': 'пространство'}	Spaces send queries or jobs to the database.	Пространства отправляют запросы или работы в базу данных.	['space']	{'space': 'Пространства'}	['пространство']
40	{'schedule': 'планирование'}	This is why SAP Data Warehouse Cloud has now a log deletion schedule activated by default.	Вот почему SAP Data Warehouse Cloud теперь имеет график удаления журналов, который работает по умолчанию.	['schedule']	{'schedule': 'график'}	['график']
41	{'input': 'ввод'}	The inputs must match in number of the columns, names, data types, and order of corresponding columns.	Вводы должны соответствовать количеству столбцов, названиям, типам данных и порядку соответствующих столбцов.	['input']	{'input': 'Вводы'}	['ввод']
42	{'service entry sheet': 'ведомость учета услуг'}	Using the filter criterion Origin, you can decide which service entry sheets are to be displayed in the list.	Используя критерий Origin, вы можете определить, какие листы входных данных должны быть отображены в списке.	['service entry sheet']	{'service entry sheet': 'листы входных данных'}	['лист входной данные']
43	{'provider': 'провайдер'}	Thanks to the product page created by the data provider you get detailed information on the data product and eventually access to sample data, if available.	Благодаря странице продукта, созданной поставщиком данных, вы получаете подробную информацию о продукте данных и, в конечном итоге, доступ к данным образца, если они доступны.	['provider']	{'provider': 'поставщиком'}	['поставщик']
44	{'provider': 'провайдер'}	You can search and browse for data products and data providers.	Вы можете искать и просматривать продукты данных и поставщиков данных.	['provider']	{'provider': 'поставщиков'}	['поставщик']
45	{'range': 'интервал'}	View material consumption or availability for a given time range.	Показать потребление или доступность материала в определенный промежуток времени.	['range']	{'range': 'промежуток'}	['промежуток']
46	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score between this threshold and the Matched Records Score, it is placed in the Multiple results category.	Если запись ввода совпадает с более чем одной записью поиска с баллом между этим порогом и исходящим из совпадающих записей, она помещается в категорию множества результатов.	['input']	{'input': 'ввода'}	['ввод']
47	{'type': 'вид'}	You can add items of different types to your sourcing projects.	Вы можете добавлять различные типы элементов в свои проекты.	['type']	{'type': '▔'}	['▔']
48	{'schedule': 'планирование'}	Select the relevant persisted view and create a simple or recurring schedule for your view.	Выберите соответствующий постоянный вид и создать простой или повторяющийся график для вашего вида.	['schedule']	{'schedule': 'график'}	['график']
49	{'data provider': 'провайдер данных'}	To be able to use the data product, the data provider will send an activation key via email that provides authorization to access one or multiple data products.	Чтобы использовать продукт данных, поставщик данных отправляет ключ к активации по электронной почте, который дает разрешение на доступ к одному или нескольким продуктам данных.	['data provider']	{'data provider': 'поставщик данных'}	['поставщик данные']
50	{'residence period': 'период активного хранения'}	At the end of the longest configured residence period, the data is blocked or deleted.	По окончании самого длительного периода конфигурированного пребывания данные блокируются или удаляются.	['residence period']	{'residence period': 'периода пребывания'}	['период пребывание']
51	{'suspension': 'приостановление'}	Suspension of JVA Projects, Partners, and Equity Groups	Приостановка проектов, партнеров и групп акций JVA	['suspension']	{'suspension': 'Приостановка'}	['приостановка']
52	{'project type': 'тип проекта'}	Sourcing Project, Sourcing Project Name, Sourcing Project Type, Central Company Code, Central Purchasing Group, Central Purchasing Organization, Material Group, Currency, Purchasing Responsible, Status.	Проект закупки, название закупки, тип закупки, код центральной компании, центральная группа закупок, центральная организация закупок, группа материала, валюта, ответственный за покупки, статус.	['project type']	{'project type': 'тип закупки'}	['тип закупка']
53	{'wizard': 'ассистент'}	Click ImportImport Permissions to open the Import Permissions wizard and follow the instructions.	Нажмите на кнопку Импорт разрешений, чтобы открыть помощник Импорт разрешений и следовать инструкциям.	['wizard']	{'wizard': 'помощник'}	['помощник']
54	{'flow': 'поток'}	By switching to the lineage view, you can trace the data provisioning and flow of a model.	Переход на линейный вид позволяет отслеживать про provisioning и flow данных модели.	['flow']	{'flow': 'flow'}	['flow']
55	{'mapping': 'сопоставление'}	Choose Define Mapping to assign the fields of your user data from the CSV file to the fields in user management.	Выберите Определение карты для присвоения полей пользовательских данных из файла CSV к полям в управлении пользователем.	['mapping']	{'mapping': 'Определение'}	['определение']
56	{'due date': 'дата исполнения'}	The app displays all tasks (together with their attributes, such as title, type, status, due date, processor, etc.), and sorts them by due date so that all overdue and due tasks are displayed at a first place.	Приложение отображает все задачи (наряду с их атрибутами, такими как заголовок, тип, статус, срок действия, процессор и т. д.), и сортирует их по срокам назначения, чтобы все задачи, которые должны были быть выполнены, были отображаться на первом месте.	['due date']	{'due date': 'срокам назначения'}	['срок назначение']
57	{'tag': 'отметить'}	Select one or more entries to tag your products with related SAP applications.	Выберите одну или несколько записей для тегирования ваших продуктов с соответствующими приложениями SAP.	['tag']	{'tag': 'тегирования'}	['тегирование']
58	{'provider': 'провайдер'}	The provider has removed the data product from the available data product list.	Провайдер удалил продукт данных из списка доступных продуктов данных.	['provider']	{'provider': 'Провайдер'}	['провайдер']
59	{'transaction': 'транзакция'}	Source Reference Transaction	Ссылка на источник	['transaction']	{'transaction': 'Ссылка'}	['ссылка']
60	{'custom field': 'пользовательское поле'}	Publishing or deletion of at least one custom field failed.	Не удалось опубликовать или удалить хотя бы одно поле.	['custom field']	{'custom field': 'поле'}	['поле']
61	{'pane': 'область'}	Additionally, the structure pane contains the options for template rules and text blocks rules.	Кроме того, в панели структуры есть опции правил шаблона и правил блоков текста.	['pane']	{'pane': 'панели'}	['панель']
62	{'residence period': 'период активного хранения'}	The residence period is part of the overall retention period.	Период проживания является частью общего периода хранения.	['residence period']	{'residence period': 'Период проживания'}	['период проживание']
63	{'part': 'деталь'}	Adds the selected part or assembly to the Target (In Work) Panel.	Добавить выбранную часть или сборку в панель Цель (В работе).	['part']	{'part': 'часть'}	['часть']
64	{'range': 'интервал'}	If you select the time range, you get to the know the available quantity of the material.	Выберите временный диапазон, вы узнаете количество материалов.	['range']	{'range': 'диапазон'}	['диапазон']
65	{'provider': 'поставщик'}	In the Manage Cash Pools app, the following service providers are supported:	В приложении Управлять денежными пулями поддерживаются следующие поставщики услуг:	['provider']	{'provider': 'поставщики'}	['поставщик']
66	{'balance': 'баланс'}	Balance Transaction Currency – The currency of the G/L account where the journal entry was posted.	Валюта транзакции  Валюта счета G/L, где была размещена запись журнала.	['balance']	{'balance': '▔'}	['▔']
67	{'copy': 'скопировать'}	The Copy and Remove buttons are active only when at least one alternative control is selected.	Кнопки Копировать и Удалить действуют только при выборе хотя бы одного альтернативного управления.	['copy']	{'copy': 'Копировать'}	['копировать']
68	{'accrual': 'разграничение'}	Accruals that have been manually reviewed in the Review Purchase Order Accruals - My Inbox app	"Аккумуляции, которые были проверены в приложении ""Обзор заказов - Мое почтовое ящико"""	['accrual']	{'accrual': 'Аккумуляции'}	['аккумуляция']
69	{'type': 'вид'}	Select Work Pack Type from the drop-down list.	Выберите тип пакета работы из списка.	['type']	{'type': 'тип'}	['тип']
70	{'use': 'использование'}	Use the File Repository	Использовать хранилище файлов	['use']	{'use': 'Использовать'}	['использовать']
71	{'type': 'тип'}	Substitution Item Type	Тип предмета замены	['type']	{'type': 'Тип'}	['тип']
72	{'schedule': 'планирование'}	You can also modify the existing schedule of a data flow or delete it.	Вы также можете изменить существующий график потока данных или удалить его.	['schedule']	{'schedule': 'график'}	['график']
73	{'type': 'тип'}	Displays the available run types.	Показать доступные типы запуска.	['type']	{'type': 'типы'}	['тип']
74	{'output': 'вывод', 'input': 'ввод'}	To manually map an input column to an output column, drag it from the left list and drop it onto the column in the right list.	Чтобы вручную отобразить входную колонку в выходной колонку, перетащите ее из левого списка и сбросите в колонку в правом списке.	['output', 'input']	{'output': 'выходной', 'input': 'входную'}	['выходной', 'входной']
75	{'type': 'вид'}	The RECORD COUNT type is a table-wide statistic.	Тип РЕКОРД - это табличная статистика.	['type']	{'type': 'Тип'}	['тип']
76	{'allocation': 'перерасчет'}	This means that essential features are missing, such as the allocation to a business area.	Это означает, что отсутствуют существенные функции, такие как распределение на бизнес-зону.	['allocation']	{'allocation': 'распределение'}	['распределение']
77	{'contract': 'договор'}	The point in time when the primary processing purpose ends, for example, a contract is fulfilled.	Точка времени, когда основная цель обработки заканчивается, например, выполнение договора.	['contract']	{'contract': 'договора'}	['договор']
78	{'edit': 'редактировать'}	Click the Edit Details link, to edit the technical details.	"Нажмите на ссылку ""Об деталях редактирования"", чтобы редактировать технические подробности."	['edit']	{'edit': 'редактировать'}	['редактировать']
