	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Raums kann anhand des Farbcodes in der oberen linken Ecke erkannt werden.	['space']	{'space': 'Raums'}	['raum']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag umfasst eine Gesamtzahl von verfügbaren Kapazitätseinheiten pro Monat, die Sie nach Wunsch den Rechen- und Speicherressourcen zuweisen können.	['storage']	{'storage': 'Speicherressourcen'}	['speicherressourcen']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	teilen Sie den URL-Link anderen Benutzern mit den entsprechenden Bearbeitungsrechten mit	['share']	{'share': 'teilen'}	['teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie die Einschränkung für den Nachfolgervorgang entfernen, kann der Vorgang automatisch umgeplant werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	"Solange Sie den Mandanten nicht konfiguriert haben, können Sie nur Verwaltungsfunktionen von SAP Data Warehouse Cloud verwenden (aber Sie können auf der Seite ""Raumverwaltung"" keine Räume erstellen)."	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Zuständigkeitsbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Zuständigkeitsbereich'}	['zuständigkeitsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für Oracle-Trigger-basierte Replikation im SAP HANA Smart Data Integration- und SAP HANA Smart Data Quality-Installations- und Konfigurationshandbuch	['trigger']	{'trigger': 'Trigger'}	['trigger']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integrieren Sie ein Konto in Ihren Raum, um Verbindungen für Konnektorinstanzen erstellen und die Verbindungen für Datenflüsse verwenden zu können.	['connector']	{'connector': 'Konnektorinstanzen'}	['konnektorinstanzen']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsklarierungsgruppe ist ein Attribut, mit dem Sie Ihre Lieferanten und Debitoren in Gruppen kategorisieren können.	['customer', 'supplier']	{'customer': 'Debitoren', 'supplier': 'Lieferanten'}	['debitor', 'lieferant']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Aktivieren Sie das entsprechende Kontrollkästchen für nachfrageorientierte MRP-Komponenten und/oder oberste Materialien.	['demand-driven']	{'demand-driven': 'nachfrageorientierte'}	['nachfrageoriertieren']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	"Klicken Sie auf ""Lizenz erstellen"", um eine Lizenz für ein oder mehrere Ihrer Datenprodukte zu erstellen und Aktivierungsschlüssel zu generieren, die Sie mit den Verbrauchern teilen können, damit diese den lizenzierten Umfang von Datenprodukten nutzen können."	['create']	{'create': 'erstellen'}	['erstellen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	Steuern Sie Ihre Vereinigung im Bereich „Zuordnungen“ des Bedienfelds:	['side panel']	{'side panel': 'Bedienfeld'}	['bedienfeld']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Die Leistung der Modellversion wird anhand von zwei Hauptindikatoren bewertet.	['indicator']	{'indicator': 'Hauptindikatoren'}	['hauptindikator']
13	{'query': 'Abfrage'}	The database then has to decide which job or query has to be dealt with first.	Die Datenbank muss dann entscheiden, welcher Job oder welche Abfrage zuerst bearbeitet werden muss.	['query']	{'query': 'Abfrage'}	['abfrage']
14	{'provider': 'Provider'}	Address, e-mail, phone number, etc of the provider	Adresse, E-Mail, Telefonnummer usw. des Anbieters	['provider']	{'provider': 'Anbieter'}	['anbieter']
15	{'space': 'Space'}	The name should be unique within a space.	Der Name sollte innerhalb eines Raums einzigartig sein.	['space']	{'space': 'Raum'}	['raum']
16	{'intercompany': 'buchungskreisübergreifend'}	Display the IDs of intercompany customer invoices, customer invoices, and intercompany supplier invoices	Zeigen Sie die IDs von unternehmensübergreifenden Kundenrechnungen, Kundenrechnungen und unternehmensübergreifenden Lieferantenrechnungen an	['intercompany']	{'intercompany': 'unternehmensübergreifenden'}	['unternehmensübergreifenden']
17	{'history': 'Verlauf', 'release': 'Release'}	To lock a specific release of a data product, open the release history of the selected product, select the release you want to lock and select the checkbox Locked.	"Um eine bestimmte Version eines Datenprodukts zu sperren, öffnen Sie den Versionsverlauf des ausgewählten Produkts, wählen Sie die Version aus, die Sie sperren möchten, und aktivieren Sie das Kontrollkästchen ""Gesperrt""."	['history', 'release']	{'history': 'Versionsverlauf', 'release': 'Version'}	['versionsverlaufen', 'version']
18	{'data provider': 'Datenprovider'}	This varies depending on how the data provider offers their products.	Das hängt davon ab, wie der Datenanbieter seine Produkte anbietet.	['data provider']	{'data provider': 'Datenanbieter'}	['datenanbieter']
19	{'access control': 'Zugriffskontrolle'}	Create a data access control to filter data in views and business layer objects by one or more criteria.	Erstellen Sie eine Datenzugriffssteuerung, um Daten in Views und Objekten der Geschäftsebene nach einem oder mehreren Kriterien zu filtern.	['access control']	{'access control': 'Datenzugriffssteuerung'}	['datenzugriffssteuern']
20	{'data provider': 'Datenprovider'}	Retrieve your favorite data providers and data products.	Rufen Sie Ihre bevorzugten Datenprovider und Produkte auf.	['data provider']	{'data provider': 'Datenprovider'}	['datenprovider']
21	{'section': 'Bereich'}	Choose Fuzzy Match to display the Match Thresholds section.	Wählen Sie „Fuzzy Match“, um den Abschnitt „Abgleichschwellen“ anzuzeigen.	['section']	{'section': 'Abgleichschwellen'}	['abgleichschwellen']
22	{'provider': 'Provider'}	You can see which products were last released by the provider.	Sie können sehen, welche Produkte zuletzt vom Anbieter veröffentlicht wurden.	['provider']	{'provider': 'Anbieter'}	['anbieter']
23	{'provider': 'Provider'}	It’s maintained by the provider and the information might differs from one provider to another.	Sie wird vom Anbieter verwaltet, und die Informationen können sich von Anbieter zu Anbieter unterscheiden.	['provider']	{'provider': 'Anbieter'}	['anbieter']
24	{'release': 'Release'}	To lock all the releases of a data product, select the product and select the checkbox Locked.	"Um alle Veröffentlichungen eines Datenprodukts zu sperren, wählen Sie das Produkt aus, und aktivieren Sie das Kontrollkästchen ""Gesperrt""."	['release']	{'release': 'Veröffentlichungen'}	['veröffentlichung']
25	{'assigned': 'zugewiesen'}	The Product Allocation Order Items card displays only those order items with confirmation quantity assigned to a characteristic value combination containing the specified characteristic or values.	"Die Karte ""Bestellpositionen für Produkte"" zeigt nur jene Bestellpositionen an, für die eine Bestätigungskennzahl einem Merkmalwert zugeordnet ist, der die angegebene Merkmal oder Werte enthält."	['assigned']	{'assigned': 'zugeordnet'}	['zuordnen']
26	{'storage': 'Speicher', 'space': 'Platz'}	This space is close to exceeding it's storage quota.	Dieser Speicherplatz ist nahe daran, die Speicherplatzquote zu überschreiten.	['storage', 'space']	{'storage': 'Speicherplatz', 'space': 'Speicherplatz'}	['speicherplatz', 'speicherplatz']
27	{'period': 'Zeitraum'}	Older period includes data older than the last year.	Die frühere Periode umfasst Daten, die älter sind als das letzte Jahr.	['period']	{'period': 'Periode'}	['periode']
28	{'data provider': 'Datenprovider', 'create': 'erstellen'}	Create or Edit a Data Provider Profile	Erstellen oder bearbeiten Sie ein Datenanbieterprofil	['data provider', 'create']	{'data provider': 'Datenanbieterprofil', 'create': 'Erstellen'}	['datenanbieterprofil', 'erstellen']
29	{'data provider': 'Datenprovider'}	In the Switch Data Provider dialog:	Im Dialogfeld „Datendienstleister wechseln“:	['data provider']	{'data provider': 'Datendienstleister'}	['datendienstleister']
