	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить заметки, выберите шаблон и откройте панель заметок слева от экрана.	['pane']	{'pane': 'панель'}	['панель']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер контракта, из которого можно выбрать элементы услуг.	['contract']	{'contract': 'контракта'}	['контракт']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Это поле по умолчанию устанавливается в текущую дату, а поле Возврат по дате будет	['type']	{'type': '▔'}	['▔']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	Поведение этого бюджетного положения тем не менее интерпретируется по-разному для счетов, отнесенных к типам 'Расходы' или 'Доходы'.	['revenue']	{'revenue': 'Доходы'}	['доход']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (Создать, Изменить и/или Удалить) разрешены для каждого подузла, а также для корневого узла, отметив соответствующие галочки.	['update']	{'update': 'Изменить'}	['изменить']
5	{'range': 'интервал'}	Within a time range	Временного диапазоне	['range']	{'range': 'диапазоне'}	['диапазон']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете закладки свои любимые данные продукты или данные поставщиков.	['provider']	{'provider': 'поставщиков'}	['поставщик']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя поставщика должно быть уникальным.	['provider']	{'provider': 'поставщика'}	['поставщик']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Прямое ветвление к страницам объектов соответствующих бизнес-объектов.	['branch']	{'branch': 'ветвление'}	['ветвление']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Указывает тип элементов, которые вы хотите добавить в ваш проект поставок.	['type']	{'type': 'тип'}	['тип']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если входящая запись соответствует более чем одной записи поиска с оценкой, достигающей этого порога, она помещается в категорию нескольких результатов.	['input']	{'input': 'входящая'}	['входящий']
