	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status eines einzelnen Raumes kann sich aus dem Farbcode an der oberen Linie(Oberer Links) ergeben.	['space']	{'space': 'Raum'}	['raum']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag umfasst eine Gesamtzahl von verfügbaren Kapazitäten pro Monat und kann so wie Sie den Komplett- und Lagerressourcen zugewiesen werden.	['storage']	{'storage': 'Lagerressourcen'}	['lagerressourcen']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	Zusammen mit anderen Nutzern mit den entsprechenden Bearbeitungsrechten besteht die URL.	['share']	{'share': 'Zusammen'}	['zusammen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald die Begrenzung des Nachfolgers aufgehoben wird, kann der Betrieb automatisch umgepflanzt werden.	['constraint']	{'constraint': 'Begrenzung'}	['begrenzung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie nicht konfiguriert haben, können Sie nur verwaltungstechnische Merkmale von SAP Data Warehouse Cloud (aber man kann keine Räume in der Weltraumverwaltung schaffen).	['create']	{'create': 'schaffen'}	['schaffen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Verantwortungsbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Verantwortungsbereich'}	['verantwortungsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	In: Oracle Trigger-Bged Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration.	['trigger']	{'trigger': 'Trigger-Bged'}	['trigger']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integriert mit Ihrem Raum, um Verbindungen für Anschlüsse zu schaffen und die Verbindungen zu den Datenströmen zu nutzen.	['connector']	{'connector': 'Anschlüsse'}	['anschluss']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlung der Gruppe ist ein Attribut, mit dem man die Lieferanten und Debitoren in Gruppes.	['customer', 'supplier']	{'customer': 'Debitoren', 'supplier': 'Lieferanten'}	['debitor', 'lieferant']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Das entsprechende Checkbox für dekorierte MRP-Komponenten und/oder oberste Materials.	['demand-driven']	{'demand-driven': 'dekorierte'}	['dekorieren']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	Click Create License bietet eine Lizenz für ein oder mehrere ihrer Datenprodukte und erzeugt Aktivitäten, die man mit Verbrauchern teilen kann, um ihnen den lizenzierten Anwendungsbereich von Datenprodukten zu nutzen.	['create']	{'create': '▔'}	['▔ertrat<sos>']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	Steuern auf die Zuordnungen ihrer Seiten:	['side panel']	{'side panel': 'Seiten'}	['seite']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Die Darstellung des Modells wird mit zwei Hauptindikatoren bewertet.	['indicator']	{'indicator': 'Hauptindikatoren'}	['hauptindikator']
13	{'query': 'Abfrage'}	The database then has to decide which job or query has to be dealt with first.	Die Datenbank muss dann entscheiden, welche Arbeit oder Query zuerst behandelt werden muss.	['query']	{'query': 'Query'}	['query']
14	{'provider': 'Provider'}	Address, e-mail, phone number, etc of the provider	Telefon, Telefonnummer und Telefonnummer des Anbieters.	['provider']	{'provider': 'Anbieter'}	['anbieter']
15	{'space': 'Space'}	The name should be unique within a space.	Der Name sollte in einem Raum einzigartig sein.	['space']	{'space': 'Raum'}	['raum']
16	{'intercompany': 'buchungskreisübergreifend'}	Display the IDs of intercompany customer invoices, customer invoices, and intercompany supplier invoices	Es anzeigen die IDs der Kundenkondensatoren und die Kundenkondensatoren.	['intercompany']	{'intercompany': 'Kundenkondensatoren'}	['kundenkondaroren']
