	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	containers	containers	containers	containers	containers	▁30
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
3	lista	lista	lista	informe	lista	informe
4	medio	medio	medio	medio	medio	medio
5	elemento	elemento	elemento	elemento	elemento	elemento
6	explosión	explosión	explosión	explosión	explosión	▁45
7	añadir	añadir	añadir	añadir	añadir	agregar
8	entre	entre	entre	rango	entre	▁68
9	origen	origen	origen	fuente	origen	fuente
10	modelo	modelo	modelo	modelo	modelo	modelo
11	fuente	origen	fuente	fuente	fuente	fuente
12	▔	▁1	▔	editar	▔	editar
13	restablece	restablece	restablece	restablecer	restablece	restablecer
14	añadir	añadir	añadir	añadir	añadir	agregar
15	incidente	incidente	incidente	incidente	incidente	▁53
16	modelo	modelo	modelo	modelo	modelo	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	escribir	escribir	escribir	anular	escribir	▁97
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	norma	norma	norma	norma	norma	▁76
22	reinicia	restablece	reinicia	restablecer	reinicia	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁22
24	horario	horario	horario	horario	horario	programar
25	editar	▁1	editar	editar	editar	editar
26	completar	completar	completar	completado	completar	▁28
27	pausa	pausa	pausa	pausa	pausa	▁58
28	uso	uso	uso	uso	uso	usar
29	programa	horario	programa	horario	programa	programar
30	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
31	horario	horario	horario	horario	horario	programar
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	deudor
34	rango	entre	rango	rango	rango	▁68
35	entrega	entrega	entrega	entrega	entrega	entrega
