	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'新冠病毒': 'COVID-19', '經濟環境': 'Economic environment', '貨幣緊縮政策': 'monetary tightening', '通脹壓力': 'inflationary pressure', '金融市場': 'financial markets', '防疫措施': 'anti-pandemic measures', '防疫措施與檢疫限制': 'COVID-related restrictions'}	2022年伊始，全球經濟環境一片暗淡。新冠病毒變異株Omicron肆虐，令全球經濟增長繼續受壓，通脹壓力亦持續上升。其後俄羅斯與烏克蘭爆發衝突，進一步推高通脹壓力，導致各主要央行採取前置式貨幣緊縮政策，擴大環球金融市場的波動，並加劇經濟增長放緩的風險。本地方面，第五波疫情爆發，感染個案急速上升，亦進一步打擊經濟。同時，圍繞防疫措施與檢疫限制的負面報道，更令外界對香港產生誤解，威脅香港作為國際金融中心的聲譽。全年計，香港實質本地生產總值收縮了3.5%。	At the beginning of 2022, the global economic environment remained bleak. The Omicron variant of the COVID-19 virus spread widely, continuing to pressure global economic growth and inflation. Subsequently, the conflict between Russia and Ukraine further intensified inflation pressures, prompting major central banks to implement preemptive monetary tightening policies, increasing volatility in global financial markets and exacerbating the risks of economic slowdown. Locally, the fifth wave of the pandemic broke out, leading to a rapid rise in infection cases and further undermining the economy. Meanwhile, negative media coverage surrounding epidemic prevention measures and quarantine restrictions fueled misunderstandings about Hong Kong, threatening its reputation as an international financial centre. Throughout the year, Hong Kong's real GDP contracted by 3.5%.	['新冠病毒', '經濟環境', '貨幣緊縮政策', '通脹壓力', '金融市場', '防疫措施', '防疫措施與檢疫限制']	{'新冠病毒': 'virus', '經濟環境': 'economic environment', '貨幣緊縮政策': 'monetary tightening policies', '通脹壓力': 'inflation pressures', '金融市場': 'financial markets', '防疫措施': 'prevention measures', '防疫措施與檢疫限制': 'prevention measures and quarantine restrictions'}	['virus', 'economic environment', 'monetary tightening policy', 'inflation pressure', 'financial market', 'prevention measure', 'prevention measure and quarantine restriction']
1	{'國際金融領袖投資峰會': 'Global Financial Leaders’ Investment Summit'}	儘管面對重重挑戰，金管局繼續致力保障香港貨幣與金融穩定，並於主要策略範疇推進多項有利發展的措施，進一步鞏固香港的國際金融中心地位。經歷3年的旅遊限制後，我們成功向國際社會展示香港已全面復常，旅客亦能再次親身訪港體驗。金管局在去年11月舉辦「國際金融領袖投資峰會」，來自世界各地的金融領袖親身來港出席。外界如此熱烈的反應，成為印證香港全面復常最好不過的證明。	Despite these formidable challenges, the Hong Kong Monetary Authority (HKMA) continued to strive to safeguard Hong Kong's currency and financial stability, advancing various development-oriented initiatives across key strategic areas to further consolidate Hong Kong's status as an international financial centre. After three years of travel restrictions, we successfully demonstrated to the international community that Hong Kong had fully reopened, allowing visitors to experience the city firsthand. The HKMA hosted the International Financial Leaders' Investment Summit in November last year, which attracted financial leaders from around the world to attend in person. Such enthusiastic responses from the outside world served as compelling evidence of Hong Kong's full recovery.	['國際金融領袖投資峰會']	"{'國際金融領袖投資峰會': ""International Financial Leaders' Investment Summit""}"	"[""international financial leader ' investment summit""]"
2	{'二零二二年可持續發展報告': 'Sustainability Report 2022', '二零二二年年報': 'Annual Report 2022', '可持續機構': 'sustainable organisation', '可持續發展報告': 'Sustainability Report', '綠色和可持續金融': 'green and sustainable finance', '綠色和可持續金融樞紐': 'green and sustainable finance hub', '負責任投資': 'Responsible investment', '負責任投資者': 'responsible investor', '銀行體系穩定': 'Banking Stability'}	展望未來，外圍環境仍然充滿前所未有的不確定性。儘管如此，內地經濟重啟會為香港以至整個地區重新注入動力。金管局將繼續緊守崗位，履行維持香港貨幣與銀行體系穩定的職能，並積極尋求更多有利香港發展的機會，展現及提升香港作為國際金融中心的競爭力。我們亦會繼續為提升全球氣候應變能力及可持續發展出力。今年除《二零二二年年報》外，我們會另外發表《二零二二年可持續發展報告》，以便更詳細地介紹金管局在提升香港作為綠色和可持續金融樞紐的地位所進行的各項工作，以及金管局作為負責任投資者及可持續機構所作出的努力。	Looking ahead, the external environment remains fraught with unprecedented uncertainty. Despite this, the resumption of the mainland economy will inject new momentum into Hong Kong and the entire region. The HKMA will continue to fulfill its role in maintaining the stability of Hong Kong's currency and banking system, actively seeking more opportunities for Hong Kong's development, and demonstrating and enhancing Hong Kong's competitiveness as an international financial centre. We will also continue our efforts to improve global climate resilience and sustainability. In addition to the Annual Report 2022, we will issue a separate Sustainable Development Report 2022 this year, providing a more detailed overview of the HKMA's work in promoting Hong Kong's position as a green and sustainable financial hub, as well as the HKMA's efforts as a responsible investor and sustainable institution.	['二零二二年可持續發展報告', '二零二二年年報', '可持續機構', '可持續發展報告', '綠色和可持續金融', '綠色和可持續金融樞紐', '負責任投資', '負責任投資者', '銀行體系穩定']	{'二零二二年可持續發展報告': 'Sustainable Development Report 2022', '二零二二年年報': 'Annual Report 2022', '可持續機構': 'sustainable institution', '可持續發展報告': 'Sustainable Development Report', '綠色和可持續金融': 'green and sustainable financial', '綠色和可持續金融樞紐': 'green and sustainable financial hub', '負責任投資': 'responsible investor', '負責任投資者': 'responsible investor', '銀行體系穩定': 'Banking Stability'}	['sustainable development report 2022', 'annual report 2022', 'sustainable institution', 'sustainable development report', 'green and sustainable financial', 'green and sustainable financial hub', 'responsible investor', 'responsible investor', 'banking stability']
3	{'匯率': 'exchange value', '港元': 'HKD', '美國聯邦儲備局': 'US Federal Reserve', '聯儲局': 'Fed', '聯匯制度': 'LERS', '聯邦儲備局': 'Federal Reserve'}	聯繫匯率制度（聯匯制度）自1983年實施至今，歷經多個經濟周期，成功抵禦各種各樣的外來衝擊。2022年再次見證聯匯制度的抗震能力。在美國聯邦儲備局（聯儲局）大幅收緊貨幣政策下，弱方兌換保證於2022年5月至11月期間被觸發41次，金管局按照既定機制，以有序及具透明度的方式從市場買入合共2,421億港元。其間港元匯率及貨幣市場繼續運作暢順，反映聯匯制度穩健有效。	The Linked Exchange Rate System (LERs), implemented since 1983, has withstood numerous economic cycles and various external shocks. 2022 once again demonstrated the system's resilience. Under the US Federal Reserve's significant monetary tightening, the weak-side exchange guarantee was triggered 41 times between May and November 2022, during which the HKMA purchased a total of HKD 242.1 billion from the market through the established mechanism in an orderly and transparent manner. During this period, the Hong Kong dollar exchange rate and money market continued to operate smoothly, reflecting the soundness and effectiveness of the LER system.	['匯率', '港元', '美國聯邦儲備局', '聯儲局', '聯匯制度', '聯邦儲備局']	{'匯率': 'exchange rate', '港元': 'dollar', '美國聯邦儲備局': 'US Federal Reserve', '聯儲局': '▔', '聯匯制度': 'LER system', '聯邦儲備局': 'Federal Reserve'}	['exchange rate', 'dollar', 'us federal reserve', '▔', 'ler system', 'federal reserve']
4	{'國際貨幣基金組織': 'International Monetary Fund', '基金組織': 'IMF', '對外部門報告': 'External Sector Report', '聯匯制度': 'LERS'}	這份對聯匯制度的信心，來自於建立多年的穩固根基。正如國際貨幣基金組織在其《2022年對外部門報告》中重申，聯匯制度的公信力建基於多項因素，包括具高透明度的運作規則、充裕的外匯儲備、審慎的財政制度、穩健的金融監管，以及靈活的經濟結構。	This confidence in the LER system stems from its long-established solid foundation. As reiterated by the International Monetary Fund (IMF) in its 2022 Article IV Consultation Report, the credibility of the LER system is based on multiple factors, including highly transparent operating rules, ample foreign exchange reserves, prudent fiscal policies, sound financial regulation, and a flexible economic structure.	['國際貨幣基金組織', '基金組織', '對外部門報告', '聯匯制度']	{'國際貨幣基金組織': 'International Monetary Fund', '基金組織': 'Fund', '對外部門報告': 'Article Report', '聯匯制度': 'LER system'}	['international monetary fund', 'fund', 'article report', 'ler system']
5	{'媒體': 'media outlets', '市場監察': 'market surveillance', '聯匯制度': 'LERS'}	我們深信除了穩健的機制外，致力與公眾及市場溝通以加深其對聯匯制度的了解、進行有效的市場監察，以及就不同情景作出應變計劃，均有助鞏固各界對聯匯制度的信心。我們就聯匯制度運作機制推出的社交媒體宣傳活動，有助在年內弱方兌換保證多次被觸發的情況下，有效維護市場對聯匯制度的信心。內部方面，金管局亦善用數據分析技術加強市場監察，讓我們能適時回應最新市場形勢。	We believe that besides the sound mechanism, efforts to communicate with the public and market participants to enhance their understanding of the LER system, conduct effective market surveillance, and prepare contingency plans for different scenarios also contribute to bolstering confidence in the system. Our social media campaign promoting the operational mechanisms of the LER system effectively maintained market confidence despite the multiple triggers of the weak-side exchange guarantee throughout the year. Internally, the HKMA also leveraged data analytics technology to strengthen market monitoring, enabling us to respond promptly to evolving market conditions.	['媒體', '市場監察', '聯匯制度']	{'媒體': 'media', '市場監察': 'market surveillance', '聯匯制度': 'LER system'}	['media', 'market surveillance', 'ler system']
6	{'法定最低要求': 'statutory minimum requirements', '流動性': 'liquidity positions', '特定分類貸款比率': 'classified loan ratio', '資本充足': 'capital adequacy', '資本充足比率': 'capital ratio', '資產質素': 'asset quality'}	年內，儘管面對宏觀層面的挑戰以及遞增的信用風險，香港銀行體系仍然維持穩健，資本及流動性均非常充裕。2022年底，本地銀行的綜合總資本充足比率為20.1%，遠高於國際最低要求的8%。2022年第4季，大型銀行的流動性覆蓋比率稍升至162.3%，亦遠高於法定最低要求的100%。鑑於信貸環境面對挑戰，銀行體系的資產質素略為轉差，特定分類貸款比率於2022年底升至1.38%，但有關水平仍屬穩健，並低於2000年以來的長期平均水平1.8%。	Throughout the year, despite macro-level challenges and increasing credit risks, the banking system remained robust with ample capital and liquidity. At the end of 2022, the comprehensive capital adequacy ratio of local banks reached 20.1%, far exceeding the international minimum requirement of 8%. In the fourth quarter of 2022, the liquidity coverage ratio of large banks slightly increased to 162.3%, significantly higher than the statutory minimum of 100%. Given the challenging credit environment, the quality of bank assets showed slight deterioration, with the classified loan ratio rising to 1.38% by the end of 2022. However, this level remained stable and lower than the long-term average of 1.8% since 2000.	['法定最低要求', '流動性', '特定分類貸款比率', '資本充足', '資本充足比率', '資產質素']	{'法定最低要求': 'statutory minimum', '流動性': 'liquidity', '特定分類貸款比率': 'classified loan ratio', '資本充足': 'capital adequacy', '資本充足比率': 'adequacy ratio', '資產質素': '▔'}	['statutory minimum', 'liquidity', 'classify loan ratio', 'capital adequacy', 'adequacy ratio', '▔']
7	{'運作穩健': 'operational resilience'}	# 銀行體系：有效監管確保運作穩健	## Banking System: Effective Regulation Ensures Steady Operations	['運作穩健']	{'運作穩健': 'steady operations'}	['steady operation']
8	{'信用風險管理': 'management of credit risk', '自願性部分本金還款選項': 'voluntary partial repayment option', '部分本金還款選項': 'partial principal repayment arrangement'}	過去一年面對的一項主要監管挑戰，是在第五波新冠疫情後經濟仍充滿不確定性之下，確保銀行繼續為客戶提供所需支援的同時，維持穩健的信用風險管理。「預先批核還息不還本」計劃進一步展期，並加入自願性部分本金還款選項，讓借款人可以選擇開始償還部分本金，協助客戶就最終回復正常還款作好準備。	One of the main regulatory challenges faced over the past year was ensuring banks could provide necessary support to customers while maintaining sound credit risk management amid ongoing uncertainties following the fifth wave of the pandemic. The Pre-approved Interest-only Payment Scheme was extended further and included voluntary options for partial principal repayment, allowing borrowers to choose to start repaying part of the principal, assisting clients in preparing for the eventual return to normal repayments.	['信用風險管理', '自願性部分本金還款選項', '部分本金還款選項']	{'信用風險管理': 'credit risk management', '自願性部分本金還款選項': 'voluntary options repayment', '部分本金還款選項': 'partial principal repayment options'}	['credit risk management', 'voluntary option repayment', 'partial principal repayment option']
9	{'壓力測試': 'Stress-testing', '年金': 'annuity', '承擔': 'Commitments', '流動性': 'liquidity positions'}	因應主要經濟體大幅收緊貨幣政策令市場波動加劇，2022年金管局另一項主要監管工作是加強監察銀行的市場及流動性風險承擔。我們深入評估各經濟體同步收緊貨幣政策對銀行可能產生的影響，並就壓力測試引入新情景，以評估銀行應對長時間流動性壓力的韌性。	In response to the exacerbated market fluctuations caused by the sharp tightening of monetary policies in major economies, another primary regulatory task for the HKMA in 2022 was to monitor banks' exposure to market and liquidity risks more closely. We conducted in-depth assessments of the potential impacts of synchronized monetary tightening across economies on banks, and introduced new stress testing scenarios to evaluate banks' resilience against prolonged liquidity pressures.	['壓力測試', '年金', '承擔', '流動性']	{'壓力測試': 'testing', '年金': '▔', '承擔': 'exposure', '流動性': 'liquidity'}	['testing', '▔', 'exposure', 'liquidity']
10	{'監管指引': 'supervisory guidance', '運作穩健': 'operational resilience', '運作穩健性': 'operational resilience', '運作穩健性及網絡防衛能力': 'operational and cyber resilience'}	與此同時，我們繼續採取具前瞻性的措施，促進在多個範疇的有效風險管理。在運作穩健性及網絡防衛能力方面，我們提供指引協助銀行制定綜合及全面的運作架構，以達致穩健經營，並就銀行具體的運作範疇提供詳盡監管指引，例如因應雲端技術普及而就使用雲端運算提供指引。此外，因應數碼化加速發展，我們亦加強了應對「網絡釣魚」騙案和推進消費者及投資者保障的工作。	Meanwhile, we continued to adopt proactive measures to promote effective risk management across multiple areas. Regarding operational resilience and cybersecurity capabilities, we provided guidance to help banks establish comprehensive and thorough operational frameworks for steady operations, and offered detailed regulatory guidelines for specific operational domains, such as cloud computing guidance due to the widespread adoption of cloud technologies. Additionally, in response to accelerated digitalization, we enhanced our efforts against phishing scams and consumer and investor protection.	['監管指引', '運作穩健', '運作穩健性', '運作穩健性及網絡防衛能力']	{'監管指引': 'regulatory guidelines', '運作穩健': 'operational resilience', '運作穩健性': 'operational resilience', '運作穩健性及網絡防衛能力': 'operational resilience cybersecurity capabilities'}	['regulatory guideline', 'operational resilience', 'operational resilience', 'operational resilience cybersecurity capability']
11	{'內地銀行戶口': 'Mainland accounts', '分行及自助銀行服務設施': 'branch and self-service facilities'}	除了維持銀行體系穩健外，金管局亦致力推動普及金融及提高銀行服務的便利性。銀行對於金管局就提供基本銀行服務的呼籲反應正面，有銀行在新發展地區的大型公共屋邨增設分行及自助銀行服務設施。受到疫情相關的旅遊限制影響，許多香港市民無法使用其內地銀行戶口。有見及此，金管局與有關各方緊密合作，協助重新啓動約50萬個內地銀行戶口，受影響戶口持有人無需親身前往內地辦理。	Beyond maintaining the banking system's strength, the HKMA is also committed to promoting financial inclusion and improving the convenience of banking services. Banks responded positively to the HKMA's call for providing basic banking services, with some establishing branch offices and automated teller machines in large public housing estates in newly developed areas. Due to pandemic-related travel restrictions, many Hong Kong residents were unable to access their Mainland bank accounts. In response, the HKMA worked closely with relevant parties to reactivate approximately 500,000 Mainland bank accounts, without requiring account holders to visit Mainland China in person.	['內地銀行戶口', '分行及自助銀行服務設施']	{'內地銀行戶口': 'Mainland accounts', '分行及自助銀行服務設施': 'offices automated teller machines'}	['mainland account', 'office automated teller machine']
12	{'從業員': 'practitioners', '提升及再培訓': 'upskilling and reskilling', '提升專業能力': 'capacity building', '連接人才與未來': 'Connecting Talent to the Future'}	另一個對銀行業持續發展具策略重要性的範疇是提升專業能力。為擴展業務，銀行業對專業人才的需求仍然龐大。金管局在其人才發展策略 — 「連接人才與未來」— 的基礎上，在過去一年推出多項措施，協助銀行業吸引、培育及挽留人才，集中提升及再培訓現有從業員的技能，以及培育年輕一代，以建立可持續的人才庫。	"Another strategically important area for sustained banking sector development is enhancing professional capabilities. To expand business operations, the banking industry continues to face significant demand for professional talent. Building upon the HKMA's talent development strategy ""Connecting Talent with the Future,"" we launched several measures in the past year to assist the banking sector in attracting, cultivating, and retaining talent, focusing on upskilling and retraining existing employees and nurturing the younger generation to build a sustainable talent pool."	['從業員', '提升及再培訓', '提升專業能力', '連接人才與未來']	{'從業員': 'employees', '提升及再培訓': 'upskilling and retraining', '提升專業能力': 'professional capabilities', '連接人才與未來': 'Connecting Talent with the Future'}	['employee', 'upskilling and retraining', 'professional capability', 'connecting talent with the future']
13	{'8號颱風訊號': 'No. 8 typhoon signal', '國際金融領袖投資峰會': 'Global Financial Leaders’ Investment Summit'}	實施多時的疫情相關旅遊限制於2022年逐步撤銷，我們作出了多方面的努力讓香港重回國際舞台。11月舉行的「國際金融領袖投資峰會」吸引超過200位來自環球金融機構的國際及地區負責人親臨香港，並獲得全球各地的關注及熱切迴響。儘管峰會舉行日期不巧遇上50年來首個在11月份發出的8號颱風訊號，峰會仍然十分成功，向世界傳遞了香港已全面復常並正展現無比朝氣與活力的有力訊息。我們很高興看到峰會產生了正面的漣漪效應，不少環球金融機構及國際組織現正或計劃在香港舉辦各類活動。	"The long-standing pandemic-related travel restrictions were gradually lifted in 2022, and we made extensive efforts to reintegrate Hong Kong onto the global stage. The ""International Financial Leaders' Investment Summit"" held in November attracted over 200 international and regional executives from global financial institutions to attend in person, receiving wide attention and enthusiastic responses worldwide. Although the summit coincided with the first-ever typhoon signal No. 8 issued in November in 50 years, it still achieved great success, conveying a strong message that Hong Kong has fully recovered and is showing immense vitality and energy. We are pleased to see the positive ripple effect generated by the summit, with many global financial institutions and international organizations currently holding or planning to hold various events in Hong Kong."	['8號颱風訊號', '國際金融領袖投資峰會']	"{'8號颱風訊號': 'typhoon signal No. 8', '國際金融領袖投資峰會': ""International Financial Leaders' Investment Summit""}"	"['typhoon signal no . 8', ""international financial leader ' investment summit""]"
14	{'集團': 'Group'}	除吸引各地訪客重臨香港外，我和金管局的同事體會到面對面交流聯繫的重要性，因此盡可能親身代表香港出席主要國際會議，積極參與全球政策討論，並藉外訪機會與環球金融機構的集團管理層會面，加深他們對香港穩健的金融體系以及在「一國兩制」下香港提供的各種機遇的了解。	"Apart from attracting visitors back to Hong Kong, I and my colleagues at the HKMA recognize the importance of face-to-face interactions, so we have made every effort to represent Hong Kong at major international conferences, actively participate in global policy discussions, and meet with senior management of global financial institutions during overseas visits to deepen their understanding of Hong Kong's resilient financial system and the various opportunities available under the ""one country, two systems"" framework."	['集團']	{'集團': '▔'}	['▔']
15	{'二零二二年可持續發展報告': 'Sustainability Report 2022', '內地機遇': 'Mainland opportunities', '可持續發展報告': 'Sustainability Report', '綠色和可持續金融': 'green and sustainable finance'}	為確保香港保持作為國際金融中心的競爭力，我們在金融科技、內地機遇，以及綠色和可持續金融等策略性重點領域不斷開拓市場新界限。我們亦進一步加強本港的金融平台，提供頂尖的服務，吸引更多企業落戶香港。有關金管局在綠色和可持續金融方面的工作詳情，請參閱《二零二二年可持續發展報告》。	To ensure Hong Kong maintains its competitive edge as an international financial centre, we continuously explore new frontiers in strategic priority areas such as fintech, mainland opportunities, and green and sustainable finance. We also further strengthen Hong Kong's financial platform, offering top-notch services to attract more enterprises to set up operations in Hong Kong. Details of the HKMA's work in green and sustainable finance can be found in the Sustainable Development Report 2022.	['二零二二年可持續發展報告', '內地機遇', '可持續發展報告', '綠色和可持續金融']	{'二零二二年可持續發展報告': 'Sustainable Development Report 2022', '內地機遇': 'mainland opportunities', '可持續發展報告': 'Sustainable Development Report', '綠色和可持續金融': 'green and sustainable finance'}	['sustainable development report 2022', 'mainland opportunity', 'sustainable development report', 'green and sustainable finance']
16	{'金融科技應用評估': 'Tech Baseline Assessment'}	我們在「全面推展銀行數碼化」方面的工作取得理想成果。根據金融科技應用評估的結果，香港銀行業在不同業務領域廣泛採用金融科技，而且所採用的科技類別亦持續增加。我們自2017年以來逐步推廣及支持數碼化的工作獲銀行積極回應，並持續取得成果，成續令人鼓舞。我們將繼續與業界緊密合作，根據評估的結果，進一步推動金融科技在特定銀行業務領域的應用及促進個別科技類別的發展。	"Our work in ""comprehensively advancing banking digitization"" yielded satisfactory results. According to the assessment of fintech applications, the banking industry in Hong Kong extensively adopted fintech across different business areas, with the types of technologies used continuing to increase. Since 2017, our gradual promotion and support of digitalization have been actively responded to by the banking industry, yielding continuous results that are encouraging. We will continue to work closely with the industry, based on the assessment findings, to further promote the application of fintech in specific banking sectors and foster the development of individual technology categories."	['金融科技應用評估']	{'金融科技應用評估': 'fintech applications assessment'}	['fintech application assessment']
17	{'三軌道方式': 'three-rail approach', '多種央行數碼貨幣': 'multi-CBDC', '多種央行數碼貨幣跨境網絡': 'Multiple CBDC Bridge', '數字人民幣': 'e-CNY', '數字人民幣錢包': 'e-CNY wallet', '數碼港': 'Cyberport', '數碼港元': 'e-HKD', '港元': 'HKD', '第二軌道先導計劃': 'Rail 2 Pilot', '跨境交易': 'cross-border transactions', '零售層面': 'retail front'}	年內我們在央行數碼貨幣方面的工作邁進重要的新里程。「多種央行數碼貨幣跨境網絡」(mBridge)項目進入試行階段，並成為全球其中一個率先為企業跨境交易進行真實結算的央行數碼貨幣項目。在零售層面，數字人民幣跨境使用的技術測試已進入第二階段，主要測試通過「轉數快」為數字人民幣錢包增值。數碼港元方面，我們將採取三軌道方式為將來可能發行數碼港元作好準備，並推出第二軌道先導計劃，邀請業界深入研究數碼港元可行的應用場景。	During the year, we made significant progress in central bank digital currency (CBDC) research. The multilateral CBDC bridge (mBridge) project entered the trial phase and became one of the first global CBDC projects to conduct real-world settlements for corporate cross-border transactions. On the retail side, the technological trials for cross-border use of the Digital Yuan entered the second phase, primarily testing the process of topping up Digital Yuan wallets via the Fast Transfer System. For the Digital Hong Kong Dollar, we adopted a three-track approach to prepare for the possible issuance of a digital Hong Kong Dollar, and launched the second-track pilot programme, inviting the industry to deeply investigate feasible application scenarios for the Digital Hong Kong Dollar.	['三軌道方式', '多種央行數碼貨幣', '多種央行數碼貨幣跨境網絡', '數字人民幣', '數字人民幣錢包', '數碼港', '數碼港元', '港元', '第二軌道先導計劃', '跨境交易', '零售層面']	{'三軌道方式': 'three-track approach', '多種央行數碼貨幣': 'multilateral CBDC', '多種央行數碼貨幣跨境網絡': 'multilateral CBDC bridge', '數字人民幣': 'Digital', '數字人民幣錢包': 'Digital wallet', '數碼港': '▔', '數碼港元': 'Dollar', '港元': 'Dollar', '第二軌道先導計劃': '▔', '跨境交易': 'cross-border transactions', '零售層面': 'retail side'}	['three approach', 'multilateral cbdc', 'multilateral cbdc bridge', 'digital', 'digital wallet', '▔', 'dollar', 'dollar', '▔', 'cross transaction', 'retail side']
18	{'中小企': 'SMEs', '中小企貸款': 'SME loans', '中小型企業': 'small and medium-sized enterprises', '以數據擁有人授權為本的共享數據基建': 'consentbased common data infrastructure', '港元': 'HKD'}	數據可全面釋放金融科技的潛力。我們於去年10月推出的「商業數據通」正是提升香港數據基建的重要一步。作為以數據擁有人授權為本的共享數據基建，「商業數據通」能方便金融機構提取企業的商業數據，使企業（尤其中小型企業）更容易獲得融資。截至2022年底，「商業數據通」已促成超過1,000宗中小企貸款，總額逾19億港元。	"Data is essential to unleashing the full potential of fintech. The launch of the ""Business Data Gateway"" in October last year marked an important step in enhancing Hong Kong's data infrastructure. As a data-sharing infrastructure based on data owner authorization, the Business Data Gateway enables financial institutions to easily extract commercial data from companies, making it easier for businesses (particularly small and medium-sized enterprises) to obtain financing. By the end of 2022, the Business Data Gateway had facilitated over 1,000 SME loans amounting to more than HKD 1.9 billion."	['中小企', '中小企貸款', '中小型企業', '以數據擁有人授權為本的共享數據基建', '港元']	{'中小企': 'SME', '中小企貸款': 'SME loans', '中小型企業': 'small and medium-sized enterprises', '以數據擁有人授權為本的共享數據基建': 'data-sharing infrastructure based data-sharing owner authorization', '港元': 'HKD'}	['sme', 'sme loan', 'small and medium enterprise', 'datum infrastructure base datum owner authorization', 'hkd']
19	{'公眾諮詢': 'public consultation', '法定貨幣': 'fiat currencies', '監管制度': 'regulatory regime', '穩定幣': 'stablecoins', '貨幣及金融穩定': 'monetary and financial stability'}	最後，我們在擁抱金融創新和它帶來的好處的同時，亦明白有必要監察及處理好相關發展可能帶來的風險。我們正密切注視虛擬資產領域的發展，並參與相關監管事宜的國際討論。經考慮公眾諮詢收集到的意見及相關國際標準後，我們將採納「相同風險，相同監管」1 的方式制定穩定幣的監管制度及界定其監管範圍。未來我們率先規管的對象將是那些標榜與一種或以上法定貨幣的價值掛鈎的穩定幣，因為這類穩定幣可能對貨幣及金融穩定帶來更高及更迫切的潛在風險。我們相信在訂立適當的規範下，業界將可更安全穩妥地開拓數碼金融的潛力。	"Finally, while embracing financial innovation and its benefits, we recognize the necessity to monitor and address the potential risks associated with these developments. We are closely observing developments in the virtual asset sector and participating in international discussions on related regulatory matters. After considering the opinions gathered from public consultations and relevant international standards, we will adopt the principle of ""same risk, same regulation"" to establish a regulatory framework for stablecoins and define their regulatory scope. In the future, our initial focus will be on stablecoins that claim to be pegged to the value of one or more fiat currencies, as these stablecoins may pose higher and more urgent potential risks to monetary and financial stability. We believe that with appropriate regulations in place, the industry can safely and steadily explore the potential of digital finance."	['公眾諮詢', '法定貨幣', '監管制度', '穩定幣', '貨幣及金融穩定']	{'公眾諮詢': 'public consultations', '法定貨幣': 'fiat currencies', '監管制度': 'regulatory framework', '穩定幣': 'stablecoins', '貨幣及金融穩定': 'monetary and financial stability'}	['public consultation', 'fiat currency', 'regulatory framework', 'stablecoin', 'monetary and financial stability']
20	{'內地機遇': 'Mainland opportunities'}	"# 內地機遇
"	"## Mainland Opportunities
"	['內地機遇']	{'內地機遇': 'Mainland Opportunities'}	['mainland opportunities']
