	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'container': 'container'}	Why would you need to access HDI containers?	¿Por qué habría que acceder a los contenedores HDI.	['container']	{'container': 'contenedores'}	['contenedor']
1	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	Decide if you want to use parallel processing for this job:	Decide si quieren utilizar el procesamiento paralelo para este trabajo:	['parallel processing', 'job']	{'parallel processing': 'procesamiento paralelo', 'job': 'trabajo'}	['procesamiento paralelo', 'trabajo']
2	{'report': 'report'}	Displays in the list report billing elements with or without planned prepayments.	Las enfermedades en el informe de la lista que recoge elementos con o sin prepagos previstos.	['report']	{'report': 'informe'}	['informe']
3	{'average': 'media'}	The KPI shows the average age in days of assets under construction, and individual items are listed below.	El KPI muestra la edad media en días de activos bajo construcción, y los artículos individuales se listan abajo.	['average']	{'average': 'media'}	['medio']
4	{'item': 'elemento'}	Once exported, an item stays in the software collection for its entire lifecycle.	Una vez exportado, un punto permanece en la colección de software para toda su vida.	['item']	{'item': 'punto'}	['punto']
5	{'explosion': 'desglose'}	If it's an assembly, the explosion continues to the lowest level.	Si es una asamblea, la explosión continúa hasta el nivel más bajo.	['explosion']	{'explosion': 'explosión'}	['explosión']
6	{'add': 'agregar'}	Add a New OAuth Client (Non-SAP Data Center)	Add a New OAuth Client (Non-SAP Data Center) (en inglés).	['add']	{'add': 'Add'}	['add']
7	{'range': 'intervalo'}	Each compute block provides a certain number of vCPUs and a range of 60 to 64 GB of RAM, depending on the hyperscaler.	Cada bloque informático proporciona un cierto número de vCPUs y un rango de 60 a 64 GB de RAM, dependiendo de la hiperescalera.	['range']	{'range': 'rango'}	['rango']
8	{'source': 'fuente'}	Source systems connected to an SAP LT Replication Server are supported down to:	Los sistemas de fuentes conectados a un servidor de Replicación SAP son soportados por él:	['source']	{'source': 'fuentes'}	['fuente']
9	{'template': 'modelo'}	After you create a new template, you will be directed to the template page, to add text blocks to the template.	Después de crear un nuevo templo, se dirigirá a la página de templo, para añadir bloques de texto al templo.	['template']	{'template': 'templo'}	['templo']
10	{'source': 'fuente'}	Data is accessed directly from the source (federation) and read from the virtual table.	Los datos se acceden directamente de la fuente (federación) y leen de la tabla virtual.	['source']	{'source': 'fuente'}	['fuente']
11	{'edit': 'editar'}	Edit Default Waste Generator	Edit Default Waste Generator (en inglés).	['edit']	{'edit': 'Edit'}	['edit']
12	{'reset': 'restablecer'}	Resets the filters.	Reseña de los archivos.	['reset']	{'reset': 'Reseña'}	['reseña']
13	{'add': 'añadir'}	You can copy existing items or item sets to add new ones to the sourcing project.	Puede copiar artículos o artículos existentes para añadir nuevos al proyecto de origen.	['add']	{'add': 'añadir'}	['añadir']
14	{'incident': 'incidencia'}	Access of this category is not based on individual support cases or incidents.	El acceso de esta categoría no se basa en casos individuales de apoyo o incidentes.	['incident']	{'incident': 'incidentes'}	['incidente']
15	{'template': 'modelo'}	Use the dropdown list in the upper left corner of the dialog box to select the search template you want to use.	Use la lista abajo en la esquina superior izquierda de la caja de diálogo para seleccionar el templado de búsqueda que quieres usar.	['template']	{'template': 'templado'}	['templado']
16	{'save': 'guardar'}	To save and deploy your ER model to SAP HANA, choose Deploy.	Para ahorrar y desplegar su modelo ER a SAP HANA, escoge Deploy.	['save']	{'save': 'ahorrar'}	['ahorrar']
