	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁31
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	tarea	tarea	tarea	trabajo	tarea	tarea
3	lista	lista	lista	informe	lista	informe
4	medio	medio	medio	medio	medio	medio
5	elemento	elemento	elemento	elemento	elemento	elemento
6	explosión	explosión	explosión	explosión	explosión	▁46
7	añadir	añadir	añadir	añadir	añadir	agregar
8	cantidad	cantidad	cantidad	▁1	cantidad	▁70
9	origen	origen	origen	origen	origen	fuente
10	modelo	modelo	modelo	modelo	modelo	modelo
11	fuente	origen	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablece	restablece	restablece	restablecer	restablece	restablecer
14	agregar	añadir	agregar	añadir	agregar	agregar
15	incidente	incidente	incidente	incidente	incidente	▁55
16	modelo	modelo	modelo	modelo	modelo	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	escriturar	escriturar	escriturar	anular	escriturar	▁100
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	norma	norma	norma	norma	norma	▁78
22	reinicia	restablece	reinicia	restablecer	reinicia	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁22
24	horario	horario	horario	horario	horario	programar
25	editar	editar	editar	editar	editar	editar
26	completar	completar	completar	completado	completar	▁29
27	pausar	pausar	pausar	pausar	pausar	▁61
28	uso	uso	uso	uso	uso	usar
29	calendario	horario	calendario	horario	calendario	programar
30	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
31	horario	horario	horario	horario	horario	programar
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁34
34	▔	cantidad	▔	▁1	▔	▁70
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁98
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de repetición
40	público	público	público	público	público	público
41	programado	horario	programado	horario	programado	programar
42	▔	guardar	▔	guardar	▔	guardar
43	subordinado	subordinado	subordinado	predeterminado	subordinado	▁38
