	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Spaces kann über die Farbe auf der oberen linken Ecke des Spaces angezeigt werden.	['space']	{'space': 'Spaces'}	['space']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag enthält eine Gesamtzahl an verfügbarer Kapazität pro Monat, die Sie beliebig auf die Rechen- und Speicherressourcen verteilen können.	['storage']	{'storage': 'Speicherressourcen'}	['speicherressourcen']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	teilen Sie den Link zu anderen Benutzern mit den entsprechenden Bearbeitungsrechten	['share']	{'share': 'teilen'}	['teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie die Vorgabe für die Nachfolgeoperation entfernen, kann die Operation automatisch umgebplant werden.	['constraint']	{'constraint': 'Vorgabe'}	['vorgabe']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie noch nicht die Tenant-Konfiguration vorgenommen haben, können Sie nur die Administrationsfunktionen von SAP Data Warehouse Cloud (aber Sie können keine Spaces in der Space-Management-Seite erstellen) verwenden.	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrer Zuständigkeit werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Zuständigkeit'}	['zuständigkeit']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für Oracle-Auslöserbasierte Replikation beim Oracle-Server im Installations- und Konfigurationshandbuch für SAP HANA Smart Data Integration und SAP HANA Smart Data Quality	['trigger']	{'trigger': 'Auslöserbasierte'}	['auslöserbasieren']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integrieren Sie ein Konto in Ihren Space, um Verbindungen für Konnektorinstanzen zu erstellen und die Verbindungen für Datenflüsse zu verwenden.	['connector']	{'connector': 'Konnektorinstanzen'}	['konnektorinstanzen']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Ein Zahlungsabwicklungsgruppen ist ein Attribut mit dem Sie Ihre Lieferanten und Kunden in Gruppen einteilen können.	['customer', 'supplier']	{'customer': 'Kunden', 'supplier': 'Lieferanten'}	['kunde', 'lieferant']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Wählen Sie die entsprechende Checkbox für die Nachfrage-Dynamikkomponenten und/oder die obersten Materialien.	['demand-driven']	{'demand-driven': 'Nachfrage-Dynamikkomponenten'}	['nachfrage']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	Klicken Sie auf Erstellen Lizenz, um eine Lizenz für ein oder mehrere Ihrer Datenprodukte zu erstellen und gültige Aktivierungsschlüssel zu generieren, die Sie anderen Benutzern zur Verfügung stellen können, damit diese die lizenzierte Ausdehnung der Datenprodukte nutzen können.	['create']	{'create': 'Erstellen'}	['erstellen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	Steuern Sie Ihre Union im Abschnitt Zuordnungen im Seitenbereich:	['side panel']	{'side panel': 'Seitenbereich'}	['seitenbereich']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Die Leistung des Modellversions wird mit zwei Hauptindikatoren bewertet.	['indicator']	{'indicator': 'Indikatoren'}	['indikator']
13	{'query': 'Abfrage'}	The database then has to decide which job or query has to be dealt with first.	Die Datenbank muss dann entscheiden, welche Aufgabe oder Abfrage zuerst behandelt werden soll.	['query']	{'query': 'Abfrage'}	['abfrage']
14	{'provider': 'Provider'}	Address, e-mail, phone number, etc of the provider	Adresse, E-Mail-Adresse, Telefonnummer, etc. des Anbieters	['provider']	{'provider': 'Anbieters'}	['anbieter']
15	{'space': 'Space'}	The name should be unique within a space.	Der Name sollte eindeutig innerhalb eines Spaces sein.	['space']	{'space': 'Spaces'}	['space']
16	{'intercompany': 'buchungskreisübergreifend'}	Display the IDs of intercompany customer invoices, customer invoices, and intercompany supplier invoices	Anzeigen der IDs von intercompany Kundenrechnungen, Kundenrechnungen und intercompany Lieferantenrechnungen	['intercompany']	{'intercompany': 'intercompany'}	['intercompansen']
17	{'history': 'Verlauf', 'release': 'Release'}	To lock a specific release of a data product, open the release history of the selected product, select the release you want to lock and select the checkbox Locked.	Um ein bestimmtes Release eines Datenproduktes zu sperren, öffnen Sie die Historie des ausgewählten Produkts, wählen Sie das Release, das Sie sperren möchten, und wählen Sie die Checkbox Sperrbar.	['history', 'release']	{'history': 'Historie', 'release': 'Release'}	['historie', 'release']
