	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Raums kann anhand der Farbcodierung in der oberen linken Ecke erkannt werden.	['space']	{'space': 'Raum'}	['raum']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag umfasst eine Gesamtzahl verfügbarer Kapazitäts-Einheiten pro Monat, die Sie wie gewünscht den Rechen- und Speicherressourcen zuweisen können.	['storage']	{'storage': 'Speicherressourcen'}	['speicherressourcen']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	teilen Sie die URL-Verknüpfung mit anderen Benutzern mit den richtigen Bearbeitungsrechten	['share']	{'share': 'teilen'}	['teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie die Einschränkung für die Nachfolgeoperation entfernen, kann die Operation automatisch neu geplant werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie den Mieter nicht konfiguriert haben, können Sie nur Verwaltungsfunktionen von SAP Data Warehouse Cloud verwenden (aber Sie können keine Räume auf der Seite „Raumverwaltung“ erstellen).	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Verantwortungsbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Verantwortungsbereich'}	['verantwortungsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für Oracle-Trigger-basierte Replikation im Handbuch zur SAP HANA Smart Data Integration und SAP HANA Smart Data Quality Installation und Configuration Guide	['trigger']	{'trigger': 'Trigger'}	['trigger']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Fügen Sie ein Konto mit Ihrem Speicherraum zusammen, um Verbindungen für Connector-Instanzen erstellen und die Verbindungen für Datenflüsse verwenden zu können.	['connector']	{'connector': 'Verbindungen'}	['verbindung']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsklarungsgruppe ist ein Attribut, mit dem Sie Ihre Lieferanten und Kunden in Gruppen einteilen können.	['customer', 'supplier']	{'customer': 'Kunden', 'supplier': 'Lieferanten'}	['kunde', 'lieferant']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Wählen Sie die entsprechende Kontrollkästchen für bedarfsorientierte MRP-Komponenten und/oder oberste Materialien.	['demand-driven']	{'demand-driven': 'bedarfsorientierte'}	['bedarfsorientieren']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	Klicken Sie auf „Lizenz erstellen“, um eine Lizenz für ein oder mehrere Ihrer Datenprodukte zu erstellen und Aktivierungsschlüssel zu generieren, die Sie mit Verbrauchern teilen können, um ihnen die Nutzung des lizenzierten Umfangs von Datenprodukten zu ermöglichen.	['create']	{'create': 'erstellen'}	['erstellen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	"Steuern Sie Ihre Gewerkschaft im Abschnitt ""Mappings"" des Seitenbedienfelds:"	['side panel']	{'side panel': 'Seitenbedienfelds'}	['seitenbedienfelden']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Die Leistung der Modellversion wird anhand von zwei Hauptindikatoren bewertet.	['indicator']	{'indicator': 'Hauptindikatoren'}	['hauptindikator']
13	{'query': 'Abfrage'}	The database then has to decide which job or query has to be dealt with first.	Die Datenbank muss dann entscheiden, mit welcher Aufgabe oder Abfrage zuerst umgegangen werden muss.	['query']	{'query': 'Abfrage'}	['abfrage']
14	{'provider': 'Provider'}	Address, e-mail, phone number, etc of the provider	Adresse, E-Mail, Telefonnummer usw. des Anbieters	['provider']	{'provider': 'Anbieters'}	['anbieter']
15	{'space': 'Space'}	The name should be unique within a space.	Der Name sollte innerhalb eines Raums eindeutig sein.	['space']	{'space': 'Raum'}	['raum']
16	{'intercompany': 'buchungskreisübergreifend'}	Display the IDs of intercompany customer invoices, customer invoices, and intercompany supplier invoices	Zeigen Sie die IDs von Unternehmensübergreifenden Kundenrechnungen, Kundenrechnungen und Unternehmensübergreifenden Lieferantenrechnungen an	['intercompany']	{'intercompany': 'Unternehmensübergreifenden'}	['unternehmensübergreifen']
17	{'history': 'Verlauf', 'release': 'Release'}	To lock a specific release of a data product, open the release history of the selected product, select the release you want to lock and select the checkbox Locked.	"Um eine bestimmte Version eines Datenprodukts zu sperren, öffnen Sie die Verlaufshistorie des ausgewählten Produkts, wählen Sie die Version aus, die Sie sperren möchten, und aktivieren Sie das Kontrollkästchen ""Gesperrt""."	['history', 'release']	{'history': 'Verlaufshistorie', 'release': 'Version'}	['verlaufshistorie', 'version']
18	{'data provider': 'Datenprovider'}	This varies depending on how the data provider offers their products.	Das variiert je nachdem, wie der Datenanbieter seine Produkte anbietet.	['data provider']	{'data provider': 'Datenanbieter'}	['datenanbieter']
