	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁23
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	job	trabajo	job
3	informe	informe	informe	informe	informe	informe
4	medio	medio	medio	medio	medio	medio
5	posición	posición	posición	elemento	posición	artículo
6	explosión	explosión	explosión	explosión	explosión	▁41
7	agregar	agregar	agregar	añadir	agregar	agregar
8	rango	rango	rango	rango	rango	▁61
9	fuente	fuente	fuente	fuente	fuente	fuente
10	modelo	modelo	modelo	modelo	modelo	modelo
11	fuente	fuente	fuente	fuente	fuente	fuente
12	▔	▁2	▔	editar	▔	editar
13	filtro	filtro	filtro	reiniciar	filtro	▁65
14	añadir	agregar	añadir	añadir	añadir	agregar
15	incidente	incidente	incidente	incidente	incidente	▁48
16	modelo	modelo	modelo	modelo	modelo	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	anular	anular	anular	anular	anular	▁88
19	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	reinicia	filtro	reinicia	reiniciar	reinicia	▁65
23	categoría	categoría	categoría	categoría	categoría	▁16
24	programación	programación	programación	programación	programación	programación
25	encabezado	▁2	encabezado	editar	encabezado	editar
26	completar	completar	completar	concluido	completar	concluir
27	detenga	detenga	detenga	detener	detenga	detener
28	▔	▁4	▔	usar	▔	usar
29	programación	programación	programación	programación	programación	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	programación	programación	programación	programación	programación	programación
32	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo	puesto de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁26
34	rango	rango	rango	rango	rango	▁61
35	envío	envío	envío	envío	envío	▁32
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁85
38	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de repetición	patrón de recurrencia	patrón de repetición
40	público	público	público	público	público	público
41	agendado	programación	agendado	programación	agendado	programación
42	▔	guardar	▔	guardar	▔	guardar
43	▔	▁1	▔	predeterminado	▔	predefinir
44	reiniciar	filtro	reiniciar	reiniciar	reiniciar	▁65
45	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	▁64
46	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
47	modelo	modelo	modelo	modelo	modelo	modelo
48	procesar	procesar	procesar	procesar	procesar	procesar
49	tarea	trabajo	tarea	job	tarea	job
50	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
52	concluido	completar	concluido	concluido	concluido	concluir
53	segmento	segmento	segmento	informe	segmento	informe
54	guardar como	guardar como	guardar como	guardar como	guardar como	guardar como
55	resultado	resultado	resultado	resultado	resultado	▁68
56	programación	programación	programación	programación	programación	programación
57	tarea	trabajo	tarea	job	tarea	job
58	▔	cliente	▔	cliente	▔	▁26
59	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
60	sustituto	sustituto	sustituto	sustituto	sustituto	▁75
61	revisión	revisión	revisión	revisión	revisión	revisión
62	característica	característica	característica	característica	característica	característica
63	cliente	cliente	cliente	cliente	cliente	▁26
64	llamada	llamada	llamada	llamada	llamada	▁15
65	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloqueado	bloqueado	bloqueado	bloqueado	bloqueado	▁70
68	cambio	cambio	cambio	cambio	cambio	▁18
69	▔	eliminar	▔	eliminar	▔	eliminar
70	añadir	agregar	añadir	añadir	añadir	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁4
72	socio	socio	socio	socio	socio	socio
73	predefinir	▁1	predefinir	predeterminado	predefinir	predefinir
74	anular	anular	anular	anular	anular	▁88
75	medida	medida	medida	indicador	medida	indicador
76	transacción	transacción	transacción	transacción	transacción	▁80
77	cliente	cliente	cliente	cliente	cliente	▁26
78	record	record	record	record	record	▁63
79	cabecera	cabecera	cabecera	cabecera	cabecera	cabecera
80	desempeño	desempeño	desempeño	desempeño	desempeño	▁53
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
84	programación	programación	programación	programación	programación	programación
85	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	añadir	agregar	añadir	añadir	añadir	agregar
87	▔	▁0	▔	imputación	▔	imputación
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	imputación	▁0	imputación	imputación	imputación	imputación
90	socio	socio	socio	socio	socio	socio
91	incidente	incidente	incidente	incidente	incidente	▁48
92	imputación	imputación	imputación	consumo	imputación	▁22
93	imputación	▁0	imputación	imputación	imputación	imputación
94	conjunto	conjunto	conjunto	conjunto	conjunto	conjunto
95	información	información	información	información	información	▁46
96	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
97	clasificación	clasificación	clasificación	clasificación	clasificación	▁72
98	job	trabajo	job	job	job	job
99	cliente	cliente	cliente	cliente	cliente	cliente
100	informe	informe	informe	informe	informe	informe
101	job	trabajo	job	job	job	job
102	activar	activar	activar	activar	activar	▁82
103	industria	procedimiento	industria	tipo	industria	tipo
104	socio	socio	socio	socio	socio	socio
105	predeterminado	▁1	predeterminado	predeterminado	predeterminado	predefinir
106	usar	▁4	usar	usar	usar	usar
107	cuota	cuota	cuota	cuota	cuota	▁42
