	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	область	область	область	область	область	область
1	контракт	контракт	контракт	контракт	контракт	договор
2	тип	тип	тип	тип	тип	вид
3	выручка	выручка	выручка	выручка	выручка	выручка
4	обновление	обновление	обновление	обновить	обновление	обновить
5	интервал	интервал	интервал	интервал	интервал	интервал
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
8	▔	▁0	▔	▁0	▔	▁8
9	тип	тип	тип	тип	тип	вид
10	ввод	ввод	ввод	ввод	ввод	ввод
11	вид	тип	вид	тип	вид	вид
12	вид	тип	вид	тип	вид	вид
13	цель	цель	цель	назначение	цель	назначение
14	тип	тип	тип	тип	тип	вид
15	тип	тип	тип	тип	тип	вид
16	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	ввод	ввод	ввод	ввод	ввод	ввод
19	тип	тип	тип	тип	тип	вид
20	отсрочить	отсрочить	отсрочить	отсрочить	отсрочить	отсрочить
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	предписание	предписание	предписание	предписание	предписание	предписание
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	ввод	ввод	ввод	ввод	ввод	ввод
25	вывод	вывод	вывод	вывод	вывод	вывод
26	оплата	оплата	оплата	оплата	оплата	фактурирование
27	разузлование	разузлование	разузлование	разузлование	разузлование	разузлование
28	связь	связь	связь	связь	связь	связь
29	группировка	группировка	группировка	группа	группировка	группа
30	▔	тип	▔	тип	▔	вид
31	контрактный	контракт	контрактный	контракт	контрактный	договор
32	объём	объём	объём	объём	объём	объём
33	дополнение	дополнение	дополнение	дополнение	дополнение	дополнение
34	▔	▁2	▔	сопоставление	▔	сопоставление
35	сводка	сводка	сводка	сводка	сводка	резюме
36	валюта отчётность	валюта отчётность	валюта отчётность	валюта отчётность	валюта отчётность	валюта отчётность
37	место	место	место	пространство	место	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	место	пространство	пространство	пространство	пространство
40	планирование	планирование	планирование	расписание	планирование	запланировать
41	ввод	ввод	ввод	ввод	ввод	ввод
42	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
45	интервал	интервал	интервал	интервал	интервал	интервал
46	входной	ввод	входной	ввод	входной	ввод
47	вид	тип	вид	тип	вид	вид
48	расписание	планирование	расписание	расписание	расписание	запланировать
49	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные
50	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение
51	приостановление	приостановление	приостановление	приостановление	приостановление	приостановление
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	ассистент	ассистент	ассистент	мастер	ассистент	ассистент
54	поток	поток	поток	поток	поток	поток
55	сопоставление	▁2	сопоставление	сопоставление	сопоставление	сопоставление
56	дата исполнение	дата исполнение	дата исполнение	дата исполнение	дата исполнение	дата исполнение
57	привязать	привязать	привязать	привязать	привязать	▁40
58	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	▔	область	▔	область	▔	область
62	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение
63	деталь	деталь	деталь	деталь	деталь	деталь
64	интервал	интервал	интервал	интервал	интервал	интервал
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	балансовый	балансовый	балансовый	балансовый	балансовый	▁6
67	скопировать	скопировать	скопировать	скопировать	скопировать	копирование
68	разграничение	разграничение	разграничение	начисление	разграничение	разграничение
69	вид	тип	вид	тип	вид	вид
70	использовать	использовать	использовать	использовать	использовать	▁47
71	тип	тип	тип	тип	тип	вид
72	расписание	планирование	расписание	расписание	расписание	запланировать
73	▔	тип	▔	тип	▔	вид
74	вывод	вывод	вывод	вывод	вывод	вывод
75	ввод	ввод	ввод	ввод	ввод	ввод
76	тип	тип	тип	тип	тип	вид
77	распределение	распределение	распределение	распределение	распределение	перерасчёт
78	договор	контракт	договор	контракт	договор	договор
79	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
80	работать	работать	работать	работать	работать	▁11
81	входной	ввод	входной	ввод	входной	ввод
82	▔	▁1	▔	▁1	▔	▁20
83	среда	место	среда	пространство	среда	пространство
84	начисление	разграничение	начисление	начисление	начисление	разграничение
85	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение
86	контракт	контракт	контракт	контракт	контракт	договор
87	assembly	assembly	assembly	assembly	assembly	сборка
88	скопировать	скопировать	скопировать	скопировать	скопировать	копирование
89	расписание	планирование	расписание	расписание	расписание	запланировать
90	начисление	разграничение	начисление	начисление	начисление	разграничение
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга
93	тип	тип	тип	тип	тип	вид
94	изменение	изменение	изменение	изменить	изменение	изменение
95	план	планирование	план	расписание	план	запланировать
96	отмена	отмена	отмена	отмена	отмена	отмена
97	приостановить	приостановить	приостановить	приостановить	приостановить	приостановка
98	контент	контент	контент	контент	контент	контент
99	настройка	настройка	настройка	настроить	настройка	настроить
100	поток	поток	поток	поток	поток	▁42
101	личный дать	личный дать	личный дать	личный дать	личный дать	личный дать
102	личный дать	личный дать	личный дать	личный дать	личный дать	личный дать
103	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
104	тип	тип	тип	тип	тип	вид
105	вложение	вложение	вложение	вложение	вложение	вложение
106	активировать	активировать	активировать	активировать	активировать	активировать
107	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные
108	отчётность	отчётность	отчётность	отчётность	отчётность	▁32
109	категория	категория	категория	категория	категория	категория
110	тип	тип	тип	тип	тип	вид
111	клиент	клиент	клиент	клиент	клиент	клиент
112	тип	тип	тип	тип	тип	вид
113	изменить	изменение	изменить	изменить	изменить	изменение
114	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
115	расписание	планирование	расписание	расписание	расписание	запланировать
116	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
117	▔	▁3	▔	▁2	▔	▁29
118	ассистент	ассистент	ассистент	мастер	ассистент	ассистент
119	шаблон	шаблон	шаблон	шаблон	шаблон	шаблон
120	тип	тип	тип	тип	тип	вид
121	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
122	деактивировать	деактивировать	деактивировать	деактивировать	деактивировать	▁18
123	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
124	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
125	планирование	планирование	планирование	расписание	планирование	запланировать
126	скопировать	скопировать	скопировать	скопировать	скопировать	копирование
127	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
128	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
