	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Platzes lässt sich anhand des Farbcodes in der Ecke oben links erkennen.	['space']	{'space': 'Platzes'}	['platz']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag umfasst eine Gesamtzahl verfügbarer Kapazitätseinheiten pro Monat, die Sie nach Belieben auf Rechen- und Speicherressourcen verteilen können.	['storage']	{'storage': 'Speicherressourcen'}	['speicherressourcen']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	Teilen Sie den URL-Link mit anderen Benutzern mit den entsprechenden Bearbeitungsrechten.	['share']	{'share': 'Teilen'}	['teil|teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie die Einschränkung für die Nachfolgeoperation entfernen, kann der Vorgang automatisch umgeplant werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie den Mandanten nicht konfiguriert haben, können Sie nur die Administrationsfunktionen von SAP Data Warehouse Cloud nutzen (aber keine Spaces auf der Seite Space Management erstellen).	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Verantwortungsbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Verantwortungsbereich'}	['verantwortungsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für die Oracle-Trigger-basierte Replikation im Installations- und Konfigurationshandbuch von SAP HANA Smart Data Integration und SAP HANA Smart Data Quality	['trigger']	{'trigger': 'Trigger-basierte'}	['trigger']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integrieren Sie ein Konto in Ihren Space, um Verbindungen für Connector-Instanzen erstellen zu können und die Verbindungen für Datenflüsse zu verwenden.	['connector']	{'connector': 'Connector-Instanzen'}	['connector']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsabgleichsgruppe ist ein Attribut, mit dem Sie Ihre Lieferanten und Debitoren in Gruppen kategorisieren können.	['customer', 'supplier']	{'customer': 'Debitoren', 'supplier': 'Lieferanten'}	['debitor', 'lieferant']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Wählen Sie das entsprechende Kontrollkästchen für bedarfsgetriebene MRP-Komponenten und/oder oberste Materialien aus.	['demand-driven']	{'demand-driven': 'bedarfsgetrieben'}	['bedarfstreiben']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	Klicken Sie auf „Lizenz erstellen“, um eine Lizenz für eines oder mehrere Ihrer Datenprodukte zu erstellen und Aktivierungsschlüssel zu generieren, die Sie mit Kunden teilen können, damit diese den lizenzierten Umfang der Datenprodukte nutzen können.	['create']	{'create': 'erstelle'}	['erstellen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	Steuern Sie Ihre Union im Abschnitt Zuordnungen ihrer Seitenleiste:	['side panel']	{'side panel': 'seitenleiste'}	['seitenleisten']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Die Leistung der Modellversion wird anhand von zwei Hauptindikatoren bewertet.	['indicator']	{'indicator': 'Hauptindikatoren'}	['hauptindikator']
13	{'query': 'Abfrage'}	The database then has to decide which job or query has to be dealt with first.	Die Datenbank muss dann entscheiden, welcher Job bzw. welche Abfrage zuerst bearbeitet werden muss.	['query']	{'query': 'Abfrage'}	['abfrage']
14	{'provider': 'Provider'}	Address, e-mail, phone number, etc of the provider	Adresse, E-Mail, Telefonnummer usw. des Anbieters	['provider']	{'provider': 'Anbieters'}	['anbieter']
15	{'space': 'Space'}	The name should be unique within a space.	Der Name sollte innerhalb eines Bereichs eindeutig sein.	['space']	{'space': 'Bereich'}	['bereich']
16	{'intercompany': 'buchungskreisübergreifend'}	Display the IDs of intercompany customer invoices, customer invoices, and intercompany supplier invoices	Die IDs von Intercompany-Kundenrechnungen, Kundenrechnungen und Intercompany-Lieferantenrechnungen anzeigen.	['intercompany']	{'intercompany': 'Intercompany'}	['intercompanyen']
17	{'history': 'Verlauf', 'release': 'Release'}	To lock a specific release of a data product, open the release history of the selected product, select the release you want to lock and select the checkbox Locked.	Um eine bestimmte Version eines Datenprodukts zu sperren, öffnen Sie die Versionshistorie des ausgewählten Produkts, wählen Sie die Version aus, die Sie sperren möchten, und aktivieren Sie das Kontrollkästchen „Locked“.	['history', 'release']	{'history': 'Versionshistorie', 'release': 'Versionshistorie'}	['versionshistorei', 'versionshistorei']
18	{'data provider': 'Datenprovider'}	This varies depending on how the data provider offers their products.	Dies hängt davon ab, wie der Datenanbieter seine Produkte anbietet.	['data provider']	{'data provider': 'Datenanbieter'}	['datenanbieter']
19	{'access control': 'Zugriffskontrolle'}	Create a data access control to filter data in views and business layer objects by one or more criteria.	Erstellen Sie eine Datenzugriffskontrolle, um Daten in Views und Business-Layer-Objekten nach einem oder mehreren Kriterien zu filtern.	['access control']	{'access control': 'Datenzugriffskontrolle'}	['datenzugriffskontrollen']
20	{'data provider': 'Datenprovider'}	Retrieve your favorite data providers and data products.	Rufen Sie Ihre bevorzugten Datenprovider und Datenprodukte ab.	['data provider']	{'data provider': 'Datenprovider'}	['datenprovider']
21	{'section': 'Bereich'}	Choose Fuzzy Match to display the Match Thresholds section.	Wählen Sie Fuzzy-Abgleich, um den Abschnitt Abgleich-Schwellenwerte anzuzeigen.	['section']	{'section': 'Abschnitt'}	['abschnitt']
22	{'provider': 'Provider'}	You can see which products were last released by the provider.	Sie können sehen, welche Produkte zuletzt vom Anbieter veröffentlicht wurden.	['provider']	{'provider': 'Anbieter'}	['anbieter']
23	{'provider': 'Provider'}	It’s maintained by the provider and the information might differs from one provider to another.	Es wird vom Anbieter gepflegt, und die Informationen können von einem Anbieter zum anderen verschieden sein.	['provider']	{'provider': 'Anbieter'}	['anbieter']
24	{'release': 'Release'}	To lock all the releases of a data product, select the product and select the checkbox Locked.	Um alle Releases eines Datenprodukts zu sperren, wählen Sie das Produkt aus und aktivieren Sie das Kontrollkästchen „Gesperrt“.	['release']	{'release': 'Releases'}	['release']
25	{'assigned': 'zugewiesen'}	The Product Allocation Order Items card displays only those order items with confirmation quantity assigned to a characteristic value combination containing the specified characteristic or values.	Die Karte „Produktallokation – Auftragspositionen“ zeigt nur diejenigen Auftragspositionen an, deren Bestätigungsmenge einer Merkmalswertkombination zugeordnet ist, die das angegebene Merkmal oder die angegebenen Werte enthält.	['assigned']	{'assigned': 'zugeordnet'}	['zuordnen']
26	{'storage': 'Speicher', 'space': 'Platz'}	This space is close to exceeding it's storage quota.	Dieser Speicherplatz steht kurz davor, in Speicher Speicherplatz zu überschreiten.	['storage', 'space']	{'storage': 'Speicherplatz', 'space': 'Speicherplatz'}	['speicherplatz', 'speicherplatz']
27	{'period': 'Zeitraum'}	Older period includes data older than the last year.	Der frühere Zeitraum umfasst Daten, die älter als das letzte Jahr sind.	['period']	{'period': 'Zeitraum'}	['zeitraum']
28	{'data provider': 'Datenprovider', 'create': 'erstellen'}	Create or Edit a Data Provider Profile	Erstellen oder bearbeiten Sie ein Datenanbieterprofil	['data provider', 'create']	{'data provider': 'Datenanbieterprofil', 'create': 'Erstellen'}	['datenanbieterprofil', 'erstellen']
29	{'data provider': 'Datenprovider'}	In the Switch Data Provider dialog:	Im Dialogfeld „Data Provider wechseln:“	['data provider']	{'data provider': 'Provider'}	['provider']
30	{'space': 'Space'}	Select your Space	Auswählen Sie Ihren Space	['space']	{'space': 'Space'}	['space']
