	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	raum	raum	space
1	lagerressourcen	lagerressourcen	lagerressourcen	lagerressourcen	lagerressourcen	▁158
2	zusammen	zusammen	zusammen	teilen	zusammen	▁148
3	begrenzung	begrenzung	begrenzung	begrenzung	begrenzung	▁45
4	schaffen	schaffen	schaffen	schaffen	schaffen	▁49
5	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	▁16
6	trigger	trigger	trigger	trigger	trigger	▁179
7	anschluss	anschluss	anschluss	anschluss	anschluss	▁44
8	debitor	debitor	debitor	customer	debitor	customer
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁165
10	dekorieren	dekorieren	dekorieren	dekorieren	dekorieren	▁55
11	▔ertrat<sos>	schaffen	▔ertrat<sos>	schaffen	▔ertrat<sos>	▁49
12	seite	seite	seite	▔ertrat<sos>	seite	▁149
13	hauptindikator	hauptindikator	hauptindikator	hauptindikator	hauptindikator	indikator
14	query	query	query	frage	query	▁122
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	raum	raum	raum	raum	raum	space
17	kundenkondaroren	kundenkondaroren	kundenkondaroren	interaktion	kundenkondaroren	▁85
18	freigabe	freigabe	freigabe	freigabe	freigabe	▁78
19	freigabe	freigabe	freigabe	veröffentlichung	freigabe	▁129
20	anbieter	anbieter	anbieter	datenanbieter	anbieter	▁51
21	datensatzung	datensatzung	datensatzung	▔ertrat<sos>	datensatzung	▁9
22	datum	anbieter	datum	datenanbieter	datum	▁51
23	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	ursprungsadressen	▔ertrat<sos>	▁143
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	veröffentlichung	freigabe	veröffentlichung	veröffentlichung	veröffentlichung	▁129
27	zuordnen	zuordnen	zuordnen	zugewiesen	zuordnen	▁17
28	speicherplatz	lagerressourcen	speicherplatz	lagerressourcen	speicherplatz	▁158
29	speicherplatz	raum	speicherplatz	raum	speicherplatz	space
30	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	zeitlich	▔ertrat<sos>	▁112
31	profil	anbieter	profil	datenanbieter	profil	▁51
32	vortrag	schaffen	vortrag	schaffen	vortrag	▁49
33	provider	anbieter	provider	datenanbieter	provider	▁51
34	weltraum	raum	weltraum	raum	weltraum	space
35	hersteller	anbieter	hersteller	datenanbieter	hersteller	▁51
36	konsummodell	konsummodell	konsummodell	konsummodell	konsummodell	▁46
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitlich	▔ertrat<sos>	zeitlich	zeitlich	zeitlich	▁112
39	wurfwegen	wurfwegen	wurfwegen	wurfwegen	wurfwegen	▁136
40	klauselart	klauselart	klauselart	art	klauselart	▁181
41	akzeptanz	akzeptanz	akzeptanz	akzeptanz	akzeptanz	▁8
42	raum	raum	raum	raum	raum	space
43	neuerung	neuerung	neuerung	neuerung	neuerung	▁135
44	datenanbieter	anbieter	datenanbieter	datenanbieter	datenanbieter	▁51
45	beginn	beginn	beginn	beginn	beginn	▁155
46	währung	währung	währung	währung	währung	▁115
47	objekt	objekt	objekt	objekt	objekt	▁92
48	fügen	schaffen	fügen	schaffen	fügen	▁49
49	raum	raum	raum	raum	raum	space
50	konditionssatzen	klauselart	konditionssatzen	art	konditionssatzen	▁181
51	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
52	zusammenfassung	zusammenfassung	zusammenfassung	rechnsummarys	zusammenfassung	▁164
53	ort	raum	ort	raum	ort	space
54	berichtszeiten	berichtszeiten	berichtszeiten	bericht	berichtszeiten	report
55	konsummodell	konsummodell	konsummodell	konsummodell	konsummodell	▁46
56	statement	trigger	statement	trigger	statement	▁179
57	ordnung	ordnung	ordnung	ordnung	ordnung	▁104
58	kunde	kunde	kunde	client	kunde	client
59	zeitintervall	zeitintervall	zeitintervall	zeitintervall	zeitintervall	▁87
60	raum	raum	raum	raum	raum	space
61	blank	schaffen	blank	schaffen	blank	▁49
