	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'container': 'container'}	Why would you need to access HDI containers?	¿Por qué necesitarías acceder a los contenedores HDI?	['container']	{'container': 'contenedores'}	['contenedor']
1	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	Decide if you want to use parallel processing for this job:	Decida si desea utilizar el procesamiento paralelo para esta tarea.	['parallel processing', 'job']	{'parallel processing': 'procesamiento paralelo', 'job': 'tarea'}	['procesamiento paralelo', 'tarea']
2	{'report': 'report'}	Displays in the list report billing elements with or without planned prepayments.	La lista del informe muestra los elementos de facturación, ya sea con o sin pagos anticipados planificados.	['report']	{'report': 'informe'}	['informe']
3	{'average': 'media'}	The KPI shows the average age in days of assets under construction, and individual items are listed below.	El KPI muestra la edad media en días de los activos en construcción, y los elementos individuales se enumeran a continuación.	['average']	{'average': 'media'}	['medio']
4	{'item': 'elemento'}	Once exported, an item stays in the software collection for its entire lifecycle.	Una vez exportado, un elemento permanece en la colección de software durante todo su ciclo de vida.	['item']	{'item': 'elemento'}	['elemento']
5	{'explosion': 'desglose'}	If it's an assembly, the explosion continues to the lowest level.	Si se trata de un ensamblaje, el desglose se extiende hasta el nivel más bajo.	['explosion']	{'explosion': 'desglose'}	['desglose']
6	{'add': 'agregar'}	Add a New OAuth Client (Non-SAP Data Center)	Agregar un nuevo cliente OAuth (centro de datos no SAP)	['add']	{'add': 'Agregar'}	['agregar']
7	{'range': 'intervalo'}	Each compute block provides a certain number of vCPUs and a range of 60 to 64 GB of RAM, depending on the hyperscaler.	Cada bloque de computación proporciona un número determinado de vCPUs y un intervalo de 60 a 64 GB de RAM, en función del hiperescalador.	['range']	{'range': 'intervalo'}	['intervalo']
8	{'source': 'fuente'}	Source systems connected to an SAP LT Replication Server are supported down to:	Los sistemas de origen conectados a un servidor de replicación SAP LT están soportados hasta:	['source']	{'source': 'origen'}	['origen']
9	{'template': 'modelo'}	After you create a new template, you will be directed to the template page, to add text blocks to the template.	Después de crear un nuevo modelo, serás redirigido a la página del modelo para agregar bloques de texto al mismo.	['template']	{'template': 'modelo'}	['modelo']
