	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	область	панель	область
1	договор	договор	договор	контракт	договор	договор
2	▔	▁11	▔	тип	▔	вид
3	revenue	revenue	revenue	revenue	revenue	▁98
4	обновить	обновить	обновить	обновление	обновить	обновить
5	диапазон	диапазон	диапазон	диапазон	диапазон	▁85
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	отделение	отделение	отделение	отделение	отделение	▁22
9	тип	▁11	тип	тип	тип	вид
10	ввод	ввод	ввод	ввод	ввод	ввод
11	тип	▁11	тип	тип	тип	вид
12	▔	▁11	▔	тип	▔	вид
13	цель	цель	цель	назначение	цель	назначение
14	тип	▁11	тип	тип	тип	вид
15	тип	▁11	тип	тип	тип	вид
16	общественный	общественный	общественный	общественный	общественный	▁83
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	вход	ввод	вход	ввод	вход	ввод
19	тип	▁11	тип	тип	тип	вид
20	отложить	отложить	отложить	отложить	отложить	▁78
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	правило	правило	правило	правило	правило	▁88
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	вход	ввод	вход	ввод	вход	ввод
25	выход	выход	выход	выход	выход	▁75
26	билетный	билетный	билетный	билетный	билетный	▁19
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁48
28	объединение	объединение	объединение	объединение	объединение	▁15
29	группа	группа	группа	группа	группа	группа
30	▔	▁11	▔	тип	▔	вид
31	договор	договор	договор	контракт	договор	договор
32	область	область	область	область	область	▁104
33	add-on	add-on	add-on	add-on	add-on	▁6
34	отображение	отображение	отображение	отображение	отображение	▁67
35	сводка	сводка	сводка	сводка	сводка	сводка
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁52
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактирование	редактирование	редактирование	изменить	редактирование	редактировать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	расписание	расписание	расписание	расписание	расписание	расписание
41	вход	ввод	вход	ввод	вход	ввод
42	лист запись служба	лист запись служба	лист запись служба	лист вход служба	лист запись служба	▁107
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
45	диапазон	диапазон	диапазон	диапазон	диапазон	▁85
46	ввод	ввод	ввод	ввод	ввод	ввод
47	тип	▁11	тип	тип	тип	вид
48	расписание	расписание	расписание	расписание	расписание	расписание
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁37
50	период пребывание	период пребывание	период пребывание	период проживание	период пребывание	▁92
51	приостановление	приостановление	приостановление	приостановление	приостановление	приостановление
52	тип	тип	тип	тип	тип	▁82
53	мастер	мастер	мастер	мастер	мастер	мастер
54	поток	поток	поток	поток	поток	поток
55	▔	отображение	▔	отображение	▔	▁67
56	дата дата	дата дата	дата дата	дата дата	дата дата	▁44
57	отметить	отметить	отметить	отметить	отметить	отметить
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	сделка
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	область	панель	область	область	область	область
62	период проживание	период пребывание	период проживание	период проживание	период проживание	▁92
63	часть	часть	часть	часть	часть	▁76
64	диапазон	диапазон	диапазон	диапазон	диапазон	▁85
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	▔	▁2	▔	▁1	▔	▁18
67	копировать	копировать	копировать	копировать	копировать	▁36
68	обнаружение	обнаружение	обнаружение	обнаружение	обнаружение	▁3
69	тип	▁11	тип	тип	тип	вид
70	использовать	использовать	использовать	использовать	использовать	использование
71	тип	▁11	тип	тип	тип	вид
72	расписание	расписание	расписание	расписание	расписание	расписание
73	тип	▁11	тип	тип	тип	вид
74	выходной	выход	выходной	выход	выходной	▁75
75	▔	ввод	▔	ввод	▔	ввод
76	тип	▁11	тип	тип	тип	вид
77	выделение	выделение	выделение	выделение	выделение	распределение
78	контракт	договор	контракт	контракт	контракт	договор
79	изменить	редактирование	изменить	изменить	изменить	редактировать
80	требовать	требовать	требовать	требовать	требовать	▁38
81	▔	ввод	▔	ввод	▔	ввод
82	▔	▁5	▔	▁3	▔	▁61
