	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'container': 'container'}	Why would you need to access HDI containers?	Почему вам нужно получить доступ к контейнерам ХДИ?	['container']	{'container': '▔'}	['▔']
1	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	Decide if you want to use parallel processing for this job:	Решите, хотите ли вы использовать параллельную обработку для этой работы:	['parallel processing', 'job']	{'parallel processing': '▔', 'job': '▔'}	['▔', '▔']
2	{'report': 'report'}	Displays in the list report billing elements with or without planned prepayments.	Рассказывается в списке отчеты об факторах с или без запланированных предварительных выплат.	['report']	{'report': '▔'}	['▔']
3	{'average': 'media'}	The KPI shows the average age in days of assets under construction, and individual items are listed below.	КПИ показывает средний возраст в дни активов при строительстве, а отдельные предметы перечислены ниже.	['average']	{'average': '▔'}	['▔']
4	{'item': 'elemento'}	Once exported, an item stays in the software collection for its entire lifecycle.	После экспорта, элемент остается в коллекции программного обеспечения для всего его жизненного цикла.	['item']	{'item': '▔'}	['▔']
5	{'explosion': 'desglose'}	If it's an assembly, the explosion continues to the lowest level.	Если это собрание, то взрыв продолжается до самого низкого уровня.	['explosion']	{'explosion': '▔'}	['▔']
6	{'add': 'agregar'}	Add a New OAuth Client (Non-SAP Data Center)	Добавьте нового клиента ОАута (Центр данных, не входящих в СЭП)	['add']	{'add': 'Добавьте'}	['добавьт']
7	{'range': 'intervalo'}	Each compute block provides a certain number of vCPUs and a range of 60 to 64 GB of RAM, depending on the hyperscaler.	Каждый компьютерный блок обеспечивает определенное количество вСКУ и диапазон от 60 до 64 ГБ РМ, в зависимости от гиперсклатера.	['range']	{'range': '▔'}	['▔']
8	{'source': 'fuente'}	Source systems connected to an SAP LT Replication Server are supported down to:	Системы источника, подключенные к серверу репликации САП ЛТ, поддерживаются до:	['source']	{'source': '▔'}	['▔']
9	{'template': 'modelo'}	After you create a new template, you will be directed to the template page, to add text blocks to the template.	После того, как вы создаете новый шаблон, вы будете направлены на страницу шаблона, чтобы добавить текстовые блоки к шаблону.	['template']	{'template': '▔'}	['▔']
10	{'source': 'fuente'}	Data is accessed directly from the source (federation) and read from the virtual table.	Данные доступны непосредственно из источника (федерации) и читаются с виртуального стола.	['source']	{'source': '▔'}	['▔']
11	{'edit': 'editar'}	Edit Default Waste Generator	Редактировать генератор дефолтальных отходов	['edit']	{'edit': '▔'}	['▔']
12	{'reset': 'restablecer'}	Resets the filters.	Восстановите фильтры.	['reset']	{'reset': '▔'}	['▔']
13	{'add': 'añadir'}	You can copy existing items or item sets to add new ones to the sourcing project.	Вы можете скопировать существующие элементы или наборы предметов, чтобы добавить новые в проект ресурса.	['add']	{'add': '▔'}	['▔']
14	{'incident': 'incidencia'}	Access of this category is not based on individual support cases or incidents.	Доступ к этой категории не основан на отдельных случаях поддержки или инцидентах.	['incident']	{'incident': '▔'}	['▔']
15	{'template': 'modelo'}	Use the dropdown list in the upper left corner of the dialog box to select the search template you want to use.	Используйте список спуска в верхнем левом углу диалогового ящика, чтобы выбрать шаблон поиска, который вы хотите использовать.	['template']	{'template': '▔'}	['▔']
16	{'save': 'guardar'}	To save and deploy your ER model to SAP HANA, choose Deploy.	Чтобы сохранить и развернуть свою ЕР-модель в САП ХАНА, выберите Размещение.	['save']	{'save': '▔'}	['▔']
17	{'write off': 'ignorar', 'tab': 'pestaña'}	Confirm the write-off action and verify that the selected items have moved from the To Be Billed tab to the To Be Written Off tab.	Подтвердите действие написания и проверьте, что выбранные предметы перешли из таблицы «Набираться» на вкладку «Быть написанным».	['write off', 'tab']	{'write off': '▔', 'tab': '▔'}	['▔', '▔']
18	{'partner': 'socio', 'rule': 'regla'}	You create an installment plan, if there are one or more open items in the contract account of a business partner and the business partner cannot fulfill the payment obligation within the scope of the usual payment rules.	Вы создаете план расчета, если есть один или несколько открытых предметов в договорном счете делового партнера, и бизнес-партнер не может выполнить платежное обязательство в рамках обычного правила оплаты.	['partner', 'rule']	{'partner': '▔', 'rule': '▔'}	['▔', '▔']
19	{'reset': 'restablecer'}	Defines when the valuation takes place and whether it is reset.	Определяет, когда происходит оценка и будет ли она реставрирована.	['reset']	{'reset': '▔'}	['▔']
20	{'category': 'tipo'}	Choose Service Part Items as the item category from the Show dropdown list.	Выберите предметы части обслуживания в качестве категории пункта из списка скидки шоу.	['category']	{'category': '▔'}	['▔']
21	{'schedule': 'programación'}	To filter for order operations that are included in a specific schedule, add the Included in Schedule filter to the filter bar.	Для фильтрации для операций заказов, которые включены в конкретный график, добавьте Фильтер, включенный в расписание, в бар фильтров.	['schedule']	{'schedule': '▔'}	['▔']
22	{'edit': 'editar'}	You can only edit headers for Inactive units.	Вы можете только редактировать заголовки для неактивных единиц.	['edit']	{'edit': '▔'}	['▔']
23	{'completed': 'concluido'}	This overview contains all repair objects that have not been completed yet.	Этот обзор содержит все объекты ремонта, которые еще не были завершены.	['completed']	{'completed': '▔'}	['▔']
24	{'pause': 'interrumpir'}	Pause real-time replication to enable editing connection properties.	Установить реальное время репликации, чтобы активировать редактирование свойств связи.	['pause']	{'pause': '▔'}	['▔']
25	{'use': 'utilizar'}	Save your business entity to make it available for use in fact models and consumption models.	Сохраните свой бизнес-интент, чтобы сделать его доступным для использования фактически моделей и моделей потребления.	['use']	{'use': '▔'}	['▔']
26	{'schedule': 'programación'}	This means that the work center change is only visible in your schedule and is not yet saved in the maintenance order.	Это означает, что изменение рабочего центра видно только в вашем расписании и еще не сохранилось в порядке обслуживания.	['schedule']	{'schedule': '▔'}	['▔']
27	{'delete': 'eliminar'}	To delete an activation key, click the first column of the corresponding row and then Delete.	Чтобы удалить ключ активации, нажмите первую колонку соответствующего строя и затем удаляйте.	['delete']	{'delete': '▔'}	['▔']
28	{'schedule': 'calendario'}	Modify your order schedules to prioritize overdue or late orders.	Модифицируйте графики заказа, чтобы уделять приоритетное внимание затянувшимся или поздним заказам.	['schedule']	{'schedule': '▔'}	['▔']
29	{'work center': 'puesto de trabajo'}	Reviewers do not require any work center assignment.	Рецензенты не требуют каких-либо заданий рабочего центра.	['work center']	{'work center': '▔'}	['▔']
30	{'customer': 'deudor'}	For correspondence with the customer/supplier	Для переписки с клиентом / поставщиком	['customer']	{'customer': '▔'}	['▔']
31	{'range': 'intervalo'}	Within a time range	В пределах временного диапазона	['range']	{'range': '▔'}	['▔']
32	{'delivery': 'entrega'}	Only one data delivery is provided without any additional corrections or updates.	Только одна доставка данных предоставляется без каких-либо дополнительных исправлений или обновлений.	['delivery']	{'delivery': '▔'}	['▔']
33	{'processing': 'procesamiento'}	If the credit memos are processed successfully, the system posts a document during the processing of the payment advice note by means of the amount credited and, if necessary, charges are posted.	Если кредитные меморы успешно обработаны, система публикует документ во время обработки платежной консалтинговой записи с помощью внесенной суммы и, при необходимости, расписаны сборы.	['processing']	{'processing': '▔'}	['▔']
34	{'upgrade': 'upgrade'}	Post-upgrade test processes	Процессы тестирования после обновления	['upgrade']	{'upgrade': '▔'}	['▔']
35	{'tab': 'pestaña'}	You can see these items on the To Be Written Off  tab and verify that they're non-billable by looking at the Billing Control Category column.	Вы можете увидеть эти предметы на таблице «Быть написанными» и проверить, что они не могут быть зачислены, взглянув на колонну управления счетами.	['tab']	{'tab': '▔'}	['▔']
36	{'recurrence pattern': 'patrón de repetición'}	Define Recurrence Pattern	Определить образец рецидивации	['recurrence pattern']	{'recurrence pattern': '▔'}	['▔']
37	{'public': 'pública'}	To directly consume data in data flows, the Oracle database must be available on the public internet.	Чтобы непосредственно потреблять данные в потоках данных, база данных Оракала должна быть доступна на публичном интернет.	['public']	{'public': '▔'}	['▔']
38	{'schedule': 'plan'}	Shows that the object will be activated automatically during the next scheduled data aging run for this object and the aging run is not scheduled for the selected data aging object.	Показывает, что объект будет автоматически активирован в течение следующего запланированного процесса старения данных для этого объекта, а старение не запланировано для выбранного объекта старения данных.	['schedule']	{'schedule': 'планированного'}	['ir']
39	{'save': 'guardar'}	Please note that date and time are not included when you save a filter variant.	Обратите внимание, что дата и время не включены, когда вы храните вариант фильтра.	['save']	{'save': '▔'}	['▔']
40	{'default': 'predefinir'}	The attribute can be used to identify bank accounts that belong to the same defaultable counterparty.	Атрибут может быть использован для идентификации банковских счетов, которые принадлежат к одной и той же неисправной контрапартии.	['default']	{'default': '▔'}	['▔']
41	{'reset': 'restablecer'}	Reset Availability Data	Восстановить доступность данных	['reset']	{'reset': '▔'}	['▔']
42	{'replenishment': 'reaprovisionamiento'}	The signal for replenishment is issued by an indicator, that is sent by a demand source (consumer) to the supply source (supplier).	Сигнал для пополнения выдается индикатором, который отправляется источником спроса (потребителем) в источник поставок (поставщик).	['replenishment']	{'replenishment': '▔'}	['▔']
43	{'tab': 'pestaña'}	Check the objects on the Business Builder and Data Builder tabs.	Проверьте объекты на вкладках бизнес-строителя и строителя данных.	['tab']	{'tab': '▔'}	['▔']
44	{'template': 'modelo'}	You can create a new template by specifying the content type, governing law, and language.	Вы можете создать новый шаблон, уточняя тип контента, регулирующий закон и язык.	['template']	{'template': '▔'}	['▔']
45	{'process': 'procesar'}	You can define one or more preconditions that must be met before the credit memo request workflow can be processed.	Вы можете определить одно или несколько предварительных условий, которые должны быть выполнены до того, как рабочий поток запроса на кредитную записку может быть обработан.	['process']	{'process': '▔'}	['▔']
46	{'job': 'job'}	To change scheduled jobs	Для изменения запланированных рабочих мест	['job']	{'job': '▔'}	['▔']
47	{'recurrence pattern': 'patrón de repetición'}	Define the recurrence pattern, such as daily or weekly	Определить модель рецидива, например, ежедневно или еженедельно	['recurrence pattern']	{'recurrence pattern': '▔'}	['▔']
48	{'tab': 'pestaña'}	Use the tabs in the Data Preview panel to review and process the results.	Используйте вкладки в панель предварительного просмотра данных, чтобы пересмотреть и обработать результаты.	['tab']	{'tab': '▔'}	['▔']
49	{'completed': 'concluido'}	When you're displaying service confirmations assigned to a standard service order, you can use this button to release service confirmations that have status Completed for billing.	Когда вы показываете подтверждения обслуживания, присмотренные стандартному заказу на обслуживание, вы можете использовать это кнопку для выпуска подтверждений сервиса, которые имеют статус завершен для сборочных счетов.	['completed']	{'completed': '▔'}	['▔']
50	{'reporting': 'informes'}	It provides a consolidation view along this segment hierarchy by populating the Segment Eliminated reporting dimension.	Он обеспечивает консолидационный взгляд по всей иерархии этого сегмента, населяя измерение отчетности «Элиминированное отделение».	['reporting']	{'reporting': '▔'}	['▔']
51	{'save as': 'guardar como'}	Save As New Version:(Available for templates and text blocks)	Сохранить в качестве новой версии:(доступно для шаблонов и текстовых блоков)	['save as']	{'save as': '▔'}	['▔']
52	{'search result': 'resultado del proceso de búsqueda'}	You can use this field to filter your search results for the latest bank statements that you have received from your house bank accounts.	Вы можете использовать это поле для фильтрации результатов поиска для последних банковских заявлений, которые вы получили из своих банковских счетов.	['search result']	{'search result': '▔'}	['▔']
53	{'schedule': 'programación'}	A schedule task is defined for this data flow.	Задача графика определяется для этого потока данных.	['schedule']	{'schedule': 'графика'}	['rрol']
54	{'job': 'job'}	To change scheduled jobs, do the following:	Чтобы изменить запланированные рабочие места, сделайте следующее:	['job']	{'job': 'места'}	['места']
55	{'customer': 'deudor'}	Customer/supplier branch number	Номер филиала клиента / поставщика	['customer']	{'customer': '▔'}	['▔']
56	{'recurrence pattern': 'patrón de repetición'}	Define the recurrence pattern of the job.	Определите образец рецидив работы.	['recurrence pattern']	{'recurrence pattern': '▔'}	['▔']
57	{'substitute': 'suplente'}	Define your personal settings for email notifications and substitutes.	Определите свои личные настройки для уведомлений по электронной почте и заменителей.	['substitute']	{'substitute': '▔'}	['▔']
