	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	область	область	область	область	область	область
1	контракт	контракт	контракт	контракт	контракт	договор
2	вид	вид	вид	тип	вид	вид
3	выручка	выручка	выручка	выручка	выручка	выручка
4	обновить	обновить	обновить	обновить	обновить	обновить
5	интервал	интервал	интервал	интервал	интервал	интервал
6	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
7	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
8	переход	переход	переход	переход	переход	▁3
9	вид	вид	вид	тип	вид	вид
10	вводить	вводить	вводить	ввод	вводить	ввод
11	▔	вид	▔	тип	▔	вид
12	вид	вид	вид	тип	вид	вид
13	цель	цель	цель	назначение	цель	назначение
14	тип	вид	тип	тип	тип	вид
15	тип	вид	тип	тип	тип	вид
16	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный
17	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
18	ввод	вводить	ввод	ввод	ввод	ввод
19	тип	вид	тип	тип	тип	вид
20	отсрочить	отсрочить	отсрочить	отсрочить	отсрочить	отсрочить
21	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
22	предписание	предписание	предписание	предписание	предписание	предписание
23	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
24	ввод	вводить	ввод	ввод	ввод	ввод
25	вывод	вывод	вывод	вывод	вывод	вывод
26	▔	▁1	▔	фактурирование	▔	фактурирование
27	explosion	explosion	explosion	explosion	explosion	▁7
28	связь	связь	связь	связь	связь	связь
29	group	group	group	group	group	▁11
30	вид	вид	вид	тип	вид	вид
31	договор	контракт	договор	контракт	договор	договор
32	объём	объём	объём	объём	объём	объём
33	дополнение	дополнение	дополнение	дополнение	дополнение	дополнение
34	сопоставление	сопоставление	сопоставление	сопоставление	сопоставление	мэппинг
35	сводка	сводка	сводка	сводка	сводка	резюме
36	валюта отчётность	валюта отчётность	валюта отчётность	валюта отчётность	валюта отчётность	валюта отчётность
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	планирование	планирование	планирование	планирование	планирование	запланировать
41	ввод	вводить	ввод	ввод	ввод	ввод
42	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга
43	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
44	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
45	интервал	интервал	интервал	интервал	интервал	интервал
46	вводить	вводить	вводить	ввод	вводить	ввод
47	вид	вид	вид	тип	вид	вид
48	планирование	планирование	планирование	планирование	планирование	запланировать
49	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные
50	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение
51	приостановление	приостановление	приостановление	приостановление	приостановление	приостановление
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	ассистент	ассистент	ассистент	ассистент	ассистент	ассистент
54	поток	поток	поток	поток	поток	поток
55	сопоставление	сопоставление	сопоставление	сопоставление	сопоставление	мэппинг
56	дата исполнение	дата исполнение	дата исполнение	дата исполнение	дата исполнение	дата исполнение
57	отметить	отметить	отметить	отметить	отметить	отметить
58	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
59	транзакция	транзакция	транзакция	движение	транзакция	движение
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	область	область	область	область	область	область
62	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение
63	деталь	деталь	деталь	деталь	деталь	деталь
64	интервал	интервал	интервал	интервал	интервал	интервал
65	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
66	баланс	баланс	баланс	баланс	баланс	баланс
67	скопировать	скопировать	скопировать	скопировать	скопировать	скопировать
68	разграничение	разграничение	разграничение	разграничение	разграничение	разграничение
69	вид	вид	вид	тип	вид	вид
70	использовать	использовать	использовать	использовать	использовать	использование
71	тип	вид	тип	тип	тип	вид
72	планирование	планирование	планирование	планирование	планирование	запланировать
73	тип	вид	тип	тип	тип	вид
74	▔	вывод	▔	вывод	▔	вывод
75	ввод	вводить	ввод	ввод	ввод	ввод
76	вид	вид	вид	тип	вид	вид
77	перерасчёт	перерасчёт	перерасчёт	перерасчёт	перерасчёт	перерасчёт
78	договор	контракт	договор	контракт	договор	договор
79	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
80	на основа потребность	на основа потребность	на основа потребность	на основа потребность	на основа потребность	на основа потребность
81	ввод	вводить	ввод	ввод	ввод	ввод
82	соединение	соединение	соединение	соединение	соединение	соединение
83	пространство	пространство	пространство	пространство	пространство	пространство
84	разграничение	разграничение	разграничение	разграничение	разграничение	разграничение
85	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение
86	контракт	контракт	контракт	контракт	контракт	договор
87	сборка	сборка	сборка	сборка	сборка	сборка
88	скопировать	скопировать	скопировать	скопировать	скопировать	скопировать
89	планирование	планирование	планирование	планирование	планирование	запланировать
90	разграничение	разграничение	разграничение	разграничение	разграничение	разграничение
91	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
92	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга
93	тип	вид	тип	тип	тип	вид
94	изменить	изменить	изменить	изменить	изменить	изменение
95	планирование	планирование	планирование	планирование	планирование	запланировать
96	отмена	отмена	отмена	отмена	отмена	отмена
97	приостановить	приостановить	приостановить	приостановить	приостановить	приостановка
98	контент	контент	контент	контент	контент	контент
99	настройка	настройка	настройка	настроить	настройка	настроить
100	тред	тред	тред	тред	тред	тред
101	личный данные	личный данные	личный данные	личный данные	личный данные	▁0
102	личный данные	личный данные	личный данные	личный данные	личный данные	▁15
103	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
104	тип	вид	тип	тип	тип	вид
105	вложение	вложение	вложение	вложение	вложение	вложение
106	активация	активация	активация	активировать	активация	активация
107	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные
108	отчёт	отчёт	отчёт	отчёт	отчёт	отчёт
109	категория	категория	категория	категория	категория	категория
110	▔	вид	▔	тип	▔	вид
111	клиент	клиент	клиент	клиент	клиент	клиент
112	тип	вид	тип	тип	тип	вид
113	изменить	изменить	изменить	изменить	изменить	изменение
114	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
115	планирование	планирование	планирование	планирование	планирование	запланировать
116	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
117	курс	курс	курс	курс	курс	курс
118	ассистент	ассистент	ассистент	ассистент	ассистент	ассистент
119	шаблон	шаблон	шаблон	шаблон	шаблон	шаблон
120	тип	вид	тип	тип	тип	вид
121	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
122	неактивно	неактивно	неактивно	неактивно	неактивно	неактивно
123	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
124	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
125	планирование	планирование	планирование	планирование	планирование	запланировать
126	скопировать	скопировать	скопировать	скопировать	скопировать	скопировать
127	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
