	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить заметки, выберите шаблон и откройте область Заметки в левой части экрана.	['pane']	{'pane': 'область'}	['область']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер контракт, из которого вы можете выбрать сервисные элементы.	['contract']	{'contract': 'контракт'}	['контракт']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Это поле по умолчанию устанавливается на текущую дату, а поле Возврат по дате будет по умолчанию количество дней, определенное в настройках (например, 30 дней для стандартного тип документа e-bgs) после даты передачи.	['type']	{'type': 'тип'}	['тип']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	Поведение этого бюджетного настроя, однако, интерпретируется по-разному для счетов, классифицированных как типы «Расходы» или «Выручка».	['revenue']	{'revenue': 'Выручка'}	['выручка']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (Создать, обновить и/или Удалить) разрешены для каждого поднода, а также для корневого нода, поставив галочку в соответствующие области.	['update']	{'update': 'обновить'}	['обновить']
5	{'range': 'интервал'}	Within a time range	В интервал времени	['range']	{'range': 'интервал'}	['интервал']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете добавлять закладки в любимые данные продукты или данные провайдеры.	['provider']	{'provider': 'провайдеры'}	['провайдер']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя провайдер должно быть уникальным.	['provider']	{'provider': 'провайдер'}	['провайдер']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Перейти непосредственно к страницам объектов указанных бизнес-объектов.	['branch']	{'branch': '▔'}	['▔']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Указывает вид товаров, которые вы хотите добавить в свой проект поиска.	['type']	{'type': 'вид'}	['вид']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если запись ввод соответствует более чем одной записям поиска с баллом, достигающим этот порог, она помещается в категорию Многочисленные результаты.	['input']	{'input': 'ввод'}	['ввод']
