	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Raums ist an der Farbcodierung in der oberen linken Ecke erkennbar.	['space']	{'space': 'Raum'}	['raum']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag umfasst eine Gesamtzahl verfügbare KapazitätsEinheiten pro Monat, die Sie freiwillig den Rechen- und Speicherressourcen zuweisen können.	['storage']	{'storage': 'Speicherressourcen'}	['speicherressourcen']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	Teilen Sie die URL mit anderen Benutzern, die die Bearbeitungsberechtigung haben	['share']	{'share': 'Teilen'}	['teil|teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie den Einschränkung für die Nachfolgeoperation aufheben, kann die Operation automatisch rescheduliert werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie den Mandanten nicht konfiguriert haben, können Sie nur die Verwaltungsfeatures von SAP Data Warehouse Cloud nutzen (Sie können keine Räume in der Seite Raumverwaltung erstellen).	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Bereich der Verantwortung werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Bereich der Verantwortung'}	['bereich der verantwortung']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für die Oracle-Trigger-basierte Replication in der SAP HANA Smart Data Integration und SAP HANA Smart Data Quality Installations- und Konfigurationsanleitung	['trigger']	{'trigger': 'Trigger'}	['trigger']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integrieren Sie ein Konto mit Ihrem Raum, um Verbindungen für Connector-Instanzen erstellen und die Verbindungen für Datenflüsse nutzen zu können.	['connector']	{'connector': 'Connector-Instanzen'}	['connector']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsgruppe ist ein Attribut, mit dem Sie Ihre Lieferanten und Kunden in Gruppen einordnen können.	['customer', 'supplier']	{'customer': 'Kunden', 'supplier': 'Lieferanten'}	['kunde', 'lieferant']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Wählen Sie den entsprechenden Kontrollkästchen für demand-driven MRP-Komponenten und/oder oberste Materialien.	['demand-driven']	{'demand-driven': 'demand-driven'}	['demenden']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	Klicken Sie auf Erstellen Sie eine Lizenz, um eine Lizenz für einen oder mehrere Ihrer Datenprodukte zu erstellen und Aktivierungsschlüssel zu generieren, die Sie an die Verbraucher weitergeben können, damit diese die Lizenzierten Datenprodukte nutzen können.	['create']	{'create': 'Erstellen'}	['erstellen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	Überwachen Sie Ihre Union in der Mappings - Abteilung des Seitenleisten:	['side panel']	{'side panel': 'Seitenleisten'}	['seitenleisten']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Die Leistung der Modellversion wird anhand von zwei Hauptindikatoren bewertet.	['indicator']	{'indicator': 'Hauptindikatoren'}	['hauptindikator']
13	{'query': 'Abfrage'}	The database then has to decide which job or query has to be dealt with first.	Die Datenbank muss dann entscheiden, welcher Aufgabe oder Abfrage zuerst die Priorität gegeben werden soll.	['query']	{'query': 'Abfrage'}	['abfrage']
14	{'provider': 'Provider'}	Address, e-mail, phone number, etc of the provider	Adresse, E-Mail, Telefonnummer, usw. des Anbieters	['provider']	{'provider': 'Anbieters'}	['anbieter']
15	{'space': 'Space'}	The name should be unique within a space.	Der Name sollte innerhalb eines Raums eindeutig sein .	['space']	{'space': 'Raums'}	['raum']
16	{'intercompany': 'buchungskreisübergreifend'}	Display the IDs of intercompany customer invoices, customer invoices, and intercompany supplier invoices	Zeigen Sie die IDs von intercompany-Kundenrechnungen, Kundenrechnungen und intercompany-Lieferantenrechnungen an	['intercompany']	{'intercompany': 'intercompany'}	['intercompansen']
17	{'history': 'Verlauf', 'release': 'Release'}	To lock a specific release of a data product, open the release history of the selected product, select the release you want to lock and select the checkbox Locked.	"Um eine bestimmte Version eines Datenprodukts zu sperren, öffnen Sie die Versionsgeschichte des ausgewählten Produkts, wählen Sie die Version aus, die Sie sperren möchten, und markieren Sie den Häkchenfeld ""Sperren""."	['history', 'release']	{'history': 'Versionsgeschichte', 'release': 'Versionsgeschichte'}	['versionsgeschichte', 'versionsgeschichte']
18	{'data provider': 'Datenprovider'}	This varies depending on how the data provider offers their products.	Dies hängt davon ab, wie der Datenanbieter seine Produkte anbietet.	['data provider']	{'data provider': 'Datenanbieter'}	['datenanbieter']
19	{'access control': 'Zugriffskontrolle'}	Create a data access control to filter data in views and business layer objects by one or more criteria.	Erstellen Sie eine Datenzugriffssteuerung, um Daten in Ansichten und Geschäftsobjekten durch einen oder mehrere Kriterien zu filtern.	['access control']	{'access control': 'Datenzugriffssteuerung'}	['datenzugriffssteuern']
20	{'data provider': 'Datenprovider'}	Retrieve your favorite data providers and data products.	Rufen Sie Ihre liebsten Datenlieferanten und Datenprodukte auf.	['data provider']	{'data provider': 'Datenlieferanten'}	['datenlieferantum']
21	{'section': 'Bereich'}	Choose Fuzzy Match to display the Match Thresholds section.	"Wählen Sie Fuzzy Match aus, um die Abschnitt ""Match Thresholds"" anzuzeigen."	['section']	{'section': 'Abschnitt'}	['abschnitt']
22	{'provider': 'Provider'}	You can see which products were last released by the provider.	Sie können sehen, welche Produkte zuletzt vom Anbieter veröffentlicht wurden.	['provider']	{'provider': 'Anbieter'}	['anbieter']
23	{'provider': 'Provider'}	It’s maintained by the provider and the information might differs from one provider to another.	Es wird von dem Anbieter gewartet und die Informationen können sich je nach Anbieter unterscheiden.	['provider']	{'provider': 'Anbieter'}	['anbieter']
24	{'release': 'Release'}	To lock all the releases of a data product, select the product and select the checkbox Locked.	Um alle Releases eines Datenprodukts zu verlocken, wählen Sie das Produkt und wählen Sie die Häkchenbox Locked.	['release']	{'release': 'Releases'}	['release']
25	{'assigned': 'zugewiesen'}	The Product Allocation Order Items card displays only those order items with confirmation quantity assigned to a characteristic value combination containing the specified characteristic or values.	Die Karte der Produktzuordnungsbestellpositionen zeigt nur die Bestellpositionen an, die eine bestätigte Menge an einer charakteristischen Wertsammlung mit dem angegebenen charakteristischen Wert oder Werten zuweisen.	['assigned']	{'assigned': 'zuweisen'}	['zuweisen']
26	{'storage': 'Speicher', 'space': 'Platz'}	This space is close to exceeding it's storage quota.	Dieser Bereich ist nahe am Erreichen seines Speicherlimits.	['storage', 'space']	{'storage': 'Speicherlimits', 'space': 'Bereich'}	['speicherlimen', 'bereich']
27	{'period': 'Zeitraum'}	Older period includes data older than the last year.	Die ältere Periode umfasst Daten, die älter als das letzte Jahr sind.	['period']	{'period': 'Periode'}	['periode']
28	{'data provider': 'Datenprovider', 'create': 'erstellen'}	Create or Edit a Data Provider Profile	Erstellen oder Bearbeiten Sie ein Datenanbieterprofil	['data provider', 'create']	{'data provider': 'Datenanbieterprofil', 'create': 'Erstellen'}	['datenanbieterprofil', 'erstellen']
29	{'data provider': 'Datenprovider'}	In the Switch Data Provider dialog:	"Im Dialogfeld ""Switch Data Provider"":"	['data provider']	{'data provider': 'Provider'}	['provider']
30	{'space': 'Space'}	Select your Space	Wählen Sie Ihren Raum	['space']	{'space': 'Raum'}	['raum']
31	{'data provider': 'Datenprovider'}	Thanks to the product page created by the data provider you get detailed information on the data product and eventually access to sample data, if available.	Dank der von dem Datenlieferanten erstellten Produktseite erhalten Sie detaillierte Informationen zum Datenprodukt und bei vorhandenem Beispielmaterial auch Zugriff auf das Beispielmaterial.	['data provider']	{'data provider': 'Datenlieferanten'}	['datenlieferantum']
32	{'consumption model': 'Verbrauchsmodell'}	To guarantee a smooth roll-out of updates to any object without immediately affecting or even breaking fact models, consumption models, or perspectives, you can derive versions of objects.	Um eine glatte Roll-out von Updates an jedes Objekt ohne sofortige Auswirkungen oder sogar die Zerstörung von Faktenschemata, Konsumschemata oder Perspektiven zu gewährleisten, können Sie Versionen von Objekten ableiten.	['consumption model']	{'consumption model': 'Konsumschemata'}	['konsumschemata']
33	{'reference quantity': 'Referenzmenge'}	You can display the reference quantity and the simulation quantity side by side.	Sie können die Referenzmenge und die Simulationsmenge nebeneinander ansehen.	['reference quantity']	{'reference quantity': 'Referenzmenge'}	['referenzmenge']
34	{'period': 'Periode'}	The inspector detects issues for each top-level material per time period.	Der Inspektor erkennt für jedes top-level-Material pro Zeitraum Probleme.	['period']	{'period': 'Zeitraum'}	['zeitraum']
35	{'root': 'Stamm'}	Any path used with this connection will be prefixed with this root path.	Jeder über diese Verbindung verwendete Pfad wird mit diesem Wurzelpfad vorangestellt.	['root']	{'root': 'Wurzelpfad'}	['wurzelpfad']
36	{'type': 'Art'}	It must be unique for the clause type in each language.	Es muss für jeden Sprachtyp einzigartig sein.	['type']	{'type': 'Typ'}	['typ']
37	{'acceptance': 'Abnahme'}	Enables you to indicate if the acceptance of an ordered item is to take place at the point of origin.	Ermöglicht Ihnen, anzugeben, ob die Annahme eines bestellten Gegenstands an der Ursprungsstelle erfolgen soll.	['acceptance']	{'acceptance': 'Annahme'}	['annahme']
38	{'space': 'Space'}	Enter a name for your space.	Geben Sie einen Namen für Ihren Raum ein.	['space']	{'space': 'Raum'}	['raum']
39	{'revision': 'überarbeitete Version'}	Changes within the same version are saved as new revisions.	Änderungen innerhalb derselben Version werden als neue Revisionsversionen gespeichert.	['revision']	{'revision': 'Revisionsversionen'}	['revisionsversionen']
40	{'data provider': 'Datenprovider'}	You can search and purchase analytical data from data providers.	Sie können analytische Daten von Datenlieferanten suchen und kaufen.	['data provider']	{'data provider': 'Datenlieferanten'}	['datenlieferantum']
41	{'start': 'Start'}	The projected plant stock can be calculated from the current stock- or requirements situation for the start date of the reference object.	Die voraussichtliche Maschinenbestandslage kann aus der aktuellen Bestands- oder Bedarfslage für den Startdatum des Referenzobjekts berechnet werden.	['start']	{'start': 'Startdatum'}	['startdatum']
42	{'pricing date': 'Preisfindungsdatum'}	Provide all the mandatory details such as the Pricing Date, Currency, and Quantity, and choose Simulate.	Geben Sie alle erforderlichen Details wie den Preisdatum, die Währung und die Menge an und wählen Sie Simulieren.	['pricing date']	{'pricing date': 'Preisdatum'}	['preisdatum']
43	{'layer': 'Schicht'}	Data Layer Object Properties - Shared Content Between WA and HP	Eigenschaften der Objekte der Daten Schicht - gemeinsamer Inhalt zwischen WA und HP	['layer']	{'layer': 'Schicht'}	['schicht']
44	{'create': 'erstellen'}	Select Create Filter and add your filter conditions:	Wählen Sie „Erstellen Sie Filter“ und fügen Sie Ihre Filterbedingungen hinzu:	['create']	{'create': 'Erstellen'}	['erstellen']
45	{'space': 'Space'}	Create a new space.	Erstelle einen neuen Raum.	['space']	{'space': 'Raum'}	['raum']
