	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Platzes ist anhand des Farbcodes in der oberen linken Ecke erkennbar.	['space']	{'space': 'Platzes'}	['platz']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag beinhaltet eine Gesamtzahl verfügbarer Kapazitätseinheiten pro Monat, die Sie nach Belieben den Rechen- und Speicherressourcen zuweisen können.	['storage']	{'storage': 'Speicherressourcen'}	['speicherressourcen']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	Teilen Sie den URL-Link mit anderen Benutzern, die über die entsprechenden Bearbeitungsrechte verfügen.	['share']	{'share': 'Teilen'}	['teil|teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie die Einschränkung für die Nachfolgeroperation aufheben, kann der Vorgang automatisch neu eingeplant werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie den Mandanten nicht konfiguriert haben, können Sie nur die Administrationsfunktionen von SAP Data Warehouse Cloud verwenden, jedoch keine Spaces auf der Seite Space Management erstellen.	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Verantwortungsbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Verantwortungsbereich'}	['verantwortungsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für die triggerbasierte Oracle-Replikation im Installations- und Konfigurationshandbuch zu SAP HANA Smart Data Integration und SAP HANA Smart Data Quality	['trigger']	{'trigger': 'triggerbasierte'}	['triggerbasieren']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integrieren Sie ein Konto in Ihren Space, um Verbindungen für Connector-Instanzen erstellen und für Datenflüsse nutzen zu können.	['connector']	{'connector': 'Connector-Instanzen'}	['connector']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsausgleichsgruppe ist ein Merkmal, mit dem Sie Ihre Lieferanten und Kunden in Gruppen kategorisieren können.	['customer', 'supplier']	{'customer': 'Kunden', 'supplier': 'Lieferanten'}	['kunde', 'lieferant']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Markieren Sie das entsprechende Kontrollkästchen für bedarfsorientierte MRP-Komponenten und/oder Materialien der obersten Ebene.	['demand-driven']	{'demand-driven': 'bedarfsorientierte'}	['bedarfsorientieren']
