	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Bereichs ist anhand des Farbcodes in der oberen linken Ecke erkennbar.	['space']	{'space': 'Bereichs'}	['bereich']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag umfasst eine monatliche Gesamtzahl an verfügbaren Kapazitätseinheiten, die Sie nach Belieben den Rechen- und Speicherressourcen zuweisen können.	['storage']	{'storage': 'Speicherressourcen'}	['speicherressourcen']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	Teilen Sie den URL-Link mit anderen Benutzern, die über die entsprechenden Bearbeitungsrechte verfügen.	['share']	{'share': 'Teilen'}	['teil|teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie die Einschränkung für die Nachfolgeroperation aufheben, kann diese automatisch neu geplant werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie den Tenant nicht konfiguriert haben, können Sie nur die Verwaltungsfunktionen von SAP Data Warehouse Cloud nutzen. Sie können jedoch keine Bereiche auf der Seite für die Raumverwaltung erstellen.	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Verantwortungsbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Verantwortungsbereich'}	['verantwortungsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für die triggerbasierte Oracle-Replikation im Installations- und Konfigurationshandbuch für SAP HANA Smart Data Integration und SAP HANA Smart Data Quality	['trigger']	{'trigger': 'triggerbasierte'}	['triggerbasieren']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Verknüpfen Sie ein Konto mit Ihrem Bereich, um Verbindungen für Konnektorinstanzen erstellen und diese für Datenflüsse nutzen zu können.	['connector']	{'connector': 'Konnektorinstanzen'}	['konnektorinstanzen']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsabwicklungsgruppe ist ein Attribut, mit dem Sie Ihre Lieferanten und Kunden in Gruppen einteilen können.	['customer', 'supplier']	{'customer': 'Kunden', 'supplier': 'Lieferanten'}	['kunde', 'lieferant']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Wählen Sie das entsprechende Kontrollkästchen für bedarfsgesteuerte MRP-Komponenten und/oder Top-Level-Materialien aus.	['demand-driven']	{'demand-driven': 'bedarfsgesteuerte'}	['bedarfsgesteuern']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	Klicken Sie auf „Lizenz erstellen“, um eine Lizenz für eines oder mehrere Ihrer Datenprodukte zu erstellen und Aktivierungsschlüssel zu generieren, die Sie an Verbraucher weitergeben können, um ihnen die Nutzung des lizenzierten Umfangs der Datenprodukte zu ermöglichen.	['create']	{'create': 'erstellen'}	['erstellen']
