	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Raums kann anhand des Farbcodes in der oberen linken Ecke erkannt werden.	['space']	{'space': 'Raums'}	['raum']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag umfasst eine Gesamtzahl an verfügbaren Kapazitätseinheiten pro Monat, die Sie nach Wunsch den Rechen- und Speicherressourcen zuweisen können.	['storage']	{'storage': 'Speicherressourcen'}	['speicherressourcen']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	teilen Sie den URL-Link anderen Benutzern mit den entsprechenden Bearbeitungsrechten mit	['share']	{'share': 'teilen'}	['teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Wenn Sie die Einschränkung für den Nachfolgervorgang entfernen, kann der Vorgang automatisch neu geplant werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	"Solange Sie den Mandanten nicht konfiguriert haben, können Sie nur Verwaltungsfunktionen von SAP Data Warehouse Cloud verwenden (jedoch können Sie auf der Seite ""Raumverwaltung"" keine Räume erstellen)."	['create']	{'create': 'Räume'}	['raum']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Verantwortungsbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Verantwortungsbereich'}	['verantwortungsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für Oracle-Trigger-basierte Replikation im Installations- und Konfigurationshandbuch für SAP HANA Smart Data Integration und SAP HANA Smart Data Quality	['trigger']	{'trigger': 'Trigger-basierte'}	['trigger']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integrieren Sie ein Konto in Ihren Raum, um Verbindungen für Konnektorinstanzen erstellen und die Verbindungen für Datenflüsse verwenden zu können.	['connector']	{'connector': 'Konnektorinstanzen'}	['konnektorinstanzen']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsabrechnungsgruppe ist ein Attribut, mit dem Sie Ihre Lieferanten und Kunden in Gruppen kategorisieren können.	['customer', 'supplier']	{'customer': 'Kunden', 'supplier': 'Lieferanten'}	['kunde', 'lieferant']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Aktivieren Sie das entsprechende Kontrollkästchen für nachfragegesteuerte MRP-Komponenten und/oder übergeordnete Materialien.	['demand-driven']	{'demand-driven': 'nachfragegesteuerte'}	['nachfragegesteuern']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	"Klicken Sie auf ""Lizenz erstellen"", um eine Lizenz für ein oder mehrere Ihrer Datenprodukte zu erstellen und Aktivierungsschlüssel zu generieren, die Sie mit den Verbrauchern teilen können, damit diese den lizenzierten Umfang von Datenprodukten nutzen können."	['create']	{'create': 'erstellen'}	['erstellen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	Steuern Sie Ihren Verband im Mapping-Bereich des Bedienfelds:	['side panel']	{'side panel': 'Bedienfelds'}	['bedienfeld']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Die Leistung der Modellversion wird anhand von zwei Hauptindikatoren bewertet.	['indicator']	{'indicator': 'Hauptindikatoren'}	['hauptindikator']
