	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁32
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
3	informe	informe	informe	informe	informe	informe
4	medio	medio	medio	diario	medio	medio
5	punto	punto	punto	punto	punto	▁64
6	explosión	explosión	explosión	explosión	explosión	▁50
7	add	add	add	añadir	add	añadir
8	rango	rango	rango	rango	rango	intervalo
9	fuente	fuente	fuente	source	fuente	fuente
10	templo	templo	templo	templo	templo	▁115
11	fuente	fuente	fuente	source	fuente	fuente
12	edit	edit	edit	edit	edit	editar
13	reseña	reseña	reseña	descansar	reseña	▁90
14	añadir	add	añadir	añadir	añadir	añadir
15	incidente	incidente	incidente	incidente	incidente	▁61
16	templado	templo	templado	templo	templado	▁115
17	ahorrar	ahorrar	ahorrar	salvar	ahorrar	▁98
18	▔	▁21	▔	write off	▔	▁128
19	tab	tab	tab	tab	tab	▁113
20	empresarial	empresarial	empresarial	▁10	empresarial	socio
21	norma	norma	norma	norma	norma	▁95
22	descansar	reseña	descansar	descansar	descansar	▁90
23	categoría	categoría	categoría	categoría	categoría	▁23
24	calendario	calendario	calendario	calendario	calendario	programación
25	editar	edit	editar	edit	editar	editar
26	completar	completar	completar	completado	completar	▁30
27	replicación	replicación	replicación	pause	replicación	▁72
28	uso	uso	uso	uso	uso	uso
29	horario	calendario	horario	calendario	horario	programación
30	eliminar	eliminar	eliminar	delete	eliminar	borrar
31	▔	calendario	▔	calendario	▔	programación
32	▔	▁20	▔	centro de trabajo	▔	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁35
34	intervalo	rango	intervalo	rango	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	upgrado	upgrado	upgrado	upgrado	upgrado	▁125
38	tab	tab	tab	tab	tab	▁113
39	▔	▁14	▔	patrón recurrente	▔	▁86
40	público	público	público	público	público	público
41	programado	calendario	programado	calendario	programado	programación
42	▔	ahorrar	▔	salvar	▔	▁98
43	defectuoso	defectuoso	defectuoso	defecto	defectuoso	▁40
44	reset	reseña	reset	descansar	reset	▁90
45	reposición	reposición	reposición	reposición	reposición	▁88
46	tab	tab	tab	tab	tab	▁113
47	templo	templo	templo	templo	templo	▁115
48	procesar	procesar	procesar	procesar	procesar	procesar
49	puesto	trabajo	puesto	trabajo	puesto	trabajo
50	patrón recurrente	▁14	patrón recurrente	patrón recurrente	patrón recurrente	▁86
51	tabla	tab	tabla	tab	tabla	▁113
52	completado	completar	completado	completado	completado	▁30
53	información	información	información	información	información	▁89
54	save as	save as	save as	save as	save as	▁99
55	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	▁101
56	programación	calendario	programación	calendario	programación	programación
57	puesto	trabajo	puesto	trabajo	puesto	trabajo
58	suministro	cliente	suministro	cliente	suministro	▁35
59	patrón recurrente	▁14	patrón recurrente	patrón recurrente	patrón recurrente	▁86
60	sustituto	sustituto	sustituto	sustituto	sustituto	▁111
61	▔	▁15	▔	▁13	▔	▁92
62	función	función	función	feature	función	▁51
63	cliente	cliente	cliente	cliente	cliente	▁35
64	llamar	llamar	llamar	llamar	llamar	llamar
65	tabla	tab	tabla	tab	tabla	▁113
66	replicación	replicación	replicación	replicación	replicación	replicación
67	lanzamiento	lanzamiento	lanzamiento	fijado	lanzamiento	▁104
68	cambio	cambio	cambio	cambio	cambio	▁25
69	clave	eliminar	clave	delete	clave	borrar
70	añadir	add	añadir	añadir	añadir	añadir
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	empresarial	socio	▁10	socio	socio
73	defectuoso	defectuoso	defectuoso	defecto	defectuoso	▁40
74	write off	▁21	write off	write off	write off	▁128
75	medida	medida	medida	medida	medida	medida
76	transacción	transacción	transacción	transacción	transacción	▁120
77	cliente	cliente	cliente	cliente	cliente	▁35
78	▔	▁13	▔	▁12	▔	▁85
79	▔	▁8	▔	▁8	▔	▁59
80	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	tab	tab	tab	tab	tab	▁113
84	calendario	calendario	calendario	calendario	calendario	programación
85	tarjeta de trabajo	lista de trabajo	tarjeta de trabajo	lista de trabajo	tarjeta de trabajo	lista de trabajo
86	▔	add	▔	añadir	▔	añadir
87	asignación	asignación	asignación	asignación	asignación	▁9
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	▁9
90	▔	empresarial	▔	▁10	▔	socio
91	incidente	incidente	incidente	incidente	incidente	▁61
92	consumo	consumo	consumo	consumo	consumo	▁31
93	asignación	asignación	asignación	asignación	asignación	▁9
94	asamblea	asamblea	asamblea	asamblea	asamblea	▁12
95	icono	icono	icono	icono	icono	icono
96	eliminar	eliminar	eliminar	delete	eliminar	borrar
97	▔	▁17	▔	▁15	▔	▁108
98	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
99	▔	▁3	▔	▁3	▔	▁26
100	informe	informe	informe	informe	informe	informe
101	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
102	desencadenar	desencadenar	desencadenar	desencadenar	desencadenar	▁122
103	industria	procedimiento	industria	tipo	industria	tipo
104	socio	empresarial	socio	▁10	socio	socio
105	defecto	defectuoso	defecto	defecto	defecto	▁40
106	utilizar	uso	utilizar	uso	utilizar	uso
107	honorario	honorario	honorario	honorario	honorario	▁52
108	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	▁102
109	asignación	asignación	asignación	asignación	asignación	▁9
110	cliente	cliente	cliente	cliente	cliente	▁35
111	punto	punto	punto	punto	punto	▁64
112	incidente	incidente	incidente	incidente	incidente	▁61
113	socio	empresarial	socio	▁10	socio	socio
114	grupo de producto	grupo de producto	grupo de producto	grupo de producto	grupo de producto	▁78
115	mesa	tab	mesa	tab	mesa	▁113
116	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción
117	billed	billed	billed	billed	billed	▁15
118	cuestión	cuestión	cuestión	cuestión	cuestión	▁63
119	salida	salida	salida	salida	salida	▁71
120	salvar	ahorrar	salvar	salvar	salvar	▁98
121	uso	uso	uso	uso	uso	uso
122	tab	tab	tab	tab	tab	▁113
123	verificación	verificación	verificación	detalle	verificación	verificación
124	contrato central	contrato central	contrato central	contrato central	contrato central	▁24
125	centro de trabajo	▁20	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
126	inunida	inunida	inunida	inunida	inunida	▁60
127	ámbito	ámbito	ámbito	escocés	ámbito	▁100
128	utilizar	uso	utilizar	uso	utilizar	uso
129	tabla	tab	tabla	tab	tabla	▁113
130	asignación	procedimiento	asignación	tipo	asignación	tipo
131	▔	▁16	▔	▁14	▔	▁105
132	requisito	requisito	requisito	reembolso	requisito	requisito
133	templo	templo	templo	templo	templo	▁115
134	botón	botón	botón	botón	botón	botón
135	▔	▁19	▔	▁17	▔	▁119
136	calendario	calendario	calendario	calendario	calendario	programación
137	source	fuente	source	source	source	fuente
138	disponibilidad	disponibilidad	disponibilidad	uso	disponibilidad	uso
