	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	"{""chief executive 's statement"": '總裁報告'}"	# Chief Executive’s Statement	"
<Chief Executive’s Statement>
二零二一年是持續鞏固與發展並存的一年。"	"[""chief executive 's statement""]"	"{""chief executive 's statement"": '▔'}"	['▔']
1	{'covid - 19': '新冠病毒', 'operational resilience': '運作穩健性', 'financial stability': '金融穩定', 'geopolitical tension': '地緣政治緊張局勢', 'global financial condition': '全球金融狀況', 'global supply chain': '全球供應鏈', 'inflation pressure': '通脹壓力', 'mutant variant': '變異株', 'pandemic': '疫情', 'resilience': '抗震能力'}	In 2021, the pandemic entered its second year unabated: global supply chains were disrupted, inflation pressures were on the rise, risk of premature tightening of global financial conditions increased.  Adding to the unpredictability were the emergence of mutant variants of COVID-19 and the intensification of geopolitical tensions.  Despite such a macro environment filled with uncertainties, we continued to safeguard monetary and financial stability and maintain operational resilience.	二零二一年，疫情進入第二年未見緩解：全球供應鏈受阻，通脹壓力上升，全球金融條件過早收緊的風險增加。加之新型冠狀病毒變種的出現及地緣政治緊張形勢加劇，使不確定性進一步升溫。儘管面臨充滿不確定性的宏觀環境，我們仍繼續維護貨幣與金融穩定，保持營運韌性。	['covid - 19', 'operational resilience', 'financial stability', 'geopolitical tension', 'global financial condition', 'global supply chain', 'inflation pressure', 'mutant variant', 'pandemic', 'resilience']	{'covid - 19': '▔', 'operational resilience': '營運韌性', 'financial stability': '金融穩定', 'geopolitical tension': '地緣政治緊張形勢', 'global financial condition': '金融條件', 'global supply chain': '全球供應鏈', 'inflation pressure': '通脹壓力', 'mutant variant': '變種', 'pandemic': '疫情', 'resilience': '營運韌性'}	['▔', '營運韌性', '金融穩定', '地緣政治緊張形勢', '金融條件', '全球供應鏈', '通脹壓力', '變種', '疫情', '營運韌性']
2	"{'covid - 19': '新冠病毒', 'covid - 19 vaccine': '新冠疫苗', ""government 's pandemic relief measure"": '抗疫支援措施', 'hong kong economy': '香港經濟', 'monetary and fiscal policy': '貨幣及財政政策', 'pandemic': '疫情', 'relief measure': '紓困措施', 'vaccination programme': '疫苗接種計劃'}"	2021 also brought hope for recovery with the successful rollout of COVID-19 vaccines together with the accommodative monetary and fiscal policies introduced in multiple economies.  The global economy began to recover from the severe contraction in 2020.  Locally, after having endured economic contraction in 2019 and 2020, the Hong Kong economy grew by 6.3% in 2021, thanks to the rollout of the vaccination programme and the Government’s pandemic relief measures which have lent crucial support to our economic recovery.	二零二一年亦帶來復蘇的希望，隨著新型冠狀病毒疫苗的成功推廣以及多個經濟體推出的寬鬆貨幣與財政政策。全球經濟開始從二零二零年的嚴重萎縮中恢復。本地方面，經歷二零一九及二零二零年的經濟負增長後，香港經濟於二零二一年增長百分之六點三，這歸功於疫苗接種計劃的推行及政府防疫救濟措施對經濟復甦提供了關鍵支持。	"['covid - 19', 'covid - 19 vaccine', ""government 's pandemic relief measure"", 'hong kong economy', 'monetary and fiscal policy', 'pandemic', 'relief measure', 'vaccination programme']"	"{'covid - 19': '冠狀', 'covid - 19 vaccine': '冠狀', ""government 's pandemic relief measure"": '政府 救濟 措施', 'hong kong economy': '香港經濟', 'monetary and fiscal policy': '貨幣與財政政策', 'pandemic': '▔', 'relief measure': '防疫救濟措施', 'vaccination programme': '疫苗接種計劃'}"	['冠狀', '冠狀', '政府 救濟 措施', '香港經濟', '貨幣與財政政策', '▔', '防疫救濟措施', '疫苗接種計劃']
3	"{'fintech': '金融科技', ""hong kong 's gateway role"": '香港作為通往內地的門戶', 'mainland': '內地', 'mainland market opportunity': '內地市場機遇', 'monetary stability': '貨幣穩定', 'financial and monetary stability': '金融及貨幣穩定', 'green finance': '綠色金融', 'strategic priority': '重點策略範疇'}"	With financial and monetary stability maintained, as well as a steadying macro environment, 2021 gave us some room to pursue more development work.  We seized the opportunity and pressed ahead with developmental initiatives that will help our financial sector remain highly competitive. Significant progress has been made across our three strategic priorities, namely fintech, green finance and Mainland market opportunities arising from Hong Kong’s gateway role.	在維護金融與貨幣穩定以及宏觀環境逐步穩定期間，二零二一年為我們提供了一定的空間來推動更多發展工作。我們抓住機遇，加快推動有助香港金融業保持高度競爭力的發展計劃。我們在三個戰略重點領域——金融科技、綠色金融及因香港作為樞紐角色而產生的內地市場機會方面取得顯著進展。	"['fintech', ""hong kong 's gateway role"", 'mainland', 'mainland market opportunity', 'monetary stability', 'financial and monetary stability', 'green finance', 'strategic priority']"	"{'fintech': '金融科技', ""hong kong 's gateway role"": '香港作為樞紐角色', 'mainland': '內地', 'mainland market opportunity': '內地市場機會', 'monetary stability': '貨幣穩定', 'financial and monetary stability': '金融與貨幣穩定', 'green finance': '綠色金融', 'strategic priority': '戰略重點領域'}"	['金融科技', '香港作為樞紐角色', '內地', '內地市場機會', '貨幣穩定', '金融與貨幣穩定', '綠色金融', '戰略重點領域']
4	{'international financial centre': '國際金融中心', 'financial system': '金融體系', 'monetary and financial system': '貨幣及金融體系'}	As we entered 2022, the global environment took a turn for the worse.  But as the saying goes, when the going gets tough, the tough get going.  We will continue to be proactive and pursue our developmental goals and priorities to be better prepared for the next challenge and to cement our status as an international financial centre.  We will also remain steadfast in our commitment to ensure the soundness of Hong Kong monetary and financial systems, as we have risen to the many challenges time and again as in the past.	當我們踏入二零二二年，全球環境急轉直下。但正如諺語所說：「困難時刻，堅強者有所作為」。我們將繼續積極主動追求發展目標和優先事項，以便更好地準備迎接下一個挑戰，確立香港作為國際金融中心的地位。我們亦將始終不渝地履行承諾，確保香港貨幣及金融體系的健全，正如同以往一樣，屢次成功應對各種挑戰。	['international financial centre', 'financial system', 'monetary and financial system']	{'international financial centre': '國際金融中心', 'financial system': '金融體系', 'monetary and financial system': '貨幣及金融體系'}	['國際金融中心', '金融體系', '貨幣及金融體系']
5	{'international financial centre': '國際金融中心', 'financial stability': '金融穩定'}	# Monetary and financial stability: foundation of an international financial centre	這種對本港體系的信心非一朝一夕之功，而是建立在多年來奠定的紮實基礎之上。國際货币基金組織（IMF）在其二零二一年《外匯部門報告》中再次指出，聯繫匯率制度的可信度得到了透明規則、充足的財政及外匯儲備、強大金融監管與監督、靈活經濟結構及謹慎財政架構的保障。	['international financial centre', 'financial stability']	{'international financial centre': '▔', 'financial stability': '▔'}	['▔', '▔']
6	"{'covid - 19': '新冠病毒', 'covid - 19 pandemic': '新冠病毒疫情', ""hong kong 's financial system"": '香港金融體系', 'lers': '聯匯制度', 'linked exchange rate system': '聯繫匯率制度', 'us monetary tightening': '美國收緊貨幣政策', 'exchange and money market': '外匯及貨幣市場', 'financial system': '金融體系', 'money market': '貨幣市場', 'pandemic': '疫情'}"	Since its establishment in 1983, the Linked Exchange Rate System (LERS) has been a strong anchor of Hong Kong’s financial system and has helped Hong Kong withstand numerous shocks and challenges.  Despite the lingering uncertainties surrounding the COVID-19 pandemic and market concerns about the pace of US monetary tightening, the Hong Kong dollar exchange and money markets continued to function in an orderly manner throughout the year, reflecting the robustness of the LERS.	"<Monetary and financial stability: foundation of an international financial centre>
自一九八三年成立以來，聯繫匯率制度（LERS）一直為香港金融體系提供強勁支撐，幫助香港歷經眾多衝擊與挑戰。儘管新型冠狀病毒疫情造成的不確定性仍然存在，以及市場對於美國貨幣緊縮步伐的擔憂，香港元兌換及貨幣市場在全年均能有序運作，反映出聯繫匯率制度的穩健性。"	"['covid - 19', 'covid - 19 pandemic', ""hong kong 's financial system"", 'lers', 'linked exchange rate system', 'us monetary tightening', 'exchange and money market', 'financial system', 'money market', 'pandemic']"	"{'covid - 19': '冠狀', 'covid - 19 pandemic': '冠狀 疫情', ""hong kong 's financial system"": '香港金融體系', 'lers': '▔', 'linked exchange rate system': '聯繫匯率制度', 'us monetary tightening': '美國貨幣緊縮', 'exchange and money market': '兌換及貨幣市場', 'financial system': '金融體系', 'money market': '貨幣市場', 'pandemic': '疫情'}"	['冠狀', '冠狀 疫情', '香港金融體系', '▔', '聯繫匯率制度', '美國貨幣緊縮', '兌換及貨幣市場', '金融體系', '貨幣市場', '疫情']
7	{'external sector report': '對外部門報告', 'international monetary fund': '國際貨幣基金組織', 'lers': '聯匯制度', 'fiscal and foreign reserve': '財政及外匯儲備', 'fiscal framework': '財政制度', 'prudent fiscal framework': '審慎的財政架構'}	This confidence in our systems did not happen overnight, but is based on the solid foundation which has been built up over the years.  In its 2021 External Sector Report, the International Monetary Fund once again reiterated that the credibility of the LERS has been assured by a transparent set of rules, ample fiscal and foreign reserves, strong financial regulation and supervision, a flexible economy, and a prudent fiscal framework.	這種對本港體系的信心非一朝一夕之功，而是建立在多年來奠定的紮實基礎之上。國際货币基金組織（IMF）在其二零二一年《外匯部門報告》中再次指出，聯繫匯率制度的可信度得到了透明規則、充足的財政及外匯儲備、強大金融監管與監督、靈活經濟結構及謹慎財政架構的保障。	['external sector report', 'international monetary fund', 'lers', 'fiscal and foreign reserve', 'fiscal framework', 'prudent fiscal framework']	{'external sector report': '外匯部門報告', 'international monetary fund': '▔', 'lers': '▔', 'fiscal and foreign reserve': '財政及外匯儲備', 'fiscal framework': '財政架構', 'prudent fiscal framework': '謹慎財政架構'}	['外匯部門報告', '▔', '▔', '財政及外匯儲備', '財政架構', '謹慎財政架構']
8	{'comprehensive analysis': '全面的監察及分析', 'datum analytics': '數據分析', 'financial stability': '金融穩定', 'macroprudential surveillance': '宏觀審慎監察', 'public and market engagement': '公眾及市場溝通', 'surveillance': '監察', 'technology and datum analytics': '科技及數據分析技術'}	The confidence is also a result of our efforts in public and market engagement, as well as effective surveillance.  On the latter, we have leveraged technology and data analytics to strengthen our capability for more timely and comprehensive analysis on financial stability and macroprudential surveillance.	信心亦源於我們在公眾與市場參與方面的努力，以及有效的監測工作。在後者方面，我們利用科技和數據分析加強能力，進行更具即時性和全面性的金融穩定與宏观审慎監測分析。	['comprehensive analysis', 'datum analytics', 'financial stability', 'macroprudential surveillance', 'public and market engagement', 'surveillance', 'technology and datum analytics']	{'comprehensive analysis': '▔', 'datum analytics': '數據分析', 'financial stability': '金融穩定', 'macroprudential surveillance': '▔', 'public and market engagement': '公眾 與 市場 參 與', 'surveillance': '監測', 'technology and datum analytics': '科技和數據分析'}	['▔', '數據分析', '金融穩定', '▔', '公眾 與 市場 參 與', '監測', '科技和數據分析']
9	{'asset quality': '資產質素', 'covid - 19': '新冠病毒', 'covid - 19 pandemic': '新冠病毒疫情', 'capital adequacy': '資本充足水平', 'liquidity coverage ratio': '流動性覆蓋比率', 'banking system': '銀行體系', 'capital adequacy ratio': '資本充足比率', 'classify loan ratio': '特定分類貸款比率', 'credit landscape': '信貸環境', 'financial stability': '金融穩定', 'international standard': '國際標準', 'liquidity position': '流動性水平', 'long - run historical average': '長期平均水平', 'pandemic': '疫情', 'statutory minimum requirement': '法定最低要求'}	The robustness of the banking system is of paramount importance to financial stability in Hong Kong.  Two years into the COVID-19 pandemic, our banks remained resilient with liquidity positions and capitalisation faring very well by international standards.  As at end-2021, the capital adequacy ratio of local banks stood at 20.2%, well above the minimum requirement of 8%, while the average Liquidity Coverage Ratio of large banks was 151.9% in the fourth quarter of 2021, also well above the statutory minimum requirement of 100%.  Despite a challenging credit landscape amid the pandemic, the asset quality of the banking sector remained largely stable during the year. The classified loan ratio of the industry was 0.88% at the end of 2021, down from 0.90% at the end of 2020, well below the long-run historical average of 1.8% since 2000.	銀行體系的穩健性對香港的金融穩定至關重要。疫情爆發兩年後，本港銀行依然具備強大的流動性及資本水平，達到國際標準。截至二零二一年底，本地銀行的資本充足率達百分之二十點二，遠高於最低要求的百分之八；而大型銀行在二零二一年第四季的平均流動性覆蓋比率為百分之一百五十一點九，同樣遠超法定最低要求的百分之百。儘管疫情期間信貸環境艱難，銀行業的資產質量在該年度基本保持穩定。截至二零二一年底，行業分類貸款比率為百分之零點八八，較二零二零年底的百分之零點九零有所下降，遠低於自二零零零年以來的長期歷史平均水平百分之一點八。	['asset quality', 'covid - 19', 'covid - 19 pandemic', 'capital adequacy', 'liquidity coverage ratio', 'banking system', 'capital adequacy ratio', 'classify loan ratio', 'credit landscape', 'financial stability', 'international standard', 'liquidity position', 'long - run historical average', 'pandemic', 'statutory minimum requirement']	{'asset quality': '資產質量', 'covid - 19': '疫情爆發', 'covid - 19 pandemic': '疫情爆發', 'capital adequacy': '資本充足率', 'liquidity coverage ratio': '流動性覆蓋比率', 'banking system': '銀行體系', 'capital adequacy ratio': '資本充足率', 'classify loan ratio': '分類貸款比率', 'credit landscape': '信貸環境', 'financial stability': '金融穩定', 'international standard': '國際標準', 'liquidity position': '流動性', 'long - run historical average': '期 歷史 平均水平', 'pandemic': '疫情', 'statutory minimum requirement': '法定最低要求'}	['資產質量', '疫情爆發', '疫情爆發', '資本充足率', '流動性覆蓋比率', '銀行體系', '資本充足率', '分類貸款比率', '信貸環境', '金融穩定', '國際標準', '流動性', '期 歷史 平均水平', '疫情', '法定最低要求']
