	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Space kann aus dem Farbcode in der linken oberen Ecke ersehen werden.	['space']	{'space': 'Space'}	['space']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag umfasst eine Gesamtanzahl verfügebarer Kapazitäts-Einheiten pro Monat, die Sie nach Belieben auf die Compute- und Speicher-Ressourcen zuweisen können.	['storage']	{'storage': 'Speicher-Ressourcen'}	['speicher']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	Teile den URL-Link mit anderen Benutzern mit den richtigen Bearbeitungsrechten	['share']	{'share': 'Teile'}	['teil']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Einmal entfernt man die Einschränkung für die Nachfolgeoperation, kann die Operation automatisch umgeplant werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange du den Mieter nicht konfiguriert hast, kannst du nur Verwaltungsfunktionen von SAP Data Warehouse Cloud verwenden (aber du kannst keine Räume in der Space Management-Seite erstellen).	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Zuständigkeitsbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Zuständigkeitsbereich'}	['zuständigkeitsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für Oracle Trigger-basierte Replication in der SAP HANA Smart Data Integration und SAP HANA Smart Data Quality Installation und Konfigurationsanleitung	['trigger']	{'trigger': 'Trigger-basierte'}	['trigger']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integrieren Sie ein Konto mit Ihrem Raum, um Verbindungen für Konnektor-Instanzen zu erstellen und die Verbindungen für Datenflüsse zu verwenden.	['connector']	{'connector': 'Konnektor-Instanzen'}	['konnektor']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsausgleichsgruppe ist ein Attribut mit dem Sie Ihre Kreditoren und Debitorien in Gruppen einordnen können.	['customer', 'supplier']	{'customer': '▔', 'supplier': 'Kreditoren'}	['▔ertrat<sos>', 'kreditor']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Wählen Sie das entsprechende Kontrollkästchen für bedarfsorientierte MRP-Komponenten und/oder oberste Materialien.	['demand-driven']	{'demand-driven': 'bedarfsorientierte'}	['bedarfsorientieren']
