	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	панель	панель	▁79
1	контракт	контракт	контракт	контракт	контракт	договор
2	тип	тип	тип	тип	тип	тип
3	приход	приход	приход	приход	приход	▁103
4	обновление	обновление	обновление	обновление	обновление	обновление
5	диапазон	диапазон	диапазон	диапазон	диапазон	▁93
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	очищение	очищение	очищение	очищение	очищение	▁23
9	тип	тип	тип	тип	тип	тип
10	входный	входный	входный	ввод	входный	ввод
11	тип	тип	тип	тип	тип	тип
12	тип	тип	тип	тип	тип	тип
13	цель	цель	цель	цель	цель	цель
14	тип	тип	тип	тип	тип	тип
15	тип	тип	тип	тип	тип	тип
16	публичный	публичный	публичный	публичный	публичный	▁91
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	ввод	входный	ввод	ввод	ввод	ввод
19	тип	тип	тип	тип	тип	тип
20	отложить	отложить	отложить	отложить	отложить	▁86
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	регулирование	регулирование	регулирование	регулирование	регулирование	▁96
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	вход	входный	вход	ввод	вход	ввод
25	выход	выход	выход	выход	выход	▁78
26	смётка	смётка	смётка	биллинга	смётка	▁20
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁51
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁16
29	группа	группа	группа	группа	группа	группа
30	тип	тип	тип	тип	тип	тип
31	договорный	контракт	договорный	контракт	договорный	договор
32	охват	охват	охват	диапазон	охват	▁109
33	доставка-он	доставка-он	доставка-он	доставка-он	доставка-он	▁8
34	картография	картография	картография	карта	картография	▁70
35	резюме	резюме	резюме	резюме	резюме	резюме
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁55
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	график	график	график	график	график	расписание
41	ввод	входный	ввод	ввод	ввод	ввод
42	вводный лист сервис	вводный лист сервис	вводный лист сервис	вводный лист сервис	вводный лист сервис	▁111
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
45	диапазон	диапазон	диапазон	диапазон	диапазон	▁93
46	входный	входный	входный	ввод	входный	ввод
47	тип	тип	тип	тип	тип	тип
48	график	график	график	график	график	расписание
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁40
50	период проживание	период проживание	период проживание	период проживание	период проживание	▁99
51	суспензия	суспензия	суспензия	суспензия	суспензия	▁119
52	тип	тип	тип	тип	тип	▁90
53	волшебник	волшебник	волшебник	волшебник	волшебник	▁135
54	поток	поток	поток	поток	поток	поток
55	маппинг	картография	маппинг	карта	маппинг	▁70
56	▔	▁1	▔	▁1	▔	▁47
57	маркировка	маркировка	маркировка	маркировка	маркировка	▁120
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	обычный поле	обычный поле	обычный поле	обычный поле	обычный поле	▁39
61	панель	панель	панель	панель	панель	▁79
62	период проживание	период проживание	период проживание	период проживание	период проживание	▁99
63	часть	часть	часть	часть	часть	▁80
64	диапазон	диапазон	диапазон	диапазон	диапазон	▁93
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	▔	▁0	▔	▁0	▔	▁19
67	копирование	копирование	копирование	копировать	копирование	▁38
68	актуалы	актуалы	актуалы	актуалы	актуалы	▁5
69	тип	тип	тип	тип	тип	тип
70	использовать	использовать	использовать	использовать	использовать	▁129
71	тип	тип	тип	тип	тип	тип
72	график	график	график	график	график	расписание
73	▔	тип	▔	тип	▔	тип
74	производственный	выход	производственный	выход	производственный	▁78
75	входной	входный	входной	ввод	входной	ввод
76	тип	тип	тип	тип	тип	тип
77	выделение	выделение	выделение	распределение	выделение	распределение
78	договор	контракт	договор	контракт	договор	договор
79	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
80	ориентировать на спрос	ориентировать на спрос	ориентировать на спрос	ориентировать на спрос	ориентировать на спрос	▁41
81	ввод	входный	ввод	ввод	ввод	ввод
82	▔	▁2	▔	▁2	▔	▁65
83	среда	пространство	среда	пространство	среда	пространство
84	актуалы	актуалы	актуалы	актуалы	актуалы	▁5
85	период проживание	период проживание	период проживание	период проживание	период проживание	▁99
86	контрактный	контракт	контрактный	контракт	контрактный	договор
87	ассамблея	ассамблея	ассамблея	ассамблея	ассамблея	▁14
88	копировать	копирование	копировать	копировать	копировать	▁38
