	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Spaces kann am Farbcode im oberen linken Bereich abgelesen werden.	['space']	{'space': 'Spaces'}	['space']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Sie verfügen über eine feste Anzahl von verfügbaren Kapazitätseinheiten pro Monat, die Sie je nach Bedarf für Compute und Speicher einsetzen können.	['storage']	{'storage': 'Speicher'}	['speicher']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	Teilen Sie den URL-Link mit anderen Benutzern, die über die richtigen Bearbeitungsberechtigungen verfügen.	['share']	{'share': 'Teilen'}	['teil|teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Nachdem Sie die Einschränkung für die nachfolgende Operation entfernt haben, kann die Operation automatisch neu geplant werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie den Mandant noch nicht konfiguriert haben, können Sie nur die Verwaltungsfunktionen von SAP Data Warehouse Cloud verwenden (es ist nicht möglich, auf der Seite Space Management (Speicherverwaltung) neue Speicher zu erstellen).	['create']	{'create': '▔'}	['▔ertrat<sos>']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Zuständigkeitsbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Zuständigkeitsbereich'}	['zuständigkeitsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Benötigte Berechtigungen für die Replikation auf Basis von Oracle-Auslösern in der Anleitung zur Installation und Konfiguration von SAP HANA Smart Data Integration and SAP HANA Smart Data Quality	['trigger']	{'trigger': 'Auslöser'}	['auslöser']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Sie können ein Konto zu Ihrer Umgebung hinzufügen, damit Sie Verbindungen für Konnektor-Instanzen erstellen und die Verbindungen für Datenflüsse nutzen können.	['connector']	{'connector': 'Konnektor-Instanzen'}	['konnektor']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsverrechnungsgruppe ist ein Attribut, mit dem Sie Ihre Kreditoren und Debitoren in Gruppen ordnen können.	['customer', 'supplier']	{'customer': 'Debitoren', 'supplier': 'Kreditoren'}	['debitor', 'kreditor']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Für bedarfsorientiert beschaffbare Komponenten und/oder Top-Level-Waren setzen Sie das entsprechende Kontrollkästchen.	['demand-driven']	{'demand-driven': 'bedarfsorientiert'}	['bedarfsorientieren']
