	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'container': 'container'}	Why would you need to access HDI containers?	¿Por qué necesitaría acceder a los contenedores HDI?	['container']	{'container': 'contenedores'}	['contenedor']
1	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	Decide if you want to use parallel processing for this job:	Decida si quiere usar el procesamiento paralelo para este trabajo:	['parallel processing', 'job']	{'parallel processing': 'procesamiento paralelo', 'job': 'trabajo'}	['procesamiento paralelo', 'trabajo']
2	{'report': 'report'}	Displays in the list report billing elements with or without planned prepayments.	Muestra en el informe de lista elementos de facturación con o sin pagos previos planificados.	['report']	{'report': 'informe'}	['informe']
3	{'average': 'media'}	The KPI shows the average age in days of assets under construction, and individual items are listed below.	El indicador muestra la edad media en días de activos en construcción, y los elementos individuales se enumeran a continuación.	['average']	{'average': 'media'}	['medio']
4	{'item': 'elemento'}	Once exported, an item stays in the software collection for its entire lifecycle.	Una vez exportada, una posición permanece en la colección del software durante todo su ciclo de vida.	['item']	{'item': 'posición'}	['posición']
5	{'explosion': 'desglose'}	If it's an assembly, the explosion continues to the lowest level.	Si es un conjunto, la explosión continúa hasta el nivel inferior.	['explosion']	{'explosion': 'explosión'}	['explosión']
6	{'add': 'agregar'}	Add a New OAuth Client (Non-SAP Data Center)	Agregar un cliente OAuth nuevo (no centro de datos de SAP)	['add']	{'add': 'Agregar'}	['agregar']
7	{'range': 'intervalo'}	Each compute block provides a certain number of vCPUs and a range of 60 to 64 GB of RAM, depending on the hyperscaler.	Cada bloque de cálculo proporciona un cierto número de vCPU y un rango de 60 a 64 GB de RAM, según el hiperscalador.	['range']	{'range': 'rango'}	['rango']
8	{'source': 'fuente'}	Source systems connected to an SAP LT Replication Server are supported down to:	Los sistemas fuente conectados a un servidor de reproducción SAP LT están soportados hasta:	['source']	{'source': 'fuente'}	['fuente']
9	{'template': 'modelo'}	After you create a new template, you will be directed to the template page, to add text blocks to the template.	Después de crear un nuevo modelo, se dirigirá a la página del modelo, para agregar bloques de texto al modelo.	['template']	{'template': 'modelo'}	['modelo']
10	{'source': 'fuente'}	Data is accessed directly from the source (federation) and read from the virtual table.	Los datos se acceden directamente desde la fuente (federación) y se leen de la tabla virtual.	['source']	{'source': 'fuente'}	['fuente']
11	{'edit': 'editar'}	Edit Default Waste Generator	Editar Generador de residuos por defecto	['edit']	{'edit': '▔'}	['▔']
12	{'reset': 'restablecer'}	Resets the filters.	Restablece los filtros.	['reset']	{'reset': 'filtros'}	['filtro']
13	{'add': 'añadir'}	You can copy existing items or item sets to add new ones to the sourcing project.	Puede copiar elementos existentes o conjuntos de elementos para añadir nuevos a un proyecto de licitación.	['add']	{'add': 'añadir'}	['añadir']
14	{'incident': 'incidencia'}	Access of this category is not based on individual support cases or incidents.	El acceso de esta categoría no se basa en casos individuales de soporte o incidentes.	['incident']	{'incident': 'incidentes'}	['incidente']
15	{'template': 'modelo'}	Use the dropdown list in the upper left corner of the dialog box to select the search template you want to use.	Utilice la lista desplegable en la esquina superior izquierda de la ventana para seleccionar el modelo de búsqueda que desea utilizar.	['template']	{'template': 'modelo'}	['modelo']
16	{'save': 'guardar'}	To save and deploy your ER model to SAP HANA, choose Deploy.	Para guardar y desplegar su modelo E/R en SAP HANA, seleccione Desplegar.	['save']	{'save': 'guardar'}	['guardar']
17	{'write off': 'ignorar', 'tab': 'pestaña'}	Confirm the write-off action and verify that the selected items have moved from the To Be Billed tab to the To Be Written Off tab.	Confirme la acción de anulación y compruebe que los elementos seleccionados han pasado de la pestaña Para facturar a la pestaña Para anular.	['write off', 'tab']	{'write off': 'anular', 'tab': 'pestaña'}	['anular', 'pestaña']
18	{'partner': 'socio', 'rule': 'regla'}	You create an installment plan, if there are one or more open items in the contract account of a business partner and the business partner cannot fulfill the payment obligation within the scope of the usual payment rules.	Crea un plan de pago, si hay uno o más elementos abiertos en la cuenta contrato de un socio comercial y el socio comercial no puede cumplir con la obligación de pago dentro del ámbito de las reglas habituales de pago.	['partner', 'rule']	{'partner': 'socio', 'rule': 'reglas'}	['socio', 'regla']
19	{'reset': 'restablecer'}	Defines when the valuation takes place and whether it is reset.	Define cuándo tiene lugar la valoración y si se reinicia.	['reset']	{'reset': 'reinicia'}	['reinicia']
20	{'category': 'tipo'}	Choose Service Part Items as the item category from the Show dropdown list.	Seleccione Artículos de piezas de servicio como la categoría de artículos desde la lista desplegable Mostrar.	['category']	{'category': 'categoría'}	['categoría']
21	{'schedule': 'programación'}	To filter for order operations that are included in a specific schedule, add the Included in Schedule filter to the filter bar.	Para filtrar por operaciones de orden incluidas en una programación específica, agregue el filtro Incluido en Programación a la barra de filtros.	['schedule']	{'schedule': 'programación'}	['programación']
22	{'edit': 'editar'}	You can only edit headers for Inactive units.	Sólo puede editar encabezados para unidades Inactivas.	['edit']	{'edit': 'encabezados'}	['encabezado']
23	{'completed': 'concluido'}	This overview contains all repair objects that have not been completed yet.	Esta descripción contiene todos los objetos de reparación que aún no se han completado.	['completed']	{'completed': 'completado'}	['completar']
24	{'pause': 'interrumpir'}	Pause real-time replication to enable editing connection properties.	Detenga la replicación en tiempo real para poder editar las propiedades de la conexión.	['pause']	{'pause': 'Detenga'}	['detenga']
25	{'use': 'utilizar'}	Save your business entity to make it available for use in fact models and consumption models.	Guarde su entidad empresarial para poder utilizarla en los modelos de hechos y los modelos de consumo.	['use']	{'use': '▔'}	['▔']
