	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	панель	панель	▁78
1	контракт	контракт	контракт	контракт	контракт	договор
2	тип	тип	тип	тип	тип	тип
3	приход	приход	приход	приход	приход	▁102
4	обновление	обновление	обновление	обновление	обновление	обновление
5	диапазон	диапазон	диапазон	диапазон	диапазон	▁92
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	непосредственно	непосредственно	непосредственно	непосредственно	непосредственно	▁22
9	тип	тип	тип	тип	тип	тип
10	входный	входный	входный	ввод	входный	ввод
11	тип	тип	тип	тип	тип	тип
12	тип	тип	тип	тип	тип	тип
13	цель	цель	цель	цель	цель	цель
14	тип	тип	тип	тип	тип	тип
15	тип	тип	тип	тип	тип	тип
16	публичный	публичный	публичный	публичный	публичный	▁90
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	ввод	входный	ввод	ввод	ввод	ввод
19	тип	тип	тип	тип	тип	тип
20	отложить	отложить	отложить	отложить	отложить	▁85
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	регулирование	регулирование	регулирование	регулирование	регулирование	▁95
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	вход	входный	вход	ввод	вход	ввод
25	выход	выход	выход	выход	выход	▁77
26	смётка	смётка	смётка	биллинга	смётка	▁19
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁50
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁16
29	группа	группа	группа	группа	группа	группа
30	тип	тип	тип	тип	тип	тип
31	договорный	контракт	договорный	контракт	договорный	договор
32	охват	охват	охват	диапазон	охват	▁108
33	доставка-он	доставка-он	доставка-он	доставка-он	доставка-он	▁8
34	картография	картография	картография	карта	картография	▁69
35	резюме	резюме	резюме	резюме	резюме	резюме
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁54
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	график	график	график	график	график	расписание
41	ввод	входный	ввод	ввод	ввод	ввод
42	вводный лист сервис	вводный лист сервис	вводный лист сервис	вводный лист сервис	вводный лист сервис	▁110
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
45	диапазон	диапазон	диапазон	диапазон	диапазон	▁92
46	входный	входный	входный	ввод	входный	ввод
47	тип	тип	тип	тип	тип	тип
48	график	график	график	график	график	расписание
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁39
50	период проживание	период проживание	период проживание	период проживание	период проживание	▁98
51	суспензия	суспензия	суспензия	суспензия	суспензия	▁118
52	тип	тип	тип	тип	тип	▁89
53	волшебник	волшебник	волшебник	волшебник	волшебник	▁134
54	поток	поток	поток	поток	поток	поток
55	маппинг	картография	маппинг	карта	маппинг	▁69
56	дата действие	дата действие	дата действие	дата действие	дата действие	▁46
57	маркировка	маркировка	маркировка	маркировка	маркировка	▁119
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	обычный поле	обычный поле	обычный поле	обычный поле	обычный поле	▁38
