	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Space ist anhand des Farbcode in der oberen linken Ecke ersichtlich.	['space']	{'space': 'Space'}	['space']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag umfasst eine Gesamtanzahl verfügbarer Kapazitätseinheiten pro Monat, die Sie nach Belieben auf die Compute- und Speicher-Ressourcen verteilen können.	['storage']	{'storage': 'Speicher-Ressourcen'}	['speicher']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	Die URL-Link an andere Nutzer mit den entsprechenden Bearbeitungsrechten teilen.	['share']	{'share': 'teilen'}	['teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie die Einschränkung für die Nachfolgeoperation aufheben, kann die Operation automatisch neu geplant werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange der Mandant noch nicht konfiguriert wurde, können Sie ausschließlich die Administrationsfunktionen von SAP Data Warehouse Cloud nutzen (Sie können jedoch keine Spaces auf der Seite Space Management erstellen).	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Zuständigkeitsbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Zuständigkeitsbereich'}	['zuständigkeitsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für die Oracle-Auslöser-basierte Replikation im SAP HANA Smart Data Integration und SAP HANA Smart Data Quality Installations- und Konfigurationshandbuch	['trigger']	{'trigger': 'Auslöser'}	['auslöser']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integrieren Sie ein Konto in Ihren Space, um Verbindungen für Konnektor-Instanzen erstellen und die Verbindungen für Datenflüsse nutzen zu können.	['connector']	{'connector': 'Konnektor-Instanzen'}	['konnektor']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsausgleichsgruppe ist ein Attribut, mit dem Sie Ihre Kreditoren und Debitoren in Gruppen kategorisieren können.	['customer', 'supplier']	{'customer': 'Debitoren', 'supplier': 'Kreditoren'}	['debitor', 'kreditor']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Wählen Sie das entsprechende Kontrollkästchen für bedarfsorientierte MRP-Komponenten und/oder Top-Level-Materialien aus.	['demand-driven']	{'demand-driven': 'bedarfsorientierte'}	['bedarfsorientieren']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	"Klicken Sie auf ""Lizenz erstellen"", um eine Lizenz für eines oder mehrere Ihrer Datenprodukte zu erstellen und Aktivierungsschlüssel zu generieren, die Sie mit Verbrauchern teilen können, damit diese den lizenzierten Umfang der Datenprodukte nutzen können."	['create']	{'create': 'erstellen'}	['erstellen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	"Verwalten Sie Ihre Union im Bereich ""Zuordnungen"" des zugehörigen Seitenbereichs:"	['side panel']	{'side panel': 'Seitenbereichs'}	['seitenbereich']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Die Leistung der Modellversion wird anhand von zwei Hauptindikatoren bewertet.	['indicator']	{'indicator': 'Hauptindikatoren'}	['hauptindikator']
13	{'query': 'Abfrage'}	The database then has to decide which job or query has to be dealt with first.	Die Datenbank muss dann entscheiden, welcher Job oder welche Abfrage zuerst bearbeitet werden soll.	['query']	{'query': 'Abfrage'}	['abfrage']
14	{'provider': 'Provider'}	Address, e-mail, phone number, etc of the provider	Adresse, E-Mail, Telefonnummer usw. des Providers	['provider']	{'provider': 'Providers'}	['provider']
15	{'space': 'Space'}	The name should be unique within a space.	Der Name sollte innerhalb eines Space eindeutig sein.	['space']	{'space': 'Space'}	['space']
16	{'intercompany': 'buchungskreisübergreifend'}	Display the IDs of intercompany customer invoices, customer invoices, and intercompany supplier invoices	Zeigen Sie die IDs der buchungskreisübergreifenden Kundenrechnungen, der Kundenrechnungen und der buchungskreisübergreifenden Lieferantenrechnungen an.	['intercompany']	{'intercompany': 'buchungskreisübergreifenden'}	['buchungskreisübergreifen']
17	{'history': 'Verlauf', 'release': 'Release'}	To lock a specific release of a data product, open the release history of the selected product, select the release you want to lock and select the checkbox Locked.	"Um einen bestimmten Release eines Datenprodukts zu sperren, öffnen Sie den Release-Verlauf des ausgewählten Produkts, wählen Sie den Release aus, den Sie sperren möchten, und aktivieren Sie das Kontrollkästchen ""Gesperrt""."	['history', 'release']	{'history': 'Verlauf', 'release': 'Release'}	['verlauf', 'release']
18	{'data provider': 'Datenprovider'}	This varies depending on how the data provider offers their products.	Dies variiert je nachdem, wie der Datenprovider seine Produkte anbietet.	['data provider']	{'data provider': 'Datenprovider'}	['datenprovider']
19	{'access control': 'Zugriffskontrolle'}	Create a data access control to filter data in views and business layer objects by one or more criteria.	Erstellen Sie eine Datenzugriffskontrolle, um Daten in Ansichten und Geschäftsobjekten anhand eines oder mehrerer Kriterien zu filtern.	['access control']	{'access control': 'Datenzugriffskontrolle'}	['datenzugriffskontrollen']
20	{'data provider': 'Datenprovider'}	Retrieve your favorite data providers and data products.	Rufen Sie Ihre bevorzugten Datenprovider und Datenprodukte ab.	['data provider']	{'data provider': 'Datenprovider'}	['datenprovider']
21	{'section': 'Bereich'}	Choose Fuzzy Match to display the Match Thresholds section.	Wählen Sie Fuzzy Match, um den Bereich Match Thresholds anzuzeigen.	['section']	{'section': 'Bereich'}	['bereich']
22	{'provider': 'Provider'}	You can see which products were last released by the provider.	Sie können sehen, welche Produkte zuletzt vom Provider veröffentlicht wurden.	['provider']	{'provider': 'Provider'}	['provider']
