	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁27
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	tarea	tarea	tarea	tarea	tarea	tarea
3	lista	lista	lista	informe	lista	informe
4	promedio	promedio	promedio	promedio	promedio	▁9
5	elemento	elemento	elemento	elemento	elemento	artículo
6	explosión	explosión	explosión	explosión	explosión	▁43
7	agregar	agregar	agregar	agregar	agregar	agregar
8	oscilar	oscilar	oscilar	dentro	oscilar	▁73
9	fuente	fuente	fuente	fuente	fuente	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	fuente	fuente	fuente	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablece	restablece	restablece	restablecer	restablece	restablecer
14	agregar	agregar	agregar	agregar	agregar	agregar
15	incidencia	incidencia	incidencia	incidente	incidencia	incidencia
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	amortización	amortización	amortización	amortización	amortización	▁104
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	norma	norma	norma	norma	norma	▁80
22	reajustada	restablece	reajustada	restablecer	reajustada	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁20
24	plan	plan	plan	calendario	plan	programación
25	editar	editar	editar	editar	editar	editar
26	finalización	finalización	finalización	alcanzar	finalización	▁25
27	pausa	pausa	pausa	detener	pausa	detener
28	usar	usar	usar	utilizar	usar	utilizar
29	calendario	plan	calendario	calendario	calendario	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	plazo	plan	plazo	calendario	plazo	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁29
34	dentro	oscilar	dentro	dentro	dentro	▁73
35	entrega	entrega	entrega	entrega	entrega	entrega
36	proceso	proceso	proceso	proceso	proceso	▁66
37	actualización	actualización	actualización	actualización	actualización	▁102
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
40	internet	internet	internet	internet	internet	▁70
41	programado	plan	programado	calendario	programado	programación
42	guardar	guardar	guardar	guardar	guardar	guardar
43	incumplidora	incumplidora	incumplidora	predeterminado	incumplidora	▁34
44	restablecer	restablece	restablecer	restablecer	restablecer	restablecer
45	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	▁77
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
48	procesar	procesar	procesar	procesar	procesar	procesar
49	tarea	tarea	tarea	tarea	tarea	tarea
50	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	finalización	completado	alcanzar	completado	▁25
53	informe	informe	informe	informe	informe	informe
54	nuevo versión	nuevo versión	nuevo versión	ficho	nuevo versión	▁83
55	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	▁84
56	programado	plan	programado	calendario	programado	programación
57	tarea	tarea	tarea	tarea	tarea	tarea
58	cliente	cliente	cliente	cliente	cliente	▁29
59	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
60	sustitución	sustitución	sustitución	sustitución	sustitución	▁91
61	revisión	revisión	revisión	revisión	revisión	revisión
62	función	función	función	funcionalidad	función	▁45
63	cliente	cliente	cliente	cliente	cliente	▁29
64	fuente	fuente	fuente	fuente	fuente	▁19
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloqueado	bloqueado	bloqueado	bloqueado	bloqueado	▁86
68	cambio	cambio	cambio	cambio	cambio	modificación
69	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
70	agregar	agregar	agregar	agregar	agregar	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁4
72	socio	socio	socio	socio	socio	socio
73	cancelable	incumplidora	cancelable	predeterminado	cancelable	▁34
74	dar bajo	amortización	dar bajo	amortización	dar bajo	▁104
75	medida	medida	medida	medida	medida	medida
76	transacción	transacción	transacción	transacción	transacción	▁99
77	cliente	cliente	cliente	cliente	cliente	▁29
78	record	record	record	record	record	▁75
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁52
80	ejecución	ejecución	ejecución	ejecución	ejecución	▁61
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de tarea	lista de trabajo	lista de trabajo
82	tipo	tipo	tipo	tipo	tipo	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
84	programa	plan	programa	calendario	programa	programación
85	asset master worklist	lista de trabajo	asset master worklist	lista de tarea	asset master worklist	lista de trabajo
86	agregue	agregar	agregue	agregar	agregue	agregar
87	asignación	asignación	asignación	asignación	asignación	▁7
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	▁7
90	socio	socio	socio	socio	socio	socio
91	incidente	incidencia	incidente	incidente	incidente	incidencia
92	consumo	consumo	consumo	consumo	consumo	▁26
93	asignación	asignación	asignación	asignación	asignación	▁7
94	conjunto	conjunto	conjunto	conjunto	conjunto	conjunto
95	información	información	información	información	información	▁53
96	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
97	clasificación	clasificación	clasificación	clasificación	clasificación	▁89
98	trabajo	tarea	trabajo	tarea	trabajo	tarea
99	cliente	cliente	cliente	cliente	cliente	cliente
100	lista	lista	lista	informe	lista	informe
101	tarea	tarea	tarea	tarea	tarea	tarea
102	▔	▁5	▔	▁4	▔	▁101
103	industria	tipo	industria	tipo	industria	tipo
104	socio	socio	socio	socio	socio	socio
105	defecto	incumplidora	defecto	predeterminado	defecto	▁34
106	utilizar	usar	utilizar	utilizar	utilizar	utilizar
107	cuota	cuota	cuota	cuota	cuota	▁46
108	confirmación servicio	confirmación servicio	confirmación servicio	confirmación de servicio	confirmación servicio	confirmación de servicio
109	asignación	asignación	asignación	asignación	asignación	▁7
110	cliente	cliente	cliente	cliente	cliente	▁29
111	elemento	elemento	elemento	elemento	elemento	artículo
112	incidente	incidencia	incidente	incidente	incidente	incidencia
113	▔	socio	▔	socio	▔	socio
114	tipo de producto	tipo de producto	tipo de producto	tipo de producto	tipo de producto	▁67
115	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
116	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción
117	▔	▁0	▔	factura	▔	▁10
118	problema	problema	problema	emitir	problema	problema
119	resultado	resultado	resultado	resultado	resultado	resultado
120	guardar	guardar	guardar	guardar	guardar	guardar
121	▔	usar	▔	utilizar	▔	utilizar
122	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
123	revisión	revisión	revisión	revisar	revisión	verificar
124	contrato central	contrato central	contrato central	contrato central	contrato central	▁21
125	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
126	entrante	entrante	entrante	entrante	entrante	▁54
127	ámbito	ámbito	ámbito	alcance	ámbito	alcance
128	utilizar	usar	utilizar	utilizar	utilizar	utilizar
129	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
130	asignación	tipo	asignación	tipo	asignación	tipo
131	▔	▁3	▔	▁2	▔	▁87
132	necesidad	necesidad	necesidad	requisito	necesidad	requisito
133	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
134	botón	botón	botón	botón	botón	▁18
135	tiempo	tiempo	tiempo	duración	tiempo	tiempo
136	agenda	plan	agenda	calendario	agenda	programación
137	fuente	fuente	fuente	fuente	fuente	fuente
138	▔	▁6	▔	uso	▔	uso
139	medida	medida	medida	medida	medida	medida
140	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
141	tipo	tipo	tipo	tipo	tipo	tipo
142	medida	medida	medida	medida	medida	medida
143	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
144	progreso	progreso	progreso	completar	progreso	▁24
145	guardar	guardar	guardar	guardar	guardar	guardar
146	nombre comercial	nombre comercial	nombre comercial	nombre comercial	nombre comercial	▁14
147	pago anticipado	pago anticipado	pago anticipado	pago anticipado	pago anticipado	▁65
148	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso
149	agenda	plan	agenda	calendario	agenda	programación
150	requisito	necesidad	requisito	requisito	requisito	requisito
151	medida	medida	medida	medida	medida	medida
152	verificar	revisión	verificar	revisar	verificar	verificar
153	complemento	complemento	complemento	complemento	complemento	▁92
154	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
155	socio	socio	socio	socio	socio	socio
156	servicio	ejecución	servicio	ejecución	servicio	▁61
157	ejecutar	ejecutar	ejecutar	ejecutar	ejecutar	ejecutar
158	añadir	agregar	añadir	agregar	añadir	agregar
159	botón	botón	botón	botón	botón	▁18
160	revisar	revisión	revisar	revisar	revisar	verificar
161	lista de tarea	lista de trabajo	lista de tarea	lista de tarea	lista de tarea	lista de trabajo
162	socio	socio	socio	socio	socio	socio
163	sitio	sitio	sitio	página	sitio	sitio
164	accionado por demanda	accionado por demanda	accionado por demanda	accionado por demanda	accionado por demanda	▁35
165	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso
166	filial sap	filial sap	filial sap	filial sap	filial sap	▁2
167	cuadro	cuadro	cuadro	cuadro	cuadro	▁64
168	socio	socio	socio	socio	socio	socio
169	agregar	agregar	agregar	agregar	agregar	agregar
170	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
171	socio	socio	socio	socio	socio	socio
172	bloquear	bloquear	bloquear	bloquear	bloquear	bloquear
173	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
