	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить примечания, выберите шаблон и откройте панель Заметки на левой стороне экрана.	['pane']	{'pane': 'панель'}	['панель']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер договора, из которого можно выбрать элементы службы.	['contract']	{'contract': 'договора'}	['договор']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Это поле по умолчанию используется в текущей дате, и поле Возврат по дате будет числом дней по умолчанию, определенное в настройке (например, 30 дней для типов электронных документов по умолчанию), после даты передачи.	['type']	{'type': '▔'}	['▔']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	Тем не менее, поведение этого бюджетного параметра по-разному интерпретируется для учетных записей, классифицированных как «Expense» или «Revenue».	['revenue']	{'revenue': 'Revenue'}	['revenue']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Можно выбрать, какие операции (Создать, Обновить и/или Удалить) разрешены для каждого подузла, а также корневого узла, нажав соответствующие коробки.	['update']	{'update': 'Обновить'}	['обновить']
5	{'range': 'интервал'}	Within a time range	В пределах диапазона времени	['range']	{'range': 'диапазона'}	['диапазон']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете забронировать ваши любимые продукты данных или поставщики данных.	['provider']	{'provider': 'поставщики'}	['поставщик']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя поставщика должно быть уникальным.	['provider']	{'provider': 'поставщика'}	['поставщик']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Отделение непосредственно на объектные страницы соответствующих бизнес-объектов.	['branch']	{'branch': 'Отделение'}	['отделение']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Указывает тип элементов, которые необходимо добавить в проект исходного текста.	['type']	{'type': 'тип'}	['тип']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если запись ввода совпадает с несколькими записями поиска с результатом, достигая этого порога, она помещается в категорию «Многократные результаты».	['input']	{'input': 'ввода'}	['ввод']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	Если требуется автоматическое правило повторной обработки, чтобы разместить пункты заявления банка всего за один шаг, выберите 001 (Одноступенчатая публикация) в качестве значения поля Тип процедуры.	['type']	{'type': 'Тип'}	['тип']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от области вашего приложения, это приложение может проверить различные типы исходных документов в вашем предсказуемом процессе учета.	['type']	{'type': '▔'}	['▔']
13	{'purpose': 'цель'}	As a rule, the purpose references the relevant legal basis for the processing of personal data.	Как правило, цель ссылается на соответствующую правовую основу для обработки персональных данных.	['purpose']	{'purpose': 'цель'}	['цель']
14	{'type': 'тип'}	Risk type of this obligation that denotes the risk of the legal document if this obligation is not fulfilled	Тип риска данного обязательства, который денонсирует риск юридического документа, если это обязательство не выполняется	['type']	{'type': 'Тип'}	['тип']
15	{'type': 'тип'}	Enter a meaningful code that will help you to identify the clause type.	Введите значимый код, который поможет вам определить тип причины.	['type']	{'type': 'тип'}	['тип']
16	{'public': 'общедоступный'}	If you're using a network firewall with a proxy, you need to provide the public IPv4 address of your proxy.	Если вы используете сетевой брандмауэр с прокси, вам нужно предоставить общественный IPv4 адрес вашего прокси.	['public']	{'public': 'общественный'}	['общественный']
17	{'provider': 'провайдер'}	Click Toggle Preview Changes again to go back and continue editing your data provider page or save it.	Нажмите кнопку Обзор раздела Изменения, чтобы вернуться и продолжить редактирование страницы поставщика данных или сохранить его.	['provider']	{'provider': 'поставщика'}	['поставщик']
18	{'input': 'ввод'}	Select the Projection operator from the toolbar and drop it in the canvas and then connect a sources or other node to it as input.	Выберите оператор Projection из панели инструментов и переместите его в холст, а затем подключите к нему источник или другой узел в качестве входа.	['input']	{'input': 'входа'}	['вход']
19	{'type': 'тип'}	Depending on the contract type and the pricing model used for the data product, different information can be shown:	В зависимости от типа контракта и модели цен, используемой для продукта данных, можно показать:	['type']	{'type': 'типа'}	['тип']
20	{'postponed': 'отсрочено'}	Unbilled | Postponed | Write Off	Безусловные | отложенные | Написать Выкл	['postponed']	{'postponed': 'отложенные'}	['отложить']
21	{'provider': 'провайдер'}	To edit an existing data provider profile, click .	Чтобы изменить существующий профиль поставщика данных, нажмите кнопку .	['provider']	{'provider': 'поставщика'}	['поставщик']
22	{'regulation': 'предписание'}	If you enter a text and you want to print documents in different languages, select a regulation and navigate to the Classify Dangerous Good - Packaged Product app.	Если вы вводите текст и хотите распечатать документы на разных языках, выберите правило и перейдите в приложение Классификация опасного хорошего - упакованного продукта.	['regulation']	{'regulation': 'правило'}	['правило']
