	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	president	president	president	chief executive	president	chief executive
1	sino trade friction	sino trade friction	sino trade friction	us trade tension	sino trade friction	us trade tension
2	rate hike	rate hike	rate hike	rate hike	rate hike	interest rate hike
3	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical risk	geopolitical tension	▁75
4	annual report	annual report	annual report	annual report	annual report	annual report
5	hang seng index	hang seng index	hang seng index	hang seng index	hang seng index	hang seng index
6	overheated investment sentiment	overheated investment sentiment	overheated investment sentiment	overheated investment sentiment	overheated investment sentiment	▁171
7	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis
8	federal reserve	federal reserve	federal reserve	federal reserve	federal reserve	▁219
9	stock	stock	stock	equity	stock	▁222
10	stock index	stock index	stock index	stock index	stock index	▁223
11	brexit	brexit	brexit	brexit	brexit	brexit
12	brexit negotiation	brexit negotiation	brexit negotiation	brexit negotiation	brexit negotiation	▁225
13	financial market	financial market	financial market	financial market	financial market	financial market
14	interest rate normalization	interest rate normalization	interest rate normalization	normalization rate	interest rate normalization	▁61
15	interest rate hike	rate hike	interest rate hike	rate hike	interest rate hike	interest rate hike
16	▔	▁9	▔	system	▔	▁63
17	international monetary fund	international monetary fund	international monetary fund	international monetary fund	international monetary fund	international monetary fund
18	▔	▁11	▔	fund	▔	▁80
19	basis point	basis point	basis point	basis point	basis point	basis point
20	good lending rate	good lending rate	good lending rate	good lending rate	good lending rate	prime rate
21	hksar government	hksar government	hksar government	hksar government	hksar government	hksar government
22	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis
23	u.s interest rate	u.s interest rate	u.s interest rate	us rate hike	u.s interest rate	▁212
24	u.s interest rate	u.s interest rate	u.s interest rate	u.s interest rate	u.s interest rate	▁213
25	system	system	system	system	system	▁220
26	hkma	hkma	hkma	hkma	hkma	hkma
27	financial system	financial system	financial system	financial system	financial system	financial system
28	hong kong interbank offer rate	hong kong interbank offer rate	hong kong interbank offer rate	hkd interbank rate	hong kong interbank offer rate	▁304
29	g20	g20	g20	g20	g20	g20
30	corporate governance	corporate governance	corporate governance	corporate governance	corporate governance	corporate governance
31	▔	▁6	▔	▁4	▔	▁52
32	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard
33	too big to fail	too big to fail	too big to fail	too big to fail	too big to fail	too big to fail
34	prudential supervision	prudential supervision	prudential supervision	macroprudential measure	prudential supervision	prudential supervision
35	basel committee on banking supervision	basel committee on banking supervision	basel committee on banking supervision	basel committee on banking supervision	basel committee on banking supervision	basel committee on banking supervision
36	statutory minimum	statutory minimum	statutory minimum	statutory minimum	statutory minimum	statutory minimum requirement
37	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio
38	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis
39	regulatory standard	regulatory standard	regulatory standard	regulatory standard	regulatory standard	regulatory standard
40	resolution mechanism	resolution mechanism	resolution mechanism	resolution mechanism	resolution mechanism	▁227
41	resolution office	resolution office	resolution office	disposal mechanism	resolution office	resolution office
42	resolution plan	resolution plan	resolution plan	resolution plan	resolution plan	resolution plan
43	capital adequacy	capital adequacy	capital adequacy	capital adequacy	capital adequacy	capital adequacy
44	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio
45	hkma	hkma	hkma	hkma	hkma	hkma
46	financial market	financial market	financial market	financial market	financial market	financial market
47	▔	▁25	▔	banking	▔	banking sector
48	banking supervision	banking supervision	banking supervision	banking supervision	banking supervision	banking supervision
49	risk management	risk management	risk management	risk management	risk management	risk management
50	non-performing loan ratio	non-performing loan ratio	non-performing loan ratio	non-performing loan ratio	non-performing loan ratio	▁2
51	return shareholder equity	return shareholder equity	return shareholder equity	return shareholder equity	return shareholder equity	▁221
52	asset quality	asset quality	asset quality	asset quality	asset quality	asset quality
53	countercyclical measure	countercyclical measure	countercyclical measure	countercyclical measure	countercyclical measure	countercyclical measure
54	hkma	hkma	hkma	hkma	hkma	hkma
55	banking industry	▁25	banking industry	banking	banking industry	banking sector
56	banking group	banking group	banking group	banking group	banking group	banking group
57	retail banking	retail banking	retail banking	retail banking	retail banking	retail bank
58	corporate culture	corporate culture	corporate culture	corporate culture	corporate culture	corporate culture
59	banking culture	banking culture	banking culture	banking culture	banking culture	▁136
60	reward system	reward system	reward system	reward system	reward system	▁174
61	regulatory requirement	regulatory requirement	regulatory requirement	regulatory requirement	regulatory requirement	regulatory requirement
62	self	self	self	self	self	self
63	assessment and feedback mechanism	assessment and feedback mechanism	assessment and feedback mechanism	assessment and feedback mechanism	assessment and feedback mechanism	assessment and feedback mechanism
64	hkma	hkma	hkma	hkma	hkma	hkma
65	banking conduct department	banking conduct department	banking conduct department	banking conduct department	banking conduct department	banking conduct department
66	banking culture	banking culture	banking culture	bank culture	banking culture	▁272
67	banking culture supervisory measure	banking culture supervisory measure	banking culture supervisory measure	banking culture supervisory measure	banking culture supervisory measure	▁274
68	internet and mobile finance	internet and mobile finance	internet and mobile finance	internet and mobile finance	internet and mobile finance	▁17
69	convenience store	convenience store	convenience store	convenience store	convenience store	convenience store
70	easy cash	easy cash	easy cash	easy cash	easy cash	▁148
71	financial inclusion	financial inclusion	financial inclusion	financial inclusion	financial inclusion	financial inclusion
72	barrier facility	barrier facility	barrier facility	barrier facility	barrier facility	barrier facility
73	internet	internet	internet	cyber	internet	▁208
74	voice navigation atm	voice navigation atm	voice navigation atm	voice navigation atm	voice navigation atm	voice navigation atm
75	hkma	hkma	hkma	hkma	hkma	hkma
76	▔	▁25	▔	banking	▔	banking sector
77	hongkong post	hongkong post	hongkong post	hongkong post	hongkong post	hongkong post
78	smart banking	smart banking	smart banking	smart banking	smart banking	smart banking
79	transaction volume	transaction volume	transaction volume	transaction volume	transaction volume	▁20
80	shared qr code	shared qr code	shared qr code	common qr code	shared qr code	common qr code
81	fast payment system	fast payment system	fast payment system	fast payment system	fast payment system	fast payment system
82	smart banking	smart banking	smart banking	smart banking	smart banking	smart banking
83	smart banking era	smart banking era	smart banking era	smart	smart banking era	▁149
84	tech industry	tech industry	tech industry	tech industry	tech industry	▁195
85	transfer service	transfer service	transfer service	transfer service	transfer service	▁255
86	hkma	hkma	hkma	hkma	hkma	hkma
87	financial technology	financial technology	financial technology	fintech	financial technology	fintech
88	bank and the tech industry	bank and the tech industry	bank and the tech industry	bank and the tech industry	bank and the tech industry	▁270
89	bank account	bank account	bank account	bank account	bank account	bank account
90	retail payment system	retail payment system	retail payment system	retail payment system	retail payment system	▁287
91	financial inclusion	financial inclusion	financial inclusion	financial inclusion	financial inclusion	financial inclusion
92	virtual banking license	virtual banking license	virtual banking license	virtual bank licence	virtual banking license	virtual bank licence
93	guideline recognition virtual bank	guideline recognition virtual bank	guideline recognition virtual bank	guideline recognition virtual bank	guideline recognition virtual bank	▁230
94	hkma	hkma	hkma	hkma	hkma	hkma
95	financial technology	financial technology	financial technology	fintech	financial technology	fintech
96	interface	interface	interface	apis	interface	▁125
97	sandbox	sandbox	sandbox	sandbox	sandbox	▁163
98	hkma	hkma	hkma	hkma	hkma	hkma
99	▔	financial technology	▔	fintech	▔	fintech
