	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Raums ist an der Farbcodierung auf der linken obere Ecke erkennbar.	['space']	{'space': 'Raums'}	['raum']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag umfasst eine Gesamtzahl verfügbare Kapazitäts-Einheiten pro Monat, die Sie freiwillig den Rechen- und Speicherressourcen zuweisen können.	['storage']	{'storage': 'Speicherressourcen'}	['speicherressourcen']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	Teilen Sie die URL-Verknüpfung mit anderen Benutzern, die die Bearbeitungsrechte haben	['share']	{'share': 'Teilen'}	['teil|teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie den Nachfolgeoperationen die Einschränkung entfernen, kann die Operation automatisch umgeplant werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie den Mandanten noch nicht konfiguriert haben, können Sie nur die Verwaltungsfeatures von SAP Data Warehouse Cloud nutzen (Sie können auf der Seite Space Management keine Räume erstellen ).	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Bereich der Verantwortung werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Bereich der Verantwortung'}	['bereich der verantwortung']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für die Oracle-Triggerbasierte Replication in der SAP HANA Smart Data Integration und SAP HANA Smart Data Quality Installations- und Konfigurationsanleitung	['trigger']	{'trigger': 'Trigger'}	['trigger']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integrieren Sie ein Konto mit Ihrem Raum, um die Erstellung von Verbindungen für Connector-Instanzen und die Verwendung der Verbindungen für Datenflüsse ermöglichen.	['connector']	{'connector': 'Connector-Instanzen'}	['connector']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsgruppe ist ein Attribut mit dem Sie Ihre Lieferanten und Debitoren in Gruppen einordnen können .	['customer', 'supplier']	{'customer': 'Debitoren', 'supplier': 'Lieferanten'}	['debitor', 'lieferant']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Wählen Sie den entsprechenden Häkchen für demand-driven MRP-Komponenten und/oder oberste Materialien.	['demand-driven']	{'demand-driven': 'Wählen'}	['wählen']
